,MGH258,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,0.014630122398966217,0.09403091769839728,
BMP1,0.09803652831958323,0.013379417597259398,-0.03242184719300172,0.014958746450712412,0.055345515686705676,0.019408648875534992,0.004443469091549371,-0.07516779314441524,0.0163423857729901,0.04356958920556825,0.010886383528312598,0.08574348370228348,-0.01879075225610838,0.045625863471514594
NDP,0.007007987594736748,0.013294308870036384,0.014636282375141902,-0.02711493863787032,0.05208045540146445,-0.032333307781488144,-0.01265484168036391,0.007499660874727231,0.03423741048110395,0.01571677063818797,0.022138156571657863,0.06073971874827688,0.03229227189309275,0.026864581948936896
TNFSF18,-0.010524108422343156,-0.02446914214989032,0.06373819418020846,,,0.07748250324162248,,-0.0252577245950281,,,,-0.025833189165092085,-0.03171052837503044,0.08813112171825006
RTN4,-0.001692398696305755,0.0016219336055721565,-0.003515201258253842,-0.05399123082561421,0.026666669194956468,0.026869998885469096,0.01638237534875728,0.040272435040117786,-0.019882197563572814,-0.037721809403236765,-0.013729578521242701,-0.05370817306884897,0.009439374002574087,-0.048404175294286235
HEBP1,0.012509561522407054,-0.03318813152617196,0.05209482219025775,-0.03423421415307393,-0.044893658349242874,0.07097760352052311,-0.01699287549508378,0.03150779791559757,0.027060353244017562,0.08798190756108876,0.056838285269559106,0.0031393339048077485,0.010130046875341086,0.044523299993840734
WNT7B,-0.024917758004348485,-0.006352452845361558,-0.0199368237204476,-0.03613919987627838,0.07677507945490712,0.03549691608661088,0.08143113181187588,0.1861227066530595,-0.00651041927749841,-0.023915846499784225,-0.03132425032991481,-0.016758162572795325,-0.0029358094589902422,0.03582295709341777
PTMA,-0.045177211933080594,-0.008318731605350294,0.03265008540944935,-0.013449238543103507,-0.01672200075883132,-0.021310184070258094,0.024949047419881108,0.023915546587235628,-0.03288353289860333,-0.01397916452569428,-0.03685790525407646,-0.04396042246174582,-0.06077394801216424,0.0758698317114525
FASLG,-0.02491776504853484,,,,,,,,,,,,-0.0012993970152195243,
CEACAM1,-0.00687375310800321,-0.01557393838450833,0.06911679134831865,0.031616715392511645,-0.01601099809780292,0.021839201202470526,,,-0.03718402478928959,0.10769397451690399,0.09185460204564173,-0.02385669569870982,0.06953816180915076,
PDAP1,0.028711673970001204,0.03520999781102045,-0.020844565497598184,0.06435512281078894,-0.0311884663620026,-0.04615025951915594,0.04257785166646217,0.04478568751780004,0.018105032831164714,-0.03968807530147252,-0.025890910991708507,-0.031009164144072544,-0.010269387522540386,-0.02642090645975714
QDPR,-0.07814579854713702,-0.05805897563399841,-0.0026439385494980254,-0.040872168211959534,0.06664389281545609,0.030599884807591887,0.008331510432917714,0.04834635669814004,-0.08989953050414003,0.026526346565104074,0.057885791939411395,-0.02543871087702031,0.01958146483051307,-0.024961746441940186
POMC,-0.05654791674139685,-0.006659225237602983,-0.015262616170758971,0.03741570016006329,0.01638012268871329,-0.01755460433743346,-0.033169023565958515,0.012098499216789252,0.04405224225287834,0.11206127371547839,0.05949220339617752,0.09495779885077282,-0.006065435611960292,0.12021288044960668
CCL18,,-0.019434803615448956,,,,,,,-0.02636408493961967,-0.012317509507606432,0.0715006328174972,,,
CCL17,,,,-0.024187464619828413,,0.039369950374751585,-0.015263944013676168,,,-0.01424613827434369,0.09001173155144739,0.04751977775194664,-0.01941812945073361,
VEGFD,,-0.019434809786909372,0.0073962287357386075,0.016258194767385208,-0.015318416466749148,-0.00598220650200109,0.09151833947006563,,,,0.011245060480284322,0.025935432936589058,,
TNFSF13,,-0.0146661311245896,,0.06830502178644103,,,,,,0.004797313743180189,0.029648445786118485,0.06887813823530171,0.09129834948103806,0.09850470029365438
WNT5A,-0.02594373710077809,-0.01886953239205344,-0.02673801324216947,-0.023404399208590318,0.051005752853220565,0.043583177928404736,-0.02493005336708211,0.05568496919995972,0.046688211537093044,-0.0003315430215064229,0.0046412730526698195,0.08474815011861682,-0.024547699059822927,0.06912325516944864
CXCL8,,0.029831415830155826,-0.020519559490521283,-0.019188265239593317,-0.06613147280595334,-0.03610044541806788,-0.010426469776283157,,-0.029920779010951994,-0.08990569526030419,-0.10755655257541645,0.08572549097486441,-0.017104770438740657,-0.012257233901571764
GRN,-0.044443191231201155,0.06864718683749459,0.04976463986104827,0.007750247662479262,0.04339842989580941,0.037907938295789416,0.028784783997537852,-0.08123756860901546,0.05558270739066206,0.00898034775728552,-0.016743359753982594,0.007259154678387889,0.04818109095753975,0.05407449901212262
MIA,0.025767925201025436,0.05654531232243549,-0.019489338306343255,0.030577435984272747,-0.04648136852462857,-0.029344714428907737,-0.012733419146221583,0.013493613695621626,0.08781485055069996,0.09395424602758853,0.10039368556511263,0.04438148743122576,0.07396085718043613,0.008317573875810134
COL4A4,0.004348998338877819,0.007322880566907362,0.009162965116569706,0.02631218156805344,0.027720646277351435,0.050781832503862694,-0.021391131510420273,,0.055271668169340385,0.1716074787486785,0.00900547588898852,0.03792255056135042,-0.010688650347743377,0.18132224509870376
TAC1,0.012164070379051413,-0.0734562318937552,0.017547562701288228,0.011247646894219055,0.06271557643594683,-0.04065304152942598,0.05618314401801151,,,,,,0.022933190682427183,-0.05330675963492935
RARRES2,0.039106056137050996,-0.02644170975227902,0.01355492571323257,-0.005388831200384527,-0.05823556579299922,-0.005952547889175448,0.003112366756776488,0.08127980265305487,0.05266659760983649,-0.0484874172421613,-0.03637079789970436,0.013652379159060438,0.010438743914285504,-0.04517088622979713
