,UKF313,ZH8812bulk,ZH916T1
IGFL3,,0.03233601514538669,-0.024701544323074486
BMP1,0.021679801988373736,-0.06663182181031208,0.008368927060536586
NDP,-0.0699690383755598,0.04444125695222699,-0.008996675561403301
TNFSF18,,0.00550413589644166,0.06698950356220609
RTN4,0.12013660658475915,0.07023462363586916,-0.13014845773623387
HEBP1,0.07490645472767678,-0.0037853258730498806,0.02785140077132561
WNT7B,-0.022970018216091674,0.025395700956908015,-0.004407907731764188
PTMA,0.050814600740367956,0.08086240227491169,0.04838172631477264
FASLG,,,-0.02142364096434888
CEACAM1,,0.04139714165528313,0.027956413530935052
PDAP1,0.04074915077280344,-0.09384456671104274,-0.017739273780087533
QDPR,0.04807551937918027,0.08911167626681073,0.005132999281704457
POMC,0.007162286869880502,0.026258745857039224,0.04876047396486453
CCL18,0.036744677054191995,,
CCL17,,-0.025441601124563104,0.13062761601672312
VEGFD,-0.024072730763969007,-0.00846155504142795,
TNFSF13,,0.08252720955681224,0.035987825294565276
WNT5A,-0.019167518826888358,-0.007907376593666643,0.05586098793498142
CXCL8,0.0027108240658624033,0.023893685827890417,0.0631414770431188
GRN,0.017815495698952334,-0.03028557182838637,0.047358794730681344
MIA,0.06339127958252286,0.03075069781559875,-0.03212244099527098
COL4A4,,-0.012088673906948105,0.057653866543012494
TAC1,,,-0.025527098830136846
RARRES2,-0.028036165777090956,-0.0910828841117935,0.020734042743570186
FGF7,0.06796358190624509,-0.054595086803210194,-0.025891231120273396
HBEGF,0.045149453186499315,0.003628506275884008,-0.05502290303632146
CSF3,-0.014885568398776512,,0.0609289115409056
PI3,,-0.021616789586715982,0.038574234986363615
PCSK1N,0.0007309326313601372,-0.0926183034444128,-0.03819930564161536
NTS,,,-0.0029878481570459873
SFRP1,0.055595471113827274,0.05361394716576924,-0.0002996511146953912
CXCL13,0.04099487744491431,,
MICA,-0.07672813097943278,-0.01234433979629547,0.01249662897488793
TG,0.04538479253762345,,-0.028352423776535275
ADA,0.002119772028420572,-0.01720951325500085,0.0025472918629964973
LAMC3,-0.004285238791456187,-0.03735703714180664,0.021363004729766415
CCL7,,,-0.0009295404236371951
NGF,0.02514685687744915,,0.09616919952712927
TNFSF15,0.043651586433346184,,0.034035051235432066
HMGB1,0.07421329735982422,-0.029604778355602254,-0.04577847592837302
ITGB3BP,0.040489602495308,-0.007819122044375496,0.04203070252952781
AANAT,,-0.031470444371651946,0.049318687248249324
RELN,,-0.03935573117607978,
IL15,-0.0007710019745014855,0.017960383282933992,0.007458705812782444
BSG,-0.07459412784072113,-0.01789482360344671,-0.029634591738617044
ADAMTS3,0.006780789014202135,-0.037060384194889724,0.05878650818136214
CD34,-0.0181188679536518,-0.0074987243482783255,0.03001674309272684
PLAT,0.036079136025379356,0.007877948461341554,-0.03259614048551955
NTF3,-0.009841854811155704,,
LTA,,,0.03888203343657628
CKLF,0.044617646128369756,-0.014158467243939502,0.0003794431364719296
APELA,-0.00673583774704555,,
CD24,0.04553209496285532,-0.0062768067353948355,-0.036295017087430444
HSP90AA1,0.05138016257041525,0.015055602661456011,0.024349389644083386
BMP4,-0.009911474283098326,-0.05566003947812132,0.04379317791444727
SCGB3A1,-0.013456813658953978,,-0.025262505442242383
IGFBP4,-0.04372486119243385,-0.048808252558263064,0.039728033644653916
RSPO4,,,-0.018970263324834605
LEFTY2,-0.02604051496459134,-0.06597777507843737,0.040441692297664845
PF4,,,-0.0305064901520628
ANGPTL2,0.017182540137752673,-0.004354035291820052,0.0592075273938555
LRIG2,-0.015541375390325166,-0.0650206425587189,0.04013393324548436
ICOSLG,-0.01213113192089208,-0.00010432838432059956,-0.022941282123655926
NPPC,,-0.029856273712927324,
LYZ,0.033518319047631674,-0.04826114116153512,0.053648263613027825
EREG,0.07495628413323457,,-0.04607186654420502
SPTAN1,0.005040531181716994,-0.03603180692208189,0.07010160494000613
LIPC,-0.0277965645738727,0.02387615263278265,0.017779213361173163
COL8A1,-0.053387001960200665,-0.022486510803977587,-0.03984602265057845
GSTM2,0.0012730917564858911,0.01960919660349822,-0.0038940821401784345
SPX,,0.015931491257619602,0.01490470033329253
MFGE8,-0.06890479480316833,-0.11927964270376747,0.03875103816409332
TGFA,0.01658089999575235,0.039321099937496176,-0.007194439915060929
SLIT2,-0.033893347574005264,0.12264159468308185,-0.030521999442786045
PLTP,-0.030589643151741248,-0.03913245038268738,0.05000775527085438
APOD,0.0018466377199724028,0.04446354261312641,0.0017182337688970814
B2M,-0.020016233864667048,-0.030793265962330896,0.041618010646821406
OMG,0.06169712522873832,0.0395358670123215,-0.005598123353361417
CXCL3,0.06636933803564754,-0.022161502081935926,0.007094295827077283
CXCL10,-0.026276907301480638,-0.029856270466549102,0.03705911505154364
RSPO3,,,0.054842121552770476
NCAN,,-0.06865077302072299,-0.008616020324042498
PRG4,,,0.05616711702848037
ZG16B,0.021920627078673698,,0.005498409226442399
TGM2,0.017449766703650005,0.03604238474175118,0.07003276309790457
VEGFC,0.07405513641219072,-0.029231386426613593,0.0816947148624972
WNT6,-0.017844468740039345,,0.017951203655968858
NRG4,,0.061420491638679936,-0.02174080109608745
PMCH,,,-3.257433764170122e-05
COL9A1,,-0.014378901116584073,-0.04298430869466652
GDF11,-0.024601452432338765,0.02026835662140893,0.03616149609946306
RAET1E,,,0.047843124205543014
IL24,0.086171331165005,,
SORBS1,0.09316588811704603,-0.027530334459086935,-0.05223871819512244
DLL1,0.01841596557492137,0.026900703891195008,0.005445516137160092
TLN1,-0.06820087513853679,-0.0359709723299452,-0.003434398237337247
COL2A1,,,-0.03164021023656652
SHH,,0.008459880201801918,0.011026386171246946
PON2,0.004052021341451471,-0.06088615260035276,-0.06529147930608324
ICAM5,0.05546983245195312,,-0.009835345927484886
HPX,-0.040717106278495736,-0.03147043148400277,-0.004825525467165659
SFRP2,0.08606182701679747,0.07385594637254009,0.0877714580491427
CD70,-0.01762877177921844,,-0.01978409672425622
HP,,0.10604452048981187,-0.005828699162350578
CXCL2,0.07713935405041766,0.07900112738840472,-0.01859639141634041
NPPB,,,-0.022053621434170712
CCK,,-0.036886105693083045,0.09021683248309191
SEMA6A,-0.0034644292105631275,-0.015527491332323446,-0.02826758886327988
IRAK4,0.041671837580097904,-0.03576811522852193,0.03590352512795786
GSTP1,-0.1449909239390838,0.03294455471974191,-0.006472935603120073
VCAM1,0.04314208757242155,-0.07546864202728594,-0.024079288345506367
NXPH3,0.0004513678066346656,-0.013228938944174767,-0.036188670239676604
MTMR4,0.0443595604715129,-0.02343518924531351,-0.006853346639363929
LAMC2,0.020079321277972545,-0.022694164168663673,-0.0006416008280547526
IL10,-0.01775719699561071,-0.021890700769287647,0.025631650644914118
SEMA4D,0.03848166364244039,0.00404572129221147,0.052448664872528576
TRH,,-0.050160820879627165,-0.024701534954633186
SEMA6D,-0.02919071312001035,0.005434343996683546,-0.05558445606486891
CEL,,-0.04423806803771699,0.010766914115657262
PDCD1LG2,0.014505301567742199,0.07512131407880003,0.06289954264556454
SPINT1,0.023003966201419077,-0.03180254997895272,0.04323792293418775
CTHRC1,0.09052450704337416,0.004046655855612927,0.05424612330532016
PODXL,0.06945861425433478,-0.01214791429778349,-0.05865436153134182
JAM3,0.08406754990390773,0.011249242217922163,0.01857633372908402
TGFB2,-0.00026294882106213776,-0.05870489036106402,-0.05238061034081866
COL18A1,-0.0027269423955700524,-0.059347250452902726,-0.004298334450026689
NODAL,,-0.034139307812890096,0.03774566670238664
INHBB,0.021080547379042462,-0.0007664554560846528,0.01144580124211565
LCN1,,,-0.024979536622743378
ARF4,0.006481147336724764,0.009367254620515022,-0.00026195277023078126
CXCL14,-0.028573176007803656,-0.07369961356740738,-0.048149100033403856
LIF,0.030383081571425195,-0.0319785434041999,-0.01644096362546057
IL17B,0.06744097222032995,,-0.010703020748124112
MMP1,-0.07036854701340921,,0.04001205143285164
MATN1,0.013578293057580937,-0.022956243785295965,-0.030042344909598367
ADAM28,0.03901262548557152,-0.020155756441347997,0.047745480828145004
TCN2,-0.038519723566519753,0.01858793691438498,-0.0342690613751989
THPO,,,0.019085665186144768
CUBN,0.022484364347726337,-0.05368830981733433,0.04800610632776914
TIMP3,0.013572750234719481,-0.03919403311943569,0.09551247472873867
PIGF,0.040859883720866845,0.003187733091402881,0.0598314666989344
CRH,,-0.011163071923731267,-0.0259549985405263
BDNF,-0.033414153943257835,-0.04918395173274402,0.06694251350996772
CCL5,-0.024530958614393004,-0.03533140375468673,0.10626815157376443
GAD1,-0.020024208207284216,-0.017547629936073568,0.03464885440306413
COL14A1,0.07222608109167543,-0.022107971783324073,0.08230838753049635
HLA-A,-0.07080507989580186,-0.0988413834100697,0.09530182028562932
FGF18,-0.022492705162820193,,0.0409296445840634
ADM,-0.04273897130909128,-0.036270148683136307,-0.011348326468738358
CCL15,,,-0.0012341599731661172
GNAI2,-0.1051018492898075,-0.018652187457280662,0.04491016095602858
HDC,,,-0.0061808970043957315
COL11A1,0.004713398591355002,-0.05056194688339573,0.07741494092549776
NUCB2,-0.01097954360155407,-0.04301421847501656,-0.027795364720934048
CXCL1,0.024536660356763548,-0.03450658665176809,0.002664166924289231
VCAN,0.054435844333304194,0.00494745824168264,0.1164125634796576
MMP7,0.10165073334575828,,0.01745185350798437
PTPN6,0.0020114977397658403,0.010393024979614186,-0.0457029209631971
PTGS2,-0.03463510513115503,-0.028379763997089587,-0.016248331553481526
XCL1,0.051567843798481436,,
