,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.06252445213422347,,,,,,,,-0.007745871929006433,,,,
BMP1,-0.027388701852623577,-0.03740568543578247,-0.023495298880733966,-0.018039286459485795,0.04154440603335395,-0.03550122886983919,-0.0792323312158625,-0.17496523109385143,-0.5383726317194443,-0.07691745530422664,-0.027477402210066552,-0.20711690513745137,-0.3629333865761651,-0.03179657823579588,0.01554016588256347,-0.0011994001061521008,-0.018228242586256372,-0.11799445503728972,-0.11325717621156163,-0.16704267219811364,-0.0787804736832725
NDP,0.0018523173285049698,-0.06273422645858893,-0.0011348340284285546,-0.01380257290181401,0.06630277020073108,0.04363881461060681,0.1819739119626294,0.06192262303901756,-0.07543617375631699,0.07287021758026788,0.04376139919238516,-0.13827487253058568,-0.0607835100208052,0.00275768081484214,-0.007674347449183786,0.03050100549057601,0.0030848644526286283,0.11598095145342205,-0.0025848483547141507,0.03385914749572121,-0.04681097836467033
TNFSF18,-0.027076448619828084,-0.05647674962812709,-0.021492845579245627,0.08494419921691375,,,,-0.027858967787946106,-0.10187703611990033,-0.047719282452172884,,,,-0.024507775731282395,,,-0.03889658994166198,,0.06996906422947427,-0.14929099250487662,
IL36G,,,,,,,,,,,,,-0.010850908597657052,,,,,,,,
RTN4,0.05200482980118506,0.36532498334481983,0.03542751592448326,0.04527897557284564,0.030317092866835194,0.07795998948336835,0.2759234727624373,0.45988390265728674,0.6673966494503821,0.21616021167251456,0.23429214383246194,0.6363321933304641,0.5664619910757193,0.047963071653078136,-0.04021160681839124,-0.03476719346519063,0.03858409999947438,-0.01237682064256604,0.035676665600418,0.6179312063501855,-0.09190392198647045
HEBP1,-0.004975091664302755,-0.13107971550441733,-0.017913970603800084,0.022368962666421813,0.012703513860782256,-0.028028697968027236,-0.08068207037570846,-0.18444024092924385,-0.27340260978293535,0.06283344810679757,-0.07595787247615692,-0.2540689253680642,-0.06004998053321033,-0.025449548515258297,0.020261237316248102,0.08920013082901158,0.03884815767081626,-0.05164568058354209,-0.03723581728975534,-0.027519541028555763,-0.16971095176845
WNT7B,-0.023853503176115034,0.3403870312895922,0.03996179193531179,0.060986072804517906,0.05115929193518639,0.024701298462473355,0.07878360923368266,0.09850581743518953,0.3096335928157058,0.001832156663556906,0.054593500401567005,,0.15844139748041008,-0.02698066898864682,-0.009750181404610595,0.06594793733143706,-0.041516207212940734,-0.03895347081383548,0.05717709790638681,-0.02612204888388574,0.09421347003313534
PTMA,0.03956088963209735,-0.00046913555286713323,-0.001112844278328506,-0.08961509081282017,0.16199056323576724,0.0188503072836895,-0.25883903068420105,-0.493007902535606,0.04714702305590366,0.14831366390760667,-0.2432858727529459,-0.7405860738993032,-0.576755800556631,0.0080728754790545,-0.09693403017749318,0.02619326208655231,0.014399186129779152,-0.13905291290509014,-0.234998504920759,-0.24555126579972952,-0.4497475969363261
FASLG,-0.023853509919439277,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.025269366217208947,,0.0124365934786873,0.06740147005275815,,-0.001177020675275322,0.031336613800322724,,-0.1472659457987814,-0.011305736545469593,,,,,-0.01930057912140319,-0.016479391120472427,-0.05589033888721482,-0.021818508770711648,,,
PDAP1,0.05510134033257787,-0.15443706338319965,0.025729604010881757,0.014872346433521318,0.0035922325947620273,0.001215392193001951,-0.10928571427183094,-0.16385903471931237,-0.3822064075770799,0.018084357984270858,0.010536249171771206,-0.061942172001960116,-0.2722348081663265,-0.023946567789923125,-0.013338681782795223,-0.011871311824277588,-0.0012783113453643652,-0.06929122263590727,-0.03657385986283538,-0.10107307210804672,0.049305547024847934
