,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.017106941690925036,,,,,,,,,,,
BMP1,0.09977695436234475,-0.0010795128808391437,0.02964909221444907,-0.02332371655858252,-0.04322602985593673,-0.01952953209481232,-0.010798435548468013,0.021075079932513435,-0.030647695897294096,-0.01418338309815036,0.024092778083779454,-0.08284274941354225,0.03037618066828978,-0.0691345028659801,-0.06754819829123325,0.001182427202976653,0.05710556660890998,-0.05894714625356715,0.049786725207807234,0.016506395157785504
NDP,-0.010421268813546235,0.047340643829735234,0.02651633390869596,0.037139630010275745,0.10827667314946708,-0.01085694422639525,0.023420818182449055,0.06009544804701733,0.006050462492235397,0.007249962684339474,0.00844121329052428,-0.07282086696718308,-0.047568171645381935,0.062254234323659535,0.03758530479039811,0.03226952962089616,-0.05274153972013609,-0.03785565459636512,0.11052389017656668,-0.022745109093440588
TNFSF18,0.03245828454474611,0.023001930962917992,-0.026153162363015705,0.04201768519806019,,,,-0.011913265554216831,-0.025403294846560894,0.03944098528829499,,,,,0.09248089335084912,,,0.12641135593337652,-0.04716721813091632,
IL36G,,,,,,,,,,,,,,-0.022126985960115895,,,,,,
RTN4,-0.08000098890682528,0.10403397442772468,-0.019199905827421548,-0.04078884318918737,0.00333842785891952,-0.024200782689402758,0.07019393901193435,0.061579373684562226,0.046369545334025174,0.10103738648797582,0.08154935837623035,0.22696796241117292,0.042584243557095655,0.09163380536318412,0.04339605558973721,0.027982383387294543,0.001974604823338625,-2.3050945507880565e-05,0.019407838714602225,0.006579854319129825
HEBP1,0.02604379711029251,-0.018787086355025767,0.03896604972255157,-0.00026120422302237684,0.018995311690366553,-0.02892395643651294,0.021214432320615022,0.006271667694813925,-0.01838031335162197,0.04718850534928544,0.02254762466032642,-0.09784092615330416,-0.0053409975952824085,-0.02189721999132615,-0.025439415735176503,0.05042124054359875,-0.00764251218743369,0.003673371086908929,0.04567787649869303,0.054249390340333374
WNT7B,0.0681169087579877,0.12725126931216574,-0.001848353284069263,-0.017434267792377386,0.03285747891130969,0.05288149263614159,-0.013027979213659842,-0.005901630594886081,0.06983872617483905,0.00618825735763762,0.03947216001435962,,-0.0332871393008848,0.03205436538158359,,0.03628161865613087,-0.027014747938756637,-0.03264737586097874,0.12155321709995125,0.000978176639517473
PTMA,0.05142598223880718,-0.04498234881225558,-0.01810712728204593,-0.03242025127310159,-0.10401018387788363,0.05368446423180377,-0.043341487582317144,-0.05732589149040702,-0.003330075497889362,-0.02131455146560352,-0.015381903205794242,-0.2700841040301571,0.045264734043187836,-0.1437893567475421,-0.0721303131698107,-0.05916478365012215,0.0019422820412154974,0.0025013282031757407,-0.05212604546262095,-0.0716163695709447
FASLG,-0.02138903380181458,,,,,,,,,,,,,,,,,,,
CEACAM1,0.004073926107334692,,0.006633043413576705,-0.013379751930051264,,0.03105922941507422,-0.023793193276745554,,-0.03342928915458557,-0.019712717856170656,,,,,-0.029222860504023413,-0.017930268344180315,0.06709188786906126,,,
PDAP1,0.07600687757596987,-0.04439048091405633,0.0482863579867425,0.07590963785376625,0.0014144105435199299,0.02585645911350272,0.005104582308862966,-0.027071140375026472,-0.03485068410850383,-0.015561534053604283,-0.029510949495167915,0.08588608996749006,0.03547332053224366,-0.037434077503773165,-0.03833592811938755,0.004526190652019586,-0.019558340094698916,-0.029863093760008383,0.017010077150072165,0.05888556309999649
QDPR,-0.013142977203772822,0.03804717332614408,0.0021365076541598835,-0.011088379751633478,-0.09467863486645815,-0.029243257802971823,-0.03147575221057373,0.015667381988922986,0.0152071866323741,0.03508123662922306,-0.010335115153529086,-0.19407682892495998,0.01938647034920071,0.03645407012933825,-0.023652948777280663,-0.003252219879749434,0.04705947774658244,0.018122154891031406,0.09166173992272708,-0.07208970391760276
POMC,-0.013615489298731579,0.12594928778795422,0.01756020720113289,-0.02377368453932327,,0.007455680771316646,-0.02464471041134131,0.01893130202035919,-0.03400142500088308,0.003585309542154908,-0.02140453195752386,-0.018949015294402318,-0.02422257375355944,0.046869108340029324,0.013009695340633915,-0.04305180174458243,-0.029331257285388646,,0.07165942469227086,0.01833026620429687
CCL18,,-0.0326399245748706,-0.005094536761827872,,,,,,,,,-0.046713399543329676,-0.004800687527476793,,,0.02215141194815286,0.00836880100710385,,,
CCL17,,,,,,-0.019144492162276455,,,,0.03568725694174604,-0.024703224816795315,,,-0.020213629859484286,,-0.012720657540813444,,,,
VEGFD,,0.09039492406155415,0.019389445655128124,-0.019163810268649918,,0.04819347108478485,-0.02276398020040103,,-0.02865871616274038,0.06501385752858659,-0.0021287869692950476,-0.034737282880151654,-0.01636574998797648,-0.006008058919890578,-0.03972783847048651,,,,,
TNFSF13,,,0.05675515049568752,,,-0.013205442227151767,,-0.02524682233986141,,,,,,,,0.04706651201363128,-0.020134279357328377,,0.10586732394505605,
WNT5A,0.0038814378334346795,-0.07779247757201173,0.016710830160189986,-0.01447129861621195,-0.04805912956003473,0.000291581252485211,-0.04114793127406305,-0.019108135749184917,0.03212613793519764,0.03222635034843362,0.013739682653379898,-0.02289298018983643,0.026453260891242013,-0.06695180485304082,0.054601172211817636,0.08228959344589072,0.014852985905985182,-0.021463236656322812,-0.030577755166077154,0.09278488078544557
CXCL8,,-0.04371907002680291,-0.009153075665764896,-0.017943856060304037,0.105812919225044,0.07500835621830411,0.10499083154728578,0.12542013856986634,0.06009566025839678,-0.026790224680257786,-0.00025791424043910405,-0.09213493116650016,0.06753100975194166,-0.012077082578045174,0.039744844627754815,-0.00940295560097642,-0.01847497738445861,0.012033156812348483,-0.024413240602943104,0.2578215524389045
GRN,-0.056619389350980875,0.037541508059733074,0.0031291064217539594,-0.02527147596685011,-0.12076957813389429,-0.04239708565925437,0.008547323272813132,-0.0036264000983328355,-0.04607133625929592,0.0072681973408820115,-0.06632091928195505,-0.19610652248765625,0.024742673319166512,0.0007838743144769163,0.05956823659843153,0.018827159710306716,0.0014965273676960848,0.020443113008489628,0.018689531070362298,-0.01158951098459249
MIA,0.207709197375897,-0.05293087180079272,0.02793286461904709,-0.017042952673576563,0.09963359973801332,0.011097299557300464,0.059352373295936116,0.004108169070633768,0.019642114112730875,-0.046082918792213746,-0.02060781378480959,,-0.0044871811341933845,0.027311082105543952,0.004916469257372538,0.1102904119525404,0.05165052575140292,,0.048019695180401736,
COL4A4,-0.024771107382387577,-0.01995347385948707,0.005091163351433596,-0.028661170212564095,0.024427552246569346,0.03309134125432188,-0.017608262958980266,-0.024021236041268115,-0.016857621270800514,-0.024478081490475104,-0.00038837994416636743,,,-0.028780279305461173,-0.031107679931635768,-0.006085440156541631,-0.025577061311041285,,-0.04856434897077399,
TAC1,0.1306458968262431,0.15260062574051433,0.08483897716422777,0.026974032966051987,-0.009866803316277865,0.050067258046217526,-0.009233693879605194,0.10878277006867615,0.09645974416861511,0.04199831903904294,-0.019705802292129457,0.2134272724200364,,0.04289402092684093,,,-0.030934497866029063,-0.0609683846679113,0.035336596392884445,0.029858036024137835
RARRES2,0.04474006695752276,0.035010603871052634,-0.0034336663232541207,0.009724375290481164,0.002736311934781936,-0.034863937816514715,-0.01995771012314817,-0.0670976717782061,-0.07502729486942265,0.07703354723165211,-0.016483566258029395,-0.08881606599733685,0.03167884545662328,-0.06559915625269923,-0.06338164246127986,-0.0030109104158301753,-0.005301768785590797,-0.035757385374938125,-0.010434697210442033,-0.04737299293424548
