,UKF248,UKF251,UKF266,UKF275,UKF304,UKF313,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.02454493876777781,,-0.03562596929043202,
BMP1,0.05489641166453605,-0.021992925603732068,0.027887621588096226,0.06582933950438008,0.11272504464005832,0.10188537399938438,0.03736073570729695,0.023690194378477667,-0.03147860007471559,0.05612932023669066,-0.029298965439110335,0.0703989140239047,0.04603921430089043
NDP,-0.04644619614326996,-0.025676062756462073,-0.04721701278962051,0.0032650098647770123,-0.028481371144816216,0.013529836450597158,0.06268392709069229,0.0615054101482774,0.02956261854541142,-0.008539078865855013,-0.014871605439179274,-0.019138305640853046,-0.007843378634977853
TNFSF18,0.07034082403718568,0.0213684447142178,0.10318078298094362,-0.02307829917768219,,,-0.03307883034240945,,,0.013811017396139819,,0.059318232405131344,0.10485702860718782
RTN4,0.00663314432051968,-0.016429514429000036,-0.07663598229534527,-0.03745715144113821,0.011125675986057794,0.002695998535841164,0.1497802532098306,0.05117851587485392,0.02188046599586345,0.004301929070181751,0.04672015907636033,-0.09835775417982293,0.08200795868835908
HEBP1,-0.06796653358677683,0.06666858704730846,0.02582541995362708,-0.005105829699342051,0.025863080098799514,-0.0063168352396606245,0.08621674544455082,-0.04760607605235454,0.014021921354045726,-0.06571226765885904,0.011638055089955463,0.045524738632566064,-0.02112822055580061
WNT7B,-0.015092227454597665,-0.019571377474410002,-0.009083160558937783,0.005761952899275382,,0.06472098677244582,0.04632751206021399,-0.03583567372699232,-0.038494151811357985,-0.052931033316158276,-0.0381333996510406,0.09569351272740752,0.02493957856364736
PTMA,-0.04994891332979708,-0.023167638030547395,0.11035913438875258,-0.06058613802431455,0.0028327985888803252,0.11759602169107179,0.08533107372010727,0.10578464032262715,0.011848552534079907,0.0440134814398644,-0.02727763632949211,0.02917715820046439,-0.044487522224443056
FASLG,,,,,,,,,,,,-0.030898391011616642,
CEACAM1,-0.0017426113026123681,-0.01501985507251928,,-0.03629666657010421,,,,-0.02008049547156242,0.09355217055547364,0.13670141904667638,-0.025309691949137205,-0.0013279173668423558,
PDAP1,0.051470386070371604,0.01633467336526711,0.09317315910061659,0.005045833029524537,0.02897542237911761,0.03420235542953679,0.08415642618192985,0.0460727509975187,0.005921741863649949,-0.014592452048565498,0.00767376615639021,-0.019967968413875173,0.03631215372456443
