,MGH258,UKF243,UKF259,UKF266,UKF275,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,,-0.01950571886715811,,
BMP1,-0.01955709201065685,0.11216518747044327,-0.06317802870066895,-0.04818944485853502,0.035013857162094174,0.0021977975055179895,0.036157732804553325,0.050325644160210896,-0.06341844281214325,0.050597951064493496,0.07840571480564931
NDP,0.00810291254364803,0.04804173995590476,-0.05180781566288004,-0.061707445775627826,-0.06560199754815617,0.029588314337513397,0.027990296735018905,0.04876101161935026,0.05156386158497399,-0.0022179620031212194,-0.05554276954135555
TNFSF18,-0.022645265823349834,-0.029826127004217808,,0.03342350758480478,0.09157275548008317,,,,0.0566685104306564,,0.14211709834636252
RTN4,0.032291184399407626,0.007648587211366787,-0.04461475273012228,0.0896540640813325,-0.0054432288433182265,-0.11371356864493107,0.0021172037481057026,-0.05589136798566884,0.053563151123899824,0.02182263824954633,-0.06855070793095319
HEBP1,-0.01585103838692473,0.06265524120779847,0.0012343195408027075,-0.0004746721930470259,0.03946679150308827,-0.0038198961978435737,0.03226476794320261,0.04609186007855176,0.03642898976945196,-0.03218268824996731,-0.03385939997698916
WNT7B,-0.019949769920922303,-0.052547639013308424,-0.022753992941740145,0.12993795744346773,0.014568363811637343,0.054612405900840315,0.05482201420470512,0.05584401199965211,0.08018132419070936,0.012036872827987892,0.04933115271885972
PTMA,0.0350545624429444,-0.07163875533710604,0.027377370919456658,-0.047694656808463784,-0.009799570830186627,-0.05291731376121333,-0.09486076766932319,-0.03564931356399732,-0.013829329787457684,0.10495393807307067,0.056838647393382735
FASLG,-0.01994977556067115,,,,,,,,,,
CEACAM1,0.007957824636159953,,-0.026274338378135375,,0.03043631628619401,0.036218733752046275,0.1368966615090622,0.08114407973977027,0.005288685662796001,0.046519874929848146,
PDAP1,-0.04909331932428652,0.023532102837792095,0.043066160490594536,-0.05222674653740685,-0.01587828348675775,0.04785846724214646,-0.035955538706721774,-0.016550352392610254,0.00298136793217019,0.054246070894733954,0.015216179964984448
QDPR,0.05706369298381774,-0.00984182337042174,-0.026874608441440965,-0.011934166175055468,-0.006963722758262012,-0.0559708394883875,0.021491600133701792,0.017250724674871463,0.08155460506244346,-0.024183833407909333,-0.13118582914060767
POMC,0.013042027811118984,-0.044831480537275245,0.0008051645072118269,-0.019965615359158997,-0.008102057671487417,-0.02131441287966351,0.020516570477612215,-0.03860532049929284,-0.003759795959142215,0.006362967119731731,0.008840779679357546
CCL18,,0.06202996170276049,,,,-0.027707743811567365,0.09863439687622724,0.13344616285608482,,-0.014239777587289039,
CCL17,,,-0.015228931496057281,,-0.022760393859552107,,-0.02109332375931973,-0.023789029976355076,0.012487640315206166,,
VEGFD,,-0.032671308074770075,0.05227610875591159,,-0.02424927455675396,,,-0.016479387190686767,-0.027123669989901993,,
TNFSF13,,,-0.010504576112429154,0.036108875924740234,,,0.04194883848010357,0.02392664469743104,0.011546892360153082,-0.009522098625424804,0.04011977154868433
WNT5A,-0.029868267782511164,-0.06773087316606151,0.029727482314459895,0.033659279672441006,0.023024438870209166,-0.0035374796034284865,-0.0005941966299376271,-0.04779534803770826,-0.007029905901093053,0.0308699640225061,0.09961929580613978
CXCL8,,0.0548754468821098,0.03395175293610986,-0.020801967738064645,-0.0021174410327006498,-0.04878384537703538,-0.007266293657318048,0.016397987175672687,0.05277822705812456,0.0003352344472355251,0.08383224324202888
GRN,0.023754057926065813,0.12972748388821176,-0.002742819729515226,-0.016983381788835964,0.01171845861030686,-0.004140512451997948,0.015126021013218983,-0.07462057301655133,0.03338495801278174,-0.06303135146145085,0.0332792493929151
MIA,-0.026112535497817106,0.02059746621963336,0.02567636724123209,-0.026443363555272312,0.02041550351176179,0.08716317573600757,0.04841867594422613,0.13456097568271733,0.044700317140089,0.02555870923511714,0.0924470790910447
COL4A4,-0.02310427096646095,-0.018608242080491746,0.062366846788780045,-0.013914274679289712,-0.023762555365721177,-0.03503124555302043,0.048039031627990635,0.08201884556445202,-0.039615211644517624,-0.0451275573623798,0.04785161896256309
TAC1,-0.019949764706819126,-0.046152086965489926,0.030015439394608392,-0.001163642427161921,-0.004886005216833645,,,,,-0.0009811786140215154,-0.02107794385399499
RARRES2,0.04897163841823238,0.015063668463788944,0.0034991935653980533,-0.027948459291885636,0.020903776141742533,0.011349658139118998,0.019089708670926842,0.03651780369835208,-0.02174999573231001,0.06422650669651005,0.06366640004956046
FGF7,-0.0658451689059773,0.010144064552043492,0.015244740527834994,0.0004723460724563262,-0.006129884576493904,-0.02917849315118928,0.07641498070913132,0.0100139206888423,0.02027267113813544,-0.02847575825600696,0.02614060471701007
EFNA2,,,,,,,,-0.01566255467344697,,,
HBEGF,0.03056376891835685,0.06379325664570584,0.06021972040980094,0.02613555517814053,0.05151458958726806,0.09428652855957169,0.016010322664217667,0.034716249529720175,0.011237056036865993,0.017904011005876814,0.11643877409563418
CSF3,,-0.01752447839371191,-0.018151558486507492,,,,0.05347946640076519,-0.018960154074106644,,0.04182642672165874,0.024775500272529106
PI3,,0.038398012812026455,0.05881419544001423,,,,0.02614352068911249,-0.01592498071551507,-0.02185092483423768,0.04594241727390068,0.020407509676921783
PCSK1N,-0.044675155331161905,-0.021731502350636648,-0.030503310310998247,0.00947384595434673,0.04135252833630438,0.03364032424918494,0.030373795231177076,-0.037205099186742564,-0.01155902077533007,-0.061401569509570056,-0.04247721365758871
NTS,,,,0.026733389161088788,0.0038679787319099036,,0.06711586480757678,-0.01908185068959441,,0.03723300711182863,
SFRP1,-0.029027411575227927,-0.01964474246066265,-0.01328783138319161,-0.05169665277682214,0.04881375829653815,0.02062833304348823,0.0877890033938446,-0.036743349265703884,-0.004744130639823644,-0.020740858417466226,0.004298837885928586
CXCL13,,,,,,,0.08504075280776491,0.04774345178649225,,-0.014617386601355647,0.24562039334649596
MICA,-0.03649005337242849,0.07389294873068142,0.021734548150560234,-0.03605369862238912,0.0007652326594347022,-0.01795199688358831,0.007570142923095947,0.09713016601627768,0.005915473930467942,-0.025599462588164472,-0.011850615427723097
