,MGH258
BMP1,-0.019838413136451398
NDP,0.05148509359411297
TNFSF18,-0.01927998207207532
RTN4,0.007375645703179436
HEBP1,-0.05979047662238868
WNT7B,0.039113870506739486
PTMA,-0.02688346010953191
FASLG,-0.016985065141300645
CEACAM1,-0.023583911596673262
PDAP1,0.01608272500245694
QDPR,0.01182356817635405
POMC,-0.0147542468880983
WNT5A,0.007113291460726507
GRN,-0.022979036656357747
MIA,-0.022231985271518914
COL4A4,-0.019670775052789535
TAC1,-0.01698505590042557
RARRES2,-0.018304986391371264
FGF7,0.05845263578705319
HBEGF,0.10189077258665041
PCSK1N,-0.0023159408190284677
SFRP1,0.12986757877277816
MICA,0.06135558879811105
TG,-0.01967077061990464
ADA,-0.01753773150812773
LAMC3,0.013823855980566119
HMGB1,0.05133929330125873
ITGB3BP,0.05559037618403309
RELN,-0.01630759035836785
IL15,-0.04545315161341864
BSG,-0.014091042607045271
ADAMTS3,-0.04302970975583749
CD34,0.012708790992566471
PLAT,0.0029226807035675336
CKLF,0.020550624934473023
CD24,0.0047520435919612865
HSP90AA1,0.03217821764107557
BMP4,-0.020244078679583943
IGFBP4,-0.0007343689484836742
LEFTY2,-0.019476280235265594
ANGPTL2,0.014025068459678307
LRIG2,-0.004606950481393642
ICOSLG,0.04443006950116789
NPPC,-0.002096777283623833
LYZ,-0.00305424736143788
SPTAN1,-0.00960955526464656
LIPC,-0.005782575814839633
COL8A1,-0.03355588235153492
GSTM2,0.0018294644155464133
SPX,-0.04108154647257725
MFGE8,-0.04522525280415286
TGFA,-0.054882440194330924
SLIT2,0.026871234852982952
PLTP,-0.04120845736970223
APOD,0.036631999990734174
B2M,0.01300571924515813
OMG,0.04591722357941616
CXCL3,-0.015840933968808327
CXCL10,0.030568977143260425
CORT,0.07574517201195907
NCAN,0.003426010303556853
TGM2,0.06077836670186921
VEGFC,0.004549915025422885
COL9A1,0.056983760633113424
GDF11,0.03507443706890769
SORBS1,0.052479005437713076
DLL1,0.0086471274908352
TLN1,-0.016022233887761028
COL2A1,-0.018475888099608356
PON2,0.0010963626308412148
HPX,-0.02098643074942617
HP,0.1227172437092126
CXCL2,0.011867625970721598
CCK,0.043482296083940844
SEMA6A,-0.028624346375268714
IRAK4,0.020387763849553757
GSTP1,-0.060608395194305165
VCAM1,0.01052205948861403
NXPH3,0.009366756296501149
MTMR4,-0.014210047799763101
IL10,0.0030956223965739756
SEMA4D,0.0657870636166433
TRH,-0.018061547085143168
SEMA6D,-0.05417239184376233
PDCD1LG2,-0.05753502164377124
SPINT1,-0.01348661795375131
CTHRC1,-0.04086238645172021
PODXL,-0.05880699250241428
JAM3,-0.027225374979338288
TGFB2,0.017059986472170472
COL18A1,0.05544024412838329
NODAL,0.09236203585066212
INHBB,0.006164034062788939
ARF4,-0.005477497281795871
CXCL14,-0.0311131429886148
LIF,-0.024395513195568087
ADAM28,0.010502488904341458
TCN2,0.04699205009212587
CUBN,-0.021491262811564067
TIMP3,-0.04382893935859616
PIGF,-0.03233505462178836
CCL5,0.0013783863895970485
GAD1,0.045662331056364046
COL14A1,0.06499180294947579
HLA-A,-0.06351446703042447
CD5L,0.07671561867237243
ADM,-0.02099037286867011
GNAI2,0.07917189204519744
COL11A1,-0.022747211309175324
NUCB2,0.013182959930009492
VCAN,-0.0018972987676128326
PTPN6,0.08254611649111482
PTGS2,0.11551021069204515
XCL1,-0.01763826788685429
CD58,-0.054672158295531494
TNFSF14,-0.02885336593566693
MFNG,-0.027797038511920967
ICAM1,0.0049746281839615535
PROS1,0.01746723677939068
CLCF1,0.012971889027498705
PSAP,-0.003742880818692625
EFEMP1,0.010508705405434589
C1QTNF1,0.06714930441133195
ALB,-0.02655399966403179
EFNA3,-0.06167051910739532
DRAXIN,-0.0509936478587625
NPTX2,-0.023012718909828173
FGF11,0.027588841728132262
CD59,-0.008436080563280818
COL9A2,0.023724804362731618
DLL3,0.03153161442430748
LIN7C,0.02050022241665095
GDF7,0.007446677705233555
PSPN,-0.013367161013711068
ANGPT1,0.019692519620753603
PNOC,-0.025800754904014806
L1CAM,0.00854955461220568
APOA1,0.06455032824918974
PSEN1,0.06402008075387393
CALM2,0.016737651311603555
CLEC2B,-0.041103062807682215
NTNG1,-0.026130631243233844
LRIG1,0.034377876074819694
CPAMD8,0.10061488589927767
GHRL,-0.025647871734933523
NPY,-0.023583907420134706
MMP2,-0.018619875444698376
ALKAL2,0.053392325190808644
