,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.015200528974508213,,,,,,,,-0.026514252620364307,,-0.019211068123049728,
BMP1,-0.10368421803505379,-0.022712913139918946,-0.04475859082712322,-0.0644387367138617,0.025230613103264278,0.023204452414456685,-0.04771715194045597,-0.04191481101809302,-0.03457261666523261,0.005183567172790217,-0.03344286869723568,0.030564549448644944,-0.007304449703258497,-0.09167872719758262,0.0319035478995242,-0.02595084422270137,0.03174998463905469,0.017367388503678347
NDP,-0.02928861592600767,-0.03238913090833224,0.06930871678376907,-0.08214552551773247,-0.06176866525174036,0.019618765412581004,-0.04532528903985209,-0.005287015415115144,0.049929574433083976,-0.023727359456842633,0.018187843186091995,0.046311512951198584,-0.02800662386127453,0.1302182480814079,0.025341311926810696,-0.08087896506076338,0.06538307611173258,0.08407152967876377
TNFSF18,-0.006657539781292681,-0.03537782692080245,,,,-0.02376359015462595,0.04737700924592139,-0.01501861110598217,,,,,,,-0.0273436807233394,,0.06969476114030329,-0.051212768144945374
IL36G,,,,,,,,,,,-0.01823409965459268,,,,,,,
RTN4,0.05967429832247924,-0.011484723619780628,-0.035531696260492046,-0.028029780622679176,-0.08529623526483739,0.0777812458108627,0.04837491235303023,-0.019995092514752177,0.057550644833579905,-0.026766730782696542,0.08644871507245976,-0.02953571292852258,0.0015974729584416624,-0.030314296384569384,-0.03851532721293957,0.1887801601674286,0.01894722835956266,-0.04535278495073611
HEBP1,-0.0023296452796085295,-0.008128687393504842,0.0333167058164985,-0.012037238294497401,0.03119898333641441,0.010470360194972423,-0.04395237908092926,-0.01418897779711607,-0.038997951193681116,-0.01585313143901716,0.031316646359117226,0.023958557247393156,0.04218508845248301,0.05507295694770193,0.008910514292874549,0.020716679976363058,0.06781150452340823,-0.018069020229757246
WNT7B,0.048273439464088345,0.024242003484247546,0.02071257816771303,0.042051713580011564,-0.004717925694481305,-0.05121089669168495,0.08450763612230215,-0.043049450687875246,0.008131220250871986,,-0.020041376843559902,-0.007766621501710179,0.0037923021091616346,0.04841292901305636,-0.019878364445547216,0.08292290580153139,0.014697614250020126,0.0811948979388941
PTMA,0.0013200773917081074,0.012833553306967338,-0.08005059581235158,0.050654726475592146,0.060234967915864954,-0.060636806292912286,0.057799702060538805,0.01794519404102535,-0.06305409228617148,-0.08155321789563928,-0.11309142580147849,-0.0734101238605812,-0.09303136406053893,-0.01832305424881037,-0.012926489914965261,0.02789147358509394,-0.047902293800784694,-0.02578544976562155
FASLG,,,,,,,,,,,,,,,,,-0.016661752829170436,
CEACAM1,-0.026298930357369164,-0.004314769156753924,,0.013788230349713245,-0.004325829770108294,,0.03374265435068945,0.05975503250756463,,,,-0.027743925014635757,0.07629874618104317,0.024675296003744886,-0.01257034811087395,0.07340229542434638,-0.004331084368069167,
PDAP1,-0.012501547613460237,0.0076548215654307005,0.03302481298653924,0.013499914441100113,0.056908661470504746,-0.0413551313372291,-0.05143630169244971,0.016892695599868397,-0.016887027798404775,0.007575887235255665,-0.035945858495351354,0.03962849196807717,-0.05873886121394666,-0.05565649913393911,-0.015536521601471082,0.06817686250332519,0.022122336836199227,0.007321463597092185
QDPR,0.07113272919691008,-0.002059651989559297,0.0038447863190432603,0.016139371005466096,-0.08874405567279443,-0.024322933801125098,0.01831686167322533,-0.01978670690403013,-0.006085767796628181,-0.04388101257776633,0.01701773559523615,-0.010926623835550599,0.10814449353094271,0.08446664335438132,-0.001145391012012921,-0.049066650604474266,0.048604543040513704,0.01041063291737852
POMC,-0.06233140258393943,0.07598498368616707,,-0.013629062461665562,-0.03407715080836736,-0.0626931437161949,0.012276050451594401,-0.017426408683591212,-0.009977827773782052,-0.023041179370806766,0.07144107733442502,-0.06607051946120776,-0.015023565124996174,0.04089193627358584,0.031218554598554316,0.023527811706686913,-0.012045728884266194,0.021070495584775226
CCL18,-0.03281858025714634,,,,,,,,,-0.008981924795687105,,-0.019670898989261096,0.000679403601170218,0.04713027012556608,,-0.07619609992488548,,
CCL17,,,,0.006443421119035897,,,,-0.018731132082927367,0.020421793776032787,,-0.01665736770038409,,-0.044006396233540176,-0.0634108927711333,-0.019976838305397284,,-0.015102007497914656,
VEGFD,-0.0328185906785827,-0.0294896211230157,,0.01871006135355647,0.016018651526974882,,-0.02546496347941816,-0.0199564369334102,-0.018462958499389562,-0.024759516054093544,-0.017852216898760955,,,-0.004807228575775573,0.04507449151198416,,,
TNFSF13,-0.02476596166845583,,,0.07470277590435326,,-0.02304572508543593,,,,,,,0.05313614770544753,0.06449824925472589,0.0981075070294968,0.0007091627630109699,0.1003056841772397,0.03445817517199865
WNT5A,-0.015537344639075867,-0.0298284250076681,0.039627889279061586,0.002433319245227705,-0.05312811181803398,-0.052392099626822994,-0.04343838400883006,-0.014102270936040325,-0.07737273621650617,-0.02453730695028484,-0.0005392265292263046,0.04985665734575533,0.07080353338268139,-0.04028750813630171,-0.01104898097860719,0.07728421204267223,0.05644135272826987,-0.0026894473829723064
CXCL8,-0.012886993992005007,-0.02761233331400405,0.09500233142406211,0.1690277557702771,0.0650433567512563,0.0024897324643472674,0.05026203920056152,0.032124159522074605,-0.017193509750756293,-0.018663414296004044,-0.05367478531306798,0.04714809083302492,-0.15758187774829052,-0.20939039504790918,0.10077064760224211,-0.06034911557299648,-0.04939229960749517,-0.03701707063806039
