,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,,,,,,0.1349665337555606,,,,,,,,,,-0.019296721585471487,,
BMP1,-0.02380206023502126,0.031339958198556374,-0.009105384053091862,-0.05267351998211089,0.09878061906522541,0.11112675423281553,0.007826229656845514,0.10100598280392149,-0.0178271207490995,0.07497721592973079,-0.01748868099076279,0.11623930436787919,0.10950382094669359,-0.010906200729510014,-0.014041292113070463,0.019675160182574935,0.008912430934462246,-0.005364129452242084
NDP,0.037776406545040664,-0.030364571769353314,0.007752225868178739,-0.028926944102971162,0.05176186724944797,0.03586810408006828,0.013774232300032732,0.04605625350624816,-0.04501237993526231,0.10015430638721796,-0.007106431389587943,-0.00959319688103079,-0.00513752929016671,0.018392273205893782,0.04351765106103388,-0.04873188984338421,-0.04569356191922155,-0.025433538432335857
TNFSF18,0.003283153129732351,-0.03126674120891986,,,0.04445184096259615,0.09099761735672378,-0.015776938423117108,,,,-0.02450777146346118,-0.027224033766262055,,,,-0.019900368363958594,,
IL36G,,,,,,,,,,-0.019128753635888174,,,,,,,,
RTN4,-0.016254715876399175,-0.0020849172966690564,-0.03346802063128151,-0.017309566007890676,-0.185144815113271,-0.11655445666360806,-0.012412308309338593,-0.037031683499476296,0.07005138863013392,-0.05781190048959934,-0.07536072878074103,-0.013545913651451852,-0.006512346240793277,-0.005193495223017651,-0.06265670377395938,0.013963720841929891,0.08341413738393877,-0.00217239793245347
HEBP1,0.003303693943867688,0.05114481911295856,0.0395779077921544,0.001770467751130311,0.0480816840885248,0.07501204997489538,0.02149737652026489,0.06691320242824575,0.020120341883962386,0.05603168461778153,0.07741021089171085,0.10295243596479306,-0.044746360971626715,0.059464686073647216,0.009858040510234936,-0.01706529427532847,0.02888472138795562,0.04406005169021567
WNT7B,-0.0004610360003549689,-0.028838706266466892,-0.04289278300662968,-0.035024673487379,0.003126392780754133,-0.07384665489779661,-0.032512503647161725,,-0.044828300541837146,-0.021024704670180513,-0.026980664290192226,,-0.03408503885420258,0.03919142522510656,-0.04209727785159744,-0.04161328014694798,0.07567482334871452,-0.03791665199413625
PTMA,0.037052760949793935,0.020131242594108645,-0.0175674195292005,-0.0026771677958308494,0.20632971955058782,-0.073277197572738,0.0021899826100051883,0.06738143935632633,-0.04250682831810844,0.08693241239063937,-0.07601236272962494,-0.026851449287277843,0.03514521040859285,-0.06058465408266192,0.011046119043454535,0.07502330492089813,-0.015181956578879632,0.05385722443119632
CEACAM1,-0.010932169813014037,-0.007095468737405384,,0.003978971661774213,,0.10070938740475581,-0.02481336553582456,,,,,0.05989338914257548,0.04345284379130615,-0.005574155269491954,0.025149312675472744,0.006937209674240808,-0.01664029890132811,
PDAP1,-0.009572077822351146,0.06413145736991493,0.020207886351033974,0.005305030265671502,0.07235892237412236,0.10122909140346348,0.02161269708698647,0.04686832733956919,-0.009647081257382211,-0.0027337388367058867,-0.03431887807135149,-0.017826404220882094,0.010985298318509092,-0.00851084699781132,-0.05562011052731868,0.04412880777439395,-0.018858064742479183,-0.012063368209654854
QDPR,0.08034043276716946,-0.015865753864944345,0.005808522064948829,-0.004324046070346493,-0.025420490720614478,-0.0449417201971856,0.01727774146133034,0.17923642040017368,0.03710285064611281,-0.00577403772765897,-0.005606086820812525,-0.0265957334674613,-0.042803192836216655,0.04883259529017293,0.06672683880190386,0.058540288085820416,-0.025942746222292094,0.09408635642255193
POMC,0.028992380538055376,-0.014352935623855968,,0.007723383305061393,0.01685833782876216,-0.04412624240307553,-0.018306311735282924,0.017283571893082106,-0.03473423754279569,-0.007021190314700818,-0.043052565731021994,0.028396792193771534,-0.017384704926392866,0.053788810659329264,0.03622238311430686,0.02470691443266783,0.06243095793182466,-0.05677047915413084
CCL18,-0.030595216989413997,,,,,,,0.024456312367034893,0.023379437621578215,,,,-0.03754513930809566,0.029669427577517535,0.03713830148287909,,-0.03328832346513628,
CCL17,,,,-0.01692689768350381,,,-0.019676913889188314,,,-0.01747465951151544,,,,-0.023517738937965986,0.03575613623609925,-0.025441612734953212,,
VEGFD,0.04799949335073915,-0.010498080963948263,,0.09068588523053464,,0.05750508463013943,0.01870993473732132,-0.014432476235173446,-0.02346785496173166,-0.01872813384700492,,-0.06195607743114178,,,0.0667697800367272,-0.026833048898935744,,
TNFSF13,-0.0129939813810658,,,0.04194760091860293,0.0802360269232775,,,,,,,,,0.03412841548821652,0.01600440525124035,-0.007865032131492167,0.03847212393821571,
WNT5A,-0.04956126132931476,0.1302105093650042,0.030424373783282926,0.033839655759652844,0.18349276355154284,0.14482263619976113,0.047061558753992705,0.01712447871583756,-0.01835586373924169,0.003248813404379016,0.022383919514948773,-0.08564769121928524,0.057806302392532906,-0.060661354233767284,0.052275989397920206,-0.009039791808149584,0.01642839543890159,0.014243902072500828
CXCL8,-0.029898597848284438,-0.02968163621056237,0.006155206920848163,0.0011033461858881812,0.05237877358416991,0.03938183850683545,0.014544171058283513,0.08615564860033145,-0.051777041193846914,-0.007350564861032576,,-0.0171608946993012,0.18628585342010687,-0.042515896662064546,-0.10397989543862064,0.009546113701118585,0.0019742849218732225,-0.0291106645574188
GRN,-0.0693842468429763,-0.011999424524098919,-0.001344463441719023,-0.018160590442246962,0.06746519289116674,0.13614978308582792,-0.03733669833632486,0.06944559722239617,-0.026623873494156694,-0.005821395533964362,0.05913677891678251,-0.01108710498393307,-0.04003993700410906,-0.0010325087442381023,-0.06043125661461631,-0.04074142024982783,-0.03666356363679472,0.023804301628821
MIA,0.025338762677431174,-0.00503425194632902,0.031772026863727855,0.015017430085291345,0.11078037541888948,0.1004602627712501,-0.030778476785426563,,-0.006960676180611553,-0.025649037568155515,0.08241129318851134,0.003607327625790733,-0.035775123414878526,0.0952087992028595,0.12640959165848992,-0.02035141676950976,0.01136814365094328,
COL4A4,0.034778015418839306,-0.00041348147878428673,0.018694722900310785,0.051857097400865304,0.08626118507346087,0.047607218547225376,-0.007328296716256969,,,0.002130575754377475,,-0.026617598053997875,0.1002710711226441,-0.03296902555127881,-0.014224126862785479,0.05838751178082212,0.03872562679408274,
TAC1,-0.0104738478802513,-0.04545673609386543,-0.08096884975513659,0.03280425782161725,-0.05103066525643432,-0.09870978999097513,0.01716641061352847,-0.03883417710178043,,-0.04409348494207962,,,,,,,-0.05067699466634019,-0.015306753130878037
RARRES2,0.09381132450816115,-0.047175722981705616,-0.012878996306307629,0.06395520025369977,0.02494131468088703,0.08770991466942242,0.02143475033049021,0.04278384411556457,-0.02438124800133909,0.1070631054713498,0.09943596591300735,-0.0574404068075612,0.02861483283198522,-0.03549211818398121,-0.03407155604714564,0.028096898361442486,-0.03776682868300006,0.009188565014235359
FGF7,,0.01894913751000766,-0.030631106244477485,0.08302872747870779,0.08728622101881707,-0.0008188723240635803,0.0026257216824720287,-0.06540630801017815,0.0462280637302775,0.023690356106529576,0.0034578766456679513,0.09782962962432092,0.09084378122055627,0.06668700755701847,0.015023859767219438,-0.008462691736129874,-0.00725760613696436,-0.010899872715855937
EFNA2,,,,,,,,,,,,,,,0.09411412641812947,,,
HBEGF,-0.06304259668681376,0.032298779266920284,0.03135726715379857,-0.011957083675418062,0.11069892340842265,0.059388887831345216,0.04135310528812409,0.018096520525940595,0.06318096354553436,0.015594030105305053,-0.007786466820010565,0.05229220776977685,0.08129089235088807,-0.016632803848320367,0.01717186567408262,-0.010570750803477299,0.04710162281069775,0.03940207967884816
CSF3,,,-0.030446053304249047,0.03976691810152282,,-0.00699230042737744,,,-0.03525637428783774,,,,,-0.027188170576248245,-0.038171652468499136,,-0.0048854268511299564,
PI3,-0.012632175003139382,,0.047080166801019736,-0.014329145183947414,,0.03272417987337283,,,,,,,,-0.06762331935573342,-0.13285672356655434,-0.02161679945163599,0.0004310697981075114,
PCSK1N,0.0347544221444238,-0.008379411485311622,0.014709020297950615,-0.0498793310150544,-0.05788270432600886,-0.030761814550988375,-0.007753836839126545,-0.09433352416034736,-0.01808652494583283,-0.05357997305406032,0.07818070923922894,-0.008841984430002205,0.04808120332760052,0.10340230091923842,-0.0015628019096788365,-0.06392708924923489,0.0738896873287209,0.02399880200365464
NTS,,,,,0.03139347047674635,0.023095096635412697,-0.011634278317031238,0.10095379877758735,,,,,,0.04895369253165171,0.05015247177309732,,0.059582595769622035,
SFRP1,-0.0018249884421382625,-0.05367821400265137,,-0.02446995474474526,0.05787916762812528,0.12119644625233038,0.04483519819744752,-0.00985387702311659,0.027291759365208272,0.01420977160511713,0.02211175533279174,0.05746492859291918,0.07377115339174323,0.09239933032484816,0.010260773328846779,-0.00922988845787691,-0.0040468054699134386,-0.1253228153303063
CXCL13,,-0.03351662376598073,-0.022107437160924517,,,,,,-0.0407428606862008,,,,,0.08677932735643643,-0.012853713867144031,,-0.046643783202714395,
MICA,-0.026876184386613284,0.018539351522878847,0.022861678264947193,0.004198987961057377,0.021859681336681036,0.11760905282223814,0.009418225526171269,-0.03909824039600506,-0.05058972922138969,0.048438407705315094,-0.04717822608292226,0.045831750670310784,-0.014887614406440354,0.025842050613895447,0.020756588148067155,0.052910556436714995,-0.0022826480631702936,-0.014440223066898177
TG,0.018362621408420942,0.035477864648834276,,0.06001948541985956,-0.029677090428120865,-0.0021701104392791194,-0.019823746100197524,,0.04206382310183728,0.05182018614103373,-0.03140785350089486,-0.022027797167007434,0.06407661508233381,0.11249671620985634,0.004819159295676629,,-0.03465748613749581,
ADA,-0.020822837155569287,0.0008644903394549448,0.017052991406156633,0.06492383790144529,0.058190748426703846,0.12585432543670602,-0.026041904003484367,0.012783992169267207,-0.019678301500270667,-0.000210159514523971,0.01080233538037063,-0.046206112540592786,0.0224707407420248,-0.019967330947926396,0.060061124792420505,-0.042044556448413345,-0.07792269204412938,0.04292367188891157
LAMC3,-0.01224436202962714,-0.014198034226066338,0.03606316959545492,-0.026861433407062648,0.12661848937961598,0.12151261102350515,0.06361992766169038,-0.037484730959703824,-0.012638683079698574,-0.02286569085066917,0.09231686813763093,-0.05380604185152959,0.01506175818772681,-0.031633325117269635,0.031807698008883764,-0.12467982166481521,-0.03538789220436315,-0.028657637937909573
CCL7,-0.02339817282856265,,,-0.019092188477786244,,,,,,,,,,-0.035247669814561046,,,,
NGF,-0.02840039666359151,,,0.03981279908299309,0.061266684970956754,,,-0.028676149266475538,-0.0278219282272613,,,0.024014082368392795,0.029999019630006545,0.053375180289462504,0.0023362067065353814,,0.00034323983738164646,
TNFSF15,,,,-0.02126008565699178,0.008379595351978313,,,,0.01278519723508876,,0.0222713841636996,0.09043502695510831,-0.00577503349541314,-0.022086955933066053,,,0.02983564610796479,
HMGB1,0.054584349395706375,-0.02645039178564997,-0.02379315046426276,0.009375893687403733,0.11410144808975346,0.07664351812096772,-0.03841050498080612,0.01464930339174814,-0.0314254337975804,-0.028674409876806493,-0.03311068212631887,-0.01658129608221491,0.008686164813124286,-0.0787529404538066,-0.056826395813245244,0.01868201029853888,-0.04945671161167849,0.002198415352861505
ITGB3BP,-0.048193809804203284,0.03379368840702764,0.06426902714737676,0.06073071260537257,0.15763708098876833,0.09230437902595189,0.0009764744388099946,0.016692355247067296,0.042157907546951985,0.04698844877676764,-0.03215470081974713,0.050150747929651004,0.0748414648560015,-0.012107246519873174,-0.003959682853136354,0.04321753637129329,-0.02947228055626907,0.03587082133152204
AANAT,0.0004193061622882371,,,-0.019344505668781094,,0.014962617299832665,-0.017827610718240447,-0.0269597976026912,,-0.02344058426546174,,,-0.03910483641179991,0.08306936416473634,0.1532083226995113,-0.03147045873333203,,
RELN,-0.016429552508384168,-0.0038375912721270306,0.01227422343986749,0.010990085259446537,-0.05440218136166107,-0.04773340011584696,-0.011513970375173571,0.017072232140367,,0.03812574816987033,,-0.07753472722123428,,,,-0.039355749136246274,-0.008695075149340661,0.059380505904884195
IL15,0.007135907646653225,-0.012683399476381649,,0.038498333962223685,-0.02446809046428553,0.0710754806489803,-0.045053233903217284,0.051694207756436704,0.015319099272172235,0.009893883607641858,-0.0494174594272436,0.042885782408458056,0.10972225218954473,0.01636179462510092,0.014405510997602202,-0.03919074287826915,-0.057133908950542926,
UTS2,,,,,,0.06135219080482055,,,,,0.03434107478806475,,,0.04094923894954998,,,,
BSG,0.05569390865911512,-0.01269066574333494,0.009854029615870877,0.017413262742147103,0.1444918709898413,-0.01793057532774851,-0.04115792869675586,-0.06632691994358228,-0.039960535173889235,0.07454647514336382,0.020898030104387552,-0.04654903614731538,0.0886350800461629,0.020182862384447085,-0.033580932962924595,-0.08034016137328122,0.0013088590282123059,-0.030751082153543566
ADAMTS3,-0.0041953022658424545,-0.01699086422663192,,0.009738981519717596,0.06814825002782911,0.10257973451920178,0.010241089934513142,-0.017043595194986657,-0.03531496756761682,0.10666601200689618,0.06939266894704324,,-0.016010891583681967,0.07345311626366098,0.08099469794159403,0.06626463028433667,0.0036756477368975497,
CD34,0.002186088947067904,0.006924752220571656,0.11215600912599065,-0.014651887770898838,0.1680108847825887,0.10635240049225776,-0.04338215346029584,-0.017210659805576702,-0.06262180607855831,-0.043542725012068545,-0.005195470822854774,-0.07872858630319038,0.05556584663870005,0.009787988047727741,0.08112338220256592,-0.05576005970008595,-0.05202340311232167,-0.013493269044051839
CCL23,,,,,,-0.008672085723292223,,,,,-0.027317580593836665,,,,,,,
PLAT,-0.01022910259696599,0.013864423968348926,0.00854835245117414,-0.05776667448537312,0.08967757727650166,0.1304097739271801,-0.026233097387455256,-0.01737771021798271,-0.0026218108604417105,-0.0419558279129517,0.07101170446292068,-0.004224394253152033,-0.013642473762310509,0.12117509155905858,0.041428293042867236,-0.11566317224949671,-0.021141663883862648,0.07854830223116907
NTF3,,,,,,,,,0.07912305856829285,,,,,0.14231459142679678,0.06613197129034624,,-0.0031608708115587517,
LTA,,-0.022131974799265878,,0.08193218830025495,,,-0.01716984704926749,,,-0.021740061183637874,,,,,,,,
CKLF,0.01624705203745636,0.04648500564467168,0.03371962838763951,0.003015697015046847,0.13364153163173267,0.12288434027434593,-0.0017364325340359652,0.025447549955461172,-0.031429394943098404,0.03487685241481695,-0.035543871068269096,0.13957378080505364,0.04796532047346672,0.022987656292081063,0.04446764319984111,-0.005087254623672718,0.03829873150614151,0.03518132578629122
APELA,,,,,,,,,0.017383408160331855,,,,,,,,,
CD24,-0.016511897122286578,0.09941930841993653,0.031766098114500506,-0.021422797724723514,0.15291222005104108,0.03645021131000719,0.0862288785315619,0.024481217180484488,-0.003908161703059927,0.109972586868006,-0.06113121977249192,0.020792296518433794,0.13533595848063218,0.05300923207237119,-0.007780252856184567,-0.04249907235380561,0.047283605110614864,-0.004126264574167511
HSP90AA1,-0.021931128035294012,0.03526241770563684,-0.05665402379045282,-0.006411314589241641,-0.135991880634982,-0.11201082813097192,0.02754034088835836,-0.09184947513631958,0.020731723585593727,-0.08878275248566565,0.00990256079321946,-0.0797154225298944,-0.1355151955490178,-0.1001503358699494,-0.14072245494180483,0.09568555164772205,-0.0425819858927431,-0.029840989582049376
BMP4,0.030721792555490117,0.07116887796545751,-0.02620349341110164,-0.025478179591877037,0.11084665908937447,0.041412921924238615,0.001586138852603832,0.01016813152035928,0.02290101160396093,-0.01852477753818851,0.07629831514220634,0.038822294248073735,-0.04645732391348617,-0.01633021492637043,0.08660754377745337,-0.055660064878832884,-0.02459522752116534,
SCGB3A1,-0.03377100626173333,,-0.03254382015991579,,-0.03123395022798167,,,0.06792892793351786,0.03196958946586129,-0.015169927193657392,0.009314849653821887,-0.007139606377811582,,-0.03509355108087265,-0.0073015235178240665,,-0.054304925231325456,
IGFBP4,-0.03682594508070732,-0.029753644929206652,0.032932577066884364,-0.048691054112765975,0.15164061412650812,0.0990066770992838,0.04129531637714689,-0.03109029584467062,-0.04101527187197338,0.028256128212409658,-0.022193547749299446,-0.0012711012680664017,0.06482689150208415,-0.07235591647656424,-0.049109287033439655,-0.1270785461765594,-0.01222225571186709,-0.058711012495689704
RSPO4,,-8.486631043195528e-06,,-0.014239472719014304,,,0.037471121798212506,,,0.0375489122285648,,0.07423285187914294,,,,,0.025265875033133687,
LEFTY2,-0.01975331008168907,-0.022403789123010744,-0.013225918553902259,0.045429652598183975,0.22237162228149823,0.1541463268765697,-0.0042405776964493155,-0.028676149266475538,-0.025386194624521873,-0.026837862746147193,0.011906040233095314,,0.08117477136859283,-0.015254208951297529,0.004720642227038943,-0.024130448248585498,-0.04973558006777489,
PF4,-0.00527600887690195,-0.020132039129921463,,-0.0166575583083272,,,,,,,,,,,-0.02635037573566218,,,
ANGPTL2,0.026535526160358768,-0.005957491493896261,0.0182420920919626,0.0030471192616316296,0.20116958715782035,0.10144307324964782,0.02405894311901964,0.11059163298675177,0.030853408839087264,0.09041575838716985,0.01315129907915791,0.03802854097181129,-0.031785493353464846,0.08695986616351081,0.062681223502364,0.05129332377578015,0.008850720430908126,-0.04661469021968325
