,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.03595304124318237,,,,,,,,,-0.018219026349827732,,-0.030098150575169146,
BMP1,0.06676534689663093,-0.04543026562787373,0.008625184512183413,0.018113875335817625,-0.06341879909128116,-0.02663269147940584,-0.013177777804582597,-0.1779765295336119,-0.01595721188006641,0.0018531402598778528,-0.06415015731442403,-0.02866754320941412,0.03033669972741846,0.07864156487774028,-0.018173925835863993,-0.03368721976508444,-0.01558665385464047,0.03493571661663016,-0.003986955470873706,-0.039521880473109866
NDP,0.006471463124251598,-0.06984430115823446,-0.027296111578937066,0.07470197716836051,-0.10860886364414385,-0.029580519265406426,0.01843868766567931,-0.05182179842147441,-0.04307959032561985,0.04331693103350613,-0.0024920235049768185,-0.0004948763227998911,0.04668119235874523,-0.019058609550473615,0.020848182290235905,-0.014275905976274412,-0.03800650150090476,-0.02778862027467384,0.07957764652836785,0.015242987529539537
TNFSF18,-0.056087890928340635,-0.04436370451412184,-0.00594016612648747,,,,0.0011672829034506589,-0.030828487628135236,-0.01264030280467375,,,,,0.018171077621486575,,,-0.018788960289877192,,-0.009838501535656276,-0.03858434648412448
IL36G,,,,,,,,,,,,,0.07637978423551504,,,,,,,
RTN4,0.12911637900974002,-0.07117339149434541,-0.04240524068959727,0.05237224445441492,-0.019850383257594903,0.011638943886380164,0.03022359442549059,0.22851473292123714,0.03605228415821753,-0.030528808524820567,0.16845095519892458,0.03756221198496048,-0.04948873654585835,0.027650235926194044,-0.0964272642636935,0.021979184992558524,-0.029283013083916364,-0.021984534261636133,-0.042132446686846396,0.0197546113728801
HEBP1,0.01935039932467504,-0.02885430401372847,0.03357065697757523,-0.03411804001636593,0.07182536474778109,-0.025675300662732835,0.012094179994120916,-0.05054479693433776,-0.005083732023745834,-0.002976661786842089,-0.07810064384000712,0.03747303811465148,0.04026563899571608,-0.006002145560842744,-0.00955577699758418,0.009993687051065446,0.05081023782402601,0.04487100039803384,0.05487524239785234,0.01814135669430666
WNT7B,0.21017376735026597,0.04115469296986245,-0.022011067034637562,-0.03690118308728552,-0.014355930319238108,0.04704803941343394,0.016591535918897744,0.2658421280996608,0.011258925396303202,-0.025723029986997832,,0.00013253578866399338,-0.0051251381507702014,,0.03119155215158171,0.06276616193832858,0.03374552643054345,0.04186400018429846,0.0667859538321983,0.05250980958798799
PTMA,-0.02435645516860735,-0.1159868295968122,0.04683935441990475,0.03128739015822612,0.08122293640981906,-0.02281053455774604,-0.024066657290031764,0.011235156179032901,-0.009820687536583758,-0.04333148180095353,-0.18669734899001805,-0.03849923474772782,0.08689694700943534,0.01892443749974504,-0.016560878898713195,0.031035511897834243,-0.021221526607767237,-0.05494280159246516,-0.06857999842509914,-0.027483357547550352
FASLG,,,,,,,,,,,,,,,,,,,-0.026104115725711755,
CEACAM1,,-0.02823628210499257,-0.016892170072547705,,0.023584982314696443,-0.03811689459280636,,-0.04976061213014298,0.03882250435865473,,,,,0.03489958208584738,-0.024245491812783068,-0.015399746388770199,-0.007888066833122693,-0.015698623537376333,0.010299104590962671,
