,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.002563493626171811,,,,,,,,0.001911119206192565,
BMP1,0.06517687841592931,0.094034068574214,0.026269211725012606,-0.0156669041269592,0.12505167626265196,0.07834355934452435,0.053860169102084424,0.12225610566565084,0.1349736956489988,0.005369428105725597,0.0276159909773945,0.03565290362516076,0.14082367006665789,0.09238729343615047
NDP,-0.027131780283719712,0.04883857538010771,-0.050519548831670105,-0.014079033967345505,0.008189024699507885,0.00988962660949078,0.07292688919904321,0.17944900043496131,0.05490161995853974,0.021253330152462082,0.031458647950341284,-0.03760516587004542,0.0673950899556306,-0.017475985391476715
TNFSF18,-0.0388519324081633,0.016094179566543573,,-0.01221318603661789,0.05354413923182385,0.025974188394819575,,0.13395822468344745,,,,,-0.0261674550252769,-0.02084251169453882
RTN4,0.003059424619300652,-0.012582807530285253,-0.030941263955991033,0.012642926621646757,-0.13374789548866992,-0.09555064997168979,-0.05429296405415502,-0.04885741442733471,-0.05607635564816837,-0.024094369078896484,-0.01730739532492627,-0.041065630141074234,0.03256840358379726,-0.13369033700386815
HEBP1,5.0463070777366127e-05,-0.03229732030743266,-0.02675827855667685,-0.030206598062456267,0.07638469534859767,-0.0004645136735816341,-0.050431121922216236,0.06337726915561004,0.06034155998559717,0.0688317032682724,0.037021724693747864,-0.048376999808366794,0.03626604533799894,0.005784986785815552
WNT7B,0.045275607069034274,0.02858237647002714,-0.0002145354157398169,-0.02261793471314167,-0.04930524221400321,0.026726829286083748,-0.008485422406722145,0.02184253714281255,0.007434314787922505,-0.05473412741283003,0.06397222913376306,-0.020366673885378588,0.022210426384181203,-0.0003594551348810957
PTMA,-0.06104125206413444,-0.024408516161623664,-0.0671020577108869,-0.026281159190126194,-0.12137529515832336,-0.03109927683606851,0.11385557187615623,0.017904623110100343,-0.08620164671936639,-0.004241834209932214,-0.06420370504343585,0.017408856277469097,0.005090517357049542,0.09705889906980285
FASLG,,,,,,,,,,,,,0.0840385331517259,
CEACAM1,,-0.018743057829846758,-0.02881055981191716,,0.037895519731419705,-0.035561708695417284,,,-0.02004864952193095,0.03155311400503897,0.08879412580788691,-0.01351765766452986,-0.04702529273219541,
PDAP1,0.08716106267238043,0.025204196824912952,-0.06350757017959377,0.0171327057271622,0.0963438479383786,0.012949757810156214,0.09226349795990034,0.06648105458618764,0.05675379672234933,-0.04528547881353141,0.03439781454260024,0.06623687732715257,-0.037322536491711064,0.00931851871057
QDPR,-0.0004400833960084237,-0.05104035311864746,0.03409608268971247,-0.015174470940282344,-0.1830108043838145,-0.057592697958085186,0.05059338172011697,-0.05420071558079975,-0.0384151600294833,0.02723943573602733,-0.04210328317071965,-0.05751288054245342,0.03392042102180472,-0.13866829376420126
POMC,0.03438064581268261,-0.005531943658914097,0.028647709797492447,0.01736831611688124,-0.011189804316679134,-0.03153197222916187,0.08929164945214821,0.13172057921819075,0.052899253116811866,0.07443327236597236,0.026056767815664895,0.04903877855049456,0.08784138171936609,-0.009682008823442521
CCL18,0.04346761094813163,-0.023389565252063538,,,,,0.06543079053010765,,-0.04290275793415213,-0.016629679965886452,0.07014545866824264,-0.00609711086211882,,
