,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.016494119812368323,,,,0.07615176934338609,0.030412021742266735,,
BMP1,-0.05368642624778712,0.06938384197326743,-0.011680762827833499,0.024299766029595757,0.009815428385123124,0.1266495642641022,0.05779257021784923,0.015800396369297975,0.14256409635485012,-0.07781005785950368,0.009061740008283586,0.00794064779557959,0.05779505241626916,0.07417997478148217
NDP,0.020933487783054133,0.10171935984424514,0.007508683163255612,0.056639378292831305,0.1507782005232688,0.011260191963500638,-0.03230619426703222,-0.00857730948583616,0.02668554795365902,-0.004561328292458623,0.053347072843314795,0.04046877261195284,0.06101696860998385,0.014117500622882424
TNFSF18,0.20565560926202964,-0.027957802932671832,-0.024102611009505972,,,0.051002821245734124,0.038871054035588985,,,,0.013773264354689195,-0.028037948217914013,0.02931240034603486,
IL36G,,,,,,,,,,-0.01970447955138442,,,,
RTN4,0.004857500959145125,0.07155284699663088,0.026409358990225677,0.04700946786295758,0.11662409571020615,-0.051667682366449814,-0.02148307243215256,0.03363356772972498,0.026874008361973917,0.09912426648528475,0.02706492829232998,-0.001441943424956077,-0.007154774464721958,-0.014770496226111514
HEBP1,0.03217215764222705,0.047452293142075434,0.03661710323802607,0.00480866058985667,-0.0003755960806738915,0.07919939593563438,0.04543475906404822,-0.031540322491802025,0.020820578315255623,-0.008248757089341705,0.0579958114243709,0.020403122195705975,-0.04003538172907256,-0.014282585996904153
WNT7B,0.050452066409919394,0.09069824807985302,0.05831695337995322,0.07124630870344477,0.03219008338158259,0.05989272810485987,0.034483943504325675,0.071491843506996,,0.010701786805710288,-0.014534194997785754,-0.005118661207595495,0.11553065071913353,-0.03487960379019435
PTMA,0.04597856982377029,-0.08804671632090749,0.04570243628251479,-0.015562552227280242,-0.061331781150674024,0.05574951444327442,-0.06474397157052729,-0.014442712875331939,0.011468570474396632,-0.12230618460845184,0.059324072234179015,-0.02499693969837762,-0.008021372066606825,-0.09134596153053792
FASLG,0.05128952339070288,,,,,,,,,,,0.021414311622955578,,
CEACAM1,0.0066482504785307876,,-0.015340651358695086,-0.015218368430079189,-0.017889045330894138,,0.00439219963584213,,,,0.03209564331762612,-0.02802995316536699,,
PDAP1,0.036987483546777083,0.02224456405177714,0.03666112164847465,0.006872365249982991,-0.061921059681008556,-0.011093751706055425,0.06660572934191118,-0.02487151557712266,0.022667184401702928,0.007589623028940924,0.014518241040577605,0.025566191084378628,-0.009784382435905023,-0.03485323840304461
QDPR,0.043989647288754215,0.04478712790042662,0.0313777863775508,-0.0015189315926076585,0.11908455966141943,0.017696252333281197,-0.08583302687931292,-0.029627015307622684,0.022814655567052575,-0.04034055891960107,0.0012194604277402882,0.06196499381447976,-0.015724282745729148,0.09366330087840585
POMC,0.013163742155888149,-0.03103671819998953,-0.03635905729796136,0.02314495940013865,0.09030185882196078,0.02646469338217077,0.021123225364925193,-0.0014691805165199174,-0.054682737942490324,0.016791150268559055,0.009902818798918384,0.04333520459250853,-0.009752087785748372,-0.005880082122982614
CCL18,,0.02525934933181163,-0.01914368344913171,,,,,,-0.025964033064992134,,,,,
CCL17,,,,0.0035196617350562926,,,,-0.016503013619510867,,-0.018000601480174464,-0.03302642795411122,-0.018259925350784884,,
VEGFD,,-0.014089405358872742,-0.019143689528147843,0.11985008870100386,-0.017115225727794833,,0.01497800869609338,-0.012105160067877664,-0.030213835058108183,-0.019291802144994506,-0.02030433510176902,,,
TNFSF13,,,-0.014446442435333844,-0.010504576112429154,,0.006606610797929413,,,,,-0.03541657290039744,0.012794540661514222,-0.02096138787928327,
