,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.02963275365159837,,,,,,,,,,0.007117624293192829,,-0.012634045504164429,,
BMP1,0.006047845304997677,0.053838867657443064,-0.01934462995301358,0.07438440562569022,-0.07112950824450873,-0.0594557194771355,0.012551208607322428,0.11699354621196091,0.011293066081512221,0.0047597879887750025,0.0640715761790555,0.04274199480116223,-0.0657543059470341,-0.041091654277271975,0.02214537255671889,0.03927755381079043,-0.026834649789255406,0.0315016813910462,0.0410817097468214,-0.07851251004811467,-0.026769207101093873,0.08116001479119368
NDP,-0.04698300825942186,-0.04444961068732287,0.06082932051427144,-0.022906439184691707,-0.08723708502275253,-0.041523547464885235,0.04185490347937768,0.044862804630562754,-0.044673759377883086,0.027303178009962747,-0.01533540091662519,0.08956896402364825,-0.02522994748183701,-0.08578021782887178,0.05929448958552554,0.11263709428017284,0.10026927797375004,0.03890887377180382,-0.023861268964819903,0.019621140005489826,-0.05023898317895912,0.0371922933330193
TNFSF18,-0.020895700802674888,-0.02731100629854002,-0.042694414281649926,,,,-0.01682865425253817,0.009937444276798709,0.011860331844147904,,,,,0.027656166827272483,,,,-0.019682670234431,,-0.028449665070453625,-0.035685791582924904,
IL36G,,,,,,,,,,,,-0.03538216826489266,,,,,,,,,,
RTN4,-0.047483231609657846,0.11522135969060607,0.07615131244901215,0.025520114883363535,-0.0017449995525479693,-0.029143173018664405,-0.01226790450805714,-0.11642645811044669,0.004027065762235321,-0.021293679808431068,0.04271168181529349,-0.05160395651519529,0.1178422380799367,0.09023731544439878,-0.06485292178319547,-0.041530027583809075,-0.0512721533266882,-0.09048650695715876,0.02763505938291532,0.07018348080151358,0.014498284664156534,0.02683251188778493
HEBP1,-0.02597135614440677,-0.025690307573768313,-0.026339717753574944,0.0816823629929129,0.04926904951239372,0.016983747434370373,-0.009051308858464743,0.05236200914656768,-2.8974587425969295e-05,-0.02315882990858422,0.06731985912265313,0.03534880484788771,-0.004220266888408403,0.03187168913861806,0.05181103906465051,-0.010348475827815128,-0.015652187752276964,-0.04836510975144346,0.060470562094381355,0.04859889963426608,-0.06727938126772925,0.05099600683685715
WNT7B,-0.018408457935607934,0.10018185936564641,0.030249954190374042,-0.01546024071144375,0.04130462736764727,-0.0442755987326177,-0.04236886004386277,-0.07825596482030485,0.04008913506962806,-0.001883116690649252,,-0.020943749617248177,0.08031839667696196,,0.058318829718085746,0.03574170926413013,0.025955662432377336,0.08246700170107059,0.019947992339263927,0.04932593310786483,0.02483485779815149,-0.05901842098895562
PTMA,-0.01273780201696691,-0.03143610028777647,0.03151683362662283,0.019651480201707774,0.055799537266666636,-0.028375442237794056,0.041927174152531915,-0.10866811030963103,-0.10090111169180477,-0.010266604857005797,-0.009344853150999838,0.09360764576986393,0.012881172326994017,0.05935979020737557,-0.10144266997118838,-0.03264606126092628,0.013454846752673586,-0.08458733646815246,0.051616946321316436,-0.10383191402455802,-0.02432416330769341,-0.017122808348983266
FASLG,0.08651594828258367,,,,,,,,,,,,,,,,,,,-0.023924446766348504,,
