,UKF248,UKF259,UKF260,UKF269,UKF304,ZH1007nec,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.013231780592814936,,,,,,-0.02714725742165585,
BMP1,0.04833917035914206,-0.04093079342682286,-0.03288917559361833,0.0904584995778837,0.03886126532841564,0.10724767207851504,0.04470280532092106,0.030891119752036553,-0.03179113639422184,0.048408735737405895,0.03488018705054669
NDP,0.02758693282103637,-0.003687928819980119,-0.013658793028203298,0.051076058666852046,0.06774553788357053,0.1572433643407664,0.00819494477878666,0.028764373627759812,-0.018232438441813815,0.07219240441840245,0.03301242227674604
TNFSF18,-0.025186909379648993,,,-0.0004920964131561464,,,0.016213115545378198,,,-0.008951019072759053,-0.0461646463685903
RTN4,0.047705350725130345,0.006812868271036273,-0.04934901510199433,-0.10592295967098284,-0.06260532089072958,-0.07114474360611679,0.041968985230812814,-0.0674448770499182,0.05126806412243706,-0.046029983707233255,-0.04162286736685107
HEBP1,0.018232870046556215,0.018274646356209543,0.04352260902404894,0.02732411336757741,0.07286182002404878,-0.02397779698046852,0.025045317718568643,-0.07404142809070753,0.012375093586624098,0.07964746910273718,0.05014765963255013
WNT7B,0.021356945132010977,0.12054818636057209,0.03049297451946326,0.021769313732070108,,-0.031739799086490654,,-0.013530587133415355,-0.025084903444453032,-0.012638225950850684,0.01165949508942418
PTMA,0.006487801303795603,0.0277210341604087,-0.010738470907893186,-0.07816982332601151,0.09412863138379658,-0.041840993157986034,-0.013489032072903202,-0.0890979121679631,-0.03501667956536152,-0.062377759098431455,-0.021094701177202357
FASLG,,,,,,,,,,0.05058183167537724,
CEACAM1,-0.01603077755533847,-0.024171746430002493,0.0033364606549030245,-0.010359517699416912,,-0.04892175158613671,-0.05755819601102477,-0.040601930399479395,0.05611917457069149,-0.032759140977468786,
PDAP1,-0.004381360785093353,-0.0011505777164832471,-0.006957100445171846,0.06745946751380909,0.0772427624736274,0.07129173885672331,0.001764485355478288,0.04664148712227764,0.017534533589697365,0.03138031392246017,0.04061788899423765
QDPR,-0.02316317383469306,0.01893330220159699,-0.014776049605049848,-0.09674768588865511,0.09189313538048194,-0.050571545890391235,-0.042325875903208195,-0.14683236244517875,0.034298690992501824,0.057349072244814704,-0.0038009376786263364
POMC,0.1237440675919975,0.0010346876816574786,-0.048889675592222855,-0.03333071679337845,0.12655869920894106,-0.053172003641710694,0.0254594193680639,0.0387593775448049,-0.018351537922577484,0.03401817943204475,0.11560467852148021
CCL18,-0.020004895736640348,,,,0.06364395936790791,-0.04194784436223575,,-0.02878743621300311,-0.013247906348322947,,
CCL17,,-0.028169181283770946,,,,,,,,0.017014991291113064,
VEGFD,-0.020004902089131717,-0.031383578664935914,0.00776163081618198,0.01302185196349614,-0.0192035348248698,-0.021832775340232764,0.04701822512502408,,,,
TNFSF13,-0.015096341070001247,-0.019430470804652024,,,,,,,0.10033295140975618,0.07738737767733408,0.0338293644039046
WNT5A,0.02469558088567324,0.01165259729964709,0.11675774496762505,0.11784074373730548,-0.05383958518459346,-0.06269398483553258,0.03205698607453388,0.05129298095732149,0.04033184205649634,0.05891985528926217,-0.016267911702194583
CXCL8,0.010795133914286032,0.03418197321326381,-0.1478913470952026,0.005766992106548836,0.08228450979759507,1.9012729484366024e-05,-0.06814975324381832,-0.050684813840025586,-0.0651904810611763,-0.0626717828071186,-0.011757307724523335
GRN,0.01369458545470364,0.04303572639429149,0.04904497289245157,0.10031297101520228,0.10012250597854587,-0.012125261206393638,-0.025920267193212963,0.12874497169514248,0.008373698738758881,0.02939709756016771,0.006247550101043236
MIA,0.04717987368709408,-0.038889086554633606,-0.05679189456998141,0.0457945886533714,,-0.06711784596005675,-0.09064039776852353,-0.015698206604162348,0.005002104908511756,0.11480880941162375,0.10479558653916889
COL4A4,0.00462588448027756,-0.03547113287455559,0.06149479733829174,0.10428746096120677,,,-0.06127059117661655,0.039944404055256635,0.06278115411495346,0.035828771123776464,-0.01118589180989387
TAC1,-0.006363258381243784,0.009488693323021885,-0.03898487989803844,-0.07117643530219112,-0.0711281684659183,,,,0.034906994523801804,-0.012907036584367537,-0.05182926511958622
RARRES2,-0.02826500136349355,0.026519285345680196,-0.07704267389453623,0.08624436351317641,0.019683031870073375,-0.019108620935795798,0.020101726103347293,0.025643497652845564,-0.01517040965012036,-0.008489618941497551,0.051464824470372345
FGF7,,-0.032194808749872954,0.039105637590372486,-0.005493510448057107,0.010125492165518517,-0.01597827906466954,-0.035593579929806274,-0.03461307513045355,0.01571610676538294,-0.0024493083923667527,0.012782919652755293
HBEGF,-0.0050558478586533884,0.06446502806117163,-0.032253432850645795,0.02962865825612582,0.03133875276013683,-0.07273840434074338,-0.0080456735923877,0.06178234695416038,-0.018279976006229465,-0.05151245199606944,0.0280593713378232
CSF3,,0.03519686705272594,-0.10647543161929166,-0.0137949450580075,,,,,-0.010833599603997764,0.05080762690855288,0.09520864544341749
PI3,-0.021045993756442536,-0.0010266980925813626,-0.0011793059746287224,-0.01553329020888346,,-0.04714019011008218,,,-0.013167456776589186,-0.04881656265462832,-0.007961899549046575
PCSK1N,-0.0045951905870925056,-0.028878824476198182,0.055555376710749706,-0.010925219356948821,-0.11145394360825164,-0.03205252371280661,0.03308974441323083,0.011396614719611993,0.08891646716411188,0.11932044823107582,-0.010108146404220983
NTS,,,0.018636038461032726,-0.016955646889059532,0.013116186237567792,,,,0.006239603598799056,-0.021005469975189858,
SFRP1,-0.01785728552865193,-0.0245786995100879,-0.030849888438419508,0.056859659012488024,-0.0035852519458068523,0.015785895783959506,-0.03373408871927902,0.006982368913331612,0.04587394448764072,-0.03249959385643886,-0.039908226036136855
CXCL13,,,0.04601712247409674,,,,,,0.01577705093827921,,0.07092414414677982
MICA,0.049436636053370384,0.06978927155690756,-0.04731388985458426,0.06974423206367186,0.023490738247358235,0.012004864767515874,0.0621545160364451,0.027937724794717317,-0.02926461735155832,0.04031833414070948,0.016541794327353376
TG,-0.03150285759579241,-0.02652431087904928,0.004501738689679984,0.029053692642313944,,0.044623113265027374,-0.03673390060975246,-0.04687267659564238,-0.00020206988669286814,-0.013642716094535011,-0.011321070510109318
ADA,0.02747662071479329,0.02102873916753201,0.029430871702708257,0.04357930594706916,0.08877116562233392,0.05194560680898698,0.0847664045620271,0.023249916332228757,-0.05224156271998329,0.01850098052482631,0.0730041222717386
LAMC3,0.02746580288246612,-0.006656710364134816,0.003605443839009369,0.08710854164455069,0.07690030143223629,0.031525278509401664,-0.05141468139780913,0.15306130790044245,0.004321106531580948,0.03141412397093575,0.01972073961763034
CCL7,0.013961864195066264,0.039875480011547886,-0.013066248609878619,,,,,,,0.0650723079177699,0.004686223434867005
NGF,0.04081753285048819,-0.023931095871312893,-0.05762178024214628,,-0.017289361422017566,,-0.04794814007496877,0.13017658277763197,0.0255948725828053,0.020343207893511267,-0.021670128136896033
TNFSF15,,0.03175543876789973,0.0020322689715825057,,,,-0.08804963843451717,0.056916910642788664,0.05315207380525425,-0.03426960375797768,0.03154638589953026
HMGB1,-0.05563640332000337,0.013025937204470778,-0.005236095198413067,0.06374784916356108,0.014791004692472087,0.046436172969261606,-0.07164439866668369,0.03356373711697179,-0.02902782577566496,-0.008245312652140626,0.038176597279070246
ITGB3BP,0.03982191433089191,0.0008139150191210766,0.11782842987887274,0.0868935294886345,0.025175821510259815,-0.031574486291476085,-0.037580078876433456,0.039419539247865204,0.0509044244007365,0.030683388231182846,0.002470834606423114
AANAT,0.11427696034792313,0.01141607866920797,0.019292861352543777,0.017994413877050128,0.11228837290408739,0.01825921689917524,,-0.0299833215316337,,0.04318449566181862,-0.036050580987467946
RELN,0.004340166979175833,0.020180038874705684,0.008984692906278161,-0.016025829539045747,0.012766111567408958,,0.013565551972713918,,-0.025246866679277193,,-0.021264192304683113
IL15,0.09081222786224889,-0.009648337150444402,-0.013956483141335522,0.19139442919089233,0.1109324433558326,-0.032676503237831896,-0.008888658184810952,0.0030462094102060673,0.05111408236926396,-0.015735321247577448,0.05140121890626027
UTS2,,,,-0.011141924576168763,,0.04086372592503005,,,,,
BSG,-0.03271153898423694,0.061491891237906195,0.05604037655346259,0.015260412984006216,-0.07206834873417539,-0.11538642465497521,-0.019178826947753157,0.025010542938730805,0.019548495395004938,0.11585512864652696,-0.0020161637739525787
