,ZH916bulk
BMP1,-0.05837627982062025
NDP,-0.012717213510059791
TNFSF18,-0.0239530798013979
RTN4,0.1407115067512602
HEBP1,0.02654671745581894
WNT7B,-0.0520814321119936
PTMA,-0.026321597466889196
PDAP1,-0.07488315231036034
QDPR,0.08727325659186319
POMC,0.04828899489900267
TNFSF13,0.013900544879470374
WNT5A,-0.04029741207929377
CXCL8,-0.0020269386146913294
GRN,0.0047161217304401235
MIA,-0.047733457865557556
COL4A4,-0.029123240004149335
TAC1,0.036463020534139134
RARRES2,-0.05537841037973318
FGF7,-0.059591652163825594
HBEGF,0.029573589653325367
CSF3,-0.013680639092219995
PI3,-0.05573902930134816
PCSK1N,0.08925307247380006
SFRP1,-0.008960635903896777
CXCL13,-0.004415488816738811
MICA,-0.02274216347471862
TG,-0.027383276831277933
ADA,0.02774349190752867
LAMC3,0.03641068658664866
CCL7,-0.05187387880054909
NGF,-0.034718082803947455
TNFSF15,-0.03390440338060359
HMGB1,-0.016403798303105413
ITGB3BP,-0.028307496059381324
AANAT,-0.018705275816151484
RELN,0.01933839438010199
IL15,-0.021361252297767606
BSG,-0.08209606174998646
ADAMTS3,-0.046576157538504505
CD34,0.08419957352436402
PLAT,0.011503894369312076
CKLF,-0.021738660344192164
CD24,0.0013136723311099987
HSP90AA1,0.10226896136624242
BMP4,0.03996596289840071
SCGB3A1,-0.023711788438828485
IGFBP4,-0.0013157081609850526
RSPO4,-0.023586611871303984
LEFTY2,-0.04331743179877748
PF4,0.08920581238720268
ANGPTL2,0.026276034910991543
LRIG2,0.007205274053669064
ICOSLG,-0.0038936720310005363
WIF1,-0.0172805365054533
NPPC,0.0048269068888374175
LYZ,0.040766242686701454
EREG,-0.021272187018194222
SPTAN1,0.0801087054400407
LIPC,-0.02881335088135602
COL8A1,-0.02781979675604494
GSTM2,0.01864157061852532
SPX,-0.07039030433978122
MFGE8,-0.0026215562373973996
TGFA,0.002025214520314071
SLIT2,0.019965250462561455
PLTP,-0.0449967778825502
APOD,0.047834313395070695
B2M,0.030020373391953358
OMG,0.07025563176360484
CXCL3,-0.03233948075828681
CXCL10,0.010078835608935586
RSPO3,0.04981709194242139
NCAN,-0.03222765544996947
PRG4,-0.025717087767256185
ZG16B,-0.01576254371478044
TGM2,0.05253611209770113
VEGFC,-0.011771673150377821
WNT6,-0.016287436761728745
NRG4,-0.0244938067400347
PMCH,0.03862264629900049
COL9A1,-0.04951964748093539
GDF11,0.1046334145951084
IL24,-0.027383261107036004
SORBS1,0.039770811937811804
DLL1,-0.04740674595492501
TLN1,-0.03676547908994016
COL2A1,-0.02206760518032905
SHH,-0.04463043100766557
PON2,-0.1355489322549856
ICAM5,0.013809615392163875
HPX,-0.039089277479984766
SFRP2,-0.04798097940878819
CFC1,0.05004917068568476
CD70,-0.043028688678833145
HP,0.025795833201056696
CXCL2,0.020128178921113096
CCK,0.10501897462889824
SEMA6A,-0.13409249156629807
IRAK4,-0.0709055194290286
GSTP1,0.00869042568970647
VCAM1,-0.03916223865906648
NXPH3,0.014669740780803341
MTMR4,-0.008665275486792542
LAMC2,-0.0025707553428520385
IL10,-0.015146278253657277
SEMA4D,0.01977849204487743
TRH,-0.042015003979965417
SEMA6D,-0.14121137548740276
CEL,0.05676241764356719
PDCD1LG2,-0.025910690653425134
SPINT1,-0.03488115654680882
CTHRC1,0.021147214040730788
PODXL,-0.025892880529951343
JAM3,-0.05513216119484386
TGFB2,-0.02291518539758372
COL18A1,0.05084972052623998
NODAL,0.14022052655768213
INHBB,-0.023441933020412562
LCN1,-0.016544004973526486
ARF4,-0.10804302369045077
CXCL14,-0.07177301258195036
LIF,-0.03264788740203518
IL17B,-0.01870527205962024
MMP1,-0.016491536548026826
MATN1,-0.017046302257827012
ADAM28,0.02270665180348561
TCN2,0.006665520930268885
THPO,-0.025545433789984986
CUBN,0.008387465239870367
TIMP3,0.017342277791497024
PIGF,-0.040630410516004405
CRH,-0.03733409249563202
BDNF,-0.047630773022756645
CCL5,0.07908871426294534
GAD1,0.03524763788937736
COL14A1,0.025055346124550695
HLA-A,0.002323975081321604
FGF18,-0.02340149579951809
ADM,-0.06322546203829028
GNAI2,-0.09046677866115768
HDC,-0.01704629453771805
COL11A1,-0.06705663530409002
NUCB2,0.07813170769023269
FGF16,-0.01679690726248175
CXCL1,0.004063984329407296
VCAN,-0.020655675857276717
MMP7,-0.03773038818510629
PTPN6,-0.056256402186807074
PTGS2,0.028661506953727236
XCL1,0.08902982188045552
CD58,0.04441842624083964
TNFSF14,-0.049368040506037325
CNTN4,0.08633519964482142
MFNG,-0.049892926575099104
ICAM1,-0.10439827499661189
PROS1,-0.06753706694851393
CLCF1,-0.03676750721812389
PSAP,0.020645763368389018
EFEMP1,-0.07489595521202512
C1QTNF1,-0.12485056049493305
ALB,-0.024134492826092382
EFNA3,0.035519905423654234
DRAXIN,-0.00102833655006034
NPTX2,0.03778864593978923
FGF11,0.006413774832527106
CD59,-0.016027716124544
COL9A2,-0.02274563782640991
DLL3,-0.01724859023419757
FGF5,-0.010725611817004646
LIN7C,-0.002103155113164287
GDF7,0.055242249609742305
PSPN,-0.018969891501226455
ANGPT1,-0.023660617693457762
PNOC,0.042822881798410956
L1CAM,0.04570366635491424
APOA1,-0.017513723455754998
PSEN1,-0.011005854121257864
CALM2,0.08274424841651982
CLEC2B,0.002438247452616748
NTNG1,0.02180451158059252
LRIG1,-0.08726314259346259
CPAMD8,-0.018476744328174043
GHRL,-0.01628744237662389
NPY,0.15366714881873028
MMP2,-0.021891453877085118
PPY,-0.033075637001743936
ALKAL2,0.021460624629405872
CSF1,-0.13919372954557255
SEMA4C,0.011397183532223935
ICAM2,0.10549504722369635
SYTL3,0.03219117445533723
IL1A,-0.029277189495123365
PGF,0.0013718673031779501
LGALS8,0.020180063882670827
DKK3,0.1165747959055639
COL16A1,-0.08247724301487513
TPH1,0.04816184530065782
TNC,-0.09805053633936947
TNFSF9,-0.010811258922537082
CNTN2,0.09988567066978213
F7,0.06651036924894595
LUM,0.00206139494680483
BTC,-0.04652909678932616
APOC1,-0.05344873533117759
PKM,-0.06695969771755585
TNF,-0.01777485961117816
GNAS,0.07741179886085142
BMP8B,0.1017779186899861
LIPH,0.027410907309866415
CCL28,-0.006745838333815879
PTPN11,-0.02473596158668878
ADAM12,0.020567342022631996
EDN3,-0.00907082442160439
CCL2,-0.03604063831766181
DSCAM,-0.02144857105137312
ANG,0.03606454622154441
FBLN2,0.13922877670042388
VTN,-0.010712255907901546
VEGFA,-0.08259359019512794
F10,-0.023401504223180075
SERPINA1,-0.01557846641407128
VWF,0.10249741433318031
VASP,-0.09794852664288368
ADAM15,0.04128149116510685
WNT2,0.00818122942194175
CALCB,-0.027383274530167666
OLFM2,-0.006778998745855532
MFAP2,-0.061294467030557666
HLA-C,0.007481076226798604
THBS1,0.006167105814655402
HSPA4,0.05948290710187534
LMAN1,-0.042402255352843095
LYPD3,0.054398318057657415
APOE,0.007012798417712081
SOSTDC1,0.0584982115471355
ANXA1,-0.07952955052066858
WNT2B,0.030676137934115732
AMH,-0.033214858958506656
GDF10,-0.028657375204024872
EFNB3,0.029215667755289762
LTB,-0.020045301289445736
ANGPT2,0.08237635070564217
ADAM17,-0.08533611636698431
LRPAP1,0.008650594628650254
NID1,0.05234510932263809
MST1,-0.06721999380145754
DCN,0.07769068737112939
COL7A1,0.04583794259508062
CALR,-0.06795677039329037
PIGA,-0.07203265562852425
CD200,0.014631729315406641
GRP,-0.026561222658981514
CDH1,-0.009377296671273882
LPL,-0.12216715927553216
SEMA5A,-0.03297987464897338
SEMA7A,0.09932848221248207
SEMA4G,-0.010317323596580686
SEMA3B,0.03970687709682742
RPH3A,0.015002151646277589
JAG2,0.03614269714416243
CGN,-0.03156541793422595
GDF15,-0.013259766250296408
SEMA4F,0.03756315928788507
NXPH1,0.03316838988007648
ARF1,0.059048559416430155
EBI3,-0.01820256751497381
TIMP1,-0.06921867618836093
SEMA3C,0.0070012915925103435
GAS6,-0.001407117338455018
MEPE,-0.018013780202607584
SERPINE1,-0.07871946650932252
RSPO2,-0.08955475493881893
SHBG,-0.03208804515114735
LGALS3BP,-0.0747600463487242
LAMB1,-0.07423918706331954
SPTBN2,0.11387025460611394
COL1A2,0.0051831504948286105
DEFB1,0.024959619109496633
WNT11,-0.01981160268871305
LGALS1,-0.07005360497757172
BCAN,-0.06313394031800126
ANOS1,-0.05741840932580761
EDA,-0.0351195879216125
FGF22,-0.02754520789781319
SHANK1,0.04021907218263025
RAET1G,-0.018245548993517477
TGFB1,0.004756653612519464
MSTN,-0.02467176246357327
WNT4,-0.024560842413950016
TNFSF4,-0.008450781040965461
NTN1,-0.06649255152086782
CXCL12,0.04991021823322631
GNRH1,-0.025024377795338764
RIMS1,0.021615098240702638
FGF14,0.00020489443481261507
IGF1,-0.032286607981505185
TNFSF10,-0.02380757082534289
GDF5,0.09845537481231682
RGMA,0.006069235093518915
WNT16,-0.027706350295231386
CX3CL1,0.03838976454218706
FGF1,-0.01902284301466504
ALOX5AP,-0.03298176254204347
IL1RN,-0.0032573824081249783
NPW,-0.009695506721494329
CXCL9,0.06648585442315913
ANGPTL4,-0.04841162086087999
COL4A3,-0.021871161083812363
NRG3,0.05974639378041729
IL23A,-0.0244938060654019
COLQ,-0.01123950993717895
TNFSF12,-0.061899762973144576
DKK2,0.05829500373294478
FYN,-0.037772181931417265
ACE,0.0808867560633742
IL18,0.03458788363016977
PPBP,0.17831510923073304
CCL27,-0.03784141694229366
SERPING1,-0.04932153607241554
AZGP1,-0.016466394571398518
INHA,0.015684070261011592
SEMA3G,0.07043577212657962
COL6A1,-0.023098122408046668
FGF17,-0.031076075119864897
TNFSF8,-0.023027368443096007
FGF20,-0.017046306351828446
ICAM3,0.030962835719289632
LAMA4,0.024958463982456394
DLL4,0.021491405109750943
SEMA3A,-0.024513984157296487
RLN2,-0.02002615009369154
C5,0.014448178954311348
C1QA,-0.02739927117126545
COL9A3,-0.03887550077675614
DLK1,0.1133078982795038
HGF,0.05119433659094307
P4HB,-0.10670976470549502
ADCYAP1,-0.013196879738855322
GREM1,0.04258050651664921
EGF,-0.0075122767899335734
VEGFB,-0.031062087286231024
FARP2,-0.0978633782982126
LAMA2,0.006973540643308726
NRG1,-0.01846170692764765
SPINK1,-0.030841979202487057
EFEMP2,-0.1000061049840983
SELPLG,0.08284859266857691
HLA-E,0.08790551506740471
PTN,-0.10761963716559296
CD274,-0.03350615187379507
CD14,0.009658881688532793
SFTPD,-0.03994657040160811
SLIT1,0.05106856921352899
BST1,-0.007189316266043877
AGTRAP,-0.04264358119758405
LAMC1,-0.02103672748354924
COL6A3,-0.028840681615093653
FN1,0.03648134036636649
MIF,-0.06573204604818927
JAG1,0.002748955321870286
NID2,0.004756543062301369
EFNB1,0.006986377050725359
COL4A2,0.07318512491817139
SPP1,-0.08479217836612847
PODXL2,0.0798206660779683
