,UKF259,UKF260,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,,,,,,0.04011847483928491
BMP1,0.008561441364616692,0.001970098390122199,-0.007028007438770344,0.12980980555759197,0.010160530979374876,0.007694507259771018,-0.017094913607466733,0.09972097001390286,0.051023745045384115
NDP,0.001514823062097321,-0.05035440160311655,0.005992734745156711,-0.01379217696440611,0.09796649132604307,0.08008108433010797,0.015575895759558221,0.09028992676605842,0.059342728519828275
TNFSF18,,,,,,-0.024124894137643443,0.08725665499340314,,-0.04351357303106129
IL36G,,,,,-0.015082913624073224,,,,
RTN4,0.056641718201901566,0.003954206701620574,0.04032023969060565,-0.11962184938989011,-0.06746751862503535,-0.06070607877146821,0.04109161309819179,0.009398194826448592,-0.02228949024750422
HEBP1,0.0055386095422406195,0.004969222846825863,-0.005737368630287091,0.0328004991918729,0.013198080954607934,0.05449493478562568,0.0052460388405336554,-0.0032035752214000647,-0.0014625424154961827
WNT7B,1.836025978587226e-05,0.03393466284366935,-0.011407975841025096,-0.01721279467813693,0.06498387268248138,0.02907278791723013,,0.03397668716755527,-0.030849947300205315
PTMA,0.02641540056190782,0.013954667656376703,-0.007056855160608181,0.09836105888876732,-0.02085501365045434,0.035189297880980304,-0.043562686663283064,-0.08144295013654454,0.0052215955440527845
FASLG,,,,,,,,,0.0497793822377001
CEACAM1,-0.035103530369073134,-0.015610033961636021,,,,,-0.030603842339149787,0.02376007262541243,-0.003947045416897921
PDAP1,0.030802825708904934,0.02392830566840066,0.029337633701866705,0.08085892292894468,-0.00976903326610786,0.03040821359811999,0.08746317075943348,0.00576187814968792,-0.002409775361137466
QDPR,-0.02420945402620089,-0.02978441327975407,0.007871138007717588,0.07876131213051837,-0.004786292852248747,-0.04935844695738788,-0.03571538644318062,-0.10854855603613602,0.045125973485759883
POMC,0.06769497393022289,0.017317600911417336,0.12170034213850306,0.10352290406561486,0.009447623428937962,-0.06501580434233692,-0.05698795689292201,-0.0480428615772289,-0.004258462494611475
CCL18,,,,0.09509873720563061,,,,-0.02543532083708263,
CCL17,0.03539930070458274,,-0.01411987611661655,,0.08371119296353485,,,,0.11993304818601776
VEGFD,-0.022668181431893374,-0.014934796683115687,-0.010357099889208733,-0.014569180748358368,-0.01476702719535766,,0.002828247633077629,,
TNFSF13,-0.014034519205391543,,,,,,,,0.01747188337437063
WNT5A,-0.012825954336509524,0.032400338741232236,0.03302884208871199,0.044860578341223326,0.01819419310617315,0.0020586795413431902,-0.028704613120731075,0.09321310785760317,0.016516814348508168
CXCL8,-0.052723622342001425,-0.030034730041011443,-0.009644981758506086,0.004193497531786842,-0.005029505504716995,,-0.05824037972331049,-0.029101910916447624,-0.03145554430200979
GRN,0.06749400778057014,0.0626900122391978,-0.06747378424321111,0.015477256922953675,-0.0005461380634642915,0.05971172109581938,0.076356899776822,0.07403548323097228,0.007210350377804435
MIA,0.04926308825140801,0.012471992986591286,-0.01177901993904787,-0.0197584264906269,0.04632344620077401,-0.029677787746179424,0.03241208293262807,-0.01799988849666165,0.050762407429742834
COL4A4,-0.03009837485377668,0.044423891371070674,0.009157938740090991,,-0.019618147163080645,,-0.032577732492458815,0.11904896951092327,-0.05130381858166874
TAC1,0.03899016023935927,-0.05625949296543057,0.00029886966741767896,,-0.034767462503046694,,,,0.005604215708822141
RARRES2,0.02441714972256342,-0.01757192045001345,-0.01336646195485356,-0.10318802447002616,0.013317160254578521,-0.035512364753938666,-0.11823413498920758,-0.0064732476656282276,0.003184088027539755
FGF7,-0.0027118746303931925,-0.02859579219151836,0.00024199018693243175,-0.01947571957745157,0.06626763384682864,-0.028054382272717577,0.05883800588394654,0.035608817394442625,0.014385791594118123
HBEGF,-0.024910167014991023,-0.03647239503683849,-0.026598025581229107,0.10390294621114005,0.031684346486315074,0.0892690326597569,0.03978710696758099,0.032784665981156695,0.01601902559022741
CSF3,-0.012388536769705633,-0.04975880703507997,,0.013360839484472167,,,,,-0.0016705506244615378
PI3,-0.04185021995926527,-0.010649630790199753,,,,,,,-0.00895845686844429
PCSK1N,0.025412655122119657,0.07726472355382628,-0.03576022544733951,-0.04294746738493367,-0.02382485380878602,-0.00031310776275849614,0.018671585007798946,-0.06083924459566997,0.07390320641302417
NTS,,-0.0348829667005941,0.02208999108352149,,,,,,-0.006092013804417518
SFRP1,0.01585442818060996,-0.017038016654719716,-0.014119876258815299,0.06147688544403465,0.006234210191983961,-0.1211675144374857,0.057533802386295414,0.05847263609648607,-0.030882159610764376
CXCL13,,-0.016884892090239363,,0.1070215100023076,,,,,
MICA,-0.0072497072804435115,-0.04785026978873454,0.039035363689450556,-0.013510902739805913,0.07414505112509782,0.1154272623042945,-0.008618558215852843,-0.00012886243363122266,0.03417522390601169
TG,-0.019158359783678924,0.1290375056896105,0.0714964389060166,0.07073270223409131,0.04437067925425338,-0.030917178329713888,-0.05247347475183141,0.11551435401801641,0.030603945469303038
ADA,0.04163111782030353,0.001217892354305672,0.05267050111250432,0.11557693913655086,0.028470823679377727,-0.0478854070908914,0.06727896501876637,0.01146594141776417,0.016454432646223593
LAMC3,-0.041096306712288096,-0.05447921007371715,0.005887250563959518,0.0553902881408904,0.10348446494891977,0.1581327246818234,0.07277274168487813,0.08421293668664054,8.142257852656077e-05
CCL7,-0.013851463513726984,-0.02238624950287652,,,,,,,0.05444594749099263
NGF,-0.031737240739836164,0.041359713474594016,,0.08250134169905611,,,-0.04638764692630083,-0.037798492626931045,-0.03245497079783402
TNFSF15,-0.015424282088937223,-0.01657470316592502,,-0.013938493710514576,,-0.0284978119612114,0.07893619342820063,-0.038173281747756055,-0.05216193885941457
HMGB1,0.017275612834228373,-0.0010946514630720925,-0.05734258071847572,0.10532758247514691,0.06482967488444549,-0.03307247577005017,0.00504415714367336,-0.01058876562729996,0.03082107101801577
ITGB3BP,-0.04748968171041192,-0.02501278470274405,0.034101502879436175,0.035821292176828536,0.044143562201685624,0.03317761311795955,0.002016312914244051,0.08621530450375915,0.024412494716235883
AANAT,-0.014034520703269064,0.03300851048596197,-0.011779020594227035,,0.05405371788327978,,,-0.026491952853169784,-0.023671593665012657
RELN,0.07271046775710027,-0.009718304925343917,-0.016654990347789268,,0.012446646435908407,,0.15644337762920257,,
IL15,-0.016308922602089847,-0.05660748782076544,0.08951826604537812,-0.020717227121971965,-0.017141912681813906,0.0031607069096655344,0.18220400854161375,0.03489326195638401,-0.006592346719542948
UTS2,,,,,,0.01903306911824982,,,
BSG,-0.07520432029644636,0.048650580169896804,-0.0004624602646806242,0.0015271238517646395,0.0298408828286717,-0.025381315694989522,-0.0015657511345993451,0.03381345974996925,0.029279805522572894
ADAMTS3,-0.0276952560096173,-0.05447395089756414,0.05919645681565831,0.05710737108890549,-0.02848432645611824,-0.01718076037516865,,-0.03172141654907499,0.027787409834681767
