,UKF248,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.017104438156589494,
BMP1,-0.0222548455137064,-0.007102591715896094,-0.00018462012172026427,0.007008547751933154,-0.037064770351385376
NDP,-0.005282503947424413,-0.07490630657084116,-0.022423919537055505,0.02679132089530233,0.024636619030143556
TNFSF18,0.060816155716457244,-0.04352264992188198,,0.013971051981210831,-0.028558123442180245
RTN4,0.0011373327160299092,-0.020360523781114193,-0.07100964298765983,-0.025867659786371743,-0.05452572052705996
HEBP1,0.051506303692135484,-0.021789887501209984,0.05225500469359203,-0.007717947739079372,0.0273517916421388
WNT7B,-0.036746419103247,,-0.00510198746848385,0.007583172076508422,0.01486342146729278
PTMA,-0.037021944792357604,0.0486107567005846,-0.027481402492481252,-0.03377143780835051,0.04765556061865227
FASLG,,,,-0.014834673377946675,
CEACAM1,-0.015803933934479673,-0.03060380931428983,-0.01821211121809298,-0.02064026918848639,
PDAP1,-0.0024225388715264583,0.035717188938474045,0.025218413476976398,0.044307662087182835,-0.02891510952313972
QDPR,-0.025085281509113502,0.003443437589913795,0.049007737676969636,0.031210727705610876,0.006949773263419271
POMC,-0.037457088752052885,-0.00579201656630212,-0.013356814083235627,0.01829177833610182,0.01868076289615246
CCL18,0.014003761051858375,,-0.0065854517400865875,,
CCL17,,,-0.01292061141827593,-0.013445965192248017,
VEGFD,-0.019721822593507802,0.004337075549137189,,,
TNFSF13,0.07578235264080227,,-0.024792712606062355,-0.0026553354809262498,0.003927377852075823
WNT5A,0.00911713012605458,-0.14616106064457635,0.017245517548221692,0.0033044543911743595,-0.019096726895989142
CXCL8,-0.0051366942369441785,-0.024752610381549207,-0.00048168752124861443,-0.02688741992315852,0.043369323941549194
GRN,0.05383044734457215,-0.0018199108400139838,0.010079977294243148,0.035538750225368294,-0.08203669047498838
MIA,-0.03929267492268909,0.06846401413488445,0.009958858489868347,-0.016023530811199584,0.0765784071511165
COL4A4,-0.023685741178276907,-0.03257769733755763,0.06875528720393742,0.04829006889241238,0.12652263973856576
TAC1,-0.055614911564000155,,,-0.01767608848849815,-0.10254261395518253
RARRES2,0.0018323087623253406,-0.012409478049306977,0.01713264825784101,-0.0064512659748383215,0.034645379644097175
FGF7,,0.026099897109899163,-0.03167973627779153,0.001901614522988103,0.0313124343649166
HBEGF,0.08631314463182926,0.0709237851979696,-0.010453196354407893,0.018962828080957485,0.030972957913246484
CSF3,,,0.020815431251801776,-0.01415652706248091,-0.009772474361322309
PI3,-0.020748182286487157,,0.02249060638921483,-0.03075743026171358,0.02768278844511411
PCSK1N,-9.72049031121118e-05,0.0467138689810172,-0.04294835427398217,0.016682162811524674,-0.06482687331860806
NTS,,,-0.03014244145275745,0.018269267720640647,
SFRP1,-0.014951405422631759,0.0844204080487407,-0.01409422823783713,-0.020476738574272818,0.027119639705034986
CXCL13,,,0.06254252971167111,,-0.029625800101149954
MICA,-0.012270016301227376,0.0575013769494841,0.04222001927651828,0.05680417248675419,0.0114913989405072
TG,-0.031057076206851067,-0.03831267049026717,-0.01716826223689758,0.09520712830555271,-0.03264778502317649
ADA,0.005786050027816209,0.02341637755521766,0.003131947347452439,-0.001099388573041724,0.10845725401010246
LAMC3,0.11116828927924703,0.01340633591684442,0.029958237298418205,0.0007449157910801921,-0.02438896482567009
CCL7,-0.012544741241426906,,0.07065899555594733,-0.014834668102913891,0.0005483592610300868
NGF,-0.021538697751142904,0.012446316010886055,-0.022365045857686613,0.02259521143501976,0.00906289982120188
TNFSF15,,0.11998059081003415,0.02772204732985633,-0.01851085975932673,-0.028053073034225457
HMGB1,-0.034567500626030194,0.037711690458822104,0.06337067739900921,-0.05486715731239348,-0.040006818387120786
ITGB3BP,0.06932990698569524,0.01468828392248705,-0.013850123089600697,0.009269488526572046,0.00854958173138324
AANAT,-0.018200510992181305,,0.008859738686456498,-0.015695697490855604,-0.02230141510848671
RELN,-0.03929266443214368,-0.011541185425049378,,,-0.02451490367943808
IL15,-0.0396661196637348,0.09812740934057235,-0.01599628173212337,0.07865686644228645,0.057079390979554806
UTS2,,,-0.014467023637963573,,
BSG,0.014358761059869959,-0.035680265699840986,0.019344419475246913,0.021013932429698706,-0.011154734025208314
ADAMTS3,0.08179609972416949,,-0.0511179756145386,-0.04002640110659301,-0.06783860174853977
CD34,0.028620539090520158,-0.03780337502588099,-0.013880500592014476,0.007065725952345475,-0.026391367148534586
PLAT,0.025331072043397566,0.11176978989391143,-0.06907898085901995,0.015093399179483215,-0.035943678790664416
NTF3,,,-0.004692995320276708,,
LTA,,,,-0.02112404342431002,
CKLF,0.017941811128303228,0.03584917843589175,0.03384204446240381,-0.0011012021238543035,0.06873856177722854
CD24,0.04075874315455618,-0.05114332549837869,0.005758749728209227,0.0206742247331633,-0.039998107888865146
HSP90AA1,-0.027185959353779474,-0.07058253711629252,-0.062268422000353284,-0.07472677848686486,-0.0918326991976615
BMP4,-0.04365324807557484,0.07583930160481639,0.01506954232619036,0.08781342026475719,-0.0049189897501171545
SCGB3A1,-0.012544739986969542,-0.02228086622100623,0.10295026056548555,-0.004915616371826137,0.011181297532796524
IGFBP4,0.05552778513399951,-0.003543163505901121,0.029776170066303346,0.009660088564226833,-0.0847348552517765
RSPO4,,0.08296359631630465,,0.018228933705720735,-0.028121201072614586
LEFTY2,0.019855846895058416,,-0.016438707627518374,-0.0033599852518479455,0.06730936107050342
PF4,-0.01301315401116035,,,-0.021124038536049685,-0.022028928029594545
ANGPTL2,0.02662189852783459,0.012927572196905636,0.0012220285721844268,-0.0009356916196862777,-0.04330192932945088
LRIG2,0.11272985235996517,0.07302143953137644,-0.021958107907533254,0.06874241525236327,-0.013956218112084539
ICOSLG,-0.013087415504046077,-0.02193336777610293,0.029049890608872843,0.006521875488392913,-0.012767387016187879
WIF1,-0.02341505843496814,,,,-0.027767085020810454
NPPC,-0.029608431994637984,0.011542155124443952,-0.02890848016805823,,-0.052940602455026485
LYZ,0.01781246718704522,-0.0045675076205292835,0.013205749423196257,0.02129388946567841,-0.05265833988174816
EREG,,,-0.039307514809486965,-0.018324417616237515,-0.0044346255692320705
SPTAN1,0.025292390168791885,-0.021678329489541657,-0.026129301451260106,-0.0060680781280646,-0.10374512995134662
LIPC,0.06836896534815057,-0.06474995501268757,,0.0058007266354903895,-0.005343248928652947
COL8A1,-0.03823707960904826,0.0008120094726900317,0.01873520706935473,0.05271820027917853,0.061017283283911504
GSTM2,0.08241632538549072,-0.06793274511510948,0.06249523365628953,-0.007813003218297672,-0.018361626186118616
SPX,-0.02576671813391578,,0.024486006699932356,0.010664784161611717,-0.012186171223935312
MFGE8,0.030393012103769174,0.06316375574239977,-0.012119600762208351,-0.006037279652940481,-0.029283383823373036
TGFA,-0.06343216444594468,0.025887676891538796,0.028955848375882266,0.07267171342954479,-0.026469511709578654
SLIT2,-0.014753644738548278,-0.006586098607137235,-0.0030173464210549042,0.06752680486436957,0.02642018745623787
PLTP,0.049675832881353486,-0.09264706264163301,0.011096477352878732,-0.057474824495027145,-0.0464903816209639
APOD,0.001913046924436599,0.007381251684121225,-0.0012926361524798352,-0.03959250965412993,-0.08617773837011143
B2M,0.043293994111681784,0.055425912254480396,0.08624442175665877,-0.04614571105555282,0.015897524849385662
OMG,0.003738485497920231,-0.07670567221557652,0.031980935306140636,0.014472495347286164,-0.03607842995351933
CXCL3,-0.03213559204693243,,0.004764675040980469,0.024991075440209527,0.028668636325588675
CXCL10,-0.0015569275812385532,0.027714764944058928,0.024045756192861093,0.06190971739413637,0.017274606641343178
RSPO3,-0.017040435336955165,,0.02576877981871307,-0.015054287346652744,-0.06718362149589685
CORT,-0.027541722685408186,,0.11250148786738916,,
NCAN,0.00026967125044955755,-0.026319264585086505,-0.0037351449656662667,-0.05125808571040798,-0.10952386592808419
PRG4,-7.682446455492112e-05,,-0.021210053891472635,0.12955803346964964,-0.030661266656316334
ZG16B,-0.017395768117695134,,,-0.018771076180660297,-0.018792934891954546
TGM2,0.03532698213598719,-0.07838461489394609,0.023402392954265855,0.029648270611164554,-0.0067112130682300195
VEGFC,0.0325452371326513,0.09433141159876982,0.009756979689599671,-8.323085517716563e-05,0.04199762825732857
WNT6,0.06425448620636973,,0.031233941137430863,-0.02266993238122863,-0.019418740030708228
NRG4,0.01812830826320449,-0.032577661401476485,,-0.015054289033879188,-0.029202806580638327
PMCH,-0.013316776327927908,,0.0937861046953782,-0.007694017241081288,0.05093514796355277
COL9A1,0.0450346285236251,-0.017392158035712372,-0.03697718438157279,0.04781813889880764,0.0206309611579964
GDF11,0.01542489999299189,-0.014212054661732035,0.027952995518538533,0.00528095498091994,-0.06218265377855624
RAET1E,,,,-0.016514448106556587,
IL24,,,-0.01467532566071718,,0.06089606829910871
SORBS1,0.04445914231745323,-0.02108956511076126,-0.011190704447924244,-0.03862907445956743,-0.0026561865485288418
DLL1,0.006904980843938977,-0.002497434270814594,-0.010446430650425454,-0.00875835209293038,0.01605993232408137
TLN1,0.08769940157748149,-0.1049064352311579,0.017048772930042137,-0.004230174273401856,-0.01400604891855267
COL2A1,-0.010930395627621077,,0.07001153721624342,0.03598622942860274,-0.0263101612835755
SHH,,,-0.031177307047003142,0.05571832795345371,0.01256135710340065
PON2,0.009575508482032546,-0.04030288398684847,0.04502336351044129,0.0035122510571396664,0.03558776629791471
ICAM5,0.104804154520528,,0.009860977047950014,0.07291036856277483,0.003820897882122359
HPX,-0.009715436251644888,0.11442919945999964,-0.02527961988325486,0.015458710128689247,0.05252118776809922
SFRP2,-0.01667826524365579,,0.015386879774828754,-0.035328239796572423,-0.04221210989421483
CFC1,,,,,-0.02583988898032189
CD70,0.0876216539554141,0.12258646569694338,0.012929409913540744,-0.022968038024178718,-0.011343775482637142
HP,0.041203153561961414,-0.0005854118793879455,0.042783168195062934,-0.022519569842536905,0.006936803156153043
CXCL2,-0.029407271276155816,-0.03209422881220494,0.05375500493253393,-0.01283832649040781,-0.024344845252074244
NPPB,0.026828906561264777,,0.08270883785214306,-0.015270899625382583,
CCK,0.011209034633945006,,-0.007099134663498135,-0.01981047927604755,-0.01169341013344769
SEMA6A,-0.04159906411623136,-0.06954893444635747,0.008877594848032005,-0.013811166569808596,-0.0504429726670286
IRAK4,-0.04824765353699285,0.09088952906493337,0.04046299007929389,0.005251108240719198,0.04396231137089446
GSTP1,0.023039264935788964,0.06670472322175285,0.019333647095966328,0.057086968625165165,0.009500363208025678
VCAM1,-0.029346246329480227,0.00884510465370384,0.006036773655709334,0.018544407386661823,-0.04182211732954952
NXPH3,-0.00878819237070422,0.010302829135317325,-0.0007393561856664669,0.0720345051391594,-0.00018063307850027475
MTMR4,0.0158279147479923,0.055248102464325266,-0.024474528242318886,0.06998270478240609,0.005573715206981401
LAMC2,0.014136641837181012,-0.004244300917175638,-0.018041974179606204,-0.015248492235142273,-0.02812121655326011
IL10,0.02354613326267171,0.012667636678726885,-0.021686614535011833,0.04673038066105258,-0.037365553605911095
SEMA4D,-0.019324142588643074,0.05290118062453513,-0.03718552606580093,0.04072285734561223,0.05793596171545675
TRH,-0.008314647214696073,,0.044063515493804876,-0.017104431669467773,-0.04859705913428179
SEMA6D,0.005763562484708162,-0.03668925682839589,0.015402545239168775,0.03046194840422141,0.033091988657701306
CEL,,0.07738071895976781,-0.022223537525255813,-0.030841149486369682,-0.030043683325161195
PDCD1LG2,0.03911756587021581,0.006507103039819081,-0.03767943726162575,-0.0030524119619089927,0.06022838777689874
SPINT1,-0.032135600540969436,0.07264795417395908,0.03149775084063583,0.07004328667913365,0.0722074452635798
CTHRC1,0.04894936759600268,0.006266639287116617,0.03152192228270779,-0.028290862973688317,-0.025916107099143822
PODXL,0.048691544753121714,0.07360527918097941,0.05729199547933254,-0.02428158086770501,-0.009468556530179096
JAM3,0.025090362720377825,-0.002494472318684344,-0.004987484653767051,0.00044814341754505763,-0.05809792785831329
TGFB2,0.019638915453192646,0.017448872219599936,-0.01971100508005505,0.05138736376892561,0.024168330665915692
COL18A1,0.0468770119886127,-0.024966050023539403,-0.020418006866982443,0.0022133288326485045,-0.0434544271946456
NODAL,-0.026100474436664876,-0.040635072499000224,0.056134211750079085,-0.023408970207915117,0.007522519050437868
INHBB,0.014728878792168675,0.005691751151592297,0.006341052343750998,0.012355238861526037,-0.04504564106355981
LCN1,0.013977390153470206,,0.053542952941460845,0.030064381915757846,-0.019724634167270647
ARF4,0.044779650886020504,0.04489231238293432,0.017020671021568057,0.009061697787335189,0.08928116741825748
CXCL14,-0.04524915691294671,0.07296054857469136,0.006160326779418809,0.015426373021059842,0.024468347529046485
LIF,0.017614721950408377,0.10891468320284355,-0.03756066315804593,0.02769747995841905,-0.026284887744072064
IL17B,,0.05758295324062087,-0.020306183318251295,-0.0292169388465776,-0.02230141062975229
MMP1,-0.01751276220869733,,-0.032082188764302036,-0.0010102623163921677,-0.030322123367670623
MATN1,-0.016678267516469773,-0.005299452354143902,-0.02936187621284591,0.01822554099226716,-0.020323499447587927
ADAM28,0.007752645447677644,0.046227245174772946,0.07410453438642844,0.029998079733510333,0.004484341754177473
