,UKF248,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
BMP1,-0.019261517745586484,-0.05954130776421476,-0.023446359611215738,-0.05423940121108536,0.01074614476672666,-0.07334544550596146,-0.1292564334289831,-0.03918930751673371,-0.008164038211476009,-0.08132138488416268,-0.03237077448607472,0.06078208198865988
NDP,-0.024107189364310496,0.048550691964094145,0.06626578565424207,-0.012216295206373323,-0.0037596731287261958,-0.016292339808849678,0.003553261647164729,-0.004041736394613863,0.0353125488284355,0.009230483322207734,0.048973829578749024,0.009590670146647157
TNFSF18,-0.010575868662075914,,-0.022612233384490962,-0.014105909426731312,,,,,,,-0.03062211659500727,
IL36G,,,,,,,-0.020812434734701648,,,,,
RTN4,0.04354527554781143,0.04429694400960094,-0.03466703245891592,0.015344592258983868,-0.005751317808592507,0.20094365120617785,0.21057064828023003,-0.04119639108268102,-2.4988776253838833e-06,0.1373574362388238,0.06141710308280807,0.0609807032612449
HEBP1,0.02504602124240184,-0.017463768007852657,-0.02573818111333195,-0.034017961364998496,-0.031101349573492098,-0.12669766743561797,0.02232713578343068,0.06618852142990221,0.07691725083429521,0.030655436629389746,-0.04213163008380182,-0.019417981603581963
WNT7B,0.06254118804059679,0.00039938301632272747,-0.035175248231963024,-0.009218731478911479,-0.016779665496138175,,0.09483708897261756,0.09839267794617015,0.05450884454174215,0.06760103389616652,0.04548930174150466,0.006604407602187098
PTMA,-0.0024195203930045756,-0.02648571075148686,0.035377262035222796,-0.0439241139280899,-0.04039579485468682,-0.19618491501086044,-0.21067924043311476,-0.033171160043532884,-0.014230064902671856,-0.04805535715638603,-0.07922779908985743,-0.04629282760501243
CEACAM1,-0.01580393568753256,-0.017160922346215746,,-0.022185235020494153,,,,0.1637253178217221,0.0037295363751210955,-0.02145620558522139,,
PDAP1,-0.029244031179922195,-0.037381336702627416,-0.03143249437962953,0.02010845197760222,0.005753757924318889,-0.006998119728656528,-0.09899679746527755,-0.05796550761113262,-0.04873579172216892,-0.020017973615955913,0.018316339421962983,0.012003515082180453
QDPR,0.008825571934628965,0.06261603719782144,0.002672101950811269,0.02681118679055556,6.352123636860124e-05,-0.17948431029966525,0.06218640279432469,0.05150292256820407,0.09837460863016598,0.05271746250582643,0.06655033597867152,0.0350058464319871
POMC,0.03789397420031888,0.043635121297231905,0.05478968290546781,-0.01636738182973719,0.009995106471081067,-0.05066744946700582,0.015180253002891862,0.07734028822682396,0.025679667006554205,0.03741650746351051,-0.002027212953537045,0.04243723303752487
CCL18,-0.019721818518551773,,,,,-0.07305899587293072,,-0.018746226130815582,-0.004707119692011498,-0.0429634130784945,,
CCL17,,,,-0.01759281539134277,-0.006862698817475038,,-0.019012749994971736,-0.018400341960752773,0.01418820103022922,,,
VEGFD,-0.019721824781152864,0.07099123762390835,,-0.018743656778677235,0.061134661790321884,0.07435148145034802,-0.020376553057919546,,-0.027048450478086038,,,
TNFSF13,-0.01488272184950288,,0.045323516711816704,,,,,-0.022214675599748147,0.12814038051013849,-0.0467495525328488,0.04649666748090366,
