,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01978136972153621,,,,,,,,,-0.01799641477845912,-0.02056658089548616,
BMP1,0.007635885168935736,0.028991522277097392,-0.013378948446951835,0.0182370397744036,-0.013836695474079556,0.055987149733828186,0.0876134636236979,-0.058099256934568244,0.01589583405006197,0.08478697492520242,-0.002167631696572437,-0.012090056140173598,0.030920637486557347,0.02252756704850395,-0.01260354957293607,0.04534712895622158,0.059811048312801804,0.02855756852370966
NDP,0.04868479591217923,0.054705030467748425,-0.0175541700854309,0.020722132227895877,0.07314653425285371,0.02043127588642603,0.09236130335835731,-0.03161319823144774,-0.02532132526183079,-0.005218192490208736,-0.0041419430385854486,-0.04194659558665979,-0.07223837986262972,-0.01517463796202506,0.056860529770395435,0.00012848581498305645,0.0004427148299621427,0.005233607469290684
TNFSF18,0.237383607819669,0.21572363256994662,-0.011403712015308175,,,-0.013633041828051534,-0.003562868353283956,-0.01787456464112941,,,,-0.026328742139711713,,,,-0.018559384905649724,-0.03469214504344913,0.016332969564095867
RTN4,-0.03231222742565665,-0.052950132454580925,0.0584167665715784,-0.031931772374868876,0.025041141376239997,-0.007847809490606804,-0.15947338608214343,0.008923506380403486,-0.033612166898222225,-0.04384105967492501,-0.043317948217105225,-0.1013023248480709,0.09791671782166435,-0.0008144894354457108,0.03449246590528271,0.00010490462727073087,-0.024981737827458533,-0.0748843330323723
HEBP1,0.03519896436008769,-0.01777372684671792,0.00205515304123838,0.029645723654298652,0.004558574301629155,0.056361202178206574,0.06291531984404461,-0.007915531837247745,-0.022512126708634395,0.0014339324402250584,0.041941812405744246,-0.03181561130162746,0.01466733767625449,-0.01994605097443853,0.03125655169082726,0.08582067489076203,0.053198715086919424,0.04595355806074474
WNT7B,0.17554510604831186,0.014269724014576962,0.03709354118778382,-0.013525114308197157,-0.004438280961504354,0.056226319458191155,-0.05392099137334087,-0.016929098205445556,-0.018684934215639933,0.027630115990426942,0.06992888708611877,,-0.0344772725520306,0.004958033340602846,-0.03771680075318857,-0.01113507096058242,0.12256207377786155,-0.004086203358803668
PTMA,0.052522194775787,-0.055455441349358606,0.02281759719684392,0.005477817208291487,-0.01666891026088976,0.09012701636037004,-0.09208478390452,0.02031652859605835,0.06539847623358314,0.12481458575149759,-0.0323351271249667,0.06798863117249969,0.03263178645441614,-0.06549754807270435,-0.04964751628693683,-0.01674567177291097,-0.009006043107889272,0.05412922452510426
FASLG,0.005446686181673079,,,,,,,,,,,,,,,,0.098027741719993,
CEACAM1,-0.026188214702752358,,0.047642013277898826,-0.004860701740483125,-0.020562806326890726,,0.07673099052469182,0.012110718084980144,,,-0.04449316836776449,0.07837923907138432,0.017277180244360646,-0.025323615293038244,-0.018272034012226886,-0.02666789848340883,-0.02481810639340275,
