,ZH8812bulk,ZH916T1
IGFL3,-0.016603067037719556,-0.016190494693598446
BMP1,0.015631716818061702,0.05213177144275554
NDP,-0.04701072873129147,-0.042659083877256525
TNFSF18,-0.017122449974656923,0.09605114529152761
RTN4,0.006237614278479126,0.019239275872942566
HEBP1,0.03305524048402844,-0.03592536605269745
WNT7B,-0.03580442806716798,0.05368983012341455
PTMA,0.0005191770841517257,0.06292946902025741
FASLG,,-0.014042010524290853
CEACAM1,0.01643462731297672,-0.019537395248606326
PDAP1,0.017044083617261584,-0.0046980951425580056
QDPR,-0.05169122879973638,-0.011262870171531995
POMC,-0.03178198515164899,-0.01929494539547149
CCL17,-0.021890184812748688,-0.012727505346998673
VEGFD,-0.00042976404264188716,
TNFSF13,-0.023474392304886797,0.01857077082648375
WNT5A,-0.06650423984874874,0.04702483746958499
CXCL8,0.07274443689772793,-0.028443064466535137
GRN,-0.0008913273150074729,0.027510321102398223
MIA,-0.03956498869516014,-0.03343110915107953
COL4A4,-0.033720060210382964,0.09335845672709943
TAC1,,-0.016731599965845886
RARRES2,0.02493072922481578,0.051504651336161326
FGF7,-0.024478230316529855,0.0811952365137282
HBEGF,0.07237783090995999,0.0005219582430733694
CSF3,,-0.013400099680946262
PI3,-0.01859928220691496,0.02989436433147986
PCSK1N,-0.03522248938532775,-0.04774103157455526
NTS,,-0.01984372037357449
SFRP1,-0.04642236665782355,0.13026393227681346
MICA,-0.028443893911294073,-0.0005766312443953771
TG,,-0.009706450128047713
ADA,-0.040477522929993355,0.11419570950043957
LAMC3,-0.017845921018880512,0.022725470976743878
CCL7,,-0.014042005531119518
NGF,,0.03595214615989469
TNFSF15,,-0.02454769870142523
HMGB1,-0.08728217141357289,-0.04361726871298139
ITGB3BP,0.10578159171320627,0.018571721659804856
AANAT,-0.027077456330752765,-0.014857027434141341
RELN,0.05902096916135478,
IL15,0.028786244410681557,-0.03744527838831497
BSG,0.05445168403136461,-0.059153733753566314
ADAMTS3,0.0542983416035959,-0.005867747198856465
CD34,-0.030800508359779908,0.029272630074923946
PLAT,-0.028200790050586566,0.028493201556293982
LTA,,0.04271607798295722
CKLF,0.0033609026745504617,-0.0656800086054481
CD24,-0.06692913009541472,-0.04066824538684674
HSP90AA1,-0.02674062175556604,0.046754221290580066
BMP4,-0.047890403787701354,-0.052634531631793664
SCGB3A1,,0.028918982144711745
IGFBP4,-0.010800030915500353,0.0598620704078867
RSPO4,,-0.026371733923713465
LEFTY2,-0.04241043820665267,0.043195223834145785
PF4,,-0.01999531529151821
ANGPTL2,0.04036072420432,0.02871942012782623
LRIG2,-0.031026194714027816,0.004498042616031715
ICOSLG,-0.016501784658186032,0.027472626579900992
NPPC,-0.02568860922691684,
LYZ,0.0030765098909582727,-0.01721353962582113
EREG,,-0.030197557733721698
SPTAN1,-0.020597844187288657,0.00803784588271134
LIPC,0.0037598724431573342,-0.025281646709790107
COL8A1,0.036870383546358375,-0.0018213140144865427
GSTM2,-0.0015003787496773895,-0.04405093210253704
SPX,-0.015366027499063671,-0.043985340444968477
MFGE8,0.013598653232776708,-0.014643093952803497
TGFA,0.03884970336673193,0.014264905917162011
SLIT2,-0.03819265389018663,0.03122307251136777
PLTP,0.051165669984415095,-0.0008648327571133367
APOD,0.08833223445570872,0.040212755602433585
B2M,0.06249825820524663,0.061373217184145824
OMG,0.0007487618081971611,-0.0214168071613345
CXCL3,-0.01906795778797601,-0.057150322031433144
CXCL10,-0.005891253742129339,-0.007553577540718724
RSPO3,,0.13228764669615725
NCAN,0.054290398251501094,-0.017128453743871817
PRG4,,0.05237548658455934
ZG16B,,-0.01776807905140281
TGM2,0.09801382369117628,0.07081897864249964
VEGFC,0.05829447398796859,0.05629633462976777
WNT6,,0.016375207893034434
NRG4,-0.0201958499930328,-0.014249891430956979
PMCH,,0.1160733773304426
COL9A1,-0.018830085048722425,-0.007069529356374002
GDF11,0.0032488570725000467,0.007327949210015701
RAET1E,,-0.01563202965155007
SORBS1,0.026268157710457797,-0.00011640620480966784
