,UKF243,UKF251,UKF255,UKF259,UKF266,UKF269,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,,0.0746754884652637,,,,,,
BMP1,0.027462425873964445,0.03206032964095317,0.06248239832716389,-0.023627424257027636,0.09892621356943827,0.1794756654812123,0.09214669992142602,0.07538902970013976,0.0532610770375779,0.0031222156474557962,-0.05485964000841684,0.04144558625310389
NDP,0.04276892177328193,0.015375728354467984,0.03239650050171349,-0.06132776842877596,-0.052978622943963084,0.05619484030672345,-0.0439438123967633,0.15497530407838472,0.06623815001389902,0.043081169004826274,0.06950242368558965,0.05849912344279583
TNFSF18,-0.020076809224965405,0.015265648542054883,,,0.05315611671721645,0.012610606449200151,,-0.08955657301928988,,,,
RTN4,-0.09763932647138696,-0.022734855124735876,0.07298711655454174,-0.06429061686893,-0.30461093104209147,-0.23357252015550217,-0.04668981358308194,0.035134526423591224,-0.19302623414951509,0.06071196262689023,-0.020887874253810754,-0.03838364892664523
HEBP1,0.0724782675356499,0.02448033717464463,0.04548570282764147,-0.005741259411307508,0.1543491445472716,0.06352906788148688,0.02665476482316621,0.04638634062905032,0.06037031761070113,0.035536117720247534,0.05449685528976719,-0.04290814063862689
WNT7B,-0.036301820089210166,-0.018628561830359627,-0.03975912860971965,0.0013456247799573475,-0.0385993949648708,-0.08224439547254787,0.05157919323587025,,0.024854939941802216,0.05429236284471139,0.09268342960946664,-0.021997466876315208
PTMA,-0.06515252011788576,0.007856826230981821,-0.015191964409031226,0.056061246950176835,0.44300997543835685,-0.11140010066817563,0.07295152967594239,-0.10510235456009948,-0.1453078259715293,0.05406478531874623,0.01896279751066703,0.03765682403825223
CEACAM1,,-0.014296300772253176,,0.01399712336517645,,0.014237600481360127,,0.012966445577921133,0.028866896016859874,-0.014934423122155411,0.0017481566344326566,0.05013506038770243
PDAP1,0.11243008186280477,0.009335533371488833,-0.0075847094476094775,0.0616601229193793,0.14610050455170043,0.18903879517640057,0.047210580049176686,-0.029683532251068803,-0.09131195521852159,0.0011804139303426943,-0.06006566265990618,0.05080638050881072
QDPR,-0.07283583003183505,0.0006494883948670401,0.06393757175207022,-0.05283652228296597,-0.09635486539999503,-0.23974975296380419,0.0894519866178386,0.11906254360814666,-0.0940821888396345,-0.024280618710244263,0.12329517801203232,0.02972170383124614
POMC,-0.04061163444114382,-0.025402245603332974,,0.015745573858149977,-0.029353274038027507,0.00715714649534748,0.01951267049230967,0.03835176182331627,0.005009308699085238,-0.005438103432179108,0.06641093682605421,-0.026113066432614098
CCL18,0.12029973494941258,,,,,,0.11693864992655398,,-0.04655450514442311,-0.023435504992047298,0.02972325282218765,0.021165513845852805
CCL17,,,,-0.034212715414446294,,,,,,0.042454506276240665,-0.01794243028155317,
VEGFD,0.029736090406566402,0.06050052405978655,,-0.022530907897632096,,0.07526113474716059,0.016642786625201772,0.054968837477809,,,-0.0004432053482254798,
TNFSF13,,,,-0.010570410046730958,0.03786534360723519,,,,,0.051688513363173615,0.02255555263010776,-0.02200199531260812
WNT5A,0.02017929869331749,0.03761230813245263,0.013853564788649608,-0.058458685702222984,0.2807529599657103,0.1426112202060559,0.05702391420169137,0.07923009387013276,0.12693735166166634,-0.01443590148998022,0.0019789418411582087,-0.012675693335348147
CXCL8,-0.02365378301814513,-0.019173058259469654,-0.12098525259370035,0.07539752000085329,0.0009820770708017744,0.17765567325365444,-0.006523649020381791,-0.07737532000555875,0.11410264912109853,-0.013151471858855743,-0.14093848934474937,0.03847334370961262
GRN,0.014181658857369876,0.00024015262267007068,0.0502161507951398,-0.01804882102403331,0.12080590567143505,0.15271016793012068,0.021804907231579348,0.006893140965649868,-0.0016738476635819813,0.029648638392769013,-0.06297426077476281,0.01295406947506637
MIA,0.002299665241989682,0.08779876254717559,0.006993866502874547,0.07774027774144009,0.056803215002508727,0.09041305963432386,-0.04397522883008002,-0.07411503863980512,0.0022464228527493773,0.052075062004848474,0.1802593431360781,0.11697806140190656
COL4A4,0.04501002585804185,0.014001842225888617,-0.0034729905066068437,9.007674669058852e-05,0.11852474586521183,-0.03189748596296241,,0.11350361565991736,-0.01793439996440132,0.03475110134365259,0.06135389709772879,0.03376723793941162
TAC1,-0.0712895470486848,-0.03899582780995814,-0.007385215016274204,-0.004582254548764776,-0.23728279292324317,-0.15112488816327896,,,,,,-0.051094653426833704
RARRES2,-0.09211728700519482,0.07698191958894784,0.00015538294537713413,-0.04728668873885515,0.09242056461755571,0.1897849959373332,-0.05724705999809159,0.029611327978595274,0.11257093737292029,-0.02239865066731099,-0.00804982180892129,0.02169863842665471
FGF7,0.09493304755916969,0.048171804028829375,0.06044742175324822,-0.041076395784797874,0.05734614930881911,0.0065133611966838555,-0.014521510475155658,0.11339964596521937,0.17937354599445854,0.0649647534243341,-0.011986600960491848,0.00305087536578621
EFNA2,,,,,,,,,,,-0.04384269630846699,
HBEGF,0.035462088292171096,-0.0034491976027639297,0.008863845269114521,0.047486699276011055,0.2300259497648209,0.09117816248799954,0.07813759601055956,-0.04426030712391041,0.03353767019648818,0.007088711173277444,0.06134037048667642,0.023398873256903294
