,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,0.013918336201306504,,,,,,-0.02405655855663592,
BMP1,-0.0089497121292701,0.0295387185210879,0.11499311599469897,0.3223793827015256,0.006537456115959202,0.021506649661556555,0.1866690210924531,0.01186661861665517,-0.0068877665127866595,0.03162122548102363,-0.011778391138729303
NDP,0.011709745275187025,-0.028647208279884803,-0.03406204877897958,0.03988219075406796,-0.034629531849292995,0.037043721768328465,-0.08744524870615669,-0.0008104819955283455,0.02943463484802289,0.0828680310518525,0.15965661985572538
TNFSF18,-0.02739772276021824,,,0.07500471579279448,0.06060582217100237,,0.019595172559009413,,,0.0027741617816415816,0.009221304255007636
RTN4,-0.004845560559731645,-0.02081413431023347,0.04189091331303208,-0.3290386373813386,-0.026295401522352248,-0.08284796135293625,0.03373500113723851,-0.029820462778751514,-0.04918142806144331,0.00839981938899461,-0.04482468035164364
HEBP1,-0.056847118288235444,0.004478397054509022,0.009488989438798416,0.1336948769968834,0.014860898471169589,0.04247828338365109,0.06847966737920065,0.06062552342490221,0.07197250363794178,0.10669663179404092,0.06265760264397795
WNT7B,0.020534845567684434,-0.016745011922085825,-0.04943606137958769,-0.14339502087082961,-0.007054413837329118,-0.030939034530434357,,-0.06120133342535954,-0.036115801182478,-0.042975788093698834,0.16007459002841462
PTMA,0.023366492047390993,0.04080875298272676,-0.04419713845081518,-0.25156977735911645,-0.028764453880575327,0.048622375317080795,-0.1187379781946552,-0.0956344652619347,-0.05403327859244144,-0.07327293231653044,-0.015735058373563236
FASLG,,,,,,,,,,-0.02086424502915679,
CEACAM1,-0.013060764243109884,-0.02330775534860874,-0.007099696184193246,0.12692827991864117,0.04488655154949075,,-0.048928454222835496,0.09384840402389955,0.028920015543959923,0.02865389438811453,
PDAP1,-0.03787778870792278,-0.035554321803677735,-0.03398315035726535,0.26272439085257854,0.05847195690559363,0.013314054145177372,0.035731716597487154,0.042851578455853405,-0.03140464152999545,0.07323932877989438,-0.04499219766334048
QDPR,-0.004093281539703487,-0.002019409004658429,0.005065486681401456,-0.316236240876958,0.03863739205451916,-0.049926091447148865,0.04292055844141951,-0.09398219248265585,0.02959018810562687,0.08234877379620925,0.016987661390819805
POMC,-0.02320689431175261,0.01118276267726222,0.014267141586023158,0.037847490668405835,-0.03028092525487059,-0.0009100739242529255,0.12259986018333514,0.07848458888540095,0.012345832774325665,0.02823261977307797,0.058882766264804355
CCL18,,,,,,,,0.16381476615722643,0.136085307527372,,
CCL17,,0.04186110477540244,,,0.039990821309728995,0.041604112077396296,,,-0.025257186830227343,-0.018911094654879862,
VEGFD,-0.01870692440540382,0.01948390484538055,0.020354856878980736,0.010227455051074372,0.022283796459668367,-0.004387772022862781,0.006184399208687848,,0.0057213862468654866,,
TNFSF13,,-0.01567362757871059,,,,,,,0.1424011466545258,-0.03081405029519132,-0.021643120803856428
WNT5A,-0.010133621329436555,-0.08091606085787423,-0.06059930028802027,0.23187358017770482,0.017887363352918996,0.036294515586633276,-0.07821384225492019,0.06561730643761227,-0.020072803774569648,0.05312187821206665,-0.05756755531594999
CXCL8,0.056697600238386575,0.05485588795956016,0.006555574097526703,0.15199565483698543,-0.04157816340899575,-0.02093064073830464,0.061769618627252706,0.10182726551097669,-0.04212264928536363,-0.0015192029353487556,-0.09571769981359055
GRN,0.018931775885690963,-0.03416944030726587,0.0667964633422742,0.20783438794069153,0.024460747791536116,-0.053894535698346485,0.18422992931459262,0.022649756164300948,0.02031247288887601,-0.11160050750350838,-0.01741564783515044
MIA,-0.016636630338123907,0.008267349109718629,0.05445721762658084,0.1493307913617724,0.06138557768970145,-0.014652745949924698,0.09996881709344033,0.036898576789529416,0.08245497167668187,0.14533376853511468,-0.03213305163876392
COL4A4,-0.02797785706603224,0.017477655268330127,0.05001590737770199,0.004076239304032347,0.001149162376746134,-0.02697452891454593,-0.09751924177312506,-0.003458272535727124,0.0007880969198173714,-0.05553594004810595,0.08988212599787247
