,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF275,UKF296,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,-0.007614387497916931,,-0.039043363490155567,,
BMP1,0.033867090162344446,-0.03577005551094363,0.073587307521912,0.010456286985619963,-0.015894484472269942,0.12873761257116503,0.027147661662675866,-0.03698733041785409,0.020039978023147265,0.16564818013808014,0.0037984944988945627,-0.03579097424726778,0.0406433690966101,-0.021673177368278767,0.02603767382762973,0.008128308094597227,-0.029212442662597864
NDP,0.04269930377218659,0.11272303824808758,-0.02474051916073334,-0.009938182220665538,-0.00015129765389190988,-0.0011853342032167452,0.019960752360732897,-0.042795649125733845,0.07732010398054795,-0.03607135699367649,0.010535503105358508,0.008227817485778605,0.0033818260726847962,0.06622498790516636,0.048075446638021824,0.04901719639850352,0.013983255660073758
TNFSF18,0.050032805358638216,-0.019872599663920746,0.04397320584697215,,,-0.012213191042571011,-0.015129094034822618,,,,,,0.14007334628573107,,0.03060022209464615,0.09372485744126731,
RTN4,-0.03195415788905642,-0.07323231643560849,0.0276910698724293,0.005001457361694327,-0.007869178548028433,-0.09589270991823381,0.028179242536906318,-0.016554599731776504,0.0028990268017771363,0.06525641737155134,-0.004816971408900114,-0.07039512596887419,-0.08526415251531606,0.002372323334278844,-0.021944044401856967,-0.033206826783435665,0.0749771877639129
HEBP1,0.010265104478358255,-0.00853435337074919,0.028323236808319524,-0.019637809129670968,-0.007095447841502498,0.04230551357589228,-0.03784609478028814,0.0006920763700564639,-0.04855124433208364,-0.018770049245638274,0.018825723291406197,0.058787186150641824,-0.00656803063477633,0.022133973741090204,0.07506657476605388,0.0017729785489543578,0.05976485831585978
WNT7B,-0.02158752196425096,0.00689672322953962,0.06589215671165087,-0.0014450650374489113,0.01101105213367503,0.04103296633984848,0.006250733300463899,-0.012332312690747553,-0.004527735750386009,0.04877024460332145,-0.062017666467766186,0.09620845184518315,-0.047084623122283266,-0.007027906045482237,0.11088239811844272,0.05481198148950626,0.14675056534940414
PTMA,0.013208712020198222,-0.0444511218484676,0.08351253855467639,0.004605786789241208,-0.010910274244272829,0.12533163659343913,-0.02455005497379297,-0.005210021056045927,0.06735438549875503,-0.00792363798801207,-0.07798715512909093,-0.02216945841048969,-0.1150151977521282,-0.03333752380589915,0.0038098954540062234,0.08115756155811749,0.017341156201910537
FASLG,-0.0003908538145586422,,,,,,,,,,,,,,-0.007323044255176633,,
CEACAM1,0.0337243020767933,,0.03957327330530395,0.04075785025799401,-0.017160921877663698,,-0.023794460651621562,,,0.08348266849351368,0.04376358265014879,-0.02334000379833897,-0.03929000112080347,-0.021258113028564396,-0.04711441118866988,,
