,MGH258,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.06545920462990035,,,,,,,,,0.07231040808563027,,,0.06033623040158359,,
BMP1,0.02337379463650882,0.1569092314771704,0.052301330670374964,0.07628350179806911,0.006385531135069603,0.003946364973651048,-0.01005272005066327,0.09791347986020786,-0.029665851087980127,0.004558794448825708,0.03843518032746105,0.025716672310322708,0.09612610112819313,0.16878692392095884,-0.002319620837979825,0.05070433460954811,-0.012623565569711191,0.013580977484427237,-0.011612745303882302,0.05220268618710296,0.052808248230180814,0.06793395386168292
NDP,0.08970988797199352,0.060342740015982256,0.0523882862568643,0.005635752830806524,-0.04613427172124046,-0.02933128838446505,-0.020048324155692365,0.05432141889972585,0.012258134333610438,0.03924361783921625,0.11446342192497751,-0.04134009278120479,0.07195060985715798,0.02931301943499753,0.08793091063275826,0.04847912318354441,-0.07579214132415635,-0.01884534776925308,0.043160321089991086,0.13877447646889404,0.1341613062369596,0.09617219248381431
TNFSF18,0.12528829828935936,0.1297462747636347,0.009538752441717658,,,,0.06934921888171106,-0.028189255088160618,-0.01577693912555155,,,,,0.02517574483528553,-0.06383495686237971,,-0.02088609083651907,,-0.0020539443820682766,0.05176592980039425,0.0051275774728555615,
IL36G,,,,,,,,,,,,,-0.015351805033563159,,,,,,,,,
RTN4,0.1365898992457584,-0.12693014774021152,0.004254092489608071,0.029789646938265395,0.0241939616186007,-0.008835859064637259,-0.08562137507679775,-0.10694299724542346,0.028485647437109404,0.005458958581709026,-0.04564585916884181,-0.029041599685855183,-0.1629463538913779,-0.00916612063150943,-0.04896100523447604,-0.06344494214358859,0.1340343747372668,-0.025206370560193425,-0.008019318028295466,-0.086300099785486,-0.19183604478131333,-0.04077548280708748
HEBP1,0.03953798998238165,0.0329848166949425,0.04953406181764501,-0.028112447830352418,-0.0033294004976497267,0.02238326745469795,0.013313282496662492,-0.0582662039561905,0.016183108881242556,0.010649255209089017,0.06680968203028606,0.02499284565602396,0.053093691204758015,-0.045874676937862374,-0.0048075654306570575,-0.042203573713715636,0.02699174293391014,0.03108349270022737,0.08561853519238749,0.13064610269434482,0.04707624962772906,0.10018768603475543
WNT7B,0.05819372329574127,-0.05047680674589979,-0.012911731115141366,0.030744711914567558,-0.01086574524109651,-0.026031021518068565,0.015235279256662349,-0.0684926044676385,0.05498874097642173,-0.01609916929947734,,0.020754967879505596,0.0013669287048183756,-0.030909697555396763,,0.011900579407879065,0.05654515990635813,0.03229494629181589,-0.06397994332893124,0.05954783837378489,-0.008430212582034732,-0.0975098621411588
PTMA,0.057073996488886156,-0.19317873741446678,0.044325378278119575,0.022576733082041004,0.06346201108879274,-0.004613943751159032,0.08980137126739839,0.0907421316418425,0.04981848813954769,0.04821979326764845,0.23559612075746164,0.15898858186540474,0.13732256075229396,0.0023581135476543795,-0.03532229561386608,-0.06393088851886018,0.16210446837113646,-0.031505827009931216,0.11045386747120398,-0.11606614099641534,-0.03199230040237298,0.27057978601801635
FASLG,0.034446365896473145,,,,,,,,,,,,,,,,,,,-0.04201130823455028,,
