,MGH258,UKF243,UKF248,UKF259,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,-0.023233132737478446,0.06030460881830038,0.03794164219195241,-0.005213348579557523,-0.017039009456927937,-0.021763539309953273,0.03734909933367184
NDP,0.0028702618657860924,0.014353323880624961,0.028818745721339446,-0.0006734487852782538,-0.028817539514690512,-0.012109038394450622,0.013400504726659148
TNFSF18,-0.01871251065220474,-0.019872593381385046,0.04293887529532669,,,,-0.008745988111959615
RTN4,-0.07115707091837412,0.02817442089934068,0.033825570871471866,-0.04237114387936058,0.014263265745384262,-0.03654713423294306,-0.06096702281243231
HEBP1,-0.04680928725884466,0.010359965885652961,0.033616258231441244,-0.045238178501020535,0.07099059409565232,-0.031170454767752247,0.016600483208641152
WNT7B,0.09963161426569737,0.015439583641757255,0.05347354978309765,0.005634131399412246,0.02948750975041306,-0.03444589388678378,0.01694548370245453
PTMA,-0.044899738362953974,-0.0265665141927557,0.02009520121923819,-0.011956635306848434,0.08986540195402301,0.07044806586789827,-0.019882327832637096
FASLG,-0.016485140452766396,,,,,,
CEACAM1,-0.02288976179145896,,-0.007872646216900725,-0.0006272721683810873,-0.023177924526456308,-0.016687431916601842,
PDAP1,0.01413307828642459,-0.017712479972186123,0.052740145767575485,-0.021074530069364314,-0.006632689696243895,0.011401874266348516,-0.02519126995302258
QDPR,-0.046298103922018614,-0.03422610828556268,-0.015448554531380184,-0.03545977789846809,-0.031194834600604605,0.022898852296523917,-0.026557269960761708
POMC,-0.033696165413717435,0.009236312327612645,-0.008687113580643245,0.030336364297743043,0.011865735982935999,-0.004113561160439559,0.03644055359856684
CCL18,,0.017513644382467254,-0.028863553549732367,,0.027091999028741313,0.008973647065361986,
CCL17,,,,0.026122648106638093,-0.016443615608439453,-0.024089355599143606,
VEGFD,,-0.009283809753024211,0.018572480481272288,0.0017882381468402994,,-0.016687431916601842,
TNFSF13,,,-0.021781370651231542,-0.009880528280680841,0.02683326742691852,-0.010089901093437964,-0.029715427576957987
WNT5A,0.07949724080454199,-0.03743490585539954,0.01239264821463472,0.02123266030151776,-0.02691771025945032,-0.019378125810761763,-0.029349529591650575
CXCL8,,-0.0007293004150737242,-0.03914094932207809,0.04289998785361989,0.013670910978809184,-0.043999730227503246,0.015628084148371375
GRN,-0.0631085079511801,0.08003652850954852,0.031487400767939024,-0.06218381004765793,-0.07358454364136077,0.006868055389137914,0.03785095851107048
MIA,-0.021577626973808495,-0.056735313479019694,-0.02035005995309116,-0.009298393533144567,-0.030740430936241705,0.0004307042067891156,0.07602172020641951
COL4A4,0.08172129050330502,-0.030228061517966438,-0.0346648933036099,-0.02618296799274647,-0.023424323013862658,-0.02671918772718935,-0.033211489763325566
TAC1,0.12351698631077503,0.04173840111702143,0.09831952041563903,0.012725484040874082,,,-0.003033657812292372
RARRES2,0.03309886657268089,0.05646177065093949,0.014966889049908777,0.014033051736260163,-0.011078339058003983,-0.015917971985066035,0.006337174526211206
FGF7,-0.0325047849557881,0.014358522232139773,,-0.013798869178076862,-0.0017557006281998587,0.005573612101475689,-0.02698724394300832
EFNA2,,,,,,-0.015860287262436,
HBEGF,0.011736651966209816,-0.0704297118579311,0.04213761577472426,0.03511108503761912,-0.04179652317675212,-0.014270237629776564,0.09032759989178278
CSF3,,-0.030228037586319836,,-0.017073224568496758,-0.02667761072302353,-0.03816539389112983,0.11144957756418454
PI3,,0.04574104944124433,0.025615194870107782,0.031139778979730543,0.032018235479985384,0.02063248578355611,0.05731124110751239
PCSK1N,0.04460791275108575,0.04402614721641307,-0.03215040286908817,0.02322366642692374,-0.028353208947085408,0.01681395110344151,-0.06686565589210969
NTS,,,,,-0.038361243497188335,-0.019322750326864455,
SFRP1,-0.023986282719954125,-0.020816528661444837,0.04842464125286471,-0.012498438048842172,-0.029152590561722633,-0.03947708904007033,-0.009509089561355771
CXCL13,,,,,0.00019401567272403077,-0.029694132931865385,0.007895061297732287
MICA,0.0027030290555297566,0.015258367294917195,0.03946505349637971,0.007793328404965495,-0.04496632528729117,-0.05780059792217185,0.029859060138087947
TG,0.006043397914040208,-0.024096570707237613,0.017535441029888604,-0.013487794835278582,-0.021849454004097026,-0.023798079321541495,-0.031227274782569685
ADA,0.00834204719311066,-0.0014513509597135986,0.07879080470753322,-0.03307597166262368,-0.04180094943056643,-0.011069271872830381,0.048184918816069774
LAMC3,0.05341352073318802,-0.021286181789365997,0.047291292228210685,-0.053086348746745705,0.006448333406729976,0.011612989409291431,-0.019222629008340472
CCL7,,,-0.018359658386130094,-0.009751654116061334,-0.02464518953342735,,-0.04223223401609534
NGF,,-0.017415231730743098,-0.008154772544722789,0.032314701034102784,-0.02846322091450935,-0.015647098318511826,0.06358931418281144
TNFSF15,,-0.021544815131171024,,-0.010858943805527498,-0.02402629237898891,,0.0009107466508860373
HMGB1,-0.06433090808240736,0.059630708731109365,0.07353253902659712,-0.014387159079326342,-0.003118097158950266,0.07434963237438806,-0.027693084275539667
ITGB3BP,-0.028131993120375308,-0.04220247302312145,-0.01410115696895194,0.021292807415496228,-0.023925896185211095,0.005039314599912952,0.05009178250645746
AANAT,,-0.03121404918726957,-0.013312372016856975,0.19160786963373694,-0.001242584439958521,-0.002726541859090662,0.07257242988086102
RELN,-0.015827605915398158,-0.03002762581038813,-0.043694932201420886,-0.01715038623037257,,,0.09840790050414434
IL15,0.013049840003378776,-0.010438776150684736,-0.0009188797402334254,-0.03429502334082518,-0.027430766161184356,0.020039407866508527,0.06822961827146828
UTS2,,,,,-0.01841168099555953,,
BSG,0.07964464083248089,-0.006316926599049357,0.0052752000742783195,-0.06616753306962812,-0.032175176809113616,-0.029387969128936868,0.11210722420935584
ADAMTS3,0.05790973717666031,0.04492877723698938,0.09236058910790766,0.005847649131223609,0.015870934177162132,0.06933850950846637,-0.00041097316112006734
CD34,0.07626063692693434,0.009288919807589007,-0.009684680679793927,-0.048083517219387945,0.0043372182400241615,-0.00903161256191706,-0.011574929213180526
PLAT,0.07726927597007088,0.03481728934080881,0.05586891814629619,-0.04277606504415908,-0.0031948165576284773,-0.021812302752618456,0.03430484853419706
NTF3,,,,,0.04253306393111666,-0.035322470671284065,
LTA,,,,0.011076063452775635,,,
CKLF,-0.026678095325807744,-0.023276733466549356,0.00823263688536293,-0.008572197559479312,-0.03886378687984114,0.04715236983891218,0.01736121694326577
CD24,-0.032387461114694364,-0.06305882406757275,0.026531993084676374,-0.018978332940253383,-0.03813619196249511,-0.0006384651872144235,0.07215237142245383
