,UKF248,UKF251,UKF259,UKF275,UKF304,UKF313,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.03257621917645687,
BMP1,0.11765059525796163,8.966005037314475e-05,0.018152124727905512,-0.037099502659369454,0.008721366029404636,0.11714537433499454,0.14912383587368994,0.11584503897890328
NDP,-0.03147284999437289,-0.0071008084150037,0.007457502082815682,0.019587420183759783,0.05995540213310657,0.04503438853458997,-0.02171224628466675,0.013553080532346285
TNFSF18,0.018306081798321407,0.0038557136572140173,,-0.012089414482996304,,,0.014386902229639608,-0.0196564447745234
RTN4,0.021874140776145454,-0.021867795393329906,-0.026341824777516964,-0.010874999140986904,0.001695379643054667,-0.014352774347336748,-0.07876726020419028,0.03211979274019455
HEBP1,0.08078511515099132,-0.01586138609971733,0.021810614079574936,0.018760703976953844,0.030377340098210585,0.0017371525506820519,-0.013407358936458367,-0.0015711681012807797
WNT7B,-0.014290212683516193,0.053096035487613616,-0.023041414852914832,-0.03465318124015695,,0.032976228147585225,-0.011520747377091757,-0.01755930660057724
PTMA,0.07228148881069174,-0.00930364910084562,-0.02053202325127214,0.07235570967110827,0.027402052985622382,0.04890671080320516,0.05454210115098694,0.003898834150922723
FASLG,,,,,,,0.0008493871955923879,
CEACAM1,0.10443348829551137,0.00855976236434811,-0.012367709121666104,-0.00458004346224681,,,0.14067122702285204,
PDAP1,0.049533177414677165,0.02482611543551659,-0.0040339704958105215,0.016928051467543878,0.048869523308028434,0.0671243165952482,-0.09665994824156408,0.03604994464233964
QDPR,-0.017960974185777967,0.007916474702593993,-0.013315191763028904,0.06303183324206012,-0.0068342902530355845,-0.003345349190581047,-0.053074984332188296,0.02725828374934184
POMC,0.09109990964093523,0.02885796241343654,-0.03477424446570796,-0.01402760055769103,-0.07085217325796046,0.03675475522556598,0.03480079974997071,-0.043051228022320705
CCL18,-0.027222391775056667,,,,0.13515609097909756,-0.06715917368052206,,
CCL17,,,-0.02164379728277059,0.020980882554255145,,,0.009003904827346762,
VEGFD,-0.027222400419441076,-0.02047658373162345,-0.012110735049319518,-0.01606417770519892,-0.024001524274644515,-0.016786416178446267,,
TNFSF13,0.04534603690906698,,-0.014929406963168326,,,,0.01233877726002647,-0.03715912671665266
WNT5A,-0.01859644533475681,-0.0037114046972755396,0.03322828237489455,-0.015654394305773773,0.1056411854131938,-0.03844541512082277,0.031905651528087414,-0.01681076847684266
CXCL8,-0.05026802896378488,0.05021197301750129,0.0008887270745857263,-0.043904631617316545,0.0797677404620394,0.04717807228112603,0.06742056793057277,0.003000894732271098
GRN,0.13243698858247765,-0.015030500761805397,0.03694315337144923,0.033664082992033675,0.052858197827236234,0.024466153992692016,0.12661633896283805,0.01971656155450636
MIA,-0.03453384587349143,-0.01821044158559037,-0.004026325025737472,0.012066282908036682,,0.04292109872640639,-0.006728780514713994,0.12040285907431285
COL4A4,-0.011884028302102662,0.04823714703231204,0.013222602057190561,-0.015741745644026035,,,0.028977961664777042,-0.04153095066083398
TAC1,0.03190618221029586,-0.019184352649557434,0.027156413529049853,0.03479710617490665,-0.02132701912549523,,-0.02057886313066929,0.06285962842703398
RARRES2,-0.0028988035644194666,0.01861905091352235,-0.0034886468587655866,0.1110635248453143,0.0403177285393932,-0.05349950076974247,-0.005524309410226359,0.011624917053507867
FGF7,,0.03341389369773475,-0.006328935430884505,0.01350904172217624,-0.035065553548305664,-0.026375569897396575,-0.02751148163617213,0.048873357340770245
HBEGF,0.06847187904677128,0.040414057116516786,0.004231088005822362,-0.056047821401898616,0.013433200395223586,0.018501555694803905,-0.0183906852010756,0.050563985717017965
CSF3,,,-0.0257975191726376,,,0.004928940374549329,-0.010510890074870192,0.04815440378741224
PI3,0.054133289000319336,,-0.04451872957856343,,,,-0.05857899454733992,0.0002095906898298587
PCSK1N,-0.014752513000769775,-0.008153439086317212,0.037392550443626084,-0.014100221962360977,-0.014001453046453427,-0.007115765837654198,-0.010536898176307718,0.043319993672264544
NTS,,,,-0.017983114537596316,-0.021609081787147568,,-0.006368903717024321,
SFRP1,0.021938697936879685,-0.026766637854834147,-0.018885049739694137,-0.016207541475972722,-0.00842204018285937,-0.027409329679484475,0.043841721218886784,0.029704668552281176
CXCL13,,0.007446651560719483,,,,0.03921021875552874,,0.10935648412385597
