,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.12597979778194815,,,,,,,0.04886789797137184,,-0.0017655348682678153,,
BMP1,0.020282491492778106,-0.018059839065977676,-0.0012481010367436226,0.008006229088653977,-0.03468583976188689,0.09321995060858487,-0.009676311718661651,-0.0783407084307311,-0.02724891636912055,-0.018134382839144033,0.06073288065210061,-0.02841157282898957,0.08288702443149375,0.001118865616270035,-0.003331655990498555,0.016493725372275798,0.05945082504604135
NDP,0.01857663822353327,-0.010551795135420785,0.014676833980297753,0.06541652067677112,-0.02819998325521637,0.06075469962395536,-0.03389036858421135,0.013977219226319813,-0.051730059637740376,0.005558279255134064,-0.005906040418014991,0.07062117805006662,0.045137220234783774,-0.03504440551220782,-0.012446951301709246,0.018444210774588257,-0.018850345356115128
TNFSF18,0.05443460003571809,-0.01840157219017889,,,,0.012190202269644436,-0.01350632271429788,,-0.011519865449990053,,,,-0.016360137978300975,,-0.0010661312245589453,-0.026674489673715173,
RTN4,0.002651609021457086,-0.007790438999770006,0.003987271196934773,-0.008762099518060094,0.08415046633618133,-0.07427492780879683,-0.044757425006100846,0.11783575879059136,0.0015294484386409728,-0.04141452880311315,-0.01472920646429779,-0.04427750274277547,-0.07525099249312457,0.03402241282686499,0.005973293251476394,-0.05547162635230091,0.060188920472689526
HEBP1,0.027449509222817376,-0.004691088840426644,0.03175442112776271,-0.011881127372496574,-0.004873766520563903,0.0672947710406358,-0.014612768626363246,0.014740371936372057,0.030257452058042693,0.04252149850613982,0.0376945761025487,0.022453494893295477,0.07575751672971685,0.042735538530746325,0.0102027125783402,0.0357146341488026,-0.06560534447902096
WNT7B,-0.0008368799030458845,-0.018434581840731497,-0.040282498556824795,-0.01792839969049198,-0.00659842729608192,-0.07909710182051272,0.022772765715857436,,,0.05942427734295075,0.0270664952958291,0.05209111075886648,0.05291874181384786,-0.038466590544750344,0.03167719988014078,-0.028777475391634638,0.046600925911233
PTMA,0.03138104295183836,-0.03632333746630966,0.01705120938988111,0.05073247247627799,-0.02103933677069026,-0.1027615965154324,-0.01600569415651784,0.0012998068947728334,-0.07961024139602821,-0.05518552681603258,-0.08899142092941235,-0.03258967028919077,-0.06022680717946849,-0.019513596057413186,-0.056967632450937895,0.006702622081965046,-0.019504536533024756
FASLG,,,,,,,,,,,,,,,-0.01832005158070488,,
CEACAM1,-0.0272825633758845,-0.014147432797324338,,-0.015250173202532245,0.06502139004393602,0.030130109348541132,0.0322197018711337,,-0.03486010430368901,0.07093139725658751,-0.02919009853712852,0.044957747188116674,0.14500102539856938,-0.02553083559112091,-0.02548966104874517,,
PDAP1,0.04183149763282225,0.020798421755529567,0.04938375326792381,0.019832058428019314,-0.017125723801927794,0.13424472085313857,-0.025156473510077652,0.03963227691422756,-0.0395758364131342,0.04060864059601136,0.06850134444770058,0.0070263653155723535,0.0336923512543129,0.0752342218744706,-0.0005377807714394022,-0.04163468318410908,0.07381943447537274
QDPR,-0.049748337028405254,0.013602069645056074,-0.06520876160840608,-0.01271335382950267,0.028503045954864893,-0.07803792083687511,-0.037435147019383205,0.03455300516314612,0.014793053022346065,-0.10795911135912954,0.06077079028521978,0.04625764684142354,-0.01216652924811069,9.276547443495084e-05,0.039209857839124417,-0.024815975045811928,-0.07033624003105392
POMC,-0.0646627227113664,0.028429791037686912,,0.00963530575150464,0.0174206314578355,-0.007630055232370011,-0.015671668822829783,-0.04881627810360903,0.03410161976700743,-0.013863519374993503,-0.049142577810987895,0.007204394945491327,0.03426824457268488,-0.04176509315273292,0.008236550075611204,-0.008038856647403779,0.05123690316128722
CCL18,-0.03404606132664463,,,,,,,0.005556777254226215,,-0.019964871678962316,0.08125328757640282,-0.029978347078908903,,-0.0009954631368212536,,,
CCL17,,,,-0.019144494625295185,,,-0.016845014024991032,,,,-0.020708962071609542,-0.03434713802660529,0.02601693619814383,,-0.0166050690566968,,
VEGFD,-0.0031653539757137937,0.012298458124682044,,0.0058583185107029465,0.026047586389524122,0.05741527229616814,-0.017946937672739242,-0.024001517040813648,0.10521297379232038,,,-0.023793310908220323,-0.022059510373694465,,,,
TNFSF13,0.028169243796769102,,,-0.013205443926086965,,,,,,,0.04100783328651803,0.02902856730265239,0.06667049655319983,-0.015159244595489936,0.034306173562676096,0.038761690485679755,
WNT5A,0.020700404976652445,0.012904792402109977,0.06837602277700448,0.03258619422035139,-0.028599084108158822,0.0832817022719307,-0.03598695302450195,-0.016588111224498887,-0.07546091585034265,0.0855018372071943,0.02418080689841473,-0.027243217659921406,0.020070926862693204,-0.013251735134988035,-0.005292809315712502,-0.01510852107456899,-0.05255766322433165
CXCL8,0.02624538045456212,-0.0189734084058642,-0.023155248054413595,0.03979819639500858,-0.038044134491187036,0.021140565739581205,0.043090456054833574,-0.044191292584532506,-0.004989151514917999,0.1276107131714423,-0.027719078905718408,-0.15508857133797505,-0.029695603435533884,0.024802169690608684,-0.010770518817005975,-0.06157627639450758,0.0273317280999912
GRN,-0.009265041277959558,-0.03171272302028074,0.06637202870093001,0.007722974561237424,-0.007324381472594077,0.0666108105140223,-0.012355625728084975,-0.04038334177298299,-0.037757649840988235,0.0036882084316731257,0.07307359649425596,-0.020341889068656787,0.03691926753510201,-0.05482112581219101,0.03574725912566642,-0.029267903290358877,0.05423728420548264
MIA,0.02542604827312466,-0.01802081450223717,-0.0040606914091196305,0.06815257072889586,0.016974163125690955,0.07104228921090597,-0.015509996586898089,,0.0630204914396573,-0.0397259327810479,0.04576051542572254,0.0915787586267787,0.012985769114611289,0.03181684620634996,0.022373831425790545,-0.015591577627222053,
COL4A4,-0.03235293329094441,0.04489517345351732,-0.05178009973733982,0.036737773700613534,-0.006763160372181775,0.02184908980571046,0.04558309851608453,,-0.011174439574224164,-0.025241835891679155,0.0351541551139244,0.05041887703343215,-0.03221880271193699,0.0428657674779912,0.04789687340541689,0.11181371547758058,
TAC1,0.049579129511305955,0.018145230423394946,0.03648147557451391,0.02704958567047949,0.05066063685288458,-0.06385643103584243,-0.05477577939398215,0.1284650700195921,,,,,,0.007331192617993446,0.10983244336849894,-0.0683802497463031,-0.022335331555820945
RARRES2,0.023319800453779908,-0.05410511428191456,-0.0070970985549087436,0.02616485190922679,-0.03761559722683971,0.15156035794984613,0.04772142028457629,-0.05624568033897348,-0.05085750974072249,0.13922343539821372,0.027566844559652633,-0.05990074710569901,0.027755869944530897,-0.0011583095436074155,-0.0019762262594444345,0.054340806315858754,-0.08292246037341416
FGF7,,0.07552309341280962,0.08139183288496649,0.0016898234955583854,0.08198102504576636,0.12540456132886138,-0.013244307359439274,-0.012505378832435344,0.009027584338555794,0.02587551099750875,-0.006983397313716151,-0.010506497752719337,0.007806289693031807,0.04436574672709191,0.05534004793458264,-0.011175316420294823,0.040964305180098914
EFNA2,,,,,,,,,,,,-0.0226139496966812,,,,,
HBEGF,0.00843629653971408,-0.02934550798508716,0.007056383811918724,0.03166529975490856,-0.018720228337682318,0.04479489663879858,0.00980220980825467,0.015437797039159389,0.030485858842444456,-0.00376093839445186,0.05299516285656031,-0.02334929150593364,-0.004758123836068748,-0.01870666943973618,0.06727838385289926,-0.020804031902675428,0.03929329129336233
CSF3,,,-0.0362441015215985,0.041881256901740584,-0.010586375832281296,-0.00016073506901981337,,,,,0.03622866246079922,-0.10686595271019704,,-0.014978399275170725,-0.017482576082453138,-0.03411480950242348,
PI3,-0.005887075862220034,,-0.013876930017918654,0.017107021041509983,0.034504484304593436,0.08042888326317049,,,,,0.02036197707824808,-0.09665597104202892,-0.01777121986940329,0.021267920292718945,-0.03798382981065131,-0.0269845800152689,
PCSK1N,0.024007806681228393,-0.01702838876589878,0.036849818841360626,-0.022825363773291158,0.02154965940513855,-0.0402832970566391,0.029855453421957983,0.04922018326054524,0.015398264131348942,0.044566286682088806,-0.046505340062100435,0.02708794539170468,0.021450946318082233,0.08697244743878292,0.02284793498842806,-0.00783931491720255,0.10505869624156254
NTS,,,,,0.03258689106770639,-0.024488628216575447,0.00783748235177394,-0.021609075274376083,,,-0.04831185278956082,0.0023971192498654726,,-0.02659977275808071,-0.025889311232753703,,
SFRP1,0.03234907392227058,-0.02495271380174585,,-0.01670431156402541,-0.01913199281004464,-0.043681775102913496,0.09265341116618556,-0.055501993892899996,0.03604535672219574,0.02022252953511842,0.045791960467124096,0.011302411772290806,-0.03567557360881794,-0.010005851597043773,-0.009157630168830254,-0.01812385221888302,-0.023498197778284886
CXCL13,,-0.03420970625767636,0.05024783671916694,,-0.01896004920146343,,,,,,-0.02707821296533975,-0.05810168333060252,,0.016845629348539077,,-0.027671744625435486,
MICA,0.0008040336618407741,-0.05063844578703571,0.037340071215643686,0.006554528448298409,0.016116406263784928,0.15067623940806615,0.016583520713242806,-0.017951423856741155,0.03293587732381312,0.09515445147760249,0.03540343535347444,0.0592023483529476,0.10179515924359848,-0.045832112489992416,0.07921710484606254,-0.01786055824084415,0.10052596472407802
TG,-0.005729897333020843,-0.019237658118693716,,-0.00173424921451618,0.053749947626802165,0.04092666861248739,0.01583942753724651,,-0.04814903058025069,0.03376498319196305,-0.011421160642198695,-0.009048533946697641,,0.04794786529824838,0.053260448360475277,-0.030494405776821196,
ADA,-0.014975006241276335,-0.0053541619175066285,-0.03283133316388497,0.012519974516241344,0.06585349999382487,0.11093327022773668,-0.014049151501136283,-0.02859667043108847,-0.03831903493967308,0.029805697891610954,0.01334931934203013,0.021190118691194,0.04259856481895196,-0.023020495055726963,0.00399122072813201,-0.034774581114283006,-0.056030420998219505
LAMC3,-0.028531555407324327,0.05582941030846132,0.008405840461729971,-0.012361200336084023,-0.03556490069234204,0.04167659911843703,-0.02256698912060401,-0.048091330094905634,0.057439700376967245,0.0042553379109802215,0.053953866209006995,0.018268425743208312,0.0013081641619568992,0.022268797728589206,-0.035160482012788534,0.023700320024697134,0.03372263351617565
CCL7,0.03976748352816034,,,-0.013033202067548717,0.08019127951534259,,,,,,-0.002791157205777865,,,,-0.018320045066313212,0.009066709470179186,
NGF,0.010513829790387225,,,0.06785716919133299,0.0265998679781881,,,-0.02160908950251841,-0.029953254765353855,-0.029669059800286644,-0.03584635985116886,0.10530297421637691,,-0.0029028304174047574,0.02935723080095952,-0.02433639043833346,
TNFSF15,,,,-0.014513107947963049,0.11564394749002233,,,,-0.016357044497292847,-0.005944190311629065,0.057959445216797634,,,0.04742554611196403,-0.01178635984963654,-0.037756424867611584,
HMGB1,-0.012855633341359545,0.010717078162568807,0.04473757352314318,-0.012038334760415735,0.0341841517048602,0.05741515910795197,-0.04128597257684967,-0.06175162224252891,-0.07088831128066107,-0.010815721600384812,0.0030222195855359496,-0.010669413822462313,-0.06691178588695844,-0.04803820343003744,-0.06825526603862392,0.03985218349571988,0.009236212659194295
ITGB3BP,0.006721876970782329,0.016101402196162493,-0.032966438029250124,-0.009023423960222649,0.01960808304932946,0.11262281489638552,0.0343057956435821,-0.06386109639805443,0.03593797277875424,0.030302606928135314,0.0815600860739032,-0.03718480504217575,-0.023403542415383182,0.011994232930753359,0.0480464144832853,0.09278625449218617,0.07624126032951564
AANAT,0.04859753333002861,,,-0.013205445335478861,-0.01677028901551229,0.1966320579259679,0.05616515877037761,-0.020315722098971256,,0.18663362710941384,-0.027229049372479226,0.024414889649921296,0.015755354124750844,,-0.019383371665943297,-0.02083046066472037,
RELN,-0.01163167779761113,-0.020431414434896218,0.0008241165874514309,-0.02292169580838576,0.045095065994374316,-0.028457646697369644,-0.008962865379365954,0.026003397222535113,-0.07079535532125272,,,,-0.03235445064798339,0.05376781265985356,,-0.0629454540225348,-0.02635577167280279
IL15,-0.035336575370062635,0.03141575615299095,,-0.020349523540625126,-0.02122527873863176,0.09805927037479466,0.0546809578140376,0.06462286054021314,0.052921636401849784,0.06365303601155657,0.0663256039002191,-0.0326426351851229,0.029320842649423053,0.012633696478435624,0.04596986933468384,0.031207355820169685,
UTS2,,,,,,0.029160036450565148,,,,,0.051045990752820264,,,,,,
BSG,0.0026406488043760196,0.04011921132000926,-0.008726342536926817,-0.010464886535030474,0.02541646464720266,0.053316324684069,0.017992573244318667,0.07098667515757495,-0.07713791705206613,0.10791941003937058,0.07122983428036683,-0.03897837623752485,0.073001381450971,0.0037339394931489513,0.013203187173725503,0.08432729763993302,-0.029529938028714977
