,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.021957293857937175,,,,,,,,,,0.008011544870817577,,,0.030145778574882803,,
BMP1,-0.02479603252075634,-0.05005854334874008,0.053500413300447414,-0.033348236445685436,0.05469625440263027,-0.04590865467809958,-0.12905132184854895,0.00787538093335999,-0.17988132030101928,-0.034870534033844124,-0.03588303040870565,-0.04604174611366841,-0.0912623251665238,-0.08360280007455886,0.07827107259741374,-0.060118724066189747,-0.05657618372889058,-0.10047884328824003,0.010948598730911733,-0.06259317510071769,-0.05813241948283715,0.07972885117629801,0.05140536506695311,0.08194799410143844
NDP,0.043506828020289046,0.005051646302715802,-0.017960051934001253,0.04182852126862575,-0.005759231376918457,-0.03641662576132468,0.10678592891254432,0.07798105792628766,0.0026219969351990204,0.05936889650291545,0.036290836719590346,-0.022776595618471986,0.028704202374977363,0.00778403033327312,-0.08224824591112186,-0.011114486153128541,0.06286018324293664,0.06588241145182333,-0.07263976254724842,-0.04477617364978147,0.08760950747142658,0.14302679678933977,0.13312071081395016,0.02628784446257703
TNFSF18,0.06601742264750896,-0.009415210837177689,0.0399617209696002,0.015450577450774584,,,,0.0327342364884677,-0.050768058239072135,-0.02175930686979949,,,,,0.020332428071019204,,,,0.027420313560473888,,-0.007163266367941786,-0.018622275619008144,-0.022393650676444832,
IL36G,,,,,,,,,,,,,,-0.038587676339829534,,,,,,,,,,
RTN4,0.058780343802254255,0.2270408682748937,0.013668222700429571,0.007252170580149221,-0.007571186135347565,0.008331933933802356,0.14390330120691883,0.032716816340625225,0.15563262268086306,0.020785700630224693,0.020492657174053998,0.10057290564088345,-0.05716061199682219,0.2358300989496738,0.10317260727073958,0.02423440630058713,0.1247600179082013,0.050292165351300856,0.1456036735576878,0.09907564645182963,0.1250746153599185,0.049906507004116175,0.017283772832373607,7.628844130202899e-05
HEBP1,-0.002145750210731277,-0.06689227568453276,0.0326837697372809,0.061223718298026315,0.009930626563390851,-0.002222792216835587,0.014281075893356218,0.01720884395893097,-0.08646709101000728,0.019059522154276053,-0.012465286445334747,-0.09219249966951712,-0.055216822836458325,-0.00048530743129626545,-0.017733327599332643,-0.0572779138488456,0.08560948276438514,0.11435521182893722,-0.017936379755386266,0.00868841374231018,0.062278910589761365,0.16540790801726207,0.019060446721850546,0.026663519580639197
WNT7B,0.024292575997530014,0.21489409275483073,0.058507966492805694,-0.014168882967642573,-0.03572383095805801,0.012069318790767752,0.13362162945687805,0.020578389181078054,0.10208660249222619,0.008940837329135901,-0.01314468566712577,,-0.011830297727717194,0.07026404271466642,-0.04965452454005451,0.07575135098319541,-0.06172454010359545,0.060595739718855186,-0.014927555759554584,-0.012427037657130062,0.027894788403647442,0.0005632555546720403,0.0376478726012602,-0.01257294672029397
PTMA,-0.003432081019435474,0.07015771315828236,0.0755194322459711,-0.061596748051185986,0.07853467903760256,0.0264697328637082,-0.1375882193295516,-0.0163669407023885,0.08005945898601623,0.0011724668561460528,0.020676894816803803,-0.142580941139919,0.000790746273742442,-0.19673314589055374,0.04928376667768208,-0.03514269199272247,0.009805757061356824,0.035017603053148286,0.11850081622033572,0.012082083173426452,0.03392308896416972,-0.10253372387402528,-0.007509676973018594,0.060640946745909696
FASLG,-0.03762208112171924,,,,,,,,,,,,,,,,,,,,,0.04739531011681922,,
CEACAM1,0.057510202610803356,,-0.017797249920558932,0.0003255252239537649,,-0.004990539373098996,-0.0398812183182555,,-0.06680787311022932,-0.03422220589866755,,,,,,3.1613554214294815e-05,0.020053685134132523,-0.008327655804594231,0.06500114786752627,-0.005332759194264178,,0.04816219278755766,,
PDAP1,-0.029223919767466258,-0.14535225551863715,0.03724771819891004,-0.016075360642645704,-0.01015807999096194,0.08945279439333884,-0.04597427437602319,0.032989606141782264,-0.13222438436970502,0.02128514191742203,-0.005472676070993859,-0.041861770371397676,-0.015593236325674338,-0.12867822803941728,-0.04396066569803132,0.08672968371387332,-0.024749126741701162,-0.02363338293510735,0.013211522179084346,0.013785918610771563,-0.048080104714154887,0.08563346775046232,0.00762470635936066,-0.09096124280072337
QDPR,0.0809422450149086,0.12578562406322472,0.026392302446403015,0.019921566985968496,0.07055327484446428,0.067725632843333,0.16876613832488466,-0.009867145184046128,0.12189331346638742,0.07238537058638994,0.017888196500354194,-0.10443799134075699,-0.018519014104403146,0.06188304829356638,-0.0207435887490806,0.008006809200352348,0.10773781931064814,0.11011740875864533,0.05107498414452927,0.025884082337935193,0.014010564142051617,0.1277366021664111,0.06938444686091445,0.04181299056347807
POMC,-0.007169330308099839,0.16900682637287562,-0.016559132291813713,0.014644500766989824,,0.015888889548449903,0.11419482861637106,0.049444707359413705,0.028779869926169883,-0.02524777900625999,-0.005642078793249407,0.057314329582180294,-0.005038908456159279,-0.010822436292263973,-0.03996370716794291,-0.08931701438180284,0.09416518595845268,-0.0043157421132568735,0.024732409490992466,0.02997237261707073,,0.07195086127609557,0.010405576405313434,-0.07538529343781701
CCL18,,0.015943768148445142,-0.06191904782503645,,,,,,,,,-0.05338213520921844,0.059138777834243705,,,-0.02659198054222029,-0.007327574685617509,-0.034908595896187916,,-0.05770529778915267,,,,
CCL17,,,,,,0.02537710200903795,,,,-0.016786751591847324,-0.03413951724319943,,,0.021961299705862896,,,-0.047107787830645606,-0.012315634036288598,-0.009965947947960921,,,0.0443455939323376,,
VEGFD,,-0.007795013939005217,0.004083429618332005,-0.025319054329840666,,-0.02152515150886555,-0.0283979691762276,,-0.022197863797798156,0.03776297038103126,-0.032777659737446736,-0.017383990855016917,0.1402221052851621,-0.02855865465386215,,,,0.021987911694908054,0.03442924814581347,,,,,
TNFSF13,,,0.03562654762595167,,,-0.013326836700940576,,-0.018439563585133538,,,,,,,,,0.06099837840342219,0.02859139702961958,0.008390116364674613,-0.003710472458743592,,-0.034017722104925784,-0.027835463243071273,
WNT5A,-0.005542358253832686,-0.03966551349597587,0.01212246956298552,0.0002829804608473607,0.05306081635267361,0.023850807138150586,0.03529169766482258,-0.02051760752567877,-0.050504342804412516,-0.03146822784673694,-0.0011572642575187917,-0.015527967394836585,0.10278277384471314,-0.04696213032285321,0.0331680758321065,0.02987477577108812,0.045788946256553,0.056486212925624404,0.0381322240946078,0.07280002556184807,0.02176252022306583,0.049841772713071705,-0.07116653755432047,0.04677941544343008
CXCL8,,-0.11709959078973847,-0.07765298954982904,0.03745816777792516,-0.04800229073634839,-0.06288398185840761,-0.10365639891077513,0.007353094576581674,-0.08312709260516632,-0.029496884014653633,0.0820184551842362,-0.09802608753791864,0.14783237330619892,-0.08500864845328428,,-0.03134601660250502,-0.2401161248803673,-0.29064894942226605,0.03621545134562567,-0.014280854645484916,-0.00729882798338953,-0.030521803688882687,-0.1075052137702089,0.026808356482930163
GRN,0.006530274504781013,-0.04700786158130233,0.07691255915010417,0.04101582453112236,0.04177511901746784,0.00046744264599311364,-0.07372678892073849,-0.03506341664109461,-0.1190708383440529,0.027902601002481577,-0.06481513884329447,-0.1105323130464537,-0.06088375107379697,0.0869771557792973,-0.07268328780180457,-0.01686198297678181,0.02856072640310606,-0.029852039418403746,-0.14912126574396709,0.029108639638068798,-0.01743556366056204,-0.061840009944579985,-0.019578645849295744,-0.05826069864112566
MIA,0.08341246408803854,0.013660711460922565,-0.05174075674617493,-0.009237609966723832,0.00983053925009296,-0.009121156783950198,-0.05307480714351356,0.08842340364145719,-0.07663030935906288,-0.029256587668624566,-0.00895586648985101,,-0.020393452221594638,-0.02456312082546731,-0.0780627926254129,-0.023115790991330747,0.15095375061157967,0.1552953962405795,-0.0628802357379162,-0.016819943837134088,,0.22294775333175743,0.03011276471847908,
COL4A4,-0.019537193916590447,-0.02121385633948472,-0.02844562349224001,-0.05959236929295824,-0.005813297365923864,0.011269738301268643,0.0032877284599819585,-0.00905080759214594,-0.022335854553399464,-0.02833300774131433,-0.02786387101286589,,,-0.05019048255423636,,0.009718197670663538,0.05479369163936328,0.13382254084577325,-0.05763485551145624,-0.005427139452055029,,0.056240454941776,-0.0012469132553066028,
TAC1,0.013100454178873566,0.28090184921079486,0.02687278024667715,0.0588313531408605,0.03309669335780939,0.056627109878057406,0.21402993594876002,0.07234805689784275,0.15346421322601655,0.06403040732790195,-0.053819814027033126,0.12811878930976234,,0.1981082475877172,,,,,,0.0034302422442723025,-0.03785443265192825,0.05799176140604111,0.045561117388666236,0.09109265870027898
RARRES2,-0.13292366663296604,0.02711647486439661,-0.0282901856849585,-0.003662379728516119,-0.07557588886189888,-0.008344732908761626,-0.20172120320871614,-0.01961808743127489,-0.1676807736957283,0.07947592820506193,-0.02567353034243402,0.006519199342493808,0.1370692854711874,-0.15227286733447182,-0.040317201475572786,0.0883771495473823,-0.0833065021243767,-0.11633481935128112,0.04444689442212368,0.008371119998605837,0.05017295351964112,0.1437015588604596,-0.12636582889859757,0.07746193430067602
FGF7,-0.04067682370029493,-0.07289000954130316,,-0.02631742594427426,0.035795670440168854,0.07861827626626317,0.027162773013783736,-0.008349015708688614,-0.04941116512414235,-0.024453648054258346,0.04005836153633203,0.02036686236571905,-0.008847687109493232,-0.0344112617399246,0.047204744533679836,0.011904605729055584,0.1028532498452691,0.10920201756328896,-0.028603770815636465,0.04645680635304339,-0.052450730814989015,0.1587400996695119,0.11440929524805223,0.039582899744991185
EFNA2,,,,,,,,,,,,,,,,,,0.007038670704723765,,,,,,
HBEGF,-0.007750284832018667,0.027445969317615705,0.07882985851963664,0.013704813358379272,0.04846820317226477,-0.010423133884374087,-0.08611439471529547,-0.07664701180122534,-0.06553951334508694,-0.054283817342393334,-0.038808247473991,-0.007971371248987865,0.02981381117530906,-0.013267341841823432,-0.05519694552505297,-0.05585047475107125,0.010110459764115518,0.05933940420569913,-0.0332914510007681,0.024786416177317517,0.048463480763732636,-0.055318434957750406,0.006466393500345465,0.029193411905569653
CSF3,,-0.05909733289979352,,,-0.025357404797280353,-0.023028331008143655,-0.06074173923264559,,-0.012251941688857088,,,,0.02810862585542745,,,,-0.12905110373337256,-0.1873483146411919,,-0.04228791195481954,0.05640532329756729,-0.01208721092506486,-0.03321244256399751,
