,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,0.0381615877790093,,,,,,,,,,,-0.05164699834144554,,
BMP1,0.08933951535752263,0.07828308087589805,-0.03665302129210789,-0.013844578660569715,0.019520066831944037,0.2390090537540373,0.28458168505166453,-0.037106055900363005,0.027272057871480775,0.10590534906085354,0.06869263400029957,0.25440639988831126,0.24769061574406015,0.19086813963181287,0.23390419015851185,0.09037104598017259,0.06786642280577738,0.1829056825901923,0.07769964728002282,0.04917748582653354
NDP,0.08466516794047622,-0.0062106303941948495,0.00878636971294159,0.06279230136198045,-0.019018157280155667,0.0658716231334807,0.050610266743029556,0.041616236157460317,-0.034843208231768404,0.07298293094499265,-0.0015299917056020242,0.003596960270509322,0.0879643201601906,0.029440747438733213,0.060301307202643976,0.024987988344591268,0.09824780284612414,0.11217994194756978,-0.06602690622561812,0.07816596029423421
TNFSF18,0.0817983661968738,-0.02577346429592314,0.007522339151407553,,,-0.0058607156782939,0.24336737488965182,-0.025474739023787395,,,,0.054457368741215526,,0.04537460409539614,,,,0.07442620148804038,,-0.04737540282463212
IL36G,,,,,,,,,,,0.09284260202928185,,,,,,,,,
RTN4,0.0012579197465402469,0.0047040655468445275,-0.001328704453596655,-0.004636289797597872,0.06048846458309539,-0.10450190703473945,-0.28982692938328797,-0.03058076746765376,-0.010577027133151087,-0.08011692577524201,0.008707372966417541,-0.05624337311812474,-0.11758240901844967,0.07604732162400188,-0.009794185930436268,-0.10172397600684552,-0.029241418835678053,-0.2618507590317197,-0.017427061053149735,0.20130676888192972
HEBP1,0.015876156215753095,-0.029163776275695247,-0.02874282071419456,-0.007192149682424819,0.03991689629431337,0.03710255623525229,0.07427433288398987,-0.02571470505113747,-0.027670228811644253,0.0076950614110719295,0.028037756389013777,0.1404172531860077,0.04862590080308273,0.028995491339150813,0.04572684590137523,0.046991219202901495,0.03754333674620585,0.037581963637984724,0.00995911792680064,0.014725639025862266
WNT7B,0.2236221933930946,0.013018131962952005,-0.02896842753484905,-0.0088323541629013,-0.00661007361996844,0.03569721415368962,-0.08633102595034615,-0.03384389879573074,-0.013054819787190305,,-0.0021341849668402007,0.10346590917653249,0.0044389827625615115,,0.10143822068734566,-0.009634872831959544,0.02229658374409625,0.023009506795169124,0.039750271559935456,0.07168512477424775
PTMA,0.01811215060016976,0.031059904044720747,0.00726269433646955,-0.08221306984559157,0.014397954147382876,0.15530853629343244,-0.19437154364259038,-0.054053259047466974,-0.001989480197386128,0.10426123083203183,-0.08513203945258074,0.07125823064911084,-0.02696815405534554,0.01665668278826493,-0.09283014571907784,-0.01099481204378308,-0.020397886686890188,-0.19790204129621275,0.07451237000465859,-0.06286988329275398
FASLG,-0.032067523539122816,,,,,,,,,,,,,,,,,,,
CEACAM1,0.06438526900060074,0.01313946684593094,0.03790108192388343,0.03023929511510566,0.07767831418680829,,0.0961478142151126,-0.040065695534487716,,,,,0.045862969098684835,0.014766331514495181,0.0022000743992080466,-0.05904780943739847,-0.048716631341801146,0.04737276196660561,-0.03565895207353493,
PDAP1,0.04876283077852097,0.016071701794080503,0.030919133268494922,-0.0020404435799809225,-0.023161975253563234,0.04871854825634664,0.16982088572577836,0.00281697742120463,0.03024077646125005,-0.031918484432757334,0.023819910881077273,0.03780253091230443,-0.012624312371681295,-0.10218251241335063,0.013787284652611321,-0.062413952751762855,-0.03132314148988509,-0.04409946293302231,-0.007289531075649274,-0.016065407552833248
QDPR,0.012099201994035596,0.034252437295292974,0.06538516944107713,-0.005859409719243732,0.04474571941426813,-0.004465867398060435,-0.3108063477595025,-0.005184546421868725,0.02875025751887749,0.059278907937533654,-0.04322798159974061,-0.13350100038264917,0.03825190812201899,-0.03380096640822302,-0.20271842226465397,0.06264782424708576,0.13520025605354272,-0.22820189144634542,-0.009877761578792488,0.13716734835463612
POMC,0.0110795858336435,0.06661933347563884,0.02668602725172715,-0.022049923437306274,0.01404215392377601,-0.016720300737799176,0.05430897003511355,0.0495453122474008,0.009163824792735718,0.018703260923035894,-0.004746732202825517,0.06683903602872615,0.028832390863228374,0.0503464505961667,0.04822762705735932,0.019298132820299217,0.06420324255440978,0.0019137342938121376,0.036480689891194545,-0.01030733293215413
CCL18,,-0.0009505460384948734,,,,,,,,0.07120233342461621,,,-0.010160897499511976,,0.03955217633064247,-0.02665640913784127,0.004869951093347201,,-0.08312365567806636,
CCL17,,,,0.0419025991499732,,,,-0.014341444967031493,0.07136011389514811,,0.11096271035318346,,,,,-0.051108966448059706,-0.051088404943638685,-0.012399889296342613,,
VEGFD,,0.07648033188184378,-0.010711391467041764,-0.03342715232830311,0.1152771261424651,,-0.0405881559670557,-0.00891034301611545,-0.011852240437370964,-0.023221248081758135,0.049869963378054744,,-0.030802634636958506,-0.11704942749449107,,,-0.048716631341801146,-0.00853418885347355,,
TNFSF13,,0.044367348544659,,0.01624131642238372,,0.1010055867155761,,,,,,,,,,0.0376108901413092,0.052716873718953575,0.07888084822093558,0.03657660397690081,0.03661040518237552
WNT5A,-0.032972497751788996,-0.02181842646082419,0.016120996014987413,0.012987466039006574,0.060028623593639065,0.05267452397985338,0.2523662104807265,0.006441475311278494,-0.0417387915698462,-0.030176870643088233,-0.030489832644406998,0.08965034261833693,0.06380624631231957,-0.013292868512712372,0.07339231933036779,-0.036489861389697745,0.028064099410796097,0.10456917296634503,0.06233369494385694,-0.016548645942932188
CXCL8,,-0.013529319405183685,-0.029815149117185684,-0.011638821031762791,-0.11803535441626219,-0.005889677082686839,0.10752569397966737,-0.032872708097234235,-0.011037321647827095,0.08509421268250715,-0.07844447365748268,,-0.2376652585080847,0.10959693776028816,-0.10567245517211013,-0.169494215768364,-0.20122019897083326,0.07629598081872468,-0.048150277401980766,-0.1553760248379168
GRN,-0.056145981528280334,0.02156565827307293,0.018517416807863302,0.043783094280056105,0.01390653524615004,0.05071194481433471,0.27730202411668115,0.005763498784006493,-0.03457960512841476,0.058569907353279285,0.11789952708819727,0.04815090851758352,0.16238104124703953,0.20390939338524022,0.24248385312151033,0.048970963902490186,0.02803221706014373,0.20968435943130379,0.12887056445227812,0.1266567494052468
MIA,0.08496929865450846,0.08683472495209836,-0.028318226230310824,0.015747683345165835,-0.023430645355722562,0.13948770221888454,0.13216535006912913,0.030207478514238353,0.007978944056250189,,0.06387055371914266,0.07339738200407712,-0.04161169601470909,0.08732605205181394,-0.003919471634119236,0.08732200786454083,0.09534564432870325,0.12591694836809,0.019904573201320417,-0.013095496355580653
COL4A4,0.016190414990812366,0.0016615774369478087,0.06714136539736026,-0.013929365925402582,0.005738025498852284,0.024465682421354055,0.009208248468962963,-0.00665369135169803,-0.022644366114073517,,0.04651301026944081,,,0.015272006140053756,0.04703126824335406,0.07460526216922056,-0.02522367948462891,-0.06266526342003921,0.023428456220156,-0.038854896869018295
TAC1,-0.032067506092502716,0.037350701219549365,-0.024363760068334236,-0.005295620362021485,0.07603200367671374,0.00873764587081493,-0.18413961730906953,-0.0472213500331531,-0.002834381817271283,0.03141773397763176,-0.04325007089964813,,,,,,,,-0.021280276548919442,0.1385011561563334
RARRES2,-0.013245090785303799,-0.015278468113026517,-0.03186216270634204,0.04209567341933992,-0.11745320704304117,0.011425278881230991,0.22815167024832994,-0.017643719398106505,0.02487136333468332,-0.04091849962829687,-0.05441166284776498,-0.06667011926301038,-0.057904578999382846,-0.12001200962836672,0.003056760368759648,-0.11944456698193053,-0.10003934217246091,-0.016736121963049726,-0.000522059007013271,-0.13620565240244273
FGF7,0.08562298695175032,,-0.007537266617177866,-0.020126305669867135,0.07614721262179078,0.13406647148755346,0.10753219387760318,-0.03901990656370138,-0.021084693804660735,0.08745022796583463,-0.022459545754962333,0.13011217218374607,-0.0871478987036774,-0.003908812704864697,0.06467301557648378,0.028852963188333407,-0.038817760250296436,-0.011923960765920278,-0.04038193309505693,0.005923110887321647
EFNA2,,,,,,,,,,,,,,,,,-0.04630189782350288,,,
HBEGF,-0.033353913686877006,-0.044020246904724454,0.0019210255409830973,-0.02516620347996883,-0.06514965176900302,0.08368321495009945,0.19652396636753144,0.1066602324900213,0.0290119617707902,-0.023645498956401424,-0.016804859099216068,0.12219039334477096,0.012750804077787588,0.11893629979197072,0.16950926090068902,-0.044139028211780895,0.04796843344718641,-0.008515225636416284,-0.017871398711396896,-0.044561859676000216
