,MGH258,UKF243,UKF248,UKF255,UKF259,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,0.012043046490299176,,,,,,,,,,,0.03355800103996192
BMP1,0.021578711090923814,0.01469912291274574,-0.022532362466313603,0.09677512873789325,-0.04064038960954779,0.3274598287396196,0.03686554861818082,-0.05600699908376359,0.03665195878611273,0.02563645199718933,0.04640646632170838,0.08656658554594455,0.01757326883772087,-0.0012711979731768958,0.0168472751329389,0.002491049285744828,-0.002799678502087286
NDP,0.08180575314703961,-0.06371110143559462,-0.024211681662064177,0.09407254965046359,-0.0317324554862409,-0.006153516017765899,-0.08519179337698259,-0.008219621354000936,0.017838283272856786,0.048324725440898525,-0.09682520135196075,0.05123921276895095,-0.03355036143342699,0.045646546486431086,0.09177969634551088,0.005532448672327968,0.052870088999541896
TNFSF18,0.00858744689674454,-0.021544823491749746,0.08918167724718301,,,0.06516900879458262,0.10083644201856178,,,,,-0.01619661423184241,,,,,-0.03680971746770313
IL36G,,,,,,,,,,-0.01293468283859752,,,,,,,
RTN4,-0.0005880258732557854,-0.011296761951726712,-0.011011530223383779,0.03572330811731295,-0.03150427304004095,-0.4169021825997208,-0.033814184215019215,0.008990253371268091,-0.09485822653509306,-0.013503317250072961,0.1553530677839259,-0.08962708811604078,-0.037550499023723025,-0.03588161024619863,-0.10303857653212894,0.006979281430358213,0.028709332984413933
HEBP1,-0.06756511974964338,0.001475252505481104,0.06009947567534396,0.05064671840458702,-0.010377491366524829,0.12403674256935653,0.03733088491534548,0.04636903420167028,0.07103025349643463,0.02066673582181528,0.060951466881135986,0.0952586679314391,-0.03618352737305913,0.024659442284041485,0.08125527557184772,0.035390106683318746,0.08000190128669081
WNT7B,-0.030923218124745716,-0.03665308858378264,0.07956211949763267,-0.0025704341013548892,-0.004294019900924866,-0.13997602411839272,0.056745653176189896,-0.02042973650019823,,0.1535662637948307,-0.0013933170453793602,,0.0008701160968317873,0.1428766091586348,-0.028109602896095955,0.10799692103377115,0.019487183091700565
PTMA,0.010425921861912353,0.07056456798554238,-0.07696735369052368,0.004688303875285004,0.02412093980170607,-0.22076753578887037,0.02025984247751343,0.05352830223100611,0.12552414023329853,-0.0001282265344142937,-0.032941859267566966,0.05843383773539742,-0.08750123033120263,-0.019911765797945152,-0.1333158992880337,0.017434571791411824,-0.060879346772444186
FASLG,-0.030923226866660262,,,,,,,,,,,,,,,,-0.023798476189874886
CEACAM1,-0.019185022670168507,,-0.03736606270522788,,0.010039870000546826,0.11222681648536921,0.02653132447424993,,,,0.03433067207066071,0.06284845732701133,-0.03347699101034311,-0.019823717880956427,-0.030855475172366354,-0.017163928396483053,-0.01983793986629196
PDAP1,0.024201959128070986,0.007786032001906285,0.021213948539749294,-0.02646879548460187,0.04756556549077279,0.2963728701767187,0.018613052834867874,0.06315587572933128,0.016692426228315432,0.017704521688289416,-0.026839229397277092,-0.0886775409647059,0.03130283167873173,-0.02211301641277822,-0.0610022572960876,-0.0232661425997095,0.02217193397027592
