,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,,0.0734795187527922,,,,,,,,,0.053556635818766046,,0.026330574361078357,
BMP1,-0.020681057934103617,0.06433508286792806,0.036623001978092505,-0.06280329612106839,-0.05994080669082158,0.30751607418687826,0.013968852142739628,0.03864152582092679,0.03222189037349789,-0.012655703725204925,-0.042611148736213834,0.008659622653474754,0.14052659434118747,0.115484475285166,-0.05892665314544315,0.0743630137956294,0.06384312360658304,-0.03362227988669679
NDP,0.03376917585078794,0.053008484200779124,0.06712299783731154,0.01507464791951048,-0.01149616142884189,0.14576565608418274,0.03923636071988355,0.002165882204624113,-0.021592341641636745,0.0415842656524569,0.08474082118277354,-0.014870873043178653,-0.13044345982543448,0.06193802764684976,-0.03388107550702576,0.05173370943375763,0.027703057872151396,0.03204501755603667
TNFSF18,0.019122283936294573,0.024807262348717912,0.022993133930364156,,0.024515050440338665,0.07229702087767959,-0.015670681980767615,,,,-0.032400424912427735,,-0.07148556492790707,,-0.03715466090653521,0.04011292156805454,-0.03137894236663691,
IL36G,,,,,,,,,,0.09383068743589655,,,,,,,,
RTN4,0.0974987220845678,0.021263718432430752,-0.018661305576893737,-0.007543044467527993,0.08184164076885866,-0.428106676455811,0.03297532037355026,-0.009888946648024597,-0.022013730106745826,-0.001816149222882622,-0.0037767086835107703,0.04630383250035134,0.020244573685785527,-0.06695057260349721,0.030943024684852757,0.06975380541011815,0.04968225540732512,0.06875329575723006
HEBP1,-0.028960392045933404,0.011009378639324687,0.06788760332369734,-0.03403805397082821,-0.021387657280767473,0.1457119537773503,0.07781904019136364,0.021646943068371234,0.05313263857341428,-0.008825503501543227,0.05706715511604705,0.09287589289613246,0.03563450036627255,-0.019819005122592576,0.05654168768174263,0.037431350662746,0.03570214330235099,0.03465747140836678
WNT7B,0.016850058952240125,-0.024133523265641967,0.005422698715515988,0.021656049334561535,0.019342672715006587,-0.16389837131998825,-0.002925194927225195,0.04450455143226935,,0.01512078447564648,-0.03153869022895102,0.036709581937342216,,-0.019537646832759988,-0.05651217306232018,-0.06634215445468618,-0.028836027376323677,-0.009774648771747
PTMA,0.021928879582064957,0.01635779713927443,0.04253282870841736,0.008764475318721798,-0.033680953661842435,-0.01963494929754207,0.016419068115640822,0.058986769041184835,0.018680286601730167,-0.04910443744240623,-0.028888536657476684,-0.04744692202958202,-0.007438323027602881,-0.1575102700112726,0.13845096128016962,0.1412141736690599,0.018071233865326976,0.13818081787694433
FASLG,0.04613614005243685,,,,,,,,,,,,,,,,0.0860750046764381,
CEACAM1,0.013297468442606451,-0.017949797608810582,-0.020160785575151805,-0.009996692639614,,0.05027243915532227,-0.02464624946591006,,,,,0.041974055904195416,0.17171649674142353,0.14588312747818766,0.04361381834778023,,-0.022447903673650217,
PDAP1,-0.06874364512339654,-0.021821423300283176,0.03716028128430014,0.003495003672152105,0.012328692813080027,0.2695061408189805,0.011770791416360844,-2.6793681463200305e-05,-0.041728263287415225,-0.023249323786752745,-0.021306866803035777,-0.05956640046413147,-0.048776082197780006,-0.04940487329249289,-0.019959307070667523,0.0340138572409351,-0.02200177521033084,0.06518385224870302
QDPR,0.26731525774043086,-0.005533319904672046,-0.044880801708006623,-0.04012588476213674,-0.02791387158726756,-0.20702661894368377,0.012249405336277313,0.12402635938151435,0.04560932047991748,0.0218939642546055,0.06531680428630005,-0.07538397645744392,0.018957199019291042,-0.13392589797405918,0.14693223117011428,0.1480803982223617,0.013789645927206579,0.16134533685185537
POMC,0.0008169952630070315,0.007405774946737484,0.023759344076811288,0.08191111062886822,-0.05092872190826446,0.07113331656235086,-0.018183020162142103,-0.027846645521913946,0.006610255309115645,0.04774282932019956,0.09049981527426992,0.09429582624409477,0.07181825391726701,0.048319731021508834,0.024853855598224596,,0.02715968837650181,-0.0693022122819668
CCL18,,-0.022399651446630673,,,,,,,0.05986637359046193,,,-0.07113600118053745,,-0.0011530029323588548,,,,
CCL17,,,,0.01958437381285341,,,0.009289976237436399,-0.04051666187061584,,0.08943773790025178,,,,,0.0072038912093269625,,-0.014623536576897307,
VEGFD,,-0.02239965855956914,-0.029624040073577898,0.03224765198545776,,0.10612401027146585,-0.006992340444911038,0.03414224959909676,0.04682710594208133,0.015378733779081739,,-0.011423463637857088,0.007970672834343231,,-0.06773368076361935,,,
TNFSF13,,-0.01690350114987769,,-0.016531791155062873,-0.011912581065763046,,,,,,,,,,0.030400792160363007,,0.011351493156717721,
WNT5A,-0.04831432777619946,0.0367274341110619,0.032409913873847195,-0.02737777600125253,-0.028200969565952888,0.24889103441906854,-0.026736153354808646,0.013665600169437152,0.05218512592441605,0.021481005522730086,0.12085922612028024,0.04041049446247076,-0.08079116205259046,0.1013700137882884,-0.0032399519267404743,-0.0419063830518697,0.034129422229230495,0.0647059100096805
CXCL8,,0.0503088592986995,-0.019072924520542895,0.10270350285311845,0.04115142961008001,0.09962290423288572,-0.01627844832236694,0.05725107798131506,0.09580544072773896,-0.019723053163794642,,0.06301112538888615,0.2349128663954012,-0.16541765054285829,-0.007288361042336278,0.002259085837139621,0.02848733544674558,-0.09077622784625072
GRN,0.21683499008246152,0.044077292294221,0.02710787816774731,-0.02739814463936681,-0.03095377294912217,0.4167885157594633,-0.00490907293772871,0.025952043474082316,0.08858220092466285,0.0546839652610079,0.12400175425108537,0.12076248871418209,0.13457508392463993,0.07261786466866417,-0.0792623631955634,0.06117661203836884,0.06765663277647231,-0.01912111495512119
MIA,-0.024537383563008688,0.03382498813482888,0.00024431230045877846,0.06566827128645478,0.006086086525092578,0.1093366660809138,-0.03841475986367167,0.020432487230123423,,0.057004014060231555,0.18325993998714435,-0.04681498332828776,0.06339815911054443,0.10490969487477234,-0.07264926386029315,,0.045348721538271276,
COL4A4,0.008398211660548478,-0.01352835092234727,-0.041979621900702355,-0.03812314750841944,-0.02556262515902266,0.07768300123526395,-0.02040494931798603,-0.028289814589057917,,-0.007427280260446534,,,-0.04930292491112864,-0.05667273481276404,0.03333497646825908,,0.019439023218773464,
TAC1,-0.08051161841576042,-0.03128604338501975,0.006000918802731661,-0.0344005402721287,0.059660835813961886,-0.34262454139798776,0.06363088330475253,-0.05210355590191514,-0.07162191009752779,-0.027487023854001032,,,,,,-0.06618602757834555,0.10840722992894045,-0.07499601157105429
RARRES2,-0.14921725197898814,-0.06279777115457293,0.07613879577966683,-0.004073714965919289,-0.03475270553050633,0.36307026863681774,0.04005148599621284,0.037238526710448173,-0.0230432058778867,0.015576512333775916,0.043129420795531954,-0.07331291537146263,0.009812282533169707,-0.04423524303586801,0.010648545078107419,0.015763453002075597,-0.004792784625077431,0.11495013138059543
FGF7,0.013145298467116054,,0.04130581590567017,-0.025756290533452048,-0.004444510801729308,0.1203495120161693,-0.0062459580807819335,-0.007945929380588248,-0.03232372960131073,-0.010144064836566267,0.022333678814001886,0.07043220862051203,-0.06901274287451224,0.032733395234727077,0.041151044420395834,0.03747142166706186,-0.006818748691187772,-0.02293134848641746
HBEGF,0.03611365125526718,0.05072483769497316,0.07937208499940467,-0.005495814972990413,0.000541925865129281,0.1036697835336107,-0.0293504715839998,0.003530278719132873,0.047930593234990604,0.024227301389227327,0.07733542032893892,-0.009729930660867477,0.1508994107127453,0.15984382047001244,-0.002114522252278455,0.04198955364035376,0.0070779580153476135,0.14217236399922917
CSF3,,,,0.10618765026996443,,-0.03535002874247138,,,,,,,,,,0.07971910559431396,-0.015396328068689208,
PI3,,0.00497865662223026,,0.111383417060463,,-0.01973552292831168,,,,,,0.013959088409223658,,,-0.02126470832624667,,0.005159835868390994,
PCSK1N,-0.07259155028374151,0.013683770921598249,-0.07550998180895084,-0.09513771518189178,0.08904639335870347,-0.12936624182999432,0.0012458186266160543,-0.019948506165759904,0.01808599621468885,0.05258180443672683,0.0848489699454595,0.021923285060810874,0.008492672196900065,0.04729260357187886,-0.08178153947742853,-0.15588018539343143,0.0066089147239624954,-0.10412835785022771
NTS,,,,,-0.031206157281685562,0.05725468415052739,-0.023310282672395065,0.06119488684466078,-0.025854330562091812,,,,,,,,-0.022799862407688453,
SFRP1,0.11397422005876479,0.021238079843132772,0.019712906807709433,-0.010581353023090883,-0.033537711555320635,0.18675312144736303,-0.015752937502875812,-0.004820829370411383,-0.024942458941906536,0.0036261501501339815,0.10042665953653804,-0.012762441566953235,0.019371256421592025,0.132775621695048,-0.041438461021383224,0.10072497519440232,-0.022270051367460006,0.017902569869009496
CXCL13,,,-0.06885060610843356,,,,,,,,,,,,,,,
MICA,0.02584415001134724,0.039391317402886684,-0.034816594450146565,0.07671777486762657,0.01113165757045148,0.1410053788517218,0.004344444027687778,0.0031599898909237373,0.04889045284191362,0.046618384934420304,0.1323939477281647,-0.06833978838756145,0.08062062380981956,0.07363991224245804,-0.07526541565898641,-0.033477795362296336,0.03579481778469019,-0.013236487723247675
