,UKF251,UKF260,UKF269,UKF275,UKF296,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,-0.013231782459339776,,,,-0.01821904111552393,-0.016423470361123103,
BMP1,0.04236025749031432,-0.0379236705454937,0.06705092656124055,-0.0889578662150681,-0.011664557966669513,-0.03107302200873371,-0.002623805336925511,0.007548833780759178,-0.05511528834989335
NDP,0.041408559156919385,0.02692608717204333,-0.02996509110820127,-0.02609586613104931,-0.043357440771254196,-0.0037873470697621266,0.03485433783229836,0.07843274941428971,0.004134906835175482
TNFSF18,-0.02528979954525549,,-0.01964879972312486,-0.021599657940271404,,,-0.01878897551747905,-0.013165659079949767,-0.03256831302240008
RTN4,0.05556672511352264,-0.007515754623474541,-0.07592313257489075,0.004976715907324242,0.02811727241491389,0.03964889184969617,0.08490841724100677,0.05614397078269343,-0.07533542831024165
HEBP1,0.009109764959861422,-0.02501133364261588,0.013151976323600332,0.01730478888247255,0.06583010311502596,0.004791381059503598,0.062315035671202765,0.02407012818684932,-0.028435722668671632
WNT7B,-0.015709239525174813,-0.014360102485797537,-0.04801605776671554,-0.0034389555375099797,-0.013333401287482479,-0.03405272278450474,0.010637806614857399,0.038930689616676374,-0.03530407069021733
PTMA,-0.02950671206653514,0.009855923962890381,-0.022341996417649182,-0.01876516671038787,0.03511693367012588,-0.06212567847873553,0.07800235649056306,-0.04309673020920308,-0.0730201993409534
FASLG,,,,,,,,-0.01424407024125419,
CEACAM1,-0.012055896488437145,-0.004363102133631064,-0.009924620906741061,-0.01763026442852904,,-0.030539027227462878,0.04640399929762935,-0.019818531667590285,
PDAP1,-0.01155646598307281,-0.04287674880488091,0.021845609902637078,-0.0017694794220874295,-0.008267152612306806,-0.00032585236791955605,-0.021795815717765215,-0.04401300496725646,-0.021787749531719306
QDPR,0.05088197888118596,-0.012377101653323128,-0.020196107115057982,0.07638109304087744,0.041480586498638415,-0.006005933062221531,0.034889347207963356,-0.009221258356141994,-0.020264845336556963
