,MGH258,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,,-0.012843355361334186,,,,,,,,,-0.027454040125598076,,,0.06691766812145604,
BMP1,0.04407198488375788,0.05316279124556883,0.0071732307904501195,0.09700490548786278,-0.0027898491045212012,0.11008534735526783,0.06028411613294933,0.11902360952898874,0.08500700014459943,0.03872569162837489,-0.0066303259593617405,0.07630064889532176,0.06615460994020164,-0.0013731801297738378,0.040673236747009026,-0.04065921267282111,0.028051609159141302,0.16863647355598665,0.053678331464701405
NDP,0.0035275345139622765,0.002026129598179756,-0.04619730913738494,0.08863742379597066,-0.007546238024405672,0.02841204116911192,0.04032072966306764,0.11341727803437618,0.0406268425954999,0.09213497676131281,0.02732830299211648,0.0509175417869141,0.030938206110215565,0.08149481900610712,0.013693369104658001,-0.01750002598642721,0.12624121021355517,-0.02120939812769105,-0.014689339344808303
TNFSF18,-0.03443721311743662,0.07451793163716731,0.0668844127482959,,,0.02124652216236666,0.01948323405199766,,0.11449948314090572,,0.012471689632876256,,,,-0.02831286698926338,,-0.0311285692214915,0.027752167939962914,
RTN4,0.002545358081778477,-0.08954179920343663,-0.022183874237852202,0.05025544652798368,-0.03112121388510767,-0.10970862893817947,0.03285901601006139,0.03242326800267381,-0.039080204212838136,-0.0014717144542561215,0.09284013637323829,-0.004115735215386626,-0.034997607750205315,-0.08872582888391305,-0.07210024628121363,0.029465823919340654,-0.029600582582332804,0.003130398144110778,0.06636058903078765
HEBP1,0.03091238254235928,0.021176302567440235,0.003762312172094005,0.025047174129151157,0.03941945950676078,0.007726453367071282,-0.052929303725376686,0.06474739936333947,-0.011020696124198216,0.05140622573264905,-0.007768429096126158,0.06245000430865482,0.04769335719796934,0.04755575274216703,0.022369646089102663,0.04757142910179467,-0.10731581377027329,0.025067536034640688,0.02348895034085269
WNT7B,-0.030338106152953088,-0.04524794517290591,-0.008899080329148663,0.012190476527682438,-0.03980368433284439,0.021441894968363462,0.030489668317561305,0.00803728228200889,-0.014895174507543197,-0.07217833124264807,,-0.02904660526463919,-0.017295126203256152,0.021360802121595485,0.014525867983033939,0.005821623219694702,0.03410830273615205,0.017655067359061864,0.05128915907392634
PTMA,0.0178624282038942,0.049454175212979415,0.03404250356733966,0.16370134255439783,0.033156653168361985,-0.0016912672293305365,-0.03630436421221718,0.18974553557700857,-0.01670476639086098,-0.03608498177600868,-0.06291764752191822,-0.08997424026479867,-0.0003027568312573297,-0.014880856071585522,-0.1464914333405708,-0.008463961420251088,-0.041392507829833156,0.10548879477180062,0.014772197537832784
FASLG,-0.030338114729457983,,,,,,,,,,,,,,,,,0.1921437862624527,
CEACAM1,-0.04212473781154299,0.0009707416027909771,-0.02368173509515678,,0.014301672707613775,-0.025097661981094945,-0.008633319380506613,,,-0.005772050071465073,-0.04277938652704437,0.04964430933924822,-0.03498963165719405,0.007431459631693156,-0.014664440086056094,-0.003423621335965577,,-0.020610461804476482,
PDAP1,0.04613990929363647,0.04190953789268847,0.029273611011213643,0.07965438842863484,-0.004532525353236948,0.05488274703867716,0.04295571381123584,0.06036653791778092,0.1248208292777773,-0.04888599478576525,0.0864399497366787,0.074384344364542,0.011447372732041711,-0.05009986698925983,0.04156063837200889,-0.023441169954646884,0.040577587009208715,0.040001150270110995,0.10007462641804436
QDPR,-0.07732641652807583,-0.014850202218640841,-0.024519457634531065,0.10805724693704542,0.042844058070505814,-0.09503098295511184,-0.028329680459881143,0.10517850647106015,-0.05962926263985851,0.037371739363317426,-0.011424181212859996,-0.020828488760408107,-0.023799867928954492,0.09244296276367572,-0.06674209247804795,0.06721462437085222,0.01629892324908291,-0.014474942190304407,0.09036666923808108
POMC,0.06878526825270852,0.04482339142319054,0.02419032218676595,,-0.03609670664464498,-0.03235227770159684,-0.00021438709313016137,0.030213577304626642,0.05177916349326821,-0.07565400788005346,-0.02695789827495853,0.0006122180293071421,0.015262518388000544,0.09815139866620154,0.03687381581955779,-0.006547127467762179,,0.054866133614279854,-0.0495331358868498
CCL18,,-0.013728491768011305,,,,,,0.04980846937501614,,-0.013695322283224077,,-0.012953241350021362,0.07810326009223083,-0.004911433303106356,,-0.03335725352007766,,,
CCL17,,,,,-0.026640053178693574,,0.015846046141612127,,,,,,-0.03708750630706446,0.02373285829545019,-0.03619656602244884,,,0.05065469265581593,
VEGFD,,-0.01991667814812255,-0.013246635378784883,,-0.02011434354540157,-0.003103192887291342,0.0030441423609915094,0.06444140983334776,,-0.044701596218091486,0.005967822013526654,,,-0.00601313785137155,0.0035238276914560194,,,,
TNFSF13,,0.013015968891563484,,,0.04624116741446175,,,,,,,,0.05387360979105476,0.02041766559891728,0.09670038857851669,-0.033204366266764186,,0.02097808448840827,
WNT5A,0.043174565787502076,0.009562311724686122,0.03324804216932787,0.08630100896413609,-0.009420963880832288,0.03870723509453914,0.03004728023226998,0.00430597032824789,0.01109033320528591,-0.06082231248696248,-0.03573612022461237,0.08263828635018008,0.015956332744309205,0.03720047024345676,-0.001470527271824879,-0.016446859288433036,0.024282814829209774,0.11177307992846416,-0.05010052884588524
CXCL8,,-0.04768726812522092,-0.010098255845139532,-0.10334270643804723,0.05235806701750304,0.06791206617650149,0.009081858616553487,-0.010427560115653507,,-0.15522574009527065,0.052336977026100996,-0.013906917735035834,-0.0751041943880054,-0.13401292201237797,-0.002689806259101123,-0.04320313372212065,0.09327071580607252,-0.029193388011994257,-0.10517119947847313
GRN,-0.08962276640441409,0.058383829084125836,0.023015914926408792,0.054053694602139754,-0.004252325309358164,0.06791917826256975,0.045754323200576145,-0.014981723353639214,0.0391677399105211,-0.002004696888727114,0.027899399919404298,0.07922273219420166,0.00481204305473851,-0.011550585976534683,0.06488016572602154,-0.02946349594410727,-0.023620598405252,0.1025093569723906,0.0021689324790313816
MIA,-0.039709975453135773,0.006573141602961362,-0.030165483826977632,0.005559396415521572,0.10385512099195446,0.034491329626786346,0.028414917658610477,0.008313459488952424,0.07842280473011311,-0.040462772726604285,0.055066238882673355,0.030303614913549815,0.1667525899392932,0.21565414938342595,-0.003412656860881283,-0.024152521803486527,,-0.012042577361560215,
COL4A4,0.045221020009546725,0.02221295162217003,0.022176512216910887,-0.045695499687587626,0.051745174249951224,-0.01265617340839662,0.0572122223300816,,,,-0.010237460970727195,-0.04994643913374685,0.04548427521560916,-0.005702126601938866,0.11195001669121166,-0.0038187122221965426,,-0.02249184210363475,
