,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,0.021076658205227645,0.03986187890687074,-0.009775743037737289,0.01117063547913179,0.02140322131284321
NDP,-0.09476482535369705,0.0402859457699444,0.030361589834205074,0.05542204141194498,0.04830626428428976
TNFSF18,-0.05127180366615514,,,,-0.005473539068802912
RTN4,0.11491535075109016,0.010813977079947796,0.020526972546803343,-0.06327335763871011,-0.032294539729733895
HEBP1,0.0003441548850017159,0.004775237242759064,0.08004425698714615,0.05164961119985924,0.07145356039682178
WNT7B,,-0.02901982640694857,-0.004544547787579929,-0.007924779394436055,-0.012317823291443925
PTMA,0.07268506964587021,0.008861954018168493,0.038075120983144105,0.0038129478837005864,0.0017520132633276435
CEACAM1,-0.036052779539276436,0.08635438642171606,-0.025116513080048995,-0.01956087671045425,
PDAP1,-0.047323087927397686,-0.042200231275967684,-0.0034557676366336852,-0.04996747251720041,-0.016837947960384028
QDPR,-0.08615466365046649,-0.004914710470066523,0.012836783614595473,0.028175885852152666,-0.025550846223754857
POMC,0.0005840002318712078,0.04278880420015592,0.03494701524884272,0.09516036142045435,0.08115467010789919
CCL18,,-0.018452468505338278,0.031977463441470726,0.09783042484797458,
CCL17,,,-0.01781895035688997,0.03170752758112251,
VEGFD,0.028124736744242988,,,0.14539395805001037,
TNFSF13,,,-0.008736883285448424,-0.030693037906954247,-0.027574662848167324
WNT5A,0.003682247892957861,-0.045704307291500164,-0.008991329683112252,-0.04446366218938953,0.03645065050443771
CXCL8,0.07770396211054767,-0.03248847601995048,-0.046844882902671525,-0.07328211261099214,0.014865489816041652
GRN,0.09175665044896257,-0.02178545342935252,0.05263933552221147,-0.05420811339921443,-0.02002061850782636
MIA,0.07075716389355319,0.021423201248040445,-0.021238530605124813,0.13069637461746383,0.0820140182455896
COL4A4,0.059243095653726256,-0.023329685724898973,-0.027849341127944217,0.022050082423867814,-0.030818861028915213
TAC1,,,,,-0.0022458336464459164
RARRES2,-0.11826576862184503,0.012664988942156749,-0.06220857311139341,-0.020392904995188598,-0.017570882684636403
FGF7,-0.04158728087809426,-0.010695758027323365,0.08695125065857338,0.061040801407677814,0.04606737492063349
EFNA2,,,,-0.01859130423922501,
HBEGF,0.07485277011023936,-0.019715112892727107,-0.013159985920339502,-0.0010745589524733825,-0.015578273941915527
CSF3,,,0.05707944127602215,-0.06076358188227299,-0.032417915635141896
PI3,,,-0.04808623342562952,-0.13973887930852613,0.010750852112935399
PCSK1N,0.060675819302063026,-0.06186972269348544,-0.03685972592352655,-0.05710767367548899,-0.0022205072415871557
NTS,,,-0.03060158270508799,-0.022649976265949816,
SFRP1,0.17423451563527995,0.03857082156756064,-0.048338377612846165,-0.013709064224372557,0.013979322853181259
CXCL13,,,-0.04002501589828595,-0.005245782445807988,-0.02629533319483529
MICA,-0.04395765992345067,-0.017655224025673728,0.08346714658678193,0.10891897249249988,-0.012601274177816096
TG,0.0033026565828247873,-0.030044932874269643,-0.023676930031393782,-0.013252249030157164,-0.02897759325745455
ADA,0.045660808397521714,-0.005423353227501123,0.004201408208961381,0.019120589249108543,-0.009198586509991426
LAMC3,0.034319184618725726,-0.010911561130666143,0.04843079511571493,0.01927279274413876,0.03470778580275957
CCL7,,,-0.026706499305839886,,-0.054894093567787766
NGF,0.11057768429147159,-0.0023330545619540456,-0.030843868681321465,0.0034648203419875897,-0.03673944825413599
TNFSF15,0.2156193036797683,-0.027693430081248582,0.17779812021819696,,-0.007176875911709988
HMGB1,0.016597448487312046,0.04268041740838845,0.021481625483495352,-0.06569320662971713,0.005394828336315463
ITGB3BP,0.04049998599090741,0.019684759977384954,-0.06206712587589108,-0.0048474087362191795,-0.007915708117208979
AANAT,,-0.019219019441474087,0.013620294762496803,0.039536727947389876,-0.019794339359335292
RELN,-0.017660665979736864,,,,0.05688253687939696
IL15,0.14184229914991983,-0.03248856093146603,0.033118312294114126,-0.03643938266819927,0.03586744361900627
UTS2,,,-0.01995162362457493,,
BSG,0.01850621522410657,0.02715724177286881,-0.03166979765417924,0.03765941630395946,0.06643897400363877
ADAMTS3,,0.036217861027184876,0.02293427052839015,-0.017697286821754723,0.013842018950652813
CD34,-0.021964102031104046,0.014753347732198744,0.02112951738370786,0.09773394976406066,-0.026433835954618484
PLAT,0.016869072339896783,0.054158689071286494,0.02970273004123817,0.05358638417780153,0.06535271751220596
NTF3,,,-0.02653586359984202,0.057524943173765185,
CKLF,0.05027223541514795,-0.023307876588845422,0.07202528998486211,0.09016716833632936,0.11709707433278375
CD24,-0.13445575948930266,-0.08007404382778104,-0.016592166210925782,0.006353323221325783,-0.050248960542804956
HSP90AA1,-0.045514585694417554,-0.02744329250664823,-0.08501267359362946,-0.1398098348346934,-0.01867062859138643
BMP4,0.04570460626996071,0.11161812387802673,-0.03372791685360558,0.06759994944641284,-0.03360592562622319
SCGB3A1,0.04536101516573692,,0.03894879800556633,0.00946034824069124,-0.03977683970007764
IGFBP4,-0.005779493321813691,-0.019709562651202824,0.047514114904786485,-0.060825671835090196,0.014485968420042943
RSPO4,-0.048085687375895886,,,,-0.00467724244624121
LEFTY2,,0.11686868120277763,-0.022670793638437933,0.13116065004483693,0.025448343464552155
PF4,,,,-0.017040217471204048,-0.019552484675029944
ANGPTL2,-0.007228304961781597,-0.03246289249405098,0.09600520464610134,0.06983726003103959,0.029419891096823473
LRIG2,-0.05718876763845928,0.013324996102959298,0.019549339343418338,0.030078998027515288,0.08747796854550056
ICOSLG,-0.04831104524336762,0.019644705488014932,-0.007614113882965324,0.04527374177886894,0.008433348573325884
WIF1,,,,,0.02289021900163855
NPPC,-0.03819219604755973,-0.023012775006384965,-0.028691398272625058,-0.018885389678171292,-0.012969788283983624
LYZ,0.07931089648225972,-0.05911924291486813,-0.036313592740772935,0.01146440613408302,-0.024917736609803995
EREG,,,-0.02827520396531719,-0.0012867910139684256,-0.022510701948046215
SPTAN1,-0.04063910353756679,0.024538347751645272,-0.02678895092871517,0.012257098324511283,-0.01854351102392244
