,UKF248,UKF296,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.016603062784881096,-0.017325836053269636,
BMP1,0.02277429660583009,-0.044251147127520374,0.003126437684422958,0.05153477886932498,0.029858953199168644,0.027697068594876768,0.030861488359777287,0.005861090495288917,0.008295837394233048,0.06255540452547789
NDP,-0.004192118129809694,0.03433248022108398,-0.04751825265475056,-0.09686319264253627,0.10731724830552286,0.026289143505071992,0.01990487168037938,-0.0016322887467990527,0.1022346952125114,0.04346072880366623
TNFSF18,-0.014854151837956901,,,0.03996879276611887,,,,-0.017122445588779685,0.10343017148301353,-0.026348569565342077
RTN4,-0.06621904132394664,-0.03817394129380994,-0.050310658122111274,-0.05736639840570712,-0.004442795005694206,-0.030967047795436617,0.0034636638393855034,-0.03784748638118241,0.019605162537231175,0.009762956778008501
HEBP1,0.060570008316468436,-0.008581992876917402,-0.08184174888487117,0.012972471800261561,0.07601120357592979,-0.014100670650745443,0.0504997013168034,0.03962414472096987,0.10645278031563342,0.019335720513690653
WNT7B,-0.020589701758761347,-0.014776918390845243,0.08235494216189411,,-0.04883840570140687,0.001890580218407727,-0.01997109957891499,-0.03580441889594387,0.06896059562334338,-0.04742871329352977
PTMA,0.05299629884008858,0.0014954608062932428,-0.044701882247481256,0.03030581253869161,-0.1177634700065441,-0.06307270655983137,-0.054658318613472145,-0.0033064512613575096,-0.08475653411348295,0.028047820290122132
FASLG,,,,,,,,,-0.015026691698206371,
CEACAM1,-0.01733250514458667,,-0.045795380859535634,0.10597408240710697,0.007984130527045443,-0.02008049699992588,-0.019915041867848874,-0.02460316670356176,0.019686909807305124,
PDAP1,0.04033941990422866,-0.010546052455529656,-0.01229597238718054,0.053474534782469225,0.0023440861833424133,-0.03417634308753997,-0.005552427010952052,0.0032688127526180545,-0.03728447915817298,-0.02632930584950276
QDPR,0.025869663273235432,-0.03508929155336066,0.07435910449982135,0.09982359244167441,-0.10499128020013233,-0.006166270684931383,-0.018114539578975058,0.08850256428038739,0.05537947543916007,0.022434529035903227
POMC,-0.006885346967735912,-0.0003181374202540183,0.044171746910511026,0.002715419769377505,-0.0388584447531778,0.04705881850241062,0.04650790486323348,0.0036137969286790554,-0.04465054378078614,0.13275011180536675
CCL18,-0.021629328775557188,,-0.03926714491043454,,-0.031054256852493127,-0.011459990542976417,0.03521906449775924,,,
CCL17,,-0.018289682584508252,,,,-0.014246140698072542,0.014460974232616197,-0.021890179205626845,-0.013620008232138875,
VEGFD,-0.021629335643882128,0.007543978203523697,-0.02018437063239939,-0.05462691313592247,,,-0.019915041867848874,-0.023087382673036023,,
TNFSF13,-0.01632219075818291,,,,,-0.027336204196439694,0.06118906798146404,-0.02347438629197375,-0.0026262556809834663,0.04267403852971944
WNT5A,-0.035139451135170495,0.020976649128218085,0.014604629432018729,-0.1041855584377313,0.06221436175934834,0.04540797842962777,0.03210762867849904,0.05008292067086815,-0.03570677301449633,0.020708209695198848
CXCL8,-0.012884973702698735,-0.01249328630361376,0.0265435692982357,0.03494348686090393,-0.05467590847141837,0.004796298363770488,-0.05563375602284164,-0.031079282749650286,-0.013299278147934745,0.0011747872546715265
GRN,0.04404105988464362,0.006706897158034889,-0.02082620549132342,0.09917936566929186,0.07490401059930611,0.0770451209477742,0.017808352080215393,-0.056886415596033926,-0.04934566464195533,0.063368068382774
MIA,-0.04309309903885666,0.0032642826297476137,-0.062106558824476576,0.08840607909982616,-0.04407459877498783,0.0504989108647233,0.0026015012801735,0.006513040766517224,0.1228366585956089,0.10529720193200619
COL4A4,0.06866778895460499,-0.025631449191540492,,-0.061270504042991836,0.03307880043697914,0.08507856618889686,0.12459504449862512,-0.018785512607787068,0.004986258183072436,-0.0320357850255523
TAC1,0.02690855225719261,0.008451740983647293,,,,,,,-0.01790488576187587,0.0135947563525908
RARRES2,0.041724533150988584,-0.04410715960314925,-0.0865432848613746,-0.12660835912428187,-0.0485803495774146,0.02242267044006327,0.02547644524686462,0.06053132839867953,-0.0015171659538235896,-0.07107396487253154
FGF7,,-0.02982754142268984,-0.1314701070991141,-0.065459807375761,0.03856265421302358,0.018222495444584572,-0.03756987784112846,0.010525641588091324,0.02673855577583047,-0.008039137420431981
EFNA2,,,,,,,-0.018927914519506442,,,
HBEGF,-0.008024553177311539,0.12848975532055987,0.051698530933759465,0.18113731439916284,0.044377754225792945,0.022370502847475965,-0.056320036297941516,-0.03833419401923759,-0.0682704406644674,0.08033034597384636
CSF3,,,,,,0.06623606880900322,0.04774123819325453,,-0.01433976753417809,0.025451349384787304
PI3,-0.022754965802329552,,-0.023191782713120335,,,0.03125888615521916,-0.011393838248728735,-0.018599277442750452,0.008982860747914231,-0.03806331694063188
PCSK1N,0.035103424020479265,0.0017366391207084134,0.04617941014622997,-0.06273343884330214,-0.002676109194538813,0.030359739623569394,-0.05235495990780199,0.013886416199816357,0.02084300786549225,0.05592388290455471
NTS,,-0.014566919951468657,,,,-0.033234763280010154,-0.023060072016153454,,0.03770714232837864,
SFRP1,-0.0022334703958487596,0.01392663703881923,-0.08863975178732808,0.09037506224521716,-0.0252272875216382,0.019212975498796275,0.005100704976641337,-0.010520916091547325,-0.020741787142937236,-0.04204094382039849
CXCL13,,,,,,0.037673916171399625,0.012355846511098941,,,-0.027333639637579555
MICA,0.0030294394199953034,0.026947087957195255,0.060313692249535394,0.05654106672082492,-0.02891666408459166,0.04544143794943573,0.03339438149913374,0.016050305572063238,-0.047771232714047304,-0.013782024033717106
TG,0.007203796812783166,-0.013236163861246595,-0.005578585882523863,0.07749004885227094,-0.050563590574538124,-0.01892955924843412,0.08832507294867478,,0.017459733096272224,-0.03012181233053126
ADA,0.003289932365187114,-0.00833731070387311,-0.014456584981089144,0.06524023815325912,0.03891754611180221,-0.01937060474405704,-0.0460024418918146,0.08768248177893544,-0.02048919906959083,0.05105839575272372
LAMC3,0.05131477381695185,0.03519815016438832,-0.021350958727049445,0.040681807671501244,0.06507005960789328,0.02638295347592268,-0.002598226861887851,0.04136228511308292,-0.005804091273451192,0.10041877926560527
