,MGH258,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.012030815230055022,,,,,,,0.19012184558543074,-0.025487621058822886,
BMP1,0.0011443351297703904,-0.04145860158005152,0.019926306552516454,-2.1477445904134022e-05,0.03788578291078985,0.01963703542218673,-0.013296707191477913,0.027543083951157614,-0.050271957594214385,0.10725325773341332,0.13714126408764724,0.01160509584347046,0.002323905010275012,0.08710077297172654,0.010851837295894477,0.003815117415380116
NDP,0.01255013745835749,-0.06142925624367035,0.06252374866747515,0.009319342184415883,-0.014858029978299613,-0.035595558896424524,-0.007734199129775985,0.02873634101135483,-0.07297864168394552,-0.0008690031695763484,-0.014176310277705627,-0.057772280712036266,0.09419102856639834,0.046511759505491024,0.08742717490226107,-0.011526908464894913
TNFSF18,0.005976285725354555,-0.03236448466408659,0.011861590856900483,,,-0.0122131931810383,-0.01786539944166121,-0.03208471451587774,,0.0072920789856253995,,,,-0.017613509510580858,0.03925279016972682,-0.02079158313003891
RTN4,0.015811434460864627,0.05220638805262124,0.05149434226906686,-0.000283937493146968,0.021457382194489318,-0.02515522179267355,-0.04792507004244444,0.023232201313426144,0.04242268840410578,0.051131455768126256,-0.0185583290028331,0.006576652434162477,-0.020209103919937774,-0.07274134339500926,-0.053743401718719525,-0.06005317408822511
HEBP1,-0.030356925526262107,0.016818093907521616,0.011100541085956084,-0.015881609149278254,-0.032343595267943226,-0.00943185022411673,0.08490799463545734,0.03823523610420509,0.10465924752423471,-0.004998778763176807,-0.02148641823306982,-0.002953420837574807,-0.001223715632343484,-0.060327392863046135,0.05733481824987882,-0.0009980696048189994
WNT7B,0.12386044828313793,-0.033680491960312475,-0.01389398024637045,0.07047127533181763,-0.053538793356474886,-0.01618633642615256,-0.011203036565101613,0.008007660763834872,0.033816990499164826,,-0.011805621725474249,0.011819273577460213,0.012058473418517963,0.09425265874504155,-0.04665730018154113,0.05519948523864082
PTMA,-0.006640545170263473,0.0918650639097629,-0.033328296104593785,-0.06396982593198094,0.010307032755789657,0.06620750882842774,-0.02228744493243143,-0.022097271576857487,-0.05923665675677055,0.028298063017765145,-0.12238375090898981,-0.024757736898348242,0.05573182156049455,-0.08638581739071043,-0.07111132819925024,0.05033147249280786
FASLG,-0.016485147707189434,,,,,,,,,,,,,,-0.02210540504908952,
CEACAM1,-0.022889771864288835,,0.08104253413022336,0.00321325421460292,-0.021486863292931264,,-0.023509848128157953,,-0.02384243041081671,0.0021139258938927858,0.06162991225794446,0.04325577029318861,-0.02193086767245571,-0.025308774291422698,0.04070235164403498,
PDAP1,0.03710487418860683,0.046847883600971245,0.0019059195542737244,-0.0010224054232903317,0.0022377106645551023,0.008529721131236127,0.047851349149820276,0.045111257405920355,-0.04242639538183206,0.022716510767558335,0.056712210020159005,-0.03548059599645664,0.03491072513435207,0.04661264614603509,-0.004161184075539985,-0.010090108392172248
QDPR,-0.06784702135645083,-0.029736995148945674,0.005967726894668764,-0.001531391196547969,-0.03612020749806014,-0.0076658999378472325,-0.07610464019469416,0.04506627889469603,-0.017100700256666733,0.03836694621691734,-0.11685272145132979,0.013904313240279265,0.007685888643660194,-0.08924751207559686,0.0868303916799788,-0.0916004418849925
