,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.05587530920349176,,,,,,,-0.023507829687100128,,,
BMP1,0.020699358158778058,0.03200004142053714,0.025997015862257083,0.03775458150664974,0.05760164153179995,-0.07939398259005137,-0.05887871083783621,-0.36720603273792546,-0.01948991258658931,-0.054554736297914595,-0.14689813129807458,-0.1594005937754212,-0.06570691681639766,-0.08400886536156763,-0.027681789155924043,-0.1018556419121338,0.003025746625780952,-0.05634152302218566
NDP,0.024182971143130297,-0.04928025827034319,-0.03688623192763931,0.050391342882092176,0.022035949445306416,0.15571723640538235,0.04988853375690476,-0.12635522853194942,0.04976265145818046,0.042627022074584596,-0.053315544470864146,-0.03383034605178209,0.029203435434416253,0.11902706592613382,-0.049153178907362705,-0.017811461020765938,0.0037266763808777546,0.013039027249928071
TNFSF18,-0.00516266130791881,-0.038025226500556966,0.028058583404772828,,,,-0.03782021629760469,-0.07339263603647349,-0.04136843455184741,,,,,,-0.024243209818745157,,-0.07676227338764023,
IL36G,,,,,,,,,,,,-0.03115343722342566,,,,,,
RTN4,-0.18534771004904366,0.2168682059937458,0.049859763233959575,0.03162328774815584,0.08504228068839365,0.2383594235795933,0.2856600311788302,0.48857032210231116,0.14177020141358423,0.1830656211262497,0.29249605310483656,0.25566706332680345,0.06005507521370211,-0.004135631344340856,0.05289272737676136,0.26197684024562373,0.20175363330862375,0.12859426707010102
HEBP1,0.06269219747187554,-0.04723272132577806,-0.022194020575269358,-0.05704170795722634,-0.00713254481787114,-0.05734751390715847,-0.08023468768179345,-0.12760653625018883,0.04746511786530102,-0.07443920611937783,-0.1310129807731731,-0.021497018315019385,0.09404681239684246,0.12643660920278946,0.014891580117351439,0.07741774510352406,0.02127596649657376,-0.03116575814909776
WNT7B,-0.021293859766872533,0.39913751540926984,-0.001319065883512098,0.0065383911018293515,0.04585859911142207,0.02488206405242738,0.13275184580223912,0.35296700480986576,0.027755777384363012,0.06301795506378241,,0.005614473859958707,-0.08539413416628706,0.007155693613366394,-0.05069451295563873,0.07554920063172983,-0.04735621521322327,0.21584898306984798
PTMA,-0.06370292126444041,-0.04572436773944596,0.058584056997553764,0.14795839740124506,-0.03497711271874623,-0.15697910981618204,-0.27395424559957615,0.0900891808414228,0.11322311195755895,-0.13003338729376948,-0.3563791509750593,-0.2849109532097172,-0.11220345221332655,-0.03988826386457305,0.021419472831242042,0.010479306513998555,-0.06066016951509747,-0.23029867157449807
FASLG,0.049405913982853635,,,,,,,,,,,,,,,,,
CEACAM1,0.007301537224789943,,0.024948558202627345,,0.0575273514726644,0.0804650143850327,,-0.10918794847803093,-0.0387243596823524,,,,0.10293481955949609,0.010373033093618733,-0.034834961484174407,0.0260979164212362,,
PDAP1,0.1903017858181256,-0.08487178383899417,0.06550836351146273,-0.04370689489761673,0.02446411618327869,-0.03520997339300336,-0.059190599742827484,-0.2871642025382072,-0.014204167957034518,-0.06778810709363396,0.023743214286235183,-0.14431433902324112,-0.09377794702688337,-0.11486675155609623,0.06573840620373356,0.041524179784947636,-0.014642677457396714,0.12897571650897555
QDPR,-0.2795265114511777,0.1592352038941604,0.013197320502092161,0.06558485357259414,-0.03812369970863869,0.17411817222904402,0.07196252528661871,0.11110796198825704,0.050622436497511386,-0.004252370767664572,-0.3390756410541048,0.02559984872758857,0.08342753546117598,0.1822060752757129,0.027992244172517163,0.02481932763823041,0.09686443473772441,-0.1299386337827643
POMC,0.043634773174107196,0.17990586289078042,0.03455641195507261,,-0.029143128270119893,0.16327613351730988,0.0683115134586691,0.039729709468843126,-0.024115922243280085,-0.022675650051234054,-0.07777894219329057,0.11954692494996151,0.07500364657925827,0.07898183457211239,-0.02113035499473783,0.08209934776559959,0.002018277364072754,0.039681844568251676
CCL18,,-0.025119846922301382,-0.04935150344357706,,,,,,,,-0.09759797977500073,,-0.04295132892999567,-0.03083214581353162,,-0.10256457592695935,,
CCL17,,,,,0.026411207099937425,,,,-0.0289781975220569,-0.02723423067277383,,-0.015425203217365402,-0.07301777803684789,-0.04587784560034666,-0.014046579836289149,,,
VEGFD,,0.1011030649301324,-0.018728207066519308,,-0.025649558965566185,0.05312583643935979,,-0.09360613111914085,0.0024877366653212104,0.07399507344798543,0.02922817364791982,0.027771179405667788,,0.0229691424803807,-0.016506706082360607,,,
TNFSF13,,,0.00016313669421170934,,-0.015880375273756308,,-0.020961202117055648,,,,,,0.025260327970702847,0.07588107025579158,0.06159224751841014,0.006349294934241581,-0.01012689262730089,
WNT5A,0.08472712353126956,-0.07507661967456615,-0.0016203793080043643,0.06761096819271897,-0.02798365688782109,-0.12090602136763072,-0.17049548840930098,-0.27544136344791115,0.025114995189429147,-0.08777429569205324,0.0681726888626531,-0.045208341679603345,0.03830920318359013,0.024214236688497055,-0.01970694258552072,-0.026063066331817424,-0.06642995519112331,-0.10477134997783549
CXCL8,,-0.12366835343891336,-0.06014255981062846,-0.0700342787554475,-0.035331994095375574,-0.06976682116640995,-0.034819987176236966,-0.13050430373051664,-0.07603563249922299,-0.0014968068436626775,-0.10666472642384899,-0.09305935528715138,-0.22030451594926334,-0.35694927777426944,-0.019767653241577244,-0.13718175496256627,-0.09515167760202035,0.039540408795673936
