,UKF248,UKF275,UKF296,ZH1007inf,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.030765907423784464,
BMP1,0.0873995288937387,0.03163155144981859,-0.027382179533489193,0.05676281542930819,0.15011064295283136,0.15273523829059563,0.11038383458054622
NDP,-0.05399640240972211,0.010303964897035445,0.033039086436572766,0.1204506140002751,-0.007328703090357512,0.0023629072255392865,-0.018491563220081664
TNFSF18,-0.005932634099111202,-0.010647509681371023,,-0.028742987402802643,,0.043530993996230186,0.06740544569743931
RTN4,-0.03376566363332567,0.05793766318813133,-0.012139119694011432,0.02778883886545632,-0.04137594907557986,-0.04659780991343383,-0.08910503382127499
HEBP1,0.0020656762262647186,-0.00448007142329958,-0.034578331157131395,0.046170621412366115,-0.02053613990166836,-0.030683488368369732,0.03636065226781211
WNT7B,0.018343313868425172,-0.020011493552465537,-0.013194807065311804,0.20194634286132532,-0.03185455944693862,0.01624494623115068,-0.015645195561115564
PTMA,0.040688876317616564,-0.046608509903741484,-0.033546050538889816,0.07305526407030655,0.03283711518342457,0.07136473771155723,0.07878133431564513
FASLG,,,,,,-0.026683261012707276,
CEACAM1,0.01597637108621367,-0.016745996129576765,,,0.023661363575306914,0.007050827617784612,
PDAP1,0.03651907344319408,-0.040208137382999665,-0.042769985733918686,0.06338787242545134,-0.08018583146406813,-0.054210552978621776,-0.07091306453198254
QDPR,-0.050942874648814265,0.014280612110792665,-0.0699076790117265,-0.03186039535970777,0.00934657362387915,-0.013647323181530118,-0.06438229343948702
POMC,0.10391660960455368,-0.012354528249030876,0.10944421331281019,0.05206708950908263,0.22321882081308103,0.03452746799273109,0.06592111256320882
CCL18,-0.02387007908508344,,,,-0.020254954206249766,,
CCL17,,-0.013279517579130084,0.12304259471394693,,,0.08057535716042562,
VEGFD,-0.023870086664951558,-0.014148202783512946,-0.011979332416081933,,,,
TNFSF13,-0.01801313338396038,,,,,0.09119521359540791,0.02208366797854987
WNT5A,0.06071804734972086,0.0626467587327426,-0.026496134641262825,0.048359724860277974,-0.013806844739748764,0.08281366302882509,0.09329704069054966
CXCL8,-0.04069592522316091,-0.021146304581251742,0.09019037220670424,,-0.03566203588558175,-0.008936608564695019,0.10063789120105633
GRN,0.13575123350141247,0.031463685066732416,-0.025802436557536994,0.052518488928994383,0.09360569683841238,0.10975610982969687,0.13007162831205127
MIA,-0.012930345839365403,-0.026101067462027047,-0.01362396779937707,0.02966685377280897,-0.03118886855605635,-0.0008875412588446028,0.08668508499306118
COL4A4,-0.02866777104237811,-0.013864227203243833,-0.02288718242473652,,-0.02560859084340514,0.06453711502006922,0.22192391034071893
TAC1,-0.0016490673925776882,-0.0065656372237473575,0.0005326955459335948,,,-0.0054588996981389075,-0.041218520843458895
RARRES2,-0.05188775286754724,-0.01687945637843943,0.005426050757920449,-0.07833816722496091,-0.052264830962859284,-0.028716453788505143,-0.005487041544492659
FGF7,,0.003478219683345997,-0.04750908744920074,-0.03125857882897712,0.0638093880016963,0.003901801795363998,0.01518208795688993
HBEGF,0.057970085677887064,0.04164738097386387,-0.030764074254123745,0.11099513060738554,0.0565641728031953,0.06655947261503606,0.1846284327377852
CSF3,,,,,,0.007766285213081564,0.05192950490507913
PI3,-0.02511232960191495,,,,,-0.021823179902592974,-0.060162341863086846
PCSK1N,0.019076038664447126,0.05684549890576124,-0.04884837670608941,0.040203265313969755,-0.04162355978007485,-0.07177816908769205,-0.11089616294710886
NTS,,-0.015838267966539643,-0.018514243636610764,,,-0.037707931444383086,
SFRP1,0.03527114746749473,-0.0008370514486492245,-0.016331472438006426,-0.019380806110143537,0.06345109956002505,-0.03683169464846827,0.003974336407552553
CXCL13,,,,,,,0.09832314227882881
MICA,0.017097967144914992,-0.010786317877637322,0.0076341735201243205,0.06272116647093512,0.09542852705720498,0.04628472289802541,0.027631810256565265
TG,-0.03758958367577948,-0.013378611417638507,0.08392779489391206,0.005197342781874577,-0.03297980101264633,-0.04121256417668708,-0.030862829425413577
ADA,0.036043076704858304,0.007194119718275455,-0.019195031760112516,0.008864279411860694,0.10289503616114082,0.05279061365607651,0.07125019969412986
LAMC3,0.14776520848596447,-0.004194428448512437,0.048658861283166384,0.042018110744972394,0.1490405986693579,0.13699869495007558,0.18170852537321786
CCL7,-0.015183386789049897,,,,,-0.02668325152445816,0.010776730740674147
NGF,-0.02606912112368479,,,,-0.030100140750242293,0.06374876211840527,0.0008405548718198846
TNFSF15,,,,-0.033952988375208264,-0.03039859723632064,0.07407569659530616,-0.03821258590610944
HMGB1,-0.03520357763683942,-0.01005229147367125,-0.011837622410066634,0.006127854214697179,0.08593537209030222,-0.08729104548242564,-0.1263791647884306
ITGB3BP,-0.01667139000081304,0.04432151391692408,-0.04784117390615112,0.06535862785500271,0.06125299170208458,-0.02684362588094303,-0.03750711925320931
AANAT,-0.022028784239889996,0.0112223116746211,-0.013623968557176947,,-0.021096383855821955,-0.028231992862586663,-0.021082127622132924
RELN,0.013863880283305699,-0.01609324986140601,-0.015860439164874184,,,,0.04028905027068787
IL15,0.027625477553476482,0.06745220617097174,-0.009181645376968833,0.01408767884584061,0.042384619239758003,0.03356705860282551,0.022620490747820955
UTS2,,,,-0.03724017445262157,,,
BSG,0.012726937299454181,0.022288844578274618,-0.030035134551319346,0.04020163435117177,0.06892902737205375,0.055024743812480716,0.08533668967553766
ADAMTS3,0.010537691521210195,-0.013512100871926272,-0.00917132259584669,0.08500210717517066,-0.025260771966444055,-0.0633399689016897,0.06825481773583826
CD34,0.16060296194820237,0.02655694503564979,-0.0027063478626921664,0.038735986160777,0.09640974146019382,0.1315696630356814,0.03621973377964222
CCL23,,,,0.160268774145769,,,
PLAT,0.028113197783960295,0.035221998047571756,-0.004543884179160917,0.02548339981574935,0.09536803542946631,0.13005852505186108,0.10264476863523392
NTF3,,,-0.021992335310599867,,,,
LTA,,-0.011587553160305459,,,,0.027703976829376312,
CKLF,0.0533488137663924,0.0307629493508818,-0.0034669744924736286,0.0948430831683504,0.1537157587681878,0.05318121934296621,0.020921587104668432
CD24,-0.0007054094459017138,0.03567035185668938,0.042763134184601904,0.009054636795258184,-0.015767078487964128,-0.011536176575203077,-0.023864048091321536
HSP90AA1,-0.03816597321683549,0.006265836272110874,-0.048753253140302384,0.005672433109554152,-0.05631736198882087,-0.09981520351249176,-0.14409897078449757
BMP4,0.04704957581787979,-0.03323646746246828,-0.005105200717633128,0.09954099613504325,0.08719218899669749,0.06988717185033876,0.09370822875506392
SCGB3A1,-0.015183385270731506,,-0.011491950729784508,-0.020153039390421654,,0.03877513398902735,0.0811943403965114
IGFBP4,0.11731628663502894,0.005733149891975217,0.05265278812515653,0.06981907038590619,0.10968839741731508,0.13681719584319818,0.1937060197637266
RSPO4,,-0.013477029757715937,-0.011491949048826748,,,-0.024331853257012443,-0.02658372784940062
LEFTY2,0.07647122039474309,-0.024006163094470546,-0.012601062681663507,-0.0017709374510832473,0.07670605386053322,0.00626102030190994,0.005745225144847835
PF4,-0.0157503249285395,,,,,-0.037995998937046964,0.05154703047768581
ANGPTL2,0.07304457732254266,0.03411905736221562,0.04910866901684561,0.056752028765694205,0.011998376824321437,0.07686112084368572,-0.006306346181760835
LRIG2,-0.04346843798805969,0.023787535795316127,0.029850587164062418,0.08208086490557136,0.05937949743282933,0.050878455721340726,0.016052698964449087
ICOSLG,0.08458083359088249,-0.010545265162685776,-0.021809573266249865,0.001021920786229,0.10922598759607537,0.09751683268379795,0.03974520383891064
WIF1,-0.02834015322151738,-0.01039990465138052,-0.02162546875628267,,,,-0.0248247495136211
NPPC,0.04022026811148574,-0.02028690954289496,0.05638149234670183,-0.028306993154663722,-0.02526072345161884,,-0.050046175631462256
LYZ,0.05943331459236683,0.05076372983260873,-0.017407964167100838,0.000437519736492166,0.16222660358963706,0.04408464205476564,0.022635111445859994
EREG,,,,,,0.0291860478068999,0.1624540347993092
SPTAN1,0.03568607380089535,-0.005772460106601524,-0.024629751982135017,0.0073130091301546645,-0.06538046488523855,-0.04538724764311544,0.028573310379779917
LIPC,-0.0020332297880027,-0.02519667960178463,,-0.03001666862005184,0.00440367704712064,0.0853946455697568,-0.0015562468204056658
COL8A1,0.12258251573068067,-0.036934353774440695,-0.04357814171597286,0.05204187533645428,0.041399653389812614,0.08253640816966482,-0.039261239609364645
GSTM2,0.04471075505006638,0.06462654137688378,-0.033966473923120515,0.04268962820124663,0.00307001354974026,0.029880422179172264,-0.04991817534973446
SPX,-0.008562038424143536,-0.0408937178522187,0.028477278819879347,-0.016964449342698217,0.10821300312384154,-0.03318969264519841,0.007654523473574095
MFGE8,0.08200509864993424,0.046721379389038344,0.018615109861689443,0.08197354271241848,0.07551963649889955,0.16709624468524076,0.141815312465638
TGFA,-0.002950414051864522,0.029753581586262144,-0.038348850520049445,0.03164805450255435,-0.0459961997440746,0.005726126083768235,-0.014962311247322125
SLIT2,-0.015082286305505191,0.00914438445896272,0.009215382682076908,0.03182711446707167,-0.02856764423288479,0.06182899670362735,-0.04513196224656707
PLTP,-0.028512484601405423,0.02140106428579438,-0.007311823138468964,0.07481747733820919,0.016585597585866217,0.048173234093960085,0.11243134271764413
APOD,0.04726031515150621,0.035879425447096706,0.07026857493072464,-0.05004734707994609,-0.02546096356248047,-0.011323638976523507,0.11079667926044916
B2M,0.10701398006257024,-0.028459999462273823,0.051300364937816395,0.035085495000097396,0.17538866210775722,0.09336440592528947,0.04744994630300202
OMG,-0.022878929513854587,-0.026078734951880112,-0.0005638401956216112,-0.010809493273616497,-0.007103163949584201,-0.01703345371664528,-0.10422123837833128
CXCL3,-0.03889495322011054,0.021247119738167928,-0.01229395635211741,-0.029173195146955842,,0.11244473155279389,0.08292005600138856
CXCL10,0.057086455401788444,-0.004852952009517918,0.15181947680732813,0.00037328647163785536,0.09328119731230791,0.06928685793197617,0.09795051679897751
RSPO3,0.013286604095154286,0.03637632801627219,-0.02985345834380016,,,0.03546889275042135,-0.020689045445847244
CORT,0.01571130952766018,0.025522861570003778,0.04066064800805812,,,,
NCAN,-0.029123696667770694,-0.015196138037440307,0.010051209715981287,-0.04067385059041063,0.02512505239144939,-0.03362898947468945,-0.0538513872296437
PRG4,-0.022834000446933206,0.046068765202119284,,,,0.03551824280101655,0.023071435987240034
ZG16B,-0.021054772732286706,-0.009207362886350112,,,0.03560946660611401,0.063381618547583,0.06794343196342087
TGM2,0.06719053312554511,0.019219339678184826,-0.0009020562566350163,0.023253257546275503,0.05722913523590309,0.08488007221311686,0.14664751818451163
VEGFC,0.18076891071311738,0.060005165463735494,-0.0465271975688501,0.01224035673299634,0.06238077900563992,0.0008604192791479314,0.01743567334602521
WNT6,-0.02449805892505227,-0.020490657698756486,,,-0.022302965032355883,0.06540808212594867,0.22881590491736248
NRG4,-0.013984432284003603,-0.017688834909469545,0.01887082763410245,,,-0.027078285676912953,-0.027606198631906304
PMCH,0.15670624970335537,-0.013477029107303687,,,,0.024647584575653577,0.06614769890029379
COL9A1,0.18392538342661782,-0.024676935075396696,-0.01208632942102364,-0.016167503074668937,0.10230426178754574,-0.008514520694270781,0.054800874045126916
GDF11,-0.007402270034493086,0.06010914542507213,0.016447139431054907,0.009965194376213961,0.009341104608676166,0.02075768417811427,0.014827332926324705
RAET1E,,,,,,-0.002045155101032805,
IL24,,,,,,,0.002120594884463533
SORBS1,0.04730524191913101,0.06587194019334347,0.0070301768548101376,-0.011224189161253777,0.00807595753381753,-0.04908497701780584,-0.08404489171517775
DLL1,0.044230671204322634,-0.06726889218051654,-0.012102280172586459,0.014100296267684565,-0.046083438639312954,0.06511047563494612,0.148304389821699
TLN1,0.08939579952001575,-0.035466970732361595,-0.05230793575487611,-0.00426558868671896,0.01034542457677893,0.09298493628055388,0.12925427754556668
COL2A1,0.048920745439363596,,,,,0.014683963638515998,-0.02487170321887602
SHH,,0.005190801184950874,-0.013194808940050016,0.12766059936403393,,-0.0687751733778537,0.05035584182344869
PON2,-0.03617620205159646,0.001558887931617812,0.07817052659697236,0.0820972616710474,0.0041291000473555805,-0.05984895469782005,-0.002477574989761102
ICAM5,0.10856069275867043,-0.020415346612643145,0.011122229800550207,,,0.06781241119915606,0.01893085991222851
HPX,0.007637881850084314,0.012723562192792205,-0.011491949558207808,-0.003426690970521218,-0.03843446349991274,0.09556149092718746,0.041874691263480375
SFRP2,0.013863743486262868,-0.015059229083082064,0.03510211488856858,0.06860646010036799,-0.04533368062264106,0.05901750455050822,0.06605248615188238
CFC1,,-0.011587553860601155,,,,,-0.02442714216003209
CD70,0.03150125996898635,-0.021614845126211788,,,,-0.019855374926853395,0.003894545447530488
HP,0.012122342187725297,0.004774325485038649,0.032217472144947426,-0.010044022858706316,0.07602642849973908,0.03411263411810761,0.014803665785300693
CXCL2,-0.014306984223170957,-0.006106978469550644,-0.01597099560392599,-0.052359762248019866,,0.005317489995423384,0.12104556235695774
NPPB,-0.002527615388443818,-0.010146533410954308,,,,-0.02746790510458397,
CCK,-0.016588540433807565,-0.03775634744721838,-0.022035731506232944,-0.03001669284761261,-0.029189057015488993,0.012513928175912526,-0.0902461905164165
SEMA6A,-0.017405900205854023,-0.0015616934283147303,-0.011670540177714253,0.010921036189493506,-0.08609401203057787,-0.03739492650265439,0.010755981608183625
IRAK4,-0.02444769984042882,-0.044056821468187804,0.03745064557851966,-0.02026544240122061,0.03471339506284106,0.05290448143191864,-0.04189163820211668
GSTP1,0.05600198240273455,0.03223928834675423,-0.00754535241482643,-0.03460418272626301,-0.005839652073037239,-0.03869543510031122,-0.0010433877282481885
VCAM1,0.03390603819121909,-0.03881592153759604,0.015643429392846537,-0.042958179301396435,-0.07834034152244322,0.04938478561515962,0.04240242788628354
