,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.018835942891739434,,,,,,,0.047106538996329876,,,,
BMP1,-0.017332861613438798,-0.022922049583082107,-0.014899974355177202,0.03314291942335893,-0.07236731002437607,0.0226758718294453,-0.06895801077626137,-0.035538984503508265,0.003645974832805993,-0.12864827972641538,-0.215389479793288,-0.031889342261216445,-0.0020178393578667016,0.04197056332908777,-0.014682507375615744,-0.01385973018308542,0.014741376951634536,0.03848679159324257
NDP,-0.029324097767101456,-0.06919228668273637,-0.010137215002055671,-0.04522978066069217,-0.014856522066342486,0.05567845931622051,0.006118157621062484,0.032124850535735244,-0.0019336240702490053,-0.0623724719426136,-0.06858651421582145,-0.030115457814162985,0.11862904944225072,-0.10573074530638582,-0.02630647652254871,0.03888936029689461,0.11557345718398494,-0.1045319771636602
TNFSF18,-0.02010297898377757,-0.019872582611337702,0.07296624324258015,,,-0.024271776601927898,-0.027970809723731845,-0.011674763749846901,,,,,,-0.02941006309277432,,0.20408282220418913,-0.026856011087180096,
IL36G,,,,,,,,,,,0.023457168512905135,,,,,,,
RTN4,-0.02909206413656176,0.19690280646507374,0.04599855440406498,0.02426337092200049,0.022744034185382924,0.052610038620227194,0.1390849627921969,0.05679104148936552,0.08081257974747107,0.3511315668550463,0.2683541799392777,0.06598035233717162,-0.0598500074799947,0.0697431816881501,0.1327308510557997,-0.011036938135453771,0.03990478103426379,0.043194298667785756
HEBP1,-0.06109467734304441,-0.04352309272726718,0.02578106980677572,-0.027558962978196325,-0.019793931790665277,-0.014869252563540498,-0.03546362488156241,0.04437981834189969,-0.008728323831714303,-0.1165983745658901,-0.028504759847046136,0.10285108627215324,0.09947937971414522,-0.012417415994723116,0.03137784463456883,-0.011464124333155115,0.03429220024751176,-0.0324943055144843
WNT7B,0.03441897179704396,0.2222332851976077,0.001999562552079449,0.02790065050989843,-0.002329556392050681,0.010424442191533661,0.09517993231632671,0.0002524056050213812,-0.038166455042306986,,0.017224874836573527,0.029131275316877463,0.047689744735927055,-0.05185500373625241,0.00989302739366353,0.064042345423312,0.1284448814029108,0.06981208507936305
PTMA,0.04748251187067901,-0.031166412878593692,-0.017091079553290985,-0.056664692177788495,-0.030398285204122293,-0.061889306536982415,-0.06516518150085499,0.017106123343678704,-0.03549845334864819,-0.44718150291262465,-0.27563709101544887,-0.11727178216076141,-0.031536313417169455,-0.016148933127897693,0.0008750824709615668,-0.06746573085128249,-0.06358749705793192,-0.1769940173041189
FASLG,-0.01771009984849565,,,,,,,,,,,,,,,,,
CEACAM1,0.013999646585608073,,0.004674742331843731,0.041811153599123886,0.12074418735817341,,-0.0368079924982295,-0.018361622052405126,,,,0.06912329260516242,-0.014917664372032105,0.005413191210844924,0.006831834503846024,,,
PDAP1,0.08689243911362476,-0.016242031641478746,-0.016439856564504012,0.05395629197064216,0.0017384210320112125,-0.02695312241781662,-0.0768137335923854,-0.019521158365342316,-0.004183054283275422,-0.016273826059094998,-0.17905987430589324,-0.050121327218592304,-0.044631594295912166,-0.027415179884626516,0.008655858583593327,0.0131263813095891,0.005706767934110306,0.009915335971884473
QDPR,0.00870212959561482,0.11093702080875466,0.06944311230937894,0.015024061799744243,0.03752554234009508,0.11895616750445963,0.06200556759237512,0.006369115946339836,0.10337056631740046,-0.26167875394398754,0.05459604681901574,0.054643907595378176,0.12642967348372264,0.04190734607574284,0.016355235927158228,0.02017076324666318,0.0833577643240539,-0.08708269923283002
POMC,0.013286103402343754,0.1077119503498161,0.008322199542179876,0.06670427039004123,0.005656427750716557,0.06095765863043801,-0.047447542955914086,-0.013546472636752053,0.0027575786670283537,-0.04551738122981429,0.03589348099213676,0.012968933205102602,0.07629153872623096,0.09995134342006125,0.01966786185401649,,0.08261518865200386,0.054171102033531815
CCL18,,-0.026650767289538975,-0.03023319795829715,,,,,,,-0.13096847134303502,,-0.015129442008486354,-0.010509149065162864,,-0.0359168783771254,,,
CCL17,,,,0.07652176283936966,,,,-0.01456070340274342,-0.047239372217969644,,-0.02508579417586104,-0.034978514239715076,-0.03318305867828046,-0.037599275653210286,,,,
VEGFD,,0.04982605926895844,0.041329819939320514,0.05426443348430146,-0.017453829881811742,,-0.031555256967895705,0.07474784457548046,-0.03465065080771135,0.054896262549520104,0.024621739734828764,,0.0021097141387690986,-0.026602671976818506,,,,
TNFSF13,,,0.0982624196752034,0.010811527458426508,,-0.02353855992564568,,,,,,0.002254792786919713,0.08146040143883009,0.012327978312201825,0.12443195626568115,,-0.020350467020946603,
WNT5A,-0.008556786202745055,-0.04832255438915239,-0.033630434961607225,0.05272192325876886,-0.0037882740479778403,-0.03038293977181264,-0.08003129088453108,-0.03219405934527148,-0.023396301416002973,0.07594762936126782,-0.06536046805834657,-0.010748702602805825,0.04487513903410346,0.03585377376419502,0.07170896058534691,-0.025974656642856073,-0.07085793977203864,0.04403421082647663
CXCL8,,-0.1126374749844283,-0.032070107146311554,0.03307857970161265,-0.030914556202006744,0.056183693009892524,-0.02049059717310272,-0.013137796856972132,-0.022730100301040033,-0.12346837078564324,-0.0765757466762892,-0.04976614677257068,-0.2275252483741527,0.005719627185743926,-0.05480961534618039,-0.07515821494417267,-0.11134624488642862,-0.05085614738771401
GRN,-0.0410316414031256,-0.0638587609067341,0.002341840068371646,0.009496857920460941,0.010760870098949283,-0.0044026947644699825,-0.1057884717993231,-0.02086618798533452,-0.013879604835616781,-0.2462707723021686,0.006313964826675822,-0.005996881521499133,0.03089037105938416,-0.021653558519659354,-0.06926630615376494,0.08355229256070869,0.013239473925628567,-0.06502494444378633
MIA,0.018042628600255572,0.03366925524592274,-0.029508506988476957,0.054259326247327946,-0.012107411497405296,0.01294772502895934,-0.053806609302469416,-0.02861925514574823,-0.0238307171781069,,-0.0368205444472135,0.12633320497981038,0.25413300036323944,-0.06002985167157868,0.02884081096685314,,-0.00892130937176078,
COL4A4,-0.020510453588729837,-0.030228045135723445,0.04324132102651638,-0.007184924846680577,0.009659365108229892,-0.022395899825885694,-0.0185614236188,-0.015201824841283481,-0.022880045193187665,,-0.03571729412279896,0.13761213166135428,0.04269096089957883,0.009266076836982716,0.03624967743824244,,0.05913737312421517,
TAC1,-0.01771009021315902,0.11694716062573712,0.05853790235905114,0.07130858036603366,0.05148812465362793,0.047299427765249,0.13808955136129628,0.05489624497974791,0.0046174251920786365,0.3107884638948347,0.1905099385939869,,,,0.04279917462022132,-0.005841194951669679,0.04062484661113239,0.09566497051531755
RARRES2,0.05723733675629698,0.03698571086784607,-0.0017606647310928663,-0.009943427576678368,-0.0601504278170298,-0.033944051762881275,-0.12307225807855564,0.08869151320871994,0.037605699670567816,-0.11815031542248226,-0.14971673161393204,-0.05156639107766254,-0.04236368387390063,0.007990223516475691,-0.005119813627492169,0.011943991632729184,-0.029493244419373246,0.07121798290282547
FGF7,0.02458649034570495,0.028333100369733945,,0.025629596831517464,0.10120897788946688,0.03452224408303812,0.04868470423218319,-0.025975443070675144,-0.0037205187840500587,0.11624045111901121,-0.018786167597657742,0.016815091349831248,0.1015788477674181,-0.02572340749376396,0.09155542542449054,0.0022640508448102076,0.009808761208383714,0.07324426083838219
EFNA2,,,,,,,,,,,,,0.008854752321089133,,,,,
HBEGF,-0.06135482118064144,-0.011432182866050753,0.025634292872708714,0.05750170033497716,-0.001060666289851807,-0.052949732030244064,-0.023290443659402305,-0.08470252864539056,0.004681463154452114,-0.20371973872100704,0.007961250240337493,0.04703448286653963,0.030449539673895243,-0.06359979048134767,-0.0030556620015561595,-0.06253465442235373,-0.019781760917241178,0.027982609899023042
CSF3,,-0.030228021204089815,,-0.021519726321663338,-0.018198259378678843,,0.041585681861376275,,,,,-0.04323359031376959,-0.07439557309550995,,-0.03722323704250657,-0.036606632817292074,0.036262976038439976,
PI3,,-0.03580959874849018,-0.009862989571438566,0.023237749368498952,-0.04587396114224851,,-0.022112229358928606,,,,,-0.10793295857174402,-0.20016045775537392,-0.03194671697072042,-0.012008857198644952,,-0.006255092348811521,
PCSK1N,0.03829449515269829,0.1804622037472596,-0.0016526028421230807,0.013396657011317058,-0.004456754354533633,-0.015144030483308205,0.1091534939409691,-0.07137543383020506,0.0013650540360988764,0.4299860037874947,0.2749669650427043,0.08652542230307332,0.011243309712917574,-0.03889251301278706,0.20089046897813811,0.044670116907175594,0.10539941667148209,0.10552054761691224
NTS,,,,,0.03333190690718672,0.06684048066684749,-0.024137008186808258,-0.01736631778223551,-0.018754815382638824,-0.07616452742702995,,0.07295028548503281,-0.022602736291715084,,0.021552048759445976,,,
SFRP1,-0.02576862861325194,0.15254623069461568,-0.0002828718438436928,0.12804194459160875,0.01761189405418658,0.01549467384715107,-0.006762349582904424,0.040204107565880144,0.009516161752533425,-0.1139842144108264,0.046959558901782515,0.07919453426355903,0.09199562784158073,0.07311558339255657,0.04069111955884391,0.0357172038076605,-0.02193111539092215,0.002688774490876173
CXCL13,,,,,0.056760473177395354,,,,,,,0.004124760372446687,-0.08079106415477555,,0.016876876821139006,,0.007962105144322489,
MICA,0.04156932710687264,-0.004089718532866087,-0.030856184512943637,-0.01968513429941716,-0.037258219502359406,-0.005518822413637065,-0.03920761686883602,-0.019465748129066686,-0.005309679917323999,0.025283612336023477,-0.11160793547482155,0.03278177937798682,0.09176066026572323,-0.04029882812707451,0.052535874593485486,-0.0608957511532468,0.046947138168691574,-0.027782593949887614
TG,0.04815945213675598,0.0697770273315374,-0.00365584886879645,0.016742488466223584,0.0046924380121224464,-0.006819039832913581,0.026304078499615954,-0.014669357650381762,0.012293827227458422,,-0.03768240253142339,0.07802882121694855,0.0444559822146204,,-0.028768973710332404,,-0.0008027137015017182,
ADA,0.015219101323619309,0.03281174678607129,-0.004440967840582564,0.010649578995834219,0.035896083054370614,0.017505883603800655,-0.09747402668882492,-0.008866629505797355,-0.0122010121621377,-0.17970571857073847,-0.09580809878747014,0.03267922689292553,0.052487468529518445,0.03280591531829556,0.005628335331036107,-0.04871262958948678,0.06090779255821857,0.2381980724434924
