,UKF248,UKF260,UKF266,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.016603056463100237,,-0.056850896579806486,
BMP1,0.17240028822401313,0.06152122483673676,0.12540630588630888,0.056267401884334205,0.010633220716359358,0.036131201746956075,0.14080481975281076,0.03683234759982271,0.07604048075414356,0.14694737106190914,0.012272207709881768,0.07421268811493108,0.1193508647557913,0.3297297612094756,0.1829240319515908
NDP,-0.008425686983072648,0.06637204825860897,0.04670112759087483,-0.02217161261082264,0.011989745870863237,0.02145208183158103,0.03318749065840441,0.12073973477425427,0.008980572909555489,-0.04879710437642844,-0.00808430125928714,0.03092300195178413,0.006688880543591247,-0.1048543024596049,0.07732956948821965
TNFSF18,0.06011781186886735,,0.006336356337178828,-0.017298864862728844,,,-0.04683823016327117,,0.08468410209804962,,,0.012401895444450176,,0.16328246616291664,0.011495205713732312
RTN4,-0.0921189564383682,-0.018011719294714092,-0.09016366560309143,-0.06307604372843795,-0.08657359338276138,0.009311399587499476,0.025536736408105245,-0.09788508841116067,-0.05309121424935545,-0.030611452836166238,-0.08310709740475443,-0.09902928328228243,-0.08399680236442754,-0.06627848627372154,0.01666345746248265
HEBP1,0.023658693963700215,-0.00013620710817582082,0.03555700026271333,-0.020499311497260135,0.023635984118001774,0.053601043219178135,0.0682409415997291,-0.02302935482253098,0.0378812113189316,0.023074778529173653,0.03773705718855572,0.03627754640427786,0.04884826339404015,0.04152121692408963,0.01676190771035375
WNT7B,0.015118144882251223,-0.019581135600591926,0.03555965451816731,-0.024581796650244018,-0.013606578020699808,0.01822847848336932,0.07375477138249571,-0.009853077563836486,,0.04957469390497249,-0.02252502137317352,-0.006015551105890626,0.021446172596137545,0.039411458143066215,-0.01622187397467552
PTMA,0.031609686886527814,0.023011746649044974,0.09273851795688066,-0.018237270073802703,0.01135262802755697,0.04250004865227359,0.23785178526220463,0.047603841746962416,-0.027332533829505137,0.012915411043906023,-0.015441505643200858,-0.07077576686041114,-0.023896820427930777,0.2622750527838355,0.09695310622929071
FASLG,,,,,,,,,,,,,,0.06042694960711641,
CEACAM1,-0.028370258064986602,0.030406617800182178,,-0.006646613394410246,,,,0.024344456181473965,-0.03908440361632447,-0.0406019178123929,0.025133058302882795,-0.003942130502672036,-0.026184941031898876,0.021177434224046457,
PDAP1,-0.1059949982859031,0.05945398252550373,0.07366897900564193,0.02214427285559516,0.027100922071829552,0.038160352290906245,0.010220242949031203,-0.0212928698861231,-0.0633977525281962,-0.06149006339529676,-0.05012866264247334,0.12587898591204597,-0.035482781512194715,-0.010520495842896533,-0.07225009187993875
QDPR,-0.08689112278557419,0.03925162351541446,-0.07567633388488822,-0.0007479883710729893,-0.08927515710383137,0.06947531224900558,-0.12367865147289935,0.07485587881575881,0.012066652401864955,-0.12730443460406407,0.01594383629431161,-0.08762449076877005,-0.04951360806392933,-0.021243211515638072,-0.05104062892775583
POMC,0.097673330210412,0.002385852722709745,-0.04328637926884045,-0.020072234824700493,-0.005773771157947067,-0.019945209401712304,0.08692514173194252,-0.08235734431060691,-0.05076617254962293,0.1135720487285008,0.0729377537547307,-0.04242256061472331,0.03981867704009129,0.12349756323175196,-0.0263429165534675
CCL18,-0.035403401528869505,,,,,-2.1208407680425924e-06,,0.13967450730433853,,0.17985804227442834,-0.0234490849034404,,0.0321966922774536,,
CCL17,,,,0.03139604578121472,0.0527011126973145,,,,,,-0.013879556988979651,-0.021890170870723955,,0.02024831099375144,
VEGFD,0.042230777783972384,0.008515794681901579,,0.02407240396702057,-0.012353171997779824,-0.021727878210648303,,-0.056523682985084485,0.01986831751767041,,,-0.023087373882286037,,,
TNFSF13,0.03727388461029328,,0.029556429908597765,,,,,,,,-0.02663278512040829,0.17392297422102745,-0.01662617952968017,0.09936441483007888,0.034840515004080065
WNT5A,0.04737927584686722,0.024076824445807343,0.09808420538984522,0.01582123296815346,0.0190759656223864,-0.010741478374713549,0.03425316939886246,0.06172083273995053,-0.01961781142964338,0.03748095404653079,0.001411754929128718,0.009317755685515348,0.03752950425840158,0.2006576589451668,0.04967009440403336
