,MGH258,UKF248,UKF266,UKF269,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,-0.013231780539485666,,,,-0.01571476972659631
BMP1,-0.0027691086000682275,0.04464437053532907,0.1296160440262487,-0.005811606230497703,-0.03154871506071379,-0.024046023695966947,-0.07212143065527171,0.024904082338009042
NDP,0.009686595146081143,-0.02961738969811068,0.009336326311266156,0.008017418730361976,-0.017830204497715798,0.08339145218706763,0.003315617799157049,0.01921934683328141
TNFSF18,0.10791049130991479,-0.005923787726482518,0.00986631032556575,-0.0003010437790336852,,,,-0.010725957799462232
RTN4,0.00873938058230258,-0.03225957120021087,-0.13252374930656782,-0.036560211702800334,-0.021921542551987,-0.056756916868649816,0.02007188450700818,0.05747960280762027
HEBP1,-0.024896001730999196,-0.020986117233514116,0.04544603670627336,0.04601031353920048,0.01804068607040063,0.04702487099669562,-0.0496718315159587,0.06458583388210896
WNT7B,0.21404494539345129,0.020149667043519844,0.013336358843133705,0.031153694089904666,-0.0334858786319272,-0.013300464838807334,0.053046451101744205,-0.007367692659795123
PTMA,0.01762289710183945,0.028912365764633855,0.11294314725150863,0.0012694496593315923,-0.015472895376530271,-0.01765401368556522,-0.0025423647240809186,-0.027806291288074433
FASLG,-0.015970527868115522,,,,,,,-0.013629414422705821
CEACAM1,-0.000648755809735924,0.04093559652685142,,0.17178713598629003,-0.0187637893835166,-0.023187179790634015,-0.01351765766452986,-0.01896332837258766
PDAP1,0.028936731530929988,0.01918115351108636,0.05944083503770457,0.05273441968813548,0.024718334178512325,-0.062243870412167966,-0.01647953193797474,-0.019619338625511323
QDPR,-0.03272711636381766,-0.01606737014754367,-0.017762413409182626,-0.09336536569489078,-0.00028833973658191295,0.05670703817181416,0.04023524556027441,0.0001647304893464606
POMC,-0.043083630646440774,0.012281214331510523,-0.01950963482446837,0.04332023844255557,0.10097918471738328,0.007474530163891015,-0.02211311218353496,0.03329703422492595
CCL18,,-0.02784813813817917,,,0.03245628425988193,-0.02543423256076906,-0.046551375588747355,
CCL17,,,,,-0.013312000374670204,-0.03347214970580103,,0.021285172631341307
VEGFD,,0.09706472797269922,,-0.005069085706877088,,0.050663283188940124,,
TNFSF13,,-0.004964744082947515,0.14167152238128605,,0.008008612214669907,-0.036383082353815745,0.08140743504930226,0.06513881374139287
WNT5A,0.046589550814419865,0.01751452642295494,0.1528777919218813,0.012184219621020573,0.03274221544890554,0.006477962786439658,-0.037153052545690055,0.025672478808804727
