,MGH258,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.024783164895623114,,,,,,,,,,0.025502369511165097,,,,
BMP1,0.017500414638597764,-0.05321920217632674,0.04571941049861889,0.05198028195380495,0.15554121363305937,-0.08338018157951606,0.01444030803924021,-0.06142423961867546,-0.02935909309829721,0.020737668703071827,0.008677278802846147,-0.0015315943971763485,-0.030233766401899183,-0.06410884833470919,0.03277885051208133,-0.01916440391796646,0.022603402257805598,-0.11066556928743523,-0.06572985263127644,-0.048631794266608866,0.006955713786925678,0.12389573978907367
NDP,0.05391072415329815,-0.0777120354652039,0.035959566601386175,-0.023027898341699715,0.05793653930830421,0.04660091081280134,0.007604786691794138,-0.034718754611047294,0.02867490287966024,-0.010680185841023352,0.12405316686079283,0.053288179527517444,-0.004451238488181029,-0.050763659880864016,0.020573394097804794,0.0020198112889800923,0.040968887919570034,-0.11017963926123936,0.07482233205012388,-0.0067248701023369705,0.031499997640487,0.02708961679046228
TNFSF18,0.16174827049327445,-0.021274489257832017,-0.019605797142359067,-0.03648253780723043,,,-0.037736596250572435,0.035523599313853786,-0.021587985727596702,,,,-0.04487377540357078,,,,,0.04339374235713879,,-0.0273987327000045,-0.033897660358751754,
IL36G,,,,,,,,,,,,-0.009483437750919787,,,,,,,,,,
RTN4,0.10521930353563694,0.12126838160504283,0.06933483757679626,0.030302938097898892,-0.046550288461292194,0.12846325010165047,-0.05868794878345912,0.045386529906151385,-0.003851992062479491,0.01893665301820024,-0.23336004761378154,0.02941764503472232,0.07283614403392627,-0.03349880110794811,0.0163028600645716,-0.010547597494418328,-0.023713472307059228,-0.003989314980276937,0.018284549801324053,0.09838782517512548,0.0005981518562552283,0.0019701771462686704
HEBP1,0.04077399563282198,-0.06699724271703018,0.027654926804196008,-0.006982063140323399,-0.013497673382773157,-0.040586245886916804,0.03200363208791968,-0.037450807833969896,0.02697696885842457,0.046555462970017926,0.17953011521196235,-0.0051234764867030365,0.022018915788818882,-0.01066730968637741,0.04927056567965743,-0.009354000735895634,0.016443079953322587,-0.0189221946669627,0.015745790981163785,-0.019506179589486847,-0.04511930048518541,-0.08303897506493658
WNT7B,0.09936283315715717,0.14805164449073563,0.07206900645606318,-0.007133298601445357,0.0012734614047388189,0.05572757455319213,0.032970344540921646,-0.063145438730427,-0.013602471995529525,-0.026255455745778724,,-0.03193551705080111,-0.01702068289529772,0.09714367358161226,-0.016568643095703606,-0.0006782049158443096,0.06629259755313084,-0.053584351507557595,0.024200865652510645,-0.025978362466910244,0.04901525503372181,-0.0641977392618481
PTMA,0.12262573284183549,-0.009786449151300648,0.0348902924671924,0.018207780000313572,0.14426740403089436,-0.07221073131034468,0.06049699910741051,0.217681236246984,0.05152047692425029,0.068614721613889,0.3389614162381967,0.022047239101690465,0.06176580901072904,-0.08750162465544147,0.013750264034412872,-0.033029426237850136,-0.003402033363727941,0.11670210282959102,-0.020972142101924912,0.12266870613878908,-0.013105336851827203,0.1266677671424568
FASLG,0.015153404197339461,,,,,,,,,,,,,,,,,,,,,
