,MGH258,UKF243,UKF248,UKF259,UKF275,UKF334,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,,,,,-0.023683411263291983,-0.019211069154147314
BMP1,0.0163594706418477,0.14121642527997894,0.06748852207301746,-0.005273284970155244,-0.021979135016652485,-0.032895782860174506,-0.04813958260109299,0.029217810955468354,0.01718428926392515
NDP,0.0430944131726682,0.06196587010861169,0.02515833763542984,-0.04114137887526667,0.009191548681758758,0.075048498776287,0.03446565314220592,0.02354979620166689,0.04154125560187125
TNFSF18,0.10395399486135966,0.0038336387797017098,-0.036340295441337496,,-0.01951002223892285,,,-0.024424283999074998,0.07272072464956711
IL36G,,,,,,-0.013752909006013963,,,
RTN4,0.049436639257358896,-0.05749845467404573,-0.0067886566116005876,0.0360514403361481,0.03086036697697337,0.024483653571720197,-0.021733749449313635,0.029316059498197475,-0.031812372141284836
HEBP1,-0.029259385537199707,0.0012111969596026533,0.027003401098485435,-0.009082116230433883,-0.02902621524393956,0.04606640453263783,-0.003998983228117152,-0.02981371051979662,0.08082485169451101
WNT7B,0.12332166089273154,-0.048824551561470454,-0.039208356467555563,0.017105709846725495,0.02171883380086542,-0.015116031902090191,-0.029892565343063206,-0.051073153715228456,0.05416965245852691
PTMA,0.09334517087476034,-0.12768769719988457,-0.0053673664450046045,-0.010764044627185547,-0.0523766357228465,-0.005851987523748247,0.05269523363743063,0.011376735686308561,-0.036819116555309415
FASLG,-0.016485147707189434,,,,,,,,-0.016661753723441017
CEACAM1,0.07704811764655681,,0.006998186296316959,0.005587946329999884,0.035007916887328835,,-0.014481556223057707,-0.03509514617690809,0.030912609338922488
PDAP1,0.03121417226279929,0.057588248799588966,0.036937120463574814,0.03310455198728923,-0.03221180735216808,0.00931435309717728,-0.03813200460965436,-0.0507701675842131,-0.013394278530688756
QDPR,0.07559091911218269,0.06601896065250519,-0.04806930055833807,-0.04678188863467021,-0.03857183006607773,0.04465725910286692,0.021653010106157444,0.052498294266679665,-0.04090128192187276
POMC,0.0009089227682184503,0.0619510645308312,0.022339201482895785,-0.011727988095546506,0.026077069650699343,0.0325360426216288,-0.008983920397187541,-0.003637523988173022,0.1114154685814906
CCL18,,-0.02901701288140916,-0.005138448746664871,,,,-0.01102222175398357,,
CCL17,,,,-0.02272272609123328,0.033055332022536445,-0.012563672821948054,-0.020905035551885373,-0.031225209677946508,-0.015102008308470496
VEGFD,,-0.049471366011857365,0.1871937580156161,-0.013384404412327605,-0.004300574232909035,-0.013464877302150992,-0.014481556223057707,0.12910650395223794,
TNFSF13,,,0.010510808565187789,-0.015673627908106127,,,-0.02272305892447279,-0.01861142644824862,-0.024607462025236386
WNT5A,-0.012964421282335197,0.09616687143357697,-0.03424538786821606,0.018610777651405168,-0.008597262314765191,0.054917856373324185,-0.017082683094206408,0.03530207940257575,0.035985872609524024
CXCL8,,-0.01828720036793166,0.04416056812583646,0.0568792357289511,0.0195539712756915,-0.023770631507389433,-0.09431575113291076,-0.010067212568359494,0.049777797230337845
GRN,-0.058208404656785256,0.05628073430237501,0.11226557291396454,0.06428391550978141,-0.011268661042983472,-0.035396187372877065,-0.06917296142705895,0.015101829966568267,-0.04585814092715376
MIA,0.06606547537297057,-0.01991233807676143,0.07348952893221952,0.023693534378861958,-0.016221754249515902,-0.018440766527771626,0.14345440918390048,0.033934374429995064,0.034862124371441934
COL4A4,0.029746136392772037,-0.00017202148779739393,-0.03466489872570733,0.027821935788111003,-0.014101433282634003,-0.0178882276677506,0.011386898991053343,0.026862127666519624,-0.0072533722826953395
TAC1,-0.016485138738298866,-0.010979985922887377,0.010701744601632894,-0.0008518274232841606,0.009496491998604058,0.015699400071280865,,,0.021042544523738674
RARRES2,-0.05632165838869511,0.05713641136879842,-0.0198079296137108,-0.07421944000386854,-0.027835839624168468,0.0063224511838606634,-0.016344321991399954,0.06533204952617028,0.0483974056949342
FGF7,0.06466594820936565,0.034282324042019405,,-0.01779617288937383,0.008857830809875865,0.00427438392981578,0.0581067852538175,0.04616092917612421,0.04930830524347465
EFNA2,,,,,,,-0.013763750039711586,,
