,MGH258,UKF304,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.14025741277982234,
BMP1,0.04345450416977194,-0.03004114349713968,0.00624824038649986,0.08146470408288242,0.010976630483862033
NDP,-0.0031823023109125398,-0.03851682821075521,-0.07040315797854041,0.049611316460659374,0.0684741145362213
TNFSF18,0.03398489906298451,,,0.006033423195061385,-0.02794313948003858
RTN4,0.025283049510685534,0.14663515613349087,0.017814854916130964,0.008964279884870148,-0.09190979956675535
HEBP1,-0.007073996984229572,-0.07997217687925734,0.03313384809784409,0.06152419353757531,0.017050327772380514
WNT7B,-0.020986961992431847,,-0.02006996594427479,-0.05505982576748285,0.014774817544185286
PTMA,0.05887682206206072,-0.16610356194340503,-0.04320899372341695,0.018207779183701967,0.03084890475233096
FASLG,-0.02098696792539224,,,0.016140986311192315,
CEACAM1,0.1285523852286209,,-0.013320728288787853,0.024468737714348467,
PDAP1,0.013706573497450537,0.03766221315224761,-0.0008804317647042179,0.03724787436001571,-0.030879428406651827
QDPR,0.011177785485403047,-0.1697013638295286,-0.0007707432111984169,0.05484440924937721,-0.012838697564185141
POMC,-0.01841914604040779,-0.047344676625292716,-0.021790961594572847,0.024293710268332103,0.007146171774682727
CCL18,,-0.03228635108612733,-0.01807074048624495,,
CCL17,,,,-0.020278647888624428,
VEGFD,,0.19623088601364297,,,
TNFSF13,,,-0.014958285079327446,0.06105770202264863,0.002156485563441399
WNT5A,-0.015523138131708617,0.006550149382917018,0.04666805943203196,0.03440077474293768,-0.04242791682755266
CXCL8,,-0.045171348114086816,0.016992062624113614,0.02443915090090337,-0.008951038681125519
GRN,0.007378920940444318,-0.09726392064254392,-0.06972784247914456,0.007896452787021117,-0.056346195187971786
MIA,0.007155505609953289,,-0.0472327502535544,0.08818264903664118,-0.046810597312677144
COL4A4,0.06908990147885977,,-0.02684587157173557,-0.044832314500102596,0.16061373870963852
TAC1,-0.02098695650724652,0.15757494893840635,-0.022982051140434195,-0.02665834466930471,-0.08808963636743071
RARRES2,-0.015594222415504663,-0.08146926876890358,-0.0077174091270618955,-0.023205770462331472,0.0033317369002599994
FGF7,-0.028717794013241493,0.012896030318592403,0.03828882435699854,0.016681975248014506,0.04136686261887097
HBEGF,0.012429729342367742,-0.04595125782342206,0.059755356495724415,-0.0569511759130328,0.0166035431225943
CSF3,,,-0.019097083595690276,0.019228081222393282,0.01927988776537851
PI3,,,0.02091447320362885,-0.046387082616858415,0.015788752950992357
PCSK1N,-0.05707934703510246,0.16803760543031585,0.018018475349539424,0.02852502709300381,-0.06405038527860135
NTS,,-0.017847604770563803,0.041067730230189704,0.022577183367878447,
SFRP1,0.05992718662875525,-0.017966890524052734,-0.0036338042539826422,-0.030882169150228792,-0.02008871290909698
CXCL13,,,-0.031151317368784463,,0.03893303033258211
MICA,0.008336547311891665,0.02497160130494068,-0.006305681475414595,0.05161306154524911,0.07091472221972288
TG,0.10812237915379241,,-0.01571719325613158,0.1115022751473112,-0.031944732379351595
ADA,0.044165629766522774,-0.07666665554286535,-0.01661674942389379,0.01047360048777568,0.08444172982899475
LAMC3,-0.04160742062852589,-0.025337621002573085,-0.02071391791240123,0.04005719089318433,0.022328266979662784
CCL7,,,,-0.022373032110557172,-0.05222933958110092
NGF,,0.10021559587338968,-0.021051326526033764,-0.028721665795325816,-0.014938651788652118
TNFSF15,,,-0.011858961056451066,-0.02178599827860208,0.01164693668093006
HMGB1,0.023426138971159895,-0.02749965731254053,-0.09234898981996927,0.0353662630021116,0.00553219390088734
ITGB3BP,0.04733700898476867,-0.06693132574719092,-0.015394616415208616,-0.008358665693488684,0.0005778274245064715
AANAT,,-0.01677938431178503,,-0.02367160097714135,-0.02182116602445459
RELN,-0.020149871251261737,-0.03189215634267939,0.011711199757224042,,-0.03134678441240507
IL15,-0.046183292348678844,0.026326359373637573,-0.0289276558598598,0.009283476995984473,0.03365332633134673
BSG,-0.03197732792275107,0.08570514618638062,0.07475634819273679,0.07935086317672081,-0.017909965519540327
ADAMTS3,0.024932442492472062,0.11730912258438828,0.00650141374909209,0.0712862799877399,0.08365049999996203
CD34,-0.03513399549548337,-0.023598048172238255,-0.037894803552275855,-0.015656888714494305,0.03423481421844393
PLAT,-0.03274612896528593,0.07550190931627547,-0.05325688014858558,0.08228150191466853,0.028529646393128324
NTF3,,,0.04659065758129325,,
LTA,,,,-0.03185840751934721,
CKLF,-0.017274670175402636,-0.07964403313575419,-0.06636672095208772,0.09352707722284136,0.039118324080563906
CD24,0.053873956688934375,-0.045701303488977434,-0.013417246983736681,-0.01964533441850426,-0.0018930478964350756
