,UKF243,UKF248,UKF255,UKF259,UKF313,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.015224975623427625,
BMP1,-0.04619174478053139,-0.06923314183912557,-0.1354964057027389,-0.12756234244492867,0.08141949821636757,-0.049815520312217254,-0.0625227763533689,-0.008459359714656682
NDP,-0.18003296336965607,-0.09981403718461816,-0.08499791943422207,-0.1979269641897132,-0.0772648982895942,-0.05673800846184318,-0.08994020923506384,-0.07095631512514437
TNFSF18,0.032830598422937673,0.010861518544917513,,,,,-0.025681811930482436,-0.028603882229294962
RTN4,0.03675467441421499,0.03640929652263296,-0.08750949539668171,-0.09699818623419228,0.06445500658973115,-0.08902000408641664,0.012082378350968826,-0.06635519294557485
HEBP1,-0.04976487840739328,0.025686626156476874,0.05338097965249334,0.056941510865969235,0.09737328537350569,0.0013825062890861532,0.06842129785078584,0.06226159032026473
WNT7B,-0.03772817733368239,-0.016723648676379405,0.01942803629721012,0.10234524918978075,0.031438837032457624,-0.005919207577171086,0.07796041009455754,0.10696375575420466
PTMA,0.2689728096985192,-0.12804192210371854,-0.11388279747367919,0.16212427291494608,0.18796197975261492,-0.001954003246129462,0.016792804223041465,0.23201375795881204
FASLG,,,,,,,-0.013204616164123292,
CEACAM1,,-0.018005469175777937,,-0.016172952895231962,,-0.022267301924629373,-0.01837228398727762,
PDAP1,-0.04147405739277563,-0.08907026675061926,0.06172513710392813,-0.01893901872182145,-0.013235758698237529,-0.02881860081695799,0.09696353834920529,0.016473254833897232
QDPR,-0.13093544149952357,-0.013448319731788094,-0.08150842116513313,-0.09493463728157894,0.18570841591256965,0.04136960520330005,-0.08404360181461404,-0.1916772545574457
POMC,0.035178566217820575,-0.010584116866986052,,-0.03812696144439564,-0.07402855719407378,0.0031569303444427114,-0.028958184469835654,-0.0380297146809197
CCL18,0.08206073369498812,0.18373884649225444,,,0.11347830296933303,0.04340001675047333,,
CCL17,,,,-0.040969299529375974,,-0.0157975729478161,-0.011968501415322198,
VEGFD,0.15727493355627248,-0.018820322886603513,,0.09547444026054083,-0.042617419226500176,,,
TNFSF13,,-0.028432466559421006,,-0.017101062791402624,,-0.030313169654998567,-0.019501674086044574,-0.04624311216928681
WNT5A,-0.01962576123173473,0.03612965543314726,-0.05185024874192711,-0.04169305603558249,-0.024341082225779503,0.002479358054244813,-0.03218904530653652,0.21198511983900006
CXCL8,0.2684705839863348,0.218883282278411,0.21868254905471526,0.43295140738933807,-0.061721509874953354,0.0694010289256016,0.16152705327406366,0.3468953664451982
GRN,-0.0172125307996463,-0.0715364933183532,-0.11607658252753686,-0.1234733028732269,-0.03652430644186197,0.034985257257090355,-0.09815851743648739,-0.15951458626306309
MIA,0.10632365841153132,-0.008784171052133,0.05178945489839245,0.1196208991226726,-0.009751852022299057,-0.0417155344489596,-0.04517351259496961,-0.020638145368947185
COL4A4,-0.005813846764211925,-0.04525006416825555,0.03902484805226209,0.0052456083938409725,,-0.041741655923821314,0.0277232155920142,0.06278322205621674
TAC1,-0.04391459283279781,-0.0958103315094916,-0.04007090193562666,-0.08326008175622485,,,-0.01573381211888893,-0.07920026539553941
RARRES2,-0.13271568973809447,-0.027795939326134018,-0.03258971075605127,-0.1413210904513732,-0.2281704743947594,-0.007456741634404346,0.132413052256593,0.26352309007939445
FGF7,-0.036368001106936526,,0.01209743510221061,0.01931012026717539,0.10847069513322909,-0.026574100507124686,0.03154311175956787,-0.10560203352395178
HBEGF,-0.00816204015207609,0.06187932393523689,0.0034377139750551653,0.10868932651737791,0.08889584491779048,0.05327531050610789,0.028818778877535593,0.11938957503012901
CSF3,0.18478722898408517,,0.03786322720366778,0.27029799758656226,-0.08280685299268377,0.033195808436669624,-0.012600985631067409,0.29061148298293976
PI3,0.15668393001354294,0.08947066945632352,0.18376910530376214,0.4111396012710024,,0.04095560713428265,0.2180026215740225,0.34443153118284964
PCSK1N,-0.18208972976720306,-0.1126894866208183,-0.0804279936386934,-0.21949194395556487,0.07510605138893359,-0.02217504950934469,-0.05438236166425182,-0.21123834712416686
NTS,,,,,,-0.036854093220516554,-0.018660341433868657,
SFRP1,-0.08500202123355428,0.04858490009650758,,-0.026864570709291533,0.0699591728515204,-0.02250780424483493,-0.01822672237383599,0.03331863461486625
CXCL13,,,-0.022296530415206302,,0.10155356003342832,-0.035484587797068735,,-0.042362133060118455
MICA,-0.036110884346528475,0.0019383495210403034,-0.006861644622039691,0.13676710937416653,-0.030329963983043537,0.10755293192744703,-0.013694851988530163,0.003715766237266834
TG,-0.0003167382027507764,0.0065005978051745255,,0.07278949339475663,0.1045758900986749,-0.02099102482805075,-0.024574325522564718,0.06434757796595234
ADA,-0.00013144309465610988,-0.07969691673414231,0.0534004760547362,0.035612964903122726,0.04472851880897233,-0.01765738980820834,-0.07163902288989159,-0.04431891698710562
LAMC3,0.021918541055539316,-0.07906249892524005,-0.03823675088923494,-0.09363514388117462,-0.0032806867506194127,0.0062453391384993655,-0.14261879196329558,-0.13873911871533248
CCL7,,0.08117397556592773,,0.027058122713398743,,-0.023676920498387967,-0.013204611468719398,0.26651848733457534
NGF,-0.03670430032902318,0.02001332095346011,,0.15874789427511915,0.07476517805051613,-0.027344947694836037,-0.0395342087566728,-0.023865741583717508
TNFSF15,0.006217830695370553,,,0.037412152593716164,0.004662564618588819,-0.0037041353861976154,0.05791067041747672,0.06352820604716213
HMGB1,-0.15769491553474663,-0.16897109057118326,-0.11102248529374167,-0.23903303932101092,0.06183093214307476,0.04773296032978734,0.01132315210698534,-0.10753917274499962
ITGB3BP,0.1264094414011987,-0.012843980618511237,0.012411018647831996,0.08935105957075136,0.058619655456684294,-0.03627640534160607,0.06377373250024246,-0.018554114961328083
AANAT,0.013237923091062717,0.0038938406045327797,,0.0933237480786966,,0.10444340529499141,-0.013971029594965602,-0.014772796233789827
RELN,-0.06328615162590125,-0.03498715249289797,-0.03458017681654429,-0.049052526048622105,,,,-0.08781916878988139
