,ZH881T1,ZH916T1
IGFL3,,-0.018602411262844513
BMP1,0.01228847398471947,-0.005756304941517319
NDP,0.03170052660571146,0.04630103000598061
TNFSF18,,-0.03137894203066749
RTN4,0.09170476619104123,-0.025032285038527995
HEBP1,-0.09231997516059849,0.008158921366673578
WNT7B,0.14549805209314898,0.10281706843654817
PTMA,0.04483950503598637,-0.04854386080374499
FASLG,,-0.01613386494196074
CEACAM1,-0.01668875009417769,-0.02244790343330403
PDAP1,0.0015010350318587138,0.015351107230294937
QDPR,-0.06652209309325013,0.026078511204947263
POMC,-0.027300602825879147,0.048020953964151
CCL18,0.022362400586109114,
CCL17,,0.042543528007215815
TNFSF13,-0.01874034783342005,0.047929202847171025
WNT5A,0.025014988629348582,0.021626045249334987
CXCL8,-0.04854444420531549,0.05002228927787804
GRN,-0.016849270227255343,-0.00145822874006879
MIA,-0.02378565865184398,0.0032534875946282128
COL4A4,-0.021729675404791315,0.06141637540883926
TAC1,-0.028792848245177947,0.02478131349880513
RARRES2,-0.037616841363996484,0.03532642996177315
FGF7,-0.05541574941752385,0.09697968547051534
HBEGF,0.020781558210640007,-0.009856049034484558
CSF3,-0.023925602921001897,0.011877867918617356
PI3,0.03148379770383998,-0.0334511056065428
PCSK1N,0.01931187556478101,0.06902194766707677
NTS,-0.00974624134263016,-0.022799862163573895
SFRP1,0.05405772837176786,-0.022270051129018056
CXCL13,-0.03902763718329457,
MICA,-0.008992271720856418,0.07149387759330593
TG,-0.0007773287283213003,0.08270031460520938
ADA,-0.009693256158140102,-0.033463800407907945
LAMC3,-0.012836675577334521,-0.025768147531811555
CCL7,,-0.016133859204950945
NGF,0.007728765229759301,-0.021097624595237757
TNFSF15,-0.014857388662020863,0.020011853678184432
HMGB1,0.04431482352221107,0.0008001704905616424
ITGB3BP,0.0857048232098516,0.06459105393895234
AANAT,,-0.01707029585590966
RELN,-0.01794611537392442,
IL15,0.005995855054549453,0.09708816338791053
BSG,-0.029350807305413226,0.032895443287216226
ADAMTS3,0.028587580978302902,0.061710029529182836
