,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.054372308287213816,,,,,,,,,-0.021110083477127253,,-0.017421964697442983,
BMP1,0.0698801649468463,0.06279790650002375,-0.008217271941833287,0.03877047063865575,-0.005555759071107003,-0.04950001083417495,0.052012203693281585,0.05725243918039786,-0.005436145612141168,0.031290680754310754,0.01813725052043154,-0.008875949037458246,0.06278210771109984,-0.01708085055133822,-0.018704714274279995,0.07290665637809728,-0.025312719823807766,0.04380797344426685,0.03312915748786552
NDP,0.0357980357305617,0.029142260951020172,0.016789589098635368,-0.0028423838504396466,-0.011265119036073192,0.049785063791787466,0.05715424680608283,0.04712460379050848,-0.020788937823478508,0.12068384526410446,0.02731132385420066,-0.05047227691895457,0.01947785048924488,-0.02005733678932992,-0.0007662662373233739,0.05185794280148909,-0.003856579086954344,0.023823705939309187,-0.07289312449838929
TNFSF18,-0.01687589335369796,-0.017343556990304473,0.028548683626552582,,,-0.017104136937519738,0.021267811370881226,-0.010787911466977511,,,,,,,,-0.021770456475106146,,-0.016963986491552802,0.05606122948164198
IL36G,,,,,,,,,,,-0.026048423436258624,,,,,,,,
RTN4,-0.04521376523986362,0.041250076770661684,0.0657539363981694,0.0283970965943871,0.032134232282465265,0.03425330704575565,-0.04955977149498682,0.0021006434912617996,0.022199456369497883,-0.052102149260364536,-0.07207227874366538,0.06487473825047492,-0.08490189905551257,0.03309383718736386,-0.04039406575163104,-0.07585871409673454,0.02708880733096926,-0.0011152928152471072,-0.016149401981914925
HEBP1,-0.020295373449080514,0.015567146068223828,-0.004460382103430377,-0.00918518677213244,0.005579312761454672,0.030315949762781676,-0.02716824590801961,-0.04991522152984865,0.0026996384483315462,-0.031644313870379435,0.016791892044882028,0.04643328809951464,0.07274511029812865,0.06938419550746114,0.07649411876060222,0.03260849673553025,-0.04260945718813651,0.05306178290897078,-0.03270452791986824
WNT7B,-0.02462611168349063,-0.04113290711329923,-0.01548074952487002,0.03013308510158398,-0.015193327792290575,0.02592014823512358,0.03696181313639301,-0.01393261655841192,0.05531065575858518,0.03338176981445574,-0.016679093075818715,0.08797364472633047,-0.045606758818208366,0.03140226796987857,0.0066507889596865676,-0.02088561180050439,-0.03284637644699259,-0.008855800712410135,0.05522394378466201
PTMA,-0.08639996210706054,-0.012031016421600366,-0.029997632687040404,-0.0056362550503191375,0.043128108942602224,-0.03858610054016815,-0.04272882236163,-0.016508986284935016,0.0038233342686179164,0.0440615790654772,0.02513242244099434,-0.05414850132836016,-0.0777044983954466,-0.04255491469669972,-0.02920642288332829,-0.1463201454427562,-0.032702913598592745,-0.024219407185328487,0.009016662773876936
FASLG,,,,,,,,,,,,,,,,,,0.10229624958661676,
CEACAM1,,-0.006014782851461614,-0.01188054415595134,0.007199826016952587,0.11985281884408971,,-0.04061589203879663,-0.03617742252276387,,,,-0.02833939769440306,-0.040900871807506914,0.0051884938172462305,-0.03595399687275937,0.16543589491402866,0.02393024494341499,-0.015433024985620027,
PDAP1,-0.01236140289006248,-0.05666280798990289,0.027460821768058637,-0.001890183169734501,0.10012772028315829,-0.07744891187936825,-0.00354963217215116,0.042640832880653616,0.042438436006248324,0.08666694998034387,0.013185771570849781,-0.06758798437521164,-0.007044982037188559,-0.0318925411945596,-0.07143217228226313,0.05730536275934844,0.06947016905578843,-0.038207512907948105,0.053914094425773114
QDPR,-0.047706761402354934,-0.050184225434291053,0.08802913446827831,-0.003304724238793831,-0.01856314826660972,-0.0009441907021131688,-0.10594794554196194,-0.001450492606096836,0.03937744263495062,0.042293986784804664,-0.019296435875037855,0.011189285393576711,-0.09155146628852837,0.018464731142836952,0.08343433761348112,-0.09447370212833699,0.051043757152524155,0.059337682528200146,-0.08246131150325646
POMC,-0.0435806111342945,0.0035913574597508055,0.04121292678090462,0.007416763975197646,-0.02676904720468008,-0.006690471930619473,0.00572494994187246,0.01646219352399441,-0.00354119638470043,0.001689868996138997,-0.03142422408288074,0.024618365210954153,0.14078538406153415,0.08505992718315084,0.04710248332133916,-0.0595447855839359,-0.013000720850382699,0.04797564699420902,0.03945258333040263
CCL18,0.008572547533664685,0.063640067718971,,,,,,,,-0.016701300211654554,,-0.028980624633505623,-0.028999390586362857,0.0476680103038911,0.0406430724686165,,-0.0010790506026174928,,
CCL17,,,,0.0013856786980614053,,,,0.011562330261927545,-0.01949258061599671,,-0.02379597432351287,,,-0.02903334195696919,0.06052301529043859,0.008891582626664127,,0.07483327913636333,
VEGFD,-0.038401463485996996,0.02860535159889795,-0.017016495917357172,-0.038351267759404506,-0.01762086838302083,,-0.03128273968111129,-0.01278786295269985,0.12367578940694085,0.02323440699827498,0.04200417351496215,0.07321624610002918,,,0.04842118066369922,0.1266282899675585,,,
TNFSF13,,0.020507538612668408,,-0.02374436632853079,,-0.01658744470515105,,,,,,,,0.014278546952939158,0.019658261314813776,0.07338926621726934,0.03980244122438701,0.03308133494358962,-0.03943527834923525
WNT5A,0.00858620271328957,0.017628917782705623,0.012497826695369904,-0.025442569842939553,0.06595081421670357,-0.06920539498327116,0.03938368548216556,0.01671307733181701,-0.029616190918195073,0.0658119216479526,0.006685793559143274,0.01271883799746582,0.0934076462785113,0.01163415155759345,0.027345050773565287,0.0351084805900053,0.01809824379215423,0.004686128580586195,0.020172092675486315
CXCL8,-0.006244106891654049,0.08315984427909508,0.02388626727190838,0.05036192729835849,0.03312702539052247,-0.023594564245420335,-0.014658077749249938,0.01326159223129382,0.07219849414179828,0.03691277770007299,0.007796308604525568,0.16215175442925692,0.044127809165800495,-0.08701050904480742,-0.09641368263054757,-0.0143190967051762,-0.004651916616272024,-0.028448913530646467,0.10428395443369996
GRN,0.008799166062368713,0.0382274910016421,-0.053660593258534575,-0.03208194958351475,-0.014688219175269152,0.016143705746199454,0.0337073666920204,0.05325951755871035,0.017844681120343313,0.025675112738554617,0.01938846815454181,-0.024033019520223086,0.07020081512690166,-0.001801642554710423,-0.03464856690182688,0.0453267722256762,0.02940933586919981,0.07346260450983129,0.049661284678560645
MIA,0.09356230304828198,-0.041752290665385834,0.07205881818519577,0.014265432539262251,0.08366170990114764,-0.02999329910161311,-0.0003068588924883457,0.017441582552672273,0.05244415230260027,-0.025182544690501744,-0.034927366624364936,0.04575454662721234,0.05032689661168972,0.1299162620449344,0.08805742353484024,-0.058203835920468086,0.04116187435425975,0.04546500594745224,0.029067381204950546
