,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk
DCN,0.04102236852132145,0.013630383324795674,0.08147652002643499,-0.0440839976913481,0.024467996815767622,0.021286813283114894,-0.02030238976761935,0.04623645616268862,0.03300358742950406,-0.04491841164777387,0.008958867079254982,-0.020958433134875727,-0.04226729827880776,-0.007027708160957444,0.07987348272754331,-0.024090855696740274,0.025827428003324413,-0.012052965134540624
RARRES2,-0.006033722107034579,0.006248161893911178,-0.003459979958778758,0.003620807828067437,-0.1665097699060993,-0.020922777947310504,-0.03579516468166686,0.14225788695846167,-0.006348638184655758,-0.03165655786499593,0.14858198323938876,-0.08389663811642138,0.02592931567249169,0.04671584427718713,0.049863149892063856,0.016799247360556952,0.014613050817598339,-0.015163145981015851
SEMA4A,-0.009289464645995754,0.08012241884122011,-0.015143804536899244,-0.01940465415018181,0.08517764696753927,0.06392465245021561,0.08180746979324309,0.04228863405532096,-0.048487456242862687,0.11440055342269995,0.03018090888248707,0.16153485943634519,0.05096429024626586,0.11132853493023337,0.10536330694944629,-0.04174188872126741,-0.011040214745838446,-0.034483739111148146
GDF11,0.07093997461308388,-0.006316736710358943,-0.06221501734060684,0.036831006803412156,0.003864023506186911,-0.04991090909560073,-0.032257137397097964,-0.06507702255533136,0.03353698416974522,-0.016174064779237947,0.005184132389642818,-0.0849620182010886,-0.029748067579832213,0.040817156545359404,0.07443113567449448,-0.05403669976446403,0.15775121967062578,0.006086403262636762
GPC3,0.05925717347854101,0.029704506971028652,0.0028629054859142205,-0.01649649241609161,-0.024402523967812666,-0.08868241716049387,0.014241905543458007,-0.015376259826659383,-0.023681765601258047,-0.0321595032955441,0.06825134942043183,,0.012272524176799773,0.08409257477201555,0.09808469262977963,0.02387543953942694,,-0.026054245060111645
OSTN,,,,-0.02135729398840689,-0.010464729155760967,,-0.03020187948339647,0.019011768986699807,0.043522810337825776,,,,,,0.08550633497928536,,,0.08046349501965357
GRN,0.008793832806793965,-0.02577293384664067,-0.03615064169127873,-0.009484157995200889,-0.067785628923624,-0.058866908625559496,-0.07008638615822836,0.031025127095257416,-0.011277465725117711,-0.09145053717433482,-0.02608743961663661,0.015720789542643845,0.048586193778163464,-0.009498485406825494,0.01891085392774321,0.007981910460491019,0.06686616274141959,0.0785335946633821
CALM1,0.12953227659423475,0.041818984545096125,0.04269930971191332,-0.08813291207691201,0.22653925409860906,0.11708252820570424,0.050093346013485265,0.02995771022428495,-0.01955603786861795,0.12738186638232687,0.0356429924695518,0.12644417000286276,-0.014939705272386335,0.058686429383849395,-0.020589938472745477,-0.05079603680545008,0.019093221185290263,-0.014569617468724374
ANGPTL4,-0.16837094667285663,-0.06567417878321939,-0.01541231697288071,0.08243949269033586,-0.10230596915206687,-0.010425622215098485,0.03233692546024883,0.015205889503080572,-0.00013468447386826655,-0.01943177526354086,0.07293986978405478,-0.058464939644913956,0.012609490469304076,-0.039753741007475175,0.05413229158318728,0.012412436634839954,0.01419559679902565,0.024926046878399402
BMP8B,0.02280226925900544,0.0570364983120959,-0.06449508869102567,0.00146338205297792,-0.014087124369339918,-0.11509792145963738,-0.02983662453258256,-0.020042503777232695,-0.019794564474122422,-0.004680962817820348,0.031479713318137946,-0.048416119323348696,0.04547126977643248,0.023866941847115093,-0.057458544501758524,-0.023042724020500307,0.02406332874863447,0.04806841102411761
