,UKF304,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,-0.03302635192466364,0.11823276024760951,,
BMP1,-0.02348060990937532,0.06585533428903934,0.05948393126020616,-0.017176067827385514,0.026090425128038244
NDP,0.07122898200208254,0.024960893754446156,0.02393217782521963,-0.007783853501810107,-0.15473728607312154
TNFSF18,,-0.004023799545930318,0.0473285631864819,0.1066836592540719,
RTN4,-0.036092767002740764,0.025778570130944964,-0.004789488954199777,-0.038163688846089075,0.03741582859682532
HEBP1,0.0420057767822696,0.05926679854291636,-0.017243773314002214,0.04909254002427589,0.008978442546297536
WNT7B,,-0.04099577808050368,-0.04001197789302806,0.029507058869502906,0.08399043962363774
PTMA,0.03561996744937083,0.010998469554204275,0.009727609120434728,0.04507113924621739,0.011833632497573875
FASLG,,,-0.022769378058168935,,
CEACAM1,,-0.0489399367177552,0.007181929568329718,,
PDAP1,-0.04984114750440697,-0.009648581415016533,-0.03678193780160283,0.08531123425791452,0.04351527295685899
QDPR,0.06602550707327912,-0.03582177529415006,0.04905975372704691,-0.07616394414628197,-6.12357937008995e-05
POMC,0.03293275616835734,-0.026422622577963066,0.016585665051118012,-0.02320999933626708,0.0002719225207654364
CCL18,-0.03262881311141165,,,,
CCL17,,0.05840492979882349,-0.020637883761863558,,
VEGFD,-0.034745912817243874,0.06340490147170891,,,
TNFSF13,,-0.003350899249199143,0.028901270875049765,-0.028140017794994806,
WNT5A,-0.031187106321107355,-0.007620697398701591,-0.03945097270731091,0.001981381915882599,-0.02390116163242403
CXCL8,0.017805228107681842,-0.04587605710740697,0.043158409508263836,0.07660124348081028,0.05754000651499872
GRN,-0.00293998972771598,0.004682984057780165,0.0379730074704792,-0.0114890670450945,-0.05914363432393079
MIA,,0.06724592787258966,0.006652514749355702,0.0030014749073884873,
COL4A4,,-0.025357153547383098,-0.013073655163445096,0.001886536472588294,
TAC1,-0.010713595141295064,,-0.011725500876513723,-0.04160828062060635,-0.06331900097813864
RARRES2,0.006699324565982015,0.0021593148631980385,-0.030883419070667224,0.17980205331497023,-0.049893189651793506
