,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.05371402912900539,,,,,,,,,,0.03184473602231273,,,,
BMP1,-0.03780411046742841,0.05456623879448248,-0.06147461283549549,0.10507116536196826,-0.04630197394710951,0.00476476928277094,-0.12384397371270799,-0.30566408327662503,-0.08670335336406634,0.021493574031421256,-0.08485108842847464,-0.2712430072973752,0.07681803956287539,0.0032748127272197998,0.03142822288282936,-0.016002593196601245,-0.034162178597747735,-0.030299517786568843,-0.1068428339484373,0.02921643307358754,-0.0053585302922999605,0.059505725921688804
NDP,0.020917853840365822,0.015207592047856017,0.033968621748181105,0.08953849845094393,0.01062288781363588,0.034278906203775245,0.018702568012235046,-0.020762333478904806,0.0046168340645329695,0.03436343320112052,-0.004604537656031089,-0.12639449336355,0.03425771891148064,0.05180759163368868,0.08388855700049236,0.03864378449269101,0.016585348674755845,0.050046963029125126,0.05651888466946694,0.0965912481488023,0.09664190115516552,-0.054928191602021684
TNFSF18,0.026354417528642725,0.033129292687296905,-0.02330495852036801,-0.048831708194993065,,,-0.04575265828404962,-0.0797637207172301,-0.02075533579606208,,,,-0.025988038296052913,0.06995468360007553,,,,0.023551688384617932,,-0.0071116769865602605,9.866784586160368e-05,
IL36G,,,,,,,,,,,,0.0017827001221769972,,,,,,,,,,
RTN4,0.07623260434269877,0.15553005023894884,-0.02023899106109857,0.000832651060111817,0.03409868704601469,0.023511563561023106,0.14648429235182162,0.36187144974476776,0.09705985529568015,-0.118832612931104,0.27330398078642154,0.42477491813924095,-0.05637857666522146,-0.025288590998264582,-0.05155378002740765,0.055534522415126436,-0.010923230053404884,0.0691829228219024,0.14675585277683062,0.0499220600436423,0.31019816013853835,-0.03266498035910876
HEBP1,-0.006310129834722051,-0.06092295420790655,-0.01177246363723039,-0.0007623792028507854,-0.02883323441760473,-0.02125053872356436,-0.1035167330261822,-0.1693015372074437,-0.01605845897901012,0.054988326613894724,-0.10639500964048446,-0.018457566124112684,0.004181243617439196,0.05044690829770058,-0.06514878790471916,0.06704802664114352,0.05233966191101666,-0.008045499073764688,-0.03528992550154764,0.004781931049279917,-0.01652493327759267,0.11530056329362641
WNT7B,0.05471991245873496,0.21959521652166386,-0.033847714544522685,-0.024783797488564154,0.02876067703078184,0.0689083570159464,-0.020651568342228074,0.21906866608830813,-0.025893854305327514,-0.07414349294781052,,0.08361768986515182,-0.028610293590824818,,-0.010565557079642999,0.038045363502385264,-0.036115799904024096,-0.04628082511455661,0.012622256178296853,-0.01180226352689442,0.0613602573898082,-0.022681849552459145
PTMA,0.010014494626129716,0.003087786388701253,0.05445218965951334,-0.03208343564521706,0.004353148509052468,0.04467974221766718,-0.24069400261633694,0.09753928471394968,0.06224281258997378,0.09008089924587767,-0.3369019091883086,-0.4099012420458873,-0.03408746024610794,-0.003229434531072399,-0.16367511323748005,-0.056455610817881474,0.0005414343216929705,0.0424120687764268,-0.035460680679220855,0.1029306134237462,-0.09857157809232153,-0.023127377125858085
FASLG,0.1244285398317392,,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.03626314407183919,,-0.02493212792998952,-0.015046109596747409,0.0009306376017049582,0.027427156784142752,,-0.07144553324631091,0.02285929580337635,,,,,-0.06983915950490689,-0.04401137504938196,0.09865712832005454,-0.017496423637397725,0.0461387665794257,0.011524083338493885,,,
PDAP1,-0.030651520352841168,-0.128844748355311,0.06019234469677669,-0.03207279417162377,-0.009309777584020901,-0.02976288174487271,-0.13829179147108095,-0.2945645959135381,0.04334419104400007,0.05212126774252463,0.015141869854179424,-0.1835290012634975,-0.03487464806241172,0.012266934355720235,0.01523752956903419,-0.06991070540779441,-0.016782181899408926,-0.01978610983202335,0.04475136133086529,0.012477589967690904,-0.07961597222469749,0.07416134984631112
QDPR,0.09125799926515801,0.1630947074228146,0.06949909840636743,0.03747887164711811,-9.649446726027358e-05,0.05755784731057814,0.10762364150867189,0.20110006731485894,0.09251069897999235,0.04123923757038691,-0.10069128512193758,0.0867185128885639,-0.054135118895468924,0.09524132456667753,-0.14415475045650036,0.034144110104109955,0.0707887813687022,0.059776421708307347,0.03163682556146066,-0.04462844873675449,0.26281282620741214,0.042501477225046644
POMC,0.026705440151620494,0.058549363536878424,-0.020942151935491007,-0.015462103207929045,0.006086112243023545,0.01212135107973633,0.0026624567117499508,0.015763488593260187,0.01635172903387531,-0.05533730503942031,0.034537214265295796,0.08059502833222058,-0.05737959473807309,0.07148652070844162,-0.09430562205684051,0.09897263024391946,0.013974182976159433,0.04354182991781945,-0.0019498909188036678,,0.06084345444692636,0.04152462339383171
CCL18,,-0.04563806536623111,-0.026995911239854564,,,,,,,,-0.06552560911349145,,,,-0.006750093478604062,-0.025681531041142052,-0.04272510791587276,,-0.03917584747670611,,,
CCL17,,,,,-0.020512773156642898,,,,-0.037395328458175774,-0.016755240670176936,,-0.019593308828671812,,,,-0.017670924370437165,-0.025257185936154718,0.01875867763625394,,,,
VEGFD,,-0.013494683497505757,-0.012723564928581118,0.040572025344503826,0.0034040889537137555,-0.0018750748428884572,,-0.05378824987706614,0.04201874833074713,0.055730343262522526,0.05281076684562376,-0.01104526425262696,,0.19460255610850635,,,0.0052352827283013645,-0.040375606277761926,,,,
TNFSF13,,,-0.032813018938894184,,-0.01414925183403284,,-0.01521229756581872,,,,,,,,,-0.03390784965330779,0.002851908579337557,-0.030924172718518925,0.035156588431747224,,0.00394820109200832,
WNT5A,-0.045252728111425757,-0.0820524317757596,-0.0033939491193163574,-0.0006968121302497503,0.011240600118714493,0.12972544214337775,-0.19874346042748672,-0.20215475191795346,0.006409583546543723,-0.020630793409214532,0.025046809792474645,-0.14965852509676802,0.017690893365467975,0.037360443945372065,-0.024651806078736457,0.006916122314875844,-0.007511935350604599,-0.11290763473296571,-0.05459737938284822,-0.054999424714588685,-0.09586000495137782,-0.02084044115311479
