,UKF248,UKF259,UKF260,UKF266,UKF269,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,-0.015367755704724973,,,,,,,-0.02219808382578751,
BMP1,0.03147143797185656,0.01923420661707576,0.017729360551634814,0.03437632900876038,0.12297806664562046,0.013870045874273807,0.00039154682116246647,-0.024548119245368673,0.05649355244160584,0.005751680984006613,-0.07418893492824262,0.04302244014329449,-0.07609557865037321
NDP,-0.007018584417424494,-0.027358530390278454,-0.04116203293320334,0.06562216374556333,0.05851203181137836,0.023111539482712818,0.05669072968690643,0.03259916153097631,0.005752050713757584,0.03450960234569743,0.009838615306950096,0.020017597402043733,0.08385551950211671
TNFSF18,0.05424450548662115,,,-0.014612400610560064,0.010496172455871604,,-0.02598802136810606,-0.031179941081814933,,,,0.044820356059656626,
IL36G,,,,,,-0.01853672743421497,,,,,,,
RTN4,0.03901404268229385,-0.021563695286416433,0.012660672056421211,-0.0011877717822377954,-0.10774294440074018,-0.05857646545882452,-0.0007768554863545534,0.06944599393554628,0.019708501249929195,-0.019097925688880146,0.13413566947878336,-0.04905763777780368,0.06690756506354187
HEBP1,0.07359077472514436,-0.012663488634440234,0.020220526888565026,0.06643547455550528,0.06129256587423273,0.032792257251602945,-0.0016095403147518054,-0.012437530048114553,-0.00460782894347897,-0.004912594614016787,0.02693019688696013,0.04424058063673459,0.06012030235564926
WNT7B,0.000780246787568613,0.015651619121143812,0.05435944586857568,-0.0006836073449835624,-0.022288243142334192,0.046297340929458454,0.20872748816514097,,0.08132048240583453,0.07936391580502927,-0.013147943095445695,-0.018589584776058245,0.1413777221737597
PTMA,-0.029972940605214934,0.0043519506154818125,0.01912838459340416,0.08452117374076945,-0.032272001536325895,0.08052624809504667,0.02861883816212377,0.006811067536051917,0.009165808974471435,0.010887017616879201,-0.021477250882198512,-0.03953266287318655,-0.011784748744480114
FASLG,,,,,,,,,,,,-0.019252390529119777,
CEACAM1,0.009462850274923643,0.09212393376433055,0.06362352957737603,,0.05862810039487972,,,-0.042967541055028466,-0.019823717880956427,-0.015175137972246554,-0.01793008235461885,0.0038927455964598927,
PDAP1,-0.0297209967894332,-0.02757028549703747,0.058346483210606676,0.04559021542293981,0.12733934071925204,0.06545725447175293,0.018368898699022633,-0.10858708075213219,0.034074685025510296,0.048399785448770466,0.03453639840594397,-0.01848421969765094,0.06747780557223353
QDPR,-0.02237842628683875,0.03154887074988748,-0.004580998722666368,-0.04180880674562278,-0.09387324666620349,-0.004227056662932083,-0.03177515491742898,0.035498113130538106,0.0025334169914860544,0.022415840442658902,-0.0035461030071882865,0.04464059353880561,-0.010204519662561418
