,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.04159557876066728,,,,,,,,,-0.025215862171136694,,-0.01808617181647417,
BMP1,-0.020244196809027493,-0.01696628998854116,-0.01948201702203302,-0.02591128749639468,0.0072276108809202835,0.004498542611176854,0.06465940512753941,0.1338027334146088,-0.019087208822150696,0.055319640161599216,0.012018714615271486,0.054102510537201394,-0.022142293025963017,0.04507111047885086,0.041835153572743325,-0.025228604970574907,0.021916817109595393,-0.019990126155493497,0.003272829191733963,0.0715955578379947
NDP,-0.0224024812563488,0.03478902652768814,0.02968822213269775,-0.057131192439794434,-0.05671203978886349,0.0036877987516710314,0.06870673082698601,0.03386680028305898,0.03235276563552836,0.02449079590224649,0.029239949142218592,0.020653570112824683,-0.016771284913256187,-0.015938532628954893,0.06067399775977768,0.07009298031438435,0.058814857057809034,0.0798183099778996,0.13702056038730084,0.06074485887872262
TNFSF18,-0.018402653243449654,-0.042655571522044536,0.01157866564515957,0.030927373220660782,,,0.06352341983866706,0.019386827168241343,0.023608068052304452,,,,,-0.021044623833958546,,,-0.026004673570988256,,0.04785059768705984,-0.05269528084201168
IL36G,,,,,,,,,,,,,-0.023618395408024222,,,,,,,
RTN4,-0.023534652079700624,-0.04714193660281602,-0.0482801847497039,-0.021225852895118656,-0.03906190699889923,-0.07112553237163449,-0.05615310727815814,-0.15445932122252687,0.05946673552903898,-0.07279339598829161,0.045671252694109786,-0.037159334610583995,0.05161905443997216,-0.01691603989822361,-0.01999553365044669,9.503272773329789e-05,-0.07329208679897058,-0.040215457106799635,-0.013155331338578161,-0.09892377082559849
HEBP1,0.03564496339797181,0.05509961569781681,-0.026873715733412684,0.0012483591819662718,0.021498353478534345,-0.05819686989293728,-0.016578439106819064,0.08220201007895936,0.008146582091205012,0.019849304701110394,-0.05920491275833359,-0.027378959458289172,-0.015603562066116974,-0.02533881107452937,-0.026711104833828325,0.023103647911956536,-0.019401553402508036,0.03680860888694683,0.15071732108475414,0.05480524729087003
WNT7B,-0.02959351466479735,0.01680243070339184,-0.0335161234258953,-0.02201106817927111,0.05025320847460739,0.029566979401024672,-0.004405155063252424,-0.04883920739415786,0.032017243601711536,-0.029424234415229986,,-0.0036725173720632163,0.042573111908107454,,0.06023387876773515,-0.028664605535401285,-0.026499420471856473,-0.02233890914483412,1.140914051082311e-05,0.07144962434357752
PTMA,0.041490883708326674,-0.013305519679110285,0.07455635952164964,0.041291418103120335,0.0504699369624292,0.03670152831930577,0.03881381873874223,-0.09692217639126983,0.08034461862914172,0.01189540634884325,-0.04327106823476314,0.047683073155085604,-0.004316568922366705,-0.038550346522521046,-0.016957610884060323,-0.03967633067452406,-0.07181642348073929,-0.016207231609602926,-0.10583312538135117,-0.026765280433944428
FASLG,0.038853890943728535,,,,,,,,,,,,,,,,,,-0.03433798551160976,
CEACAM1,-0.029074702925736908,,0.06742247712856417,-0.01689217095098511,-0.017619827739531017,-0.004368727771850282,,0.0544934666276091,0.006478210224459335,,,,,0.03613090877813955,0.0559004050185341,-0.01901834124375895,0.11375619366106421,-0.014826658889829324,-0.04777626350733118,
