,MGH258,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,0.0010737122663986604,,,,,,,,,-0.04146499554367426,,,-0.03632842789060284,,
BMP1,0.03216532723264289,0.0012688812357436673,0.027440392561512414,0.030757680286517874,0.029837939609036423,-0.030012222909963002,-0.003226069624503101,0.0013590893030280078,0.035538409798869235,-0.0005180811179170329,-0.01424789000420709,0.02814370620157456,0.006678497836314205,0.004286296917413689,0.039153653569901865,0.08146809830160658,0.11535852957356416
NDP,-0.03618005702611396,0.006753394025572916,-0.02232472558191221,0.03975317077345014,0.00055487373689585,0.03830027019627764,0.011857581277968104,-0.09936527734577101,-0.008688490263853455,0.029165655305140446,0.0557731282372786,-0.029449926573083058,-0.030456681113534976,-0.09653420950466986,0.009035602069276427,0.05347691219320641,-0.07933376100909982
TNFSF18,-0.020634603614306347,-0.02345428929799102,2.1207255678700886e-05,-0.011245536507958745,,,,-0.029717771440003465,,,,0.005757601877122238,,-0.06692522442149591,-0.06127956299522214,-0.010213743715851415,
IL36G,,,,,,,-0.01898233044199831,,,,,,,,,,
RTN4,0.0026020772232210965,0.03856024030292064,-0.018284355378979614,0.031536108285369714,-0.010808246343623063,-0.037729286810916994,0.060115129084801315,0.13517529805347478,0.016541013715797838,0.034197191711702546,-0.04577207395414898,-0.03207400000215344,0.017762346493118895,0.04576071501515656,0.02151866716379595,-0.005149863633201314,-0.05034157484255393
HEBP1,0.04531564120775593,-0.010291802635102968,-0.004079854233965924,-0.04069000597670754,-0.061582973363049846,0.05302371577783725,0.015960114258602595,0.039209793881948736,-0.057420933709739934,0.024558630580321452,0.016733702663573623,0.10079673441895966,0.0006158322740604284,0.05161201155600978,0.017667723540475733,0.06192232798060525,0.09703803271256341
WNT7B,-0.018178439490446594,0.060134015271425464,-0.001768288692895167,0.03250675984686766,0.1048156360650567,,-0.02086376870608177,0.03702327247500825,-0.019025317355327573,-0.02329408545366854,0.0538013984420673,0.03344715075084296,0.014651492203441837,0.01639022170027171,0.010373494602645543,0.002289451546566186,0.047033247352362355
PTMA,0.05717891788195575,-0.032815444499434715,-0.022337664834310985,0.04339738218104629,0.017931120756106127,0.00842902535354476,0.025008223626863155,0.049250292374944035,0.11174541143196673,-0.07814189419844697,-0.02427962578634156,0.050616342111553574,-0.027495594747414764,0.047186748325949046,-0.019051837775656787,0.011223436396193488,0.11669901031238121
FASLG,-0.018178444629444873,,,,,,,,,,,,,,0.05547836951197949,,
CEACAM1,0.013292837089457233,,0.04838797904754428,-0.01768654985745386,,,,,-0.033828360467126777,0.10430401473429442,0.02001341411987728,0.023920163462424635,-0.02125811591951326,,-0.034509190764995715,,
PDAP1,0.001203865623104312,0.04706947370784605,0.04763897149233157,0.053465700644773656,-0.016147071203360255,0.012466577880454504,-0.04927748551224233,-0.0015040034015064978,0.05781009046115097,-0.030584977426707006,-0.0023262742053588733,-0.014948311556492079,-0.010854118064166838,0.03249802419341672,-0.028324068963299677,-0.06058820922255396,-0.0045720416037000776
QDPR,0.09863153365476293,0.020194738021274524,-0.021019373871762007,0.0005443350378572404,0.019808762034625983,0.04274700136969405,0.05036847616290945,0.06568049594692618,0.07594095600684703,0.008466462334804825,0.022560393866496217,0.03085693705045149,0.03315182983179674,0.05051097621801125,0.08307179925539121,-0.008767854859276458,0.058817419053373225
POMC,0.017354139758458127,0.020284009858320753,-0.01382096743834478,-0.013048431287755785,-0.019079178813727487,-0.003969358570501555,0.0004992492449533883,0.07828544384380308,-0.025505531931132308,0.03385866124887387,-0.020823863203681053,0.07280749817292997,0.020033777575643896,,0.06539320462254099,-0.021355304142262235,-0.003231638270188417
CCL18,,,,,,0.010163140644707904,,,0.03637623362124683,0.008447995367652637,0.03838685152042272,,-0.04251658320330791,,,,
CCL17,,,,-0.01402537346413177,-0.020630339221904444,,0.020959611618514194,,,-0.017219973294365497,0.013920955158686327,0.048744092299639004,,,0.03176865338137837,,
VEGFD,,,0.05943221754400785,-0.014942849143623541,-0.01513260331073822,0.02443086324097512,-0.01858477724230014,,,,-0.020089997730621326,-0.03897083526344705,,,,,
TNFSF13,,-0.006379050010973525,,,,,,,,0.00866660169220447,-0.004750402200560043,-0.007109827305742077,0.007739084217984566,,0.014827080477742121,0.003035196038485719,
WNT5A,0.028005942723667264,-0.0009031449245455558,0.01767668197280402,-0.018654272652318983,0.04379009174442933,0.01777494070404525,-0.04111582744638843,-0.06711630946065622,-0.10930012930795696,0.03781941385130339,-0.059184041353843024,-0.044133460212504035,0.02509715415848545,0.033581853271940784,0.05978659930998122,-0.015955892221113578,0.004905603525593626
CXCL8,,-0.021099846547194205,0.0611859119000322,-0.04507032812124506,-0.014092138190426356,-0.03497166545768502,-0.004152129193909213,,-0.02395423496544182,-0.03157085661625697,-0.027066455979723285,-0.00956480540639147,-0.013451099218765252,-0.03416651533579089,0.00973863145848798,0.051168363673007394,-0.06488487408740365
GRN,0.0939844344310176,-0.04426932684392993,-0.00171491270392736,-0.02881377321902081,-0.03478746136244309,0.0034899487020812335,0.031005373327714823,-0.08629147469189885,0.004734917520418777,0.021104256060672063,-0.00815277400759962,-0.03033199805991721,-0.00644734169692998,-0.006993526827197464,0.009935615463871653,0.013641174862793303,0.06547425491332547
MIA,-0.02379401608994906,0.0517412416663208,0.008162485408946842,-0.006406760537801011,0.016890846483906482,,-0.025452704128328868,-0.04335804351399507,-0.05542427568591291,-0.009256616705615131,0.09874016446008874,0.01918761385377618,0.10709830078187105,,0.04774646373439372,0.008923276324997387,
COL4A4,-0.021052853912576622,-0.02164159312357164,-0.01856143070606451,0.023204601003167985,0.042562621650134365,,0.016776184852465965,,-0.030324361945318175,-0.024604083010010006,-0.007287833590103701,-0.06362851409150896,0.061737889263799306,,-0.05542140617597516,0.08634994899635133,
TAC1,-0.01817843473930112,0.08186195302161865,-0.05260980435590926,0.01951041440769546,-0.004320696301725182,-0.002807558505455814,0.10217914490443364,,,,,,-0.03667630602620671,-0.10698742192286168,-0.02655195726494783,0.0383459996164922,-0.0975222658855459
RARRES2,-0.07590234939705176,-0.011565631998035295,0.007505620693651143,0.04092208191892213,-0.006913509019394578,-0.03320335844079612,0.03210601973968289,0.003686795602171564,-0.0808295089057062,0.004273559547087421,0.046069825901669255,0.024881515778767654,-0.02347915705570923,-0.036431930741085,0.05412437671450529,0.04890130952585932,-0.008311559393642075
FGF7,-0.04403271050736652,-0.0019287349431960068,-0.020629471782493428,-0.008626385703813222,0.009582632812130652,0.055054903582765706,-0.00863153618265531,0.054943071940627794,0.019370108386246997,-0.006652571086889887,0.05202468252069532,-0.02490933453335343,-0.015728335972066305,0.030252622464083227,0.024643167113241136,0.030804349313318335,0.007077938887849427
EFNA2,,,,,,,,,,,-0.019094198358486945,,,,,,
HBEGF,-0.03501796448712339,0.015016142169958217,0.08230492523976214,-0.03734622103535536,-0.016465514772283106,0.015734425809928405,-0.0007055517823312332,-0.024007716264179444,-0.017856574091167567,-0.020646489052403863,0.03767974808897895,-0.054792845696815806,0.021078629256622003,0.027438611369458698,0.06654508176101581,0.08038577077602144,0.08190442632239116
CSF3,,,0.06097161056143112,,,,,,,0.011930637265336495,-0.04057608109160019,,0.05313458248559032,-0.06015050139596326,0.07039292940782911,0.06426433076184876,
PI3,,,-0.004124960757719233,,,,,,,-0.021740987564277864,-0.018769215575827065,-0.02284411775874489,-0.02149490309919087,,-0.05173128344413237,0.010714266656715593,
