,MGH258,UKF248,UKF251,UKF269,UKF334,ZH8811Abulk,ZH8811Bbulk
IGFL3,,,,-0.013977905706023558,,,
BMP1,-0.022413560923202965,0.016173072326597523,0.011008183110551056,0.08381688270837162,0.03502077996999708,0.020548355396930937,0.06508675659148558
NDP,-0.043121042114343894,0.024330055546736187,0.06686248973009873,0.02246426750660593,0.05113322895374493,0.07985394460795535,-0.005383657516247077
TNFSF18,-0.02010297667379374,-0.025885697380665366,-0.00038981285286892535,0.015486740617771038,,,
IL36G,,,,,-0.02637987477841826,,
RTN4,-0.0730028586960807,0.04021473354429694,0.05771176880521829,-0.09421933673431253,-0.09188452986441423,-0.08614700326429046,0.0030506115159852644
HEBP1,0.055414919292381334,-0.035116248708955154,0.03511563335443398,0.04086564025913925,0.009590542649534142,-0.010466412449635181,0.06113569813458957
WNT7B,-0.0177100928068738,-0.019797555731788118,-0.01993682028046772,-0.014148951625796373,0.01839863455862232,-0.03299707621676822,0.010893577113728747
PTMA,0.001650888137798779,0.020370108336513884,0.028054358183213973,-0.04099103859347357,0.04659744996077723,-0.07068625549344609,0.011463709099099242
FASLG,-0.01771009781347167,,,,,,
CEACAM1,-0.024590625807241893,-0.016475536967213135,-0.015300310446263852,0.05757413666092729,,-0.018489889281655375,-0.025676710731930546
PDAP1,0.06307432243656497,0.03482408927529833,-0.0004924454317328562,0.014481100178157524,0.011991875301750356,-0.017631915017729767,-0.010335277616702462
QDPR,-0.06926915025280347,0.0025118285579418475,-0.005495563770709319,-0.06413421575327258,-0.02946899795975592,-0.01148764806061731,0.0017574035915477826
POMC,-0.021601571858042914,0.019648774346502283,0.02082518827206326,-0.03521019814256952,0.011473070975876477,0.046884540156595766,0.03678758857010978
CCL18,,-0.020559913459999572,,,,-0.0338362705774616,-0.015262973716309046
CCL17,,,,,-0.024098764534476114,-0.013117681509537245,0.031105210009448523
VEGFD,,-0.020559919988735065,-0.021914625022686755,-0.005916636751249061,0.027833080154041227,,-0.025676710731930546
TNFSF13,,0.13810583054425318,,,,-0.025170860510810987,0.0015340770798250407
WNT5A,-0.02912919190590018,-0.030899537315879595,0.01881776162329652,0.02850524130158953,0.030857459577635055,-0.06164919463055234,0.04622895867421085
CXCL8,,-0.02416109885263204,0.026382289378314248,-0.0187496078575791,-0.0229284831843343,0.03914668286993767,-0.14789098910374351
