,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1
IGFL3,,,,,,,,0.007943486343521376,,,,,,,,,,-0.03125656455203086,,,0.01742747565041211
BMP1,-0.0032952868955130605,-0.019813064370822375,-0.0001197855423620344,0.023226239522536295,0.012080410109325333,0.054843452103283924,0.13150499629575033,0.1593157917455741,-0.003010135999972209,0.0015762256789137,0.09525512582973379,-0.058826252134074115,0.06240650599872514,-0.05020583450654093,-0.06919610000216136,0.045828647824022746,0.005994543091610125,0.0633896727756351,0.041618306041592244,-0.07225397230888453,0.007896503529438258
NDP,0.013787188639900427,0.08226676579205236,0.007886684591100373,0.023667229461529233,0.054864174324092164,0.015779517268649998,0.044028030843306865,0.04524202019720869,0.050860370563825565,0.02460020667233294,0.07497670163171606,-0.02166301497779792,0.0539104070424143,-0.05854817293828273,0.0336093466156267,0.054663146483884206,0.08784608460126278,0.04805710620880007,-0.020157499166512424,-0.03615995727614033,0.07178039857617807
TNFSF18,-0.01997009646400852,-0.023357426265644944,0.0006509397026307673,-0.005307927401395015,,,0.008533632518114688,0.09977270545969094,0.025426418309474366,,,0.006953412580072998,,-0.004559795451812736,,,,0.029866610868362613,,-0.012038415688336792,-0.03654769813809831
IL36G,,,,,,,,,,,0.05610911663668406,,,,,,,,,,
RTN4,-0.02460418143201371,-0.01231169052712873,0.05787491175854073,-0.08566006784791037,0.008713992074665017,0.008917376618651034,-0.06156074670371981,-0.16124774072465825,0.04820405047816245,0.003991279784825538,-0.08928171530645936,0.023458853592503402,-0.08525012404361242,-0.058411591818170856,-0.09578147296006133,-0.06530236550398176,-0.04817194228483873,0.03036849970564766,0.02247732274308136,0.044922455959985556,0.013299386706305906
HEBP1,-0.017200469492188612,-0.010472294935330122,0.0549501560052923,0.06335893258911247,0.0011088069899386423,0.030038391858390603,-0.01956872353911805,0.07101958466980789,0.03431165741333203,0.03159680519030391,0.04561660466975865,0.10258045231183356,0.021285638780470868,-0.007293284983880911,0.013710513124550114,0.03756335203910694,-0.03181886496953511,-0.0029106917831581243,0.012759050511569312,0.02616563728134475,0.013885467122270765
WNT7B,0.03185226646653386,0.09361372519810278,-0.030240463802894857,-0.018297437071459515,-0.060389443588073945,-0.0026508582154263364,-0.012073226841309832,-0.05836263692881795,-0.016334635652011327,-0.018985629277955912,-0.047850716156453296,0.0014343802481988502,0.0019651239736697794,,-0.032325361668351454,-0.02544333251330569,-0.005705923815835575,0.09402046969730898,-0.01626314540650568,0.10345114793134877,-0.04624555351153834
PTMA,-0.009831410318465838,-0.07725082491913625,0.004607500683694193,0.07091451768681696,0.04866196024360913,-0.0061687150535734165,0.08081477321359108,-0.0670837708608291,-0.005904195821290315,0.008948503866732445,0.08621095134413498,0.02704007191684485,-0.10694872750117979,0.0784651241956714,-0.09333743619912276,-0.007363435650247569,-0.05026886765634674,0.007602958228621292,0.022636138915049012,-0.00022179198128669518,-0.0683249377466445
FASLG,-0.029893177272552945,,,,,,,,,,,,,,,,,,,,-0.01879144380085669
CEACAM1,0.006212893556829313,,-0.02615577277818984,0.013075632601185399,-0.018490260164605053,0.10371155308759882,,0.058490248850156974,-0.011134012905682542,,,,-0.05188998258145158,0.03604601186873973,0.003216666642027667,-0.017412796756756534,-0.029755295136948204,-0.0029846939932373683,-0.03240107147123855,,0.006332124344919292
PDAP1,0.1390167519259181,-0.004061931287162031,-0.010985420532402096,0.0783234387798716,0.004918680669732646,0.014346120521529882,0.07556416154857311,0.06961727289229619,0.004362876058861842,-0.037294739200599586,0.06800598270030951,0.035545940096600115,0.01828681638074075,0.048259026321769136,0.01632961398691033,-0.0005289899913122727,0.048934951349886166,-0.04666301749392437,0.009149373551975086,-0.05582288062897906,0.012651214601731266
QDPR,-0.0921126441358297,0.14489003630729075,0.04689914874515934,-0.05137652072092329,-0.017928485878085668,-0.005342109857502837,-0.03470833770399335,-0.126347613182476,-0.040002618510495316,0.005141676403847279,-0.009900563843645963,0.044500892042307824,-0.0007622895428739384,-0.07025332678762641,-0.0077614593578544736,0.02116721114378684,0.07610659302412413,-0.001550155441322273,0.0041756880103051945,0.06008035143298218,0.04208592994388148
POMC,0.010211424697718548,0.04710023715855323,-0.026638258476434685,-0.053153150403651324,-0.009891350543952671,-0.004165702791274496,-0.02968500815199258,-0.014494281527301915,0.01780011633133101,-0.0336460097172821,-0.0002829998024483196,0.07748388531066619,-0.07303606144241201,0.007731773756371141,-0.05435640163940731,-0.05169531012342208,0.03090231760228522,0.07859372011808194,-0.007293576328609168,,-0.0017040126376694892
CCL18,,-0.03132422916853917,-0.03263993312443514,,,,,,,,,,-0.044492947261983856,,-0.03719705563831603,0.027477846573029496,-0.036066114345242976,,-0.009355609825157369,,
CCL17,,,,,-0.009885466809435514,,,,-0.01829702762795844,-0.023498886843422436,0.006453998472001378,,,,,-0.022813296940314955,-0.0029511796245890853,0.07382011050313012,,,-0.017032333157669884
VEGFD,,0.03152090366839568,-0.032639943489142675,0.009542112058330405,-0.00125720320802486,-0.02011975850285089,,-0.018790908680773034,-0.030057270053661635,-0.017236717681688742,0.05332212961690335,,0.11771783527247688,-0.024338942987533897,,,0.023674858994788796,0.008137224922726819,,,
TNFSF13,,,-0.024631148766549708,,-0.033534192510758044,,-0.014772389728457052,,,,,,,,,0.06457598550329953,-0.0016094503982892903,0.0807217304542029,0.0903030480937856,,0.003399793535900114
