,MGH258,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,0.13714895175816352,,,,,,,,0.12313064096236431,
BMP1,0.01097779264330322,-0.006608731155218767,-0.032818150520551675,0.08945335918000907,0.022624545890207584,-0.019937908422512488,-0.04017669074493545,0.0037223472963644083,0.063008744208778,0.14227547208549826,0.02742256365079401,-0.03286702476457776,0.06022624748986374,0.11160222939228577
NDP,-0.042243119826679415,0.009556433495745628,-0.02156802857169148,0.04087781894777858,-0.012388425902041304,-0.03252544237348733,-0.025855100500999262,-0.05711501054635286,0.05923325331800303,0.045518640614671216,-0.008980281867118653,0.0327813685030044,0.014194702833153654,0.005531259822532953
TNFSF18,-0.022645265823349834,,,0.031838222102222244,-0.026066694582936104,-0.010492886331704632,,,,,,-0.031128547347251685,0.015111905812747487,0.06985962892753562
IL36G,,,,,,,,,-0.017771282239782853,,,,,
RTN4,-0.022987217680316006,-0.038477127732688306,0.019071916182713384,-0.060808441936924855,-0.04553756217615969,0.03432861839918686,0.02246362092678685,0.10503791603852669,-0.014642607154680786,-0.09684834410044141,-0.01842459305944634,-0.01831278976388802,-0.02582651779871632,0.03590368839926107
HEBP1,0.0028876931024223963,0.038897351369760705,-0.008440261356721088,0.07045081573151944,0.00807118847475587,0.006501964439980177,0.044339908022365926,-0.08655366664128923,0.0005730696055875819,0.03153111480511415,-0.009391612091418118,-0.08925134604654936,-0.006095693613718476,0.00048438530495115503
WNT7B,-0.019949769920922303,0.04725197146345082,0.03366657225824884,0.04467842873998472,0.0031616903474567934,-0.010834432167781946,-0.011246853751667963,,0.03196189132060595,-0.04706571901993108,0.012329551959071145,0.002070027478531208,-0.0035131539747451914,0.03539239746895762
PTMA,0.019786221592800694,0.006038268670279879,0.006061533780847995,0.10438990366013672,-0.03712792004236506,-0.010279306028978991,-0.0015842046417810414,-0.09366169430260989,-0.09147991682285785,-0.010522949026664384,-0.009274538365621752,-0.01134326229607448,0.047739019846855746,-0.032845953189840744
FASLG,-0.01994977556067115,,,,,,,,,,,,-0.015216436534531308,
CEACAM1,0.0620263865397274,-0.035390501864996815,-0.00890537112412009,,0.009709530586150072,-0.0165028104370964,,,,0.001180477062882829,-0.014826660991910582,,-0.02117143655007233,
PDAP1,0.11305470521920348,0.008482318852512487,-0.0652521204012825,0.0783165509649573,0.07147197511648914,-0.04220540801397213,0.027793314888400995,-0.05832964245806295,0.028766212635694014,-0.048419657231032254,0.007974035044282353,0.028476883284555714,0.016322216576111846,-0.020875773583866702
QDPR,0.05474796232796228,-0.04723336316617491,0.004473762775351855,-0.044244909965432774,-0.0667775273174245,-0.04480775308834191,0.04826072985324453,-0.10875049529059286,-0.028725768599532145,-0.07179616017379957,-0.0764441009799859,-0.011301248742539308,0.019197946390473453,0.007595230496287785
POMC,-0.013017789667537319,-0.032957071254046344,-0.01796917611160503,-0.004214191655527269,0.0464704880453529,-0.012175115541404461,0.011151608818117432,-0.055688554748928545,-0.0007717141282148432,-0.06885833011562638,-0.024254469669081048,,0.11216762604047584,-0.06000359916309586
CCL18,,,,,,,,-0.02276689162233596,,0.04031506260752871,-0.03611167439701221,,,
CCL17,,0.03631076117025053,,,,-0.013086672157854598,-0.013920452137018719,,-0.01623457085257336,,,,-0.013791990614199721,
VEGFD,,0.06696103721735772,-0.007982710353037123,,-0.029407130290201006,-0.013942742298234058,-0.010210819988454675,-0.01982359606101198,-0.01739909242153305,-0.04725900834853279,,,,
TNFSF13,,-0.014149251453931679,,-0.015208931113818809,,,,,,,0.07409197254095815,,0.014589240804647127,0.03184287575785378
WNT5A,0.023332157703595827,0.04169762427892788,-0.02646299384198258,0.08789409302320503,-0.006571213828610763,-0.005610178828398443,0.03167839970018255,-0.02212701204830716,-0.009490794135810283,0.12727637119766402,0.00403217603216953,-0.0027099130348146932,0.025591204623918888,-0.03699064009716826
CXCL8,,0.01548368658046365,0.05792527716458474,0.0485108795877408,0.013521548457706352,0.03121910617795456,-0.009508759554462369,0.0025443903172814664,-0.03155913767915594,0.005137868188695626,-0.0005042603441508986,-0.052341297353860054,-0.017674088708926516,0.03470639853889152
GRN,0.04748809887748734,-0.06707349127412021,-0.010610222303557026,0.011361603070005898,0.016731320256219394,0.01893751946291304,0.008526983534637123,-0.10784972830530282,0.044573347940268244,0.07358635388909522,0.010864044947285689,0.09609037811009567,0.025797334969219328,-0.05382733083486909
MIA,-0.026112535497817106,-0.029035383170542207,-0.04935737363583736,0.15178951942352303,0.03840639808040938,-0.02572202723556844,-0.011612657358200384,,-0.023828854429245778,-0.08359933289946161,0.03471845218139046,,0.15745098096251814,0.006247148302106781
