,MGH258,UKF255,UKF266,UKF269,UKF296,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.014513720350430004,,,,,,-0.02032217492210123,,0.0031864241727830437,,
BMP1,0.010931131425900475,0.013113812074313388,0.014788562214522374,0.1203446520918429,-0.00522386758073702,0.0010494064667246354,0.030307755659801254,-0.0457702928369937,0.05618947275293149,0.05621260267255909,0.016168171052712572,-0.010639367106211588,0.100284908131464,-0.06208435160823559
NDP,-0.0021029949762112724,-0.00815723089589835,-0.026146324500331296,0.022417026790553317,-0.02958893273533264,-0.040385906380766896,0.03935640629916421,-0.018428840578500066,0.01586173494880062,0.006957695345997958,-0.044373646867715034,0.0010891695583735803,0.03058658056891548,-0.045453903855328645
TNFSF18,-0.010145153750968488,,-0.017375642721605113,-0.0038066386706028534,,,,,,-0.020957900289710514,,-0.006681736372386433,-0.027630978480155794,
IL36G,,,,,,-0.015082910616183,,,,,,,,
RTN4,-0.0022504839174846887,-0.005063922652564535,-0.029532924776777266,-0.11890879194365854,0.006888541783079361,-0.013851389753930543,0.06392353240051726,-0.01589017746949007,0.010124892789930425,-0.07090045988972059,-0.002434060978171824,0.056981304881761514,-0.09939747679343662,-0.0447531319491545
HEBP1,0.04434828865426371,-0.013366247766919926,0.03602949342928709,0.022774036878906233,-0.035562554837275016,0.013023867228640908,0.11712451828947541,0.03648324861451721,-0.010809198243409647,0.03156669766917811,-0.020501956443786714,0.01982872272701513,0.026519112872755286,0.044938561649288125
WNT7B,0.015018022271342477,-0.035723849928556727,-0.02485954423344985,-0.01504142739633087,-0.010749565461620803,-0.016577856942912837,-0.009200682339325927,0.09865569668782824,-0.010608658210090813,-0.04382466495580194,-0.0464368277725828,0.09292921509241953,0.04292703735305819,-0.003086493326686951
PTMA,-0.019062784665438613,0.08548445086993227,0.11618852423648998,-0.05575756997177787,0.019167710966300835,0.08218041809118765,0.00740448302116396,0.011955529212410488,-0.071755080793502,-0.062280098625048755,0.05129931210466592,-0.06585029973623865,0.038257076317214075,0.006166153397254955
FASLG,-0.02456749639507669,,,,,,,,,,,-0.01648752011877886,,
CEACAM1,-0.006531498671934896,,,0.06580025898011789,,,-0.034954597494212494,-0.025936007610666147,0.011416969314336228,-0.030114314681908824,0.021209483670404622,-0.02293996266935565,,
PDAP1,-0.0021380669344010124,0.06706142191038915,0.07058924699879592,0.095274927798241,-0.01754279420233713,-0.02750069879333433,-0.05933299301727878,-0.04338919503277951,-0.02394584545031726,0.03896968673363308,0.03592721541181391,0.02232391337846685,0.0031589814610529605,0.041405388312101936
QDPR,-0.04260387543448621,0.07575730137892503,-0.06592922473599934,-0.11917427997009093,0.027485847903004446,0.01396522774186548,-0.02378954216573752,0.018512901956850968,0.03608072515877723,0.015185830411332398,-0.03142687555407897,0.08284405350333592,-0.07442723900840832,-0.03441958536370084
POMC,0.01547662903185169,,0.027507897771579026,0.007398118940947397,0.024700659949316462,0.03562359503313482,-0.0499594700979963,0.10450481113920411,0.023866670178543225,-0.01060585767566142,0.027211866836171952,0.019186751272851868,-0.06614913261540667,-0.007737429808402799
CCL18,,,,,,,-0.04787008220333672,-0.01833153041347672,0.04176819517576453,,-0.028389960377256364,,,
CCL17,,,,,0.07172924217576397,0.010665121047254937,,-0.018400342061712614,0.026753406921839647,-0.026793613723967945,,-0.01494408511569633,,
VEGFD,,,,-0.024314374801956237,0.049056976276453876,0.030624696069343434,0.09197230509649001,,-0.02318717244955202,-0.02825899264816201,,,,
TNFSF13,,,-0.01685074867641228,,,,,-0.03530749264264727,-0.03638307083489911,0.006596102149895976,0.0442123790870297,0.010059253256815327,0.03562484626854478,
