,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,0.0073702823146786275,,
BMP1,0.038682208273704555,0.06189242474008844,0.062261717801055834,-0.015907817328331117,0.08120622314490236,-0.0019832937213560987
NDP,0.04012756554406083,0.051299288870188815,0.03811798575429341,0.005047284299759168,-0.03897779170941435,0.014723419366677492
TNFSF18,-0.024507771851444836,,,-0.030324622561677537,,-0.003524557326893904
RTN4,0.06240535728874765,-0.0309286264594675,0.010452905763067094,0.06219331175994048,-0.18217959182772928,0.039175225927490204
HEBP1,-0.09056776255597725,0.03448731998964949,0.031130320783779756,-0.019800410370480276,-0.04343476357661223,0.07146015381526902
WNT7B,-0.02698066471732436,-0.04407541676368416,-0.02050727468183631,0.04053894067646608,-0.018037007633649266,-0.005330843042946364
PTMA,0.042251968964799345,0.018096376621527722,-0.029956360535252656,0.06814289788080129,0.06383254730963826,-0.0933316555562481
CEACAM1,,-0.00625161995483863,0.053311229947044236,-0.03127401375236866,0.028124428944172306,
PDAP1,-0.027877283069765998,-0.020674327344933803,0.032006314604004805,0.008553581801811714,-0.008192387918351753,0.04493035754940233
QDPR,0.1351485138519859,0.005839330741886963,-0.054864221866499176,-0.06498322636111399,-0.004268567767293009,0.0377794803189938
POMC,0.011932219112277471,0.06625387158966999,-0.006443258104174871,-0.005359634874250775,0.06913274637443566,0.0636585965541977
CCL18,,-0.03453488502472358,0.03799369946152261,,0.09145021523070429,
CCL17,,0.13210204685404014,0.07822897529151798,-0.025190740406375575,,
VEGFD,,,0.06379023410439216,-0.040888794878438176,,
TNFSF13,,0.018845055086314715,0.009025505556245452,-0.04157419572339577,-0.004930750910051377,-0.026057546858436652
WNT5A,0.0455305134605352,0.05911867290140367,0.10172266823206005,0.01730055227400849,-0.011217856321519969,-0.06029479934852294
CXCL8,,0.05743326990041781,0.05911577241605915,0.014970520449536544,0.06577674709262675,-0.09339134069246974
GRN,-0.10589653088931598,0.06454441174771222,0.055443353137640476,-0.10513796310473385,0.11819520683975868,0.03280444893937718
MIA,-0.04273573402825284,-0.01756320703875404,-0.02748595158207346,-0.030594883210879133,0.3185711728229593,-0.025630548051991945
COL4A4,,-0.005237023632965907,-0.013937880330275813,0.06942065340127354,-0.035403467082900035,-0.029123254191953937
TAC1,,,,,-0.06298793201955885,0.061254825608156295
RARRES2,-0.002058303668055682,0.06174605928338996,0.07622869581538286,-0.04984193371156365,0.08570137699640717,-0.0704253425265878
FGF7,0.03140353769632568,0.06299538319282975,0.024761696218284057,-0.02270869974366402,0.004593911033021106,0.09325501953729833
EFNA2,,,-0.028515456992112408,,,
HBEGF,-7.179012075363137e-05,0.05787166865100259,0.05284830120159973,0.003497216918307695,0.055332819442269074,-0.014908038574527539
CSF3,,0.08715893009642425,0.14643641897555984,,0.16523956030143264,-0.03063433124701646
PI3,,0.07144760495120547,0.07084559880052642,-0.03294015831131795,0.22735603367624244,-0.017441831723376856
PCSK1N,-0.06849068510963792,0.014098501204665428,-0.022497821715707675,-0.06686739130945836,-0.047928912844695436,0.0783102913722449
NTS,,-0.040876472485966556,-0.034740673154138126,,-0.08767937663663113,
SFRP1,-0.022068710175692764,0.03579777340411441,0.054886606674735876,0.045615480453252255,-0.05881271085067847,-0.02466783936787347
CXCL13,,0.03102542924998272,0.10745253137089536,,0.11815771436297051,0.05808102791545833
MICA,-0.025914506216689417,-0.07268157327513187,0.04536456539966584,0.030947498826404893,-0.021158485955112067,-0.012371122668349733
TG,0.06274718176932309,-0.023282055637673094,-0.04278693671555019,,-0.01090499649254127,0.010175548900346342
ADA,-0.00796912545464845,-0.034669028439914734,0.08905831868071015,-0.02246798320791682,-0.052602117437212194,0.07089704470267912
LAMC3,-0.01879839439599912,0.018324333157962256,0.03508890111199451,-0.0942278625768753,-0.018992108980937183,0.047152620734065794
CCL7,,0.07409417888894129,,,,-0.0518739040716541
NGF,,-0.030329466943875418,0.0009853087524664221,,0.054459716568028095,-0.004895312549903678
TNFSF15,0.02102357347716188,-0.025601622623143364,,,0.03155391514965056,-0.0034138013515219684
HMGB1,-0.008326435488978174,0.000854994165546321,0.035454597386210006,0.0316175526278714,-0.03631671155806467,0.08082176490004962
ITGB3BP,0.022416375749016223,0.04342974491859841,0.032126974829005985,0.029635580050911922,0.06221732304203074,0.038954277244643155
AANAT,,-0.004088638144347749,0.07359945263759164,0.04241973438142388,,0.0076142261279372615
RELN,,,,-0.041767828242398795,-0.04591771391623062,0.03849301174152285
IL15,0.13251510278249515,-0.020154999840194716,-0.06269494140557022,-0.050010617994369615,0.033532559506076476,-0.06134942935391748
UTS2,0.07126617543358182,0.06900395836809445,,,,
