,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.05402234959994483,,,,,,,,,,,-0.01459357400842273,,-0.03129172918921877,,
BMP1,0.03513055950142914,0.08393412264582317,0.0338739425444743,-0.01543105475047962,-0.0009158451662727177,0.07120980890061342,-0.006992652985681664,0.06907110477243622,0.07089284950103304,0.02241046887590506,-0.05453262950657523,0.035303621091859715,-0.03181108064895497,0.07151131953606786,0.07868335333852387,0.07247044357869915,0.015334434273603367,0.026703659086457672,0.08339367437997819,0.06050184625173834,0.11709731511125275
NDP,-0.056120823877238414,0.04854740629046527,-0.04660170119756447,-0.03236307033849925,0.054721125890485424,-0.016907757545024448,0.02726049383347399,0.06862606218305493,0.17644833361285886,0.003618921391838089,-0.042166681817969585,-0.09334806873406654,-0.02666408750719171,-0.11070191206328227,0.06163108475880302,0.024521187177818402,-0.022471058169148097,0.027158625136086436,0.04635025377317816,0.02012048005241278,0.05162057879748574
TNFSF18,-0.005831719862650859,-0.024469142389302617,-0.03180275853025429,,,0.03169206776319788,-0.01410590847801031,,,,0.10939322055567896,,0.04068403583821785,,,,0.03842853473508348,,0.02866366689708659,-0.04240352280602937,
IL36G,,,,,,,,,,-0.022507992096381612,,,,,,,,,,,
RTN4,-0.006593833509767418,-0.026367058932860767,0.039805088119686124,-0.012183721913620653,0.024411921821923484,-0.03969162609528062,-0.015688505069974698,0.029532532511962393,-0.038883078485620656,-0.010731739427544424,0.039350721006948135,0.018585955626696047,0.04425167704558587,0.05345833899287978,0.06803729756367519,0.01096679520985203,0.007880534751277897,-0.04136604160600992,-0.05177664784549283,-0.043728229933311366,-0.029133178912477294
HEBP1,0.005590944762543989,0.029926892834023857,-0.03123069786943515,0.029415182960421914,-0.0026960378541110125,0.004916483500641215,0.005911658735016794,0.026838020005260622,0.03943154771462918,-0.026313434264637243,-0.06195975914344759,0.12178016655549474,-0.016722853184266254,-0.04925352341067062,-0.010360590521109509,0.022462761126619147,-0.06449907722738481,-0.0030746530965199566,0.014028298663288015,-0.011444676397450502,0.114982279911241
WNT7B,-0.02158752196425096,-0.017642689657209023,-0.019754887753026442,0.005798828906851266,0.009519884801200019,-0.02783446345302268,-0.04043327356614936,,-0.007833036971595628,-0.010856740555031384,-0.02525627363444196,-0.05355497418558807,,0.008635768167628245,0.028562726052823544,-0.036690145037381966,-0.03410539654943628,-0.024361226943965787,0.03647016467039733,-0.04287031553986223,-0.016631896169007704
PTMA,-0.006364099189592775,0.07023065915990043,-0.04705806299514586,0.05615052502781969,0.019751735719728502,0.03820981977972365,0.0687800665671377,0.03528019088963682,0.12574055890315136,0.11164752573680864,0.11316779201267178,-0.07297407697743252,-0.016158344234473494,0.07200937843492128,-0.07053633180451922,-0.07357880754557408,0.05813175506679432,-0.02446183870319067,-0.006082187096255165,0.07078364051583295,-0.019122148235154925
FASLG,0.044948742772577016,,,,,,,,,,,,,,,,,,-0.027139306050481767,,
CEACAM1,0.10935397452439205,0.00588476388361037,-0.015160688173957364,-0.031149753427538326,0.019553027662911886,-0.003229421099012743,-0.022185233528382035,,,,,-0.06058888822948459,0.047143874809394935,-0.03907911435889146,-0.03147976095685367,-0.0033238145438983274,-0.024873352596512188,-0.02807164233561129,-0.03776035833073362,,
PDAP1,-0.020565057501792258,0.05737216214641921,-0.006701727083464158,-0.024912116197698484,-0.0013619193734652965,0.026530948502007743,0.0061408844250335085,0.1042028463060356,0.1583442872307841,0.009266667269582833,0.021795834735374598,-0.08434885577961976,0.058462037895408395,-0.06671447234906601,0.029851968415056645,-0.023274459716865557,-0.013782155503170513,-0.02333630646304969,0.03736667582318099,-0.033287010694994845,-0.06634722960427687
QDPR,-0.048960590784834064,-0.0297331239134806,0.012393561570590631,-0.012820759295836674,0.0837532157992961,0.05832191354242742,0.02085331168432312,0.0661280637010732,0.11422990886912865,0.07648904868759258,0.0617192554055908,0.05242548346096203,-0.051373130323157365,0.06572454138106167,-0.06046897608517086,0.022120795018688695,0.03857533941789835,0.00047009434184853147,0.004906260588381131,-0.026175046704076586,0.0626122838915969
POMC,0.018078897466407725,-0.03691197396886771,0.022829257688970525,0.014313465935585912,-0.028939673799604087,0.005783787813817164,-0.016367380728916362,-0.030455641110627957,0.049910640565426316,-0.03349086054255878,-0.03664508780630596,0.009542603178876799,-0.01995770757472195,0.08995153272761046,0.07927918959438243,0.07352270331933486,0.0327332031417457,-0.002946935421687213,0.035407024039110634,-0.01698811058768838,0.05289291288571938
CCL18,,-0.019434803805604008,,,,,,-0.022554117860214138,0.1329166096850392,,,-0.04860126252082684,,0.05320986217306689,0.07721609927268396,0.015326584794972477,,-0.060948614209733694,,,
CCL17,,,,-0.018054782359879236,,,0.02978585628348006,,,-0.020561689781723565,,,,,-0.02233336673562827,0.024459414269639015,0.0034778902991854624,,0.010718052258438011,,
VEGFD,,-0.0015616205712316825,-0.021714644129935703,0.036721181607445814,-0.018274898127629783,0.009739903088229803,0.040364983997326624,0.13936278088950238,0.1231687779636632,0.008040394634306385,,0.004568219552717664,-0.06203053724113973,,,0.06489948386391994,-0.0174749485036376,,,,
TNFSF13,,0.07687837219160583,,-0.012453784793883699,,,,,,,,,,,-0.03218250360567789,-0.0491670569252208,-0.027847210766290636,-0.00836885922320276,0.12202464111897929,-0.003450523066284238,
WNT5A,-0.024085543294279834,0.023582702320393948,0.010842310615533635,0.014223299478008624,0.02906512721647423,0.05499384693661415,0.010170000247779124,-0.03678894962682099,0.10120152344035865,-0.04830199675688624,-0.07263855221671348,0.06935568302796591,-0.047659166653247084,-0.050726363282354976,-0.02647166639184876,-0.021066015741335813,0.030930641221782167,0.07116866030200253,0.07149184293542846,0.0382465891915863,0.00507198342268015
CXCL8,,0.020920152330365538,0.012629047235626389,0.06100876426381665,-0.07912447783144634,-0.04446394116329721,-0.0294699265954645,-0.041861952020120115,-0.026426009404229206,-0.03367066493407068,,-0.06130285345942793,0.08268061359996151,-0.048783829163425246,0.0034762074655726614,-0.08704561295308107,0.08872853764803605,-0.03679077005407568,0.006110394666013719,0.02261386119351058,-0.038718625488061875
