,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
TNFSF4,0.04332094841158111,0.03625353535417472,-0.01608729678676227,0.04679070508711623,-0.01535657840017026,0.03952276242263622,0.011393324502082285,-0.013741255580879323,-0.03288630804673041,-0.041043099632220185,0.04552145973797804,0.10988414826588813,-0.04293440853619573,0.05830381872623487,0.017520676167108885,0.0166956519837154,0.07085067755021483
RBP4,0.0483502845984324,0.061212978261247546,0.019226697006760798,-0.0273230802267511,-0.007767889954753018,-0.030678484885266782,-0.025319146063791355,-0.030935756957479098,-0.016903275736131956,-0.009170607968219011,0.03902206633034615,,0.03889028507012713,0.01747449569117726,0.06562377043151862,0.06722878131066028,0.015950727851383323
DKK3,0.0462757460687794,0.060454133981480605,-0.018713766803968617,0.0042856643181266715,0.007300657032066698,-0.08868847066970881,-0.01643703293609857,-0.07919123571911706,0.004369385074878133,-0.0300801415230082,-0.10411014312143858,0.019428893246074105,0.08745053485154977,0.08266763541090523,0.03864813378999097,0.007195253424832549,0.06077036740567637
COL11A1,,0.007039483945399133,-0.0363378141282392,-0.05231806302544457,-0.03533700418111507,-0.03279859322704799,-0.034922093520165155,0.06388401110682479,0.046489494272300216,0.049601850641737506,0.04699146532439327,,0.08180301141380962,0.026472820289052956,-0.028664772264882694,0.00016589052348427305,-0.020564810260285286
COL5A1,-0.07003518412238098,-0.11487790247765714,-0.023964632352240427,-0.03993811905370299,0.04196327306493755,0.025172413031173006,-0.025066804238681486,-0.006258748427198776,0.025980307266808715,0.01938391571110273,-0.006287091152628652,-0.032869900254727864,0.05240171705181564,-0.03491839543226067,-0.11373337013905133,0.019625126897659915,0.00981770085559229
KISS1,,,-0.025359765145792267,-0.00841365866597059,,,,,,0.01888236543220058,-0.04211872316023873,,,0.005320900013004096,0.014649247135069206,0.019387189857232243,
MEGF10,0.06775346735532849,0.0025667103823029877,-0.014608586493471328,-0.018099807449063685,0.06239893241882055,-0.04829833406977532,0.01840683446092719,0.0666403672136101,-0.018317230711118886,-0.05653545456328646,-0.06291170029393296,0.05090354890067969,-0.01079473183581276,0.0771151606888583,0.07372718664867381,0.015621460270646063,0.02693158229430141
CEACAM1,,0.023517755941829744,-0.010963599551487431,-0.002519879750742283,,0.018074887040350953,0.013684364097789387,,,,-0.046434807562337886,-0.03527773682910553,0.02110608377872262,0.0338477958323222,-0.021442928338835567,0.006787707864512518,0.006736510398577928
EFEMP2,0.026676225457098322,-0.007378566401690975,0.006145681041653073,-0.009625753653964808,-0.01731293498753844,0.07304786337320918,-0.00017380165563814058,-0.015711168021191536,0.027443966303872608,0.035962584150318506,-0.03738060137177967,-0.028658411290026338,0.046219408499754124,-0.04070154250903204,-0.06693844830005967,-0.04417551074565692,-0.010766416136517482
IGF1,0.016333972052141408,0.001564854246117369,-0.030285685271022572,-0.036248388574652374,0.011541036846734203,0.01470162411777051,0.018246859050399706,0.0035245806604057334,-0.005681622142865599,-0.011157003553564302,-0.029410110163573176,0.09134265731015098,-0.004852574869526051,0.05154150909957813,-0.010204147028979411,0.012400144260718827,0.04479285558264266
