,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.03659406760381959,,,,,,,,,-0.01941002576862044,
BMP1,0.01068430308035359,0.02510119397198871,0.01951768782834657,0.03583550061702251,0.03842048021612127,0.02556954890032053,-0.07585363586842615,-0.013567123453943057,0.05968071499727633,0.00685218659013878,-0.06632899240675096,0.07321815811001114,-0.016561480230309816,0.0445658358256723,0.011114615943492556,0.029306159419274797,-0.003847506928118803
NDP,0.061574631474566766,0.033712455527936,-0.05343933183779628,0.04874857461043486,0.08004393145643937,0.055522856210912845,-0.05801330306431269,-0.015633091550785492,-0.010378629832317987,0.048903309465335186,0.06207107525740512,0.13306526829333598,0.10443858025067854,-0.010656210324531535,-0.010892644992636666,-0.033236402327357535,0.06268420232798563
TNFSF18,-0.021000984688204678,0.009428863206895371,0.05789852766023142,,,-0.024330690000010292,-0.015989499575967642,-0.025123695963525924,,,-0.029395982983279587,,-0.05327092808599908,,,-0.0074834438244146,0.0022294635618721414
RTN4,0.06824015023159366,-0.02583834734637844,0.008509345290437028,0.020925899008118,0.1134434001326601,0.06399682758613204,0.10469173221040046,0.028223140238588424,0.018372940794234998,-0.003874118708948473,-0.0313363307798774,-0.1366687289971176,0.04591276965285594,-0.08416989537338837,0.02076567154354454,-0.018356978430704197,0.012194256856323905
HEBP1,0.0011009497697923396,-0.001984635100249729,-0.04118231310789702,-0.05719054891213561,-0.015573506562809262,-0.051206416502698464,-0.0015982438148685737,-0.013843656806181236,0.006859462531737501,-0.02856368099063286,0.08246384878642904,0.024233115313610578,0.022071291691293134,-0.0027113788408194557,0.05663863640373644,-0.035985011026994,0.014900673454636804
WNT7B,0.1291113588486814,0.0420146870090715,-0.02391979042921146,-0.03257341040000796,0.004558336459530027,0.06842180051484913,0.14878511053442012,-0.0024548620132420606,-0.02125450559835876,-0.03979607232150958,-0.008107441008164191,-0.05640686939832156,,0.023363205589741705,-0.015793063147618965,0.07544978592179545,0.11509505533951857
PTMA,0.02114585147552047,-0.0021869429393058066,0.022325074358202208,0.06324443060210959,-0.10792129452267873,0.010932689420512653,0.003841756147154784,0.0221842489958889,-0.026944908266124775,0.0641668686895502,0.023921918067139353,-0.07107572595096442,-0.03410302578225692,0.03630044414490497,-0.024269579959859466,0.015379530376973732,-0.06452110328468577
FASLG,,,,,,,,,,,,,,,,-0.01683430872729853,
CEACAM1,,-0.02850370595605964,-0.01835700047590138,-0.037612950358691256,0.0911955442899354,,-0.06604527962954032,0.10614350281595902,,,,-0.042475787163142716,-0.0029288545787433135,0.0032060700118857807,0.07026889874564261,-0.023422468084135287,
