,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH8811Bbulk,ZH8812bulk
IGFL3,,,,,,0.06852358778300198,,,,,-0.01707922555912993
BMP1,-0.04487084788810768,-0.006656489247226475,0.001075134215344908,0.012987508458880248,-0.04499755138088852,0.05722473138933708,0.015915499447323917,0.0031970327260857968,-0.07030960973479164,-0.05841835483312904,0.01987171502155831
NDP,0.014007882017538758,0.03495306849561335,-0.03675193376573957,0.05255044981748972,0.051828757528949554,0.014058363869310466,-0.01290477164225759,0.031752057031191154,0.03575543058152257,-0.009977748254577907,-0.023091494438084333
TNFSF18,0.009856951312483698,0.010100581996130032,0.01472696552842568,,,0.029900177484418207,-0.01768454072044611,,,,-0.017613503853095975
RTN4,-0.036087696996728036,-0.02010854692048277,-0.006134129754506561,-0.07709950252755451,0.016047497572950917,-0.0397814507455691,-0.029345371826104295,0.028883228204205007,-0.09901283963443748,-0.06846073443138193,0.039233196113598205
HEBP1,0.037781004368749246,0.04968468294517606,-0.026426091372145338,0.04037527505535261,0.004969784020519225,0.033385639821350475,0.013748430167190604,0.04919388585263802,-0.012939548611337257,0.048967990674790976,0.03975757068343354
WNT7B,-0.0519189625023985,-0.017927668096512046,-0.018628560150428915,-0.02495040085018759,-0.0371560428476055,0.011934444711783994,-0.028144568979654457,-0.011246855396774986,,-0.02990373967421449,-0.036831261452209135
PTMA,0.03777108563414934,0.010438694450059844,-0.04818656180639628,0.018544070184462167,0.07792608198059663,-0.09890507329692892,-0.032254754146615855,-0.00444088304957737,-0.014695105348207957,0.046152170781123776,0.026294385372976008
CEACAM1,,-0.021128994142370988,-0.014296299483007396,-0.007125863671176106,0.07220108350959778,0.008382749525764574,-0.02781356949372599,,,-0.02287883813599532,-0.025308766162207574
PDAP1,-0.014807311095247255,0.06937865351900752,0.026619170771434927,-0.018065944351720688,0.008732672431366306,0.0645360972291133,-0.0005226073648434629,0.01452538281510959,-0.009859100439858685,0.012044732094782623,0.008952386578107967
QDPR,0.025153012954166876,0.062053016269946915,0.02480545870200808,0.0032152904587941797,-0.04862394930313388,-0.0695512769652777,-0.006877094528101699,-0.0024247784774883915,0.054781231005724663,0.01960435520059778,-0.04099345524913796
POMC,-0.033441046316622744,-0.04339875661233381,-0.00043573200527608034,0.05028190806402158,0.06213104065185016,-0.01999359810275074,0.03326763682265016,0.0329848605616299,-0.0016441013758840026,0.04145570046115448,0.02431406871407162
CCL18,-0.039454090033983695,0.01340756075501621,,,,,,,0.028676082778333275,-0.019091204540925312,
CCL17,,,,-0.01669895680813275,,,0.003959745435411199,-0.013920454173200043,,-0.033027039169815545,-0.022517972317922186
VEGFD,0.011944703188125325,-0.0002477547785038295,-0.020476580751905015,-0.002478372802390679,0.01790392867435621,0.05927247926069344,-0.011371976384687127,-0.010210821482018302,-0.00048789048049309355,0.0825883035497092,-0.023749510638591147
TNFSF13,,-0.019897381829309294,,-0.011518566672560836,,,,,,-0.010974244515092893,-0.024147613216752566
WNT5A,-0.04258464962362964,0.02953180043002298,0.023182998190399238,-0.040342954008392065,-0.024985226840417006,0.03423929775343975,0.015651277005125707,0.023523847781690754,-0.051207418519069695,0.017544734556066394,-0.03748186845847606
