,UKF251,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,-0.015533297446074689,,,,,,,0.0778771186059786,-0.019607127017293145,
BMP1,0.009064502284012059,0.030956609348634423,0.0673934184414396,0.005881472243606894,0.006135614840082417,0.03768303668511511,0.022867681095781286,0.01688862309658598,-0.026558233079701538,0.02686102199404309,0.04632758714519925,0.08722278493156484
NDP,0.014779490849898307,0.0208326565179878,-0.040123079589886874,0.0329916205039428,-0.04249319024308934,0.010767028229735489,0.008081787618891537,0.022500281389799162,0.03499548093916076,-0.047310399364125094,0.049857190088013564,-0.03540614351158065
TNFSF18,0.02827012073530991,,-0.023066480385052934,-0.021679606586881447,,,,,,-0.021163668420477882,0.005475958535809243,-0.02430872233507687
IL36G,,,,,,-0.013752911436744552,,,,,,
RTN4,-0.003828667442870083,0.02602396921845285,-0.07789495627444827,-0.0630292844616351,-0.02949366588227085,-0.038466138493727105,0.09857437315745758,-0.039493108139627246,-0.029280989796938786,-0.0389661935105789,-0.013212675924589244,-0.06875516982596322
HEBP1,0.025389601221779037,-0.05804381993031433,0.010965821237247798,0.09911725595704024,-0.023990773458301983,0.03681214993444096,-0.08220057059233699,-0.003115213728398143,0.0012509389065421788,-0.03846747759088575,0.06336746784525225,0.022236465765899067
WNT7B,-0.034261306920501895,0.03312551681441801,-0.03266259108050319,-0.03795676520882516,-0.02510332692815042,-0.015116034573743229,0.08340425237893835,0.11139409188510419,0.052788282821535804,0.05068517057670919,-0.011614703940410025,-0.04369477452106032
PTMA,0.012431184345759162,-0.05815750561321201,-0.03408477481127195,-0.0913205957946311,0.07841971522319441,0.024049461626321825,-0.03291056925518002,-0.06299028102737853,-0.0224263329115271,-0.09406640465252733,-0.03561881459654001,-0.023780555087210054
FASLG,,,,,,,,,,,0.17843228100430508,
CEACAM1,0.022919786031436244,-0.004337966040969635,-0.017658732517882605,0.02161793867606776,,,-0.04892182683077737,-0.023839994867978803,0.07204786732832028,0.002089241414881528,-0.023660314121096405,
PDAP1,-0.007703217661543541,0.051995056295908594,0.028392231922491736,0.026974857573423994,-0.029867828541270916,0.006060338466435795,0.08150110555186012,-0.033123048336110336,0.0010900720869279812,0.022849799234787114,-0.01026101553625779,-0.027946901066985004
QDPR,-0.01756629777428951,-0.019753909936113458,-0.08986848457968391,-0.009283649993904663,0.0033312992930296824,-0.013096762497053006,0.05553337090578786,0.009883188370356939,0.03165550578109985,-0.045501886548121304,0.04341167983780014,-0.05711530662439483
POMC,0.09674985545604615,-0.004733338560671182,0.06847145943334919,-0.02515530110051181,-0.02107081693683706,-0.006960322419796779,0.018357236812526777,0.06758427348847337,-0.0419054927773128,0.015393206426615258,0.03641650534030486,0.03902008103464454
CCL18,,,,,,,0.07136306167154122,0.06441099016169666,0.0048202600749150245,,,
CCL17,,0.014064486079484895,,0.03500571221264846,0.04497355463845277,-0.012563675042489455,,-0.016913322470644376,-0.025822633019500146,0.15779158392342152,-0.015413353246738657,
VEGFD,0.00663173220973532,0.015939259085734136,0.14185365872737002,0.06908918374626526,-0.022790867386948677,-0.013464879681973988,-0.04725900834853279,,-0.017888126091493397,-0.02853644411105669,,
TNFSF13,,-0.01934450506400542,,,,,,-0.032454125401156574,0.03170248859180356,-0.029014787944959146,0.11008287602643381,0.011564010493295184
WNT5A,-0.03779660373918174,0.018231379973574324,0.040631437091909216,0.001054736448660768,-0.003032760676434131,0.009655564411500745,-0.05977897489652516,-0.009537857082385269,-0.029610660818708244,-0.0074304380290297015,0.02985900434901355,0.08170484458626366
CXCL8,0.012742819352282386,0.03402899300907875,0.02218022250741383,0.00027965707698617036,0.0052601945000518594,0.011029070414847911,0.024909504200852795,-0.0385590375812347,0.03802248015290925,-0.025228344094070633,0.04841253112164029,0.05091227051928863
