,UKF266,UKF313,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.007938124076644019,
BMP1,-0.029274789606016864,-0.06004480522695187,0.10126432842149193,0.056278665096657826,-0.024754969597339697,0.06444101308216155,0.002467208636647556
NDP,-0.013210386121935454,0.03710256576084615,0.03951819651445334,-0.027139102965626435,0.023833370506379688,0.12130512288418711,0.05499326938580136
TNFSF18,-0.012582390204456203,,0.04275969989215632,,,-0.01475140260972981,0.09601851797702321
RTN4,0.0825493014157885,-0.00802924472452477,0.0002998354120561477,0.021737073128602732,0.07043298680957089,0.031525585731072184,-0.08480026104663704
HEBP1,-0.09978317436867477,-0.02642452500349755,0.055928841516185615,-0.023097331571783827,0.024013661142352778,0.11323183210410807,0.06704129812896084
WNT7B,-0.05989175995712682,-0.0485594221170747,,0.020928846425715186,-0.04136485863882154,0.019400432683946995,-0.00923754677790646
PTMA,-0.04787204590756088,0.03243997366911154,0.011035719764772736,-0.06716176040603929,-0.011548634015159398,-0.0768917147610657,-0.0460413858871882
FASLG,,,,,,0.042020203736899776,
CEACAM1,,,-0.036443069098940406,0.01940560942036164,-0.02745445827669894,0.013295649087540813,
PDAP1,-0.03870738160197781,0.01550479429233364,0.04510900215550939,0.027603037030661227,-0.009926496810110794,0.018535576191017512,0.026107896922005266
QDPR,0.014941193013802116,0.025496468386993175,-0.01959480764754289,-0.04459600434632749,0.043816766740602954,0.08686765382823397,0.0036156548229991517
POMC,-0.0331948831068212,0.04890423481383189,0.036067963481643046,0.006216720826553119,-0.03593038114272728,0.10880730442972263,0.08734805541426333
CCL18,,0.050961698100980016,,-0.03596000483063438,-0.040825921571538096,,
CCL17,,,,,,0.05005862152850081,
VEGFD,,0.1353216254684924,-0.04954355383286823,,,,
TNFSF13,-0.012202293663658912,,,,-0.030829516577335243,0.05683917417733737,0.02012123118089039
WNT5A,-0.044271566508871825,0.08641198665072196,-0.038437518737647676,0.05771967505703173,0.0005571506803487363,0.04271912168917446,-0.020275326891451593
CXCL8,-0.01735697130609147,0.09845202538806132,-0.028410075848356812,-0.06331325016375912,-0.06186449392498814,1.3906662250464354e-05,-0.025991285586967866
GRN,-0.051945016740667545,-0.028502865909832094,0.06243839290550979,0.05816020413816839,-0.08327483983511576,0.0032026376957893536,0.026767313773883566
MIA,-0.022064100293047964,0.01616871274460936,-0.03739197741200912,-0.028346882639534415,-0.03100000817307266,0.12185387668059947,0.1293959429754427
COL4A4,-0.011609943318562996,,-0.03879357837335059,0.019277487591405743,-0.0071104176920791145,0.006601399417199907,-0.039925890603015615
TAC1,0.04240353940671556,,,,0.02390074153563629,0.04773837008094202,-0.08861070737818345
RARRES2,-0.037043660877664274,0.08964610344995684,-0.19737063728433968,-0.020135727065839604,0.021595140218832937,0.044967853729000584,0.003944105700495099
FGF7,-0.03327604999729694,0.05237960975168145,0.05135575942175978,0.029511666943821648,0.06528523511956548,0.13539020663199006,0.09637934927962565
HBEGF,-0.043564963605946604,0.0737988895783665,-0.033719070809302705,0.13919544530647382,-0.052211742163172654,0.0015156672162787938,-0.011690652730324998
CSF3,,0.009970861514745504,,,-0.039359716182021165,-0.018036360509378017,0.04121089693109328
PI3,,,,,-0.03793274345063553,-0.08573852970177978,0.014081553981738862
PCSK1N,0.018746025926236747,0.02813653054568256,0.032113831563349675,0.03584717939072823,0.05846538132375874,0.11442246330054395,0.0013634589209863173
NTS,-0.014173102917900124,,,,0.03335390387454915,0.04317007190455651,
SFRP1,-0.0034449505440805037,0.01816168248118458,-0.0484884045554858,-0.014616691221409846,0.0002565811336308096,-0.035515122387282,0.03796668961107174
CXCL13,,0.07997396573450716,,,-0.01192977971875903,,-0.03406565205384532
MICA,-0.01628184768549077,0.01183991797806649,0.045834258399149924,-0.04206634742479745,-0.055591473088140865,0.09772624308035789,-0.017616869916130398
TG,-0.01635949698533208,0.06405603207150018,-0.01284162238334604,0.05065528254314195,0.02947477598998307,0.06333519410014533,0.034509118664524094
ADA,-0.031959884330109614,0.02977775490970606,-0.09698942430491203,0.05913515241829194,-0.002840020626549238,0.08275965531153266,-0.06146070723949731
LAMC3,-0.026060517841632356,0.014592656161993272,0.05069264014163278,0.05100217580649491,-0.016374274636510044,0.030497161906578484,0.009523852101333614
CCL7,,,,,,0.02195035712794581,-0.0711153982128957
NGF,-0.015611348019598278,0.010608811148324704,0.0415260977441147,-0.025446132938678378,-0.012831140589827943,-0.03878274617603068,-0.01561467505223238
TNFSF15,-0.01895559901935173,0.1939366946397918,0.05679290093511206,0.028488221160379454,-0.024441708026082726,0.04348676279476594,-0.0005063276416323599
HMGB1,-0.03489768179867335,0.03185939980209705,-0.011720193048565187,-0.08126307749120736,-0.06676707035078402,-0.048967045127627055,0.0803369178954677
ITGB3BP,-0.05796759502989155,0.022381288069183006,0.06477633525369944,0.05569132737970332,0.012032921782012573,0.02081094900245603,-0.020667037597582347
AANAT,,,,-0.03745385240763451,,-0.018394998228589598,0.11106966757460233
RELN,-0.0218579745452421,,-0.07401010632040557,,0.12410447517394686,,-0.041179101688826845
IL15,-0.013488035599609071,0.08352088400028417,0.012715716448605996,0.027838789207793677,0.08233892638295355,0.112299422767633,-0.024983865082852857
BSG,-0.02579680497879408,0.013951418922153598,-0.02269678335156673,0.0831172556776571,-0.06355634208540328,0.15886473740749843,0.06408004465488115
ADAMTS3,-0.021725323432105783,0.04195985103248959,,-0.044847175297912906,0.06227119352458475,0.13377768318573993,0.09531011158389824
CD34,0.009866311316104702,0.06628704325680461,-0.018260823576135118,0.0003815763985480584,-0.04196303294711911,0.05643617243143746,-0.012047024167901257
PLAT,-0.046326140211732085,0.047969326008884795,0.04878866412380863,0.012325636654759518,0.017181563196609097,0.0879840660125858,0.11593710918704822
NTF3,,-0.031110682767252814,,,0.0403377138944738,,
LTA,,,,,,0.03183624006973872,
CKLF,-4.288947546760481e-05,0.0377790813064322,0.014837300267280302,0.06971431109298538,0.03304222797438319,0.11514450442463785,0.09812492567589448
APELA,,-0.026924544344156753,,,,,
CD24,0.001126597383154464,-0.07287959289625395,-0.13310232532570285,0.08318996751485176,0.08970701737443308,0.053801557165375324,0.02117720468740034
HSP90AA1,0.1092759299639373,-0.012965127662946628,-0.06831819482247552,-0.09116243678790709,-0.07750707540347186,-0.1786965177700785,-0.08966743822084496
BMP4,-0.054050003435717024,0.057052887772974126,-0.005621543760348625,0.009964967543673651,-0.02251859423936837,0.0826915156070399,0.036690159764927524
SCGB3A1,-0.01721771599652847,-0.030577940191753108,0.024043901464237592,,0.03343342771964029,0.022417813714112545,-0.009606701720578082
IGFBP4,-0.011309726454151982,0.011862496901071948,0.041716502392974066,0.027277053343252564,-0.0683097396500134,0.05129566332953005,-0.04768383204306035
RSPO4,,,-0.028510676518254018,,-0.0008975709888867652,0.04576133135236849,-0.016924459933110918
LEFTY2,-0.01761230874887806,-0.016514344649840924,,0.07580910639561156,0.0333130733680207,0.10302696793460732,-0.0029347436118900175
PF4,,,,,,-0.02019528283566891,-0.005148602338325316
ANGPTL2,-0.06449384692280022,-0.04923360110647776,0.028727911573640505,0.019960341448081766,0.035504911918850315,0.06861531341475549,0.019681589493292878
LRIG2,-0.020672603492212387,0.010874934502175656,-0.02224695313837933,0.025105483673160175,0.006396314010502576,0.10413004856143307,0.053543923106781174
ICOSLG,-0.04510781918021859,0.003957339269806546,0.011403584190864511,-0.04407202423503681,0.012567840570843692,0.1267045048417231,0.022328870240924403
WIF1,0.03699555467409732,,,,-0.03177655920860143,,0.11521697302149923
NPPC,0.055167209414164795,,-0.06212367125249395,-0.04484708916622723,0.007129223563592948,,-0.015225401510754747
LYZ,-0.0277206185120688,0.07522010066353949,0.08921694193461743,-0.019433987844914527,-0.01564569278652228,0.015491164333247731,-0.05569388263978054
EREG,,0.07845097726457359,,,-0.04257570337338317,-0.02830498872104237,0.05530349458564754
SPTAN1,0.050932071504584675,0.0651182512578653,0.03992494634585113,-0.03792729135422809,0.0842005329690441,0.04131574416726946,-0.03260893807430893
PTH2,,,,,0.0547434634742679,,
LIPC,-0.020916484702221523,0.007160285168599259,0.038210956524748624,-0.0008706035468206565,,0.059932833195395024,0.03930396143555602
COL8A1,-0.042513053840842585,-0.01494055234969142,0.009891924937961196,-0.016354709467456808,-0.018231363913383047,0.061102809088263856,0.0321615807916531
GSTM2,-0.011405950298684426,0.08781241405587578,-5.580411574467517e-05,0.09194428973357487,-0.01744711015378199,0.005068127245544852,0.04234605096306172
SPX,0.007853348318582148,,,-0.06686519891205277,-0.0164806817434286,0.0887519058536341,-0.01547048954435212
